DanTh 1:1
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

DanTh 3:53
εὐλογημένος VM--XPPNSM εὐλογέω
εἶ V9--PAI2S- εἰμί
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
ναῷ N2--DSM--- ναός
τῆς RA--GSF--- ὁ
ἁγίας A1A-GSF--- ἅγιος
δόξης N1S-GSF--- δόξα
σου RP--GS---- σύ
καὶ C--------- καί
ὑπερυμνητὸς A1--NSM--- ὑπερυμνητός
καὶ C--------- καί
ὑπερένδοξος A1B-NSM--- ὑπερένδοξος
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

DanTh 3:55
εὐλογημένος VM--XPPNSM εὐλογέω
εἶ V9--PAI2S- εἰμί
ὁ RA--NSM--- ὁ
ἐπιβλέπων V1--PAPNSM βλέπω ἐπι
ἀβύσσους N2--APF--- ἄβυσσος
καθήμενος V5--PMPNSM ἧμαι κατα
ἐπὶ P--------- ἐπί
χερουβιν N---APN--- χερουβείμ
καὶ C--------- καί
αἰνετὸς A1--NSM--- αἰνετός
καὶ C--------- καί
ὑπερυψούμενος V4--PAPNSM ὑψόω ὑπερ
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

DanTh 3:54
εὐλογημένος VM--XPPNSM εὐλογέω
εἶ V9--PAI2S- εἰμί
ἐπὶ P--------- ἐπί
θρόνου N2--GSM--- θρόνος
τῆς RA--GSF--- ὁ
βασιλείας N1A-GSF--- βασιλεία
σου RP--GS---- σύ
καὶ C--------- καί
ὑπερυμνητὸς A1--NSM--- ὑπερυμνητός
καὶ C--------- καί
ὑπερυψούμενος V4--PAPNSM ὑψόω ὑπερ
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

DanTh 3:56
εὐλογημένος VM--XPPNSM εὐλογέω
εἶ V9--PAI2S- εἰμί
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
στερεώματι N3M-DSN--- στερέωμα
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
καὶ C--------- καί
ὑμνητὸς A1--NSM--- ὑμνητός
καὶ C--------- καί
δεδοξασμένος VT--XMPNSM δοξάζω
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

DanTh 3:57
εὐλογεῖτε V2--PAD2P- εὐλογέω
πάντα A3--NPN--- πᾶς
τὰ RA--NPN--- ὁ
ἔργα N2N-NPN--- ἔργον
κυρίου N2--GSM--- κύριος
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

DanTh 3:59
εὐλογεῖτε V2--PAD2P- εὐλογέω
οὐρανοί N2--NPM--- οὐρανός
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

DanTh 3:58
εὐλογεῖτε V2--PAD2P- εὐλογέω
ἄγγελοι N2--NPM--- ἄγγελος
κυρίου N2--GSM--- κύριος
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

DanTh 3:60
εὐλογεῖτε V2--PAD2P- εὐλογέω
ὕδατα N3T-NPN--- ὕδωρ
πάντα A3--NPN--- πᾶς
τὰ RA--NPN--- ὁ
ἐπάνω P--------- ἐπάνω
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

DanTh 3:61
εὐλογεῖτε V2--PAD2P- εὐλογέω
πᾶσαι A1S-NPF--- πᾶς
αἱ RA--NPF--- ὁ
δυνάμεις N3I-NPF--- δύναμις
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

DanTh 3:62
εὐλογεῖτε V2--PAD2P- εὐλογέω
ἥλιος N2--NSM--- ἥλιος
καὶ C--------- καί
σελήνη N1--NSF--- σελήνη
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

DanTh 3:63
εὐλογεῖτε V2--PAD2P- εὐλογέω
ἄστρα N2N-NPN--- ἄστρον
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

DanTh 3:64
εὐλογεῖτε V2--PAD2P- εὐλογέω
πᾶς A3--NSM--- πᾶς
ὄμβρος N2--NSM--- ὄμβρος
καὶ C--------- καί
δρόσος N2--NSF--- δρόσος
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

DanTh 3:65
εὐλογεῖτε V2--PAD2P- εὐλογέω
πάντα A3--NPN--- πᾶς
τὰ RA--NPN--- ὁ
πνεύματα N3M-NPN--- πνεῦμα
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

DanTh 3:66
εὐλογεῖτε V2--PAD2P- εὐλογέω
πῦρ N3--NSN--- πῦρ
καὶ C--------- καί
καῦμα N3M-NSN--- καῦμα
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

DanTh 3:67
εὐλογεῖτε V2--PAD2P- εὐλογέω
ψῦχος N3E-NSN--- ψῦχος
καὶ C--------- καί
καύσων N3W-NSM--- καύσων
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

DanTh 3:68
εὐλογεῖτε V2--PAD2P- εὐλογέω
δρόσοι N2--NPF--- δρόσος
καὶ C--------- καί
νιφετοί N2--NPM--- νιφετός
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

DanTh 3:71
εὐλογεῖτε V2--PAD2P- εὐλογέω
νύκτες N3--NPF--- νύξ
καὶ C--------- καί
ἡμέραι N1A-NPF--- ἡμέρα
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

DanTh 3:72
εὐλογεῖτε V2--PAD2P- εὐλογέω
φῶς N3T-NSN--- φῶς
καὶ C--------- καί
σκότος N3E-NSN--- σκότος
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

DanTh 3:69
εὐλογεῖτε V2--PAD2P- εὐλογέω
πάγος N2--NSM--- πάγος
καὶ C--------- καί
ψῦχος N3E-NSN--- ψῦχος
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

DanTh 3:70
εὐλογεῖτε V2--PAD2P- εὐλογέω
πάχναι N1--NPF--- πάχνη
καὶ C--------- καί
χιόνες N3N-NPF--- χιών
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

DanTh 3:73
εὐλογεῖτε V2--PAD2P- εὐλογέω
ἀστραπαὶ N1--NPF--- ἀστραπή
καὶ C--------- καί
νεφέλαι N1--NPF--- νεφέλη
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

DanTh 3:74
εὐλογείτω V2--PAD3S- εὐλογέω
ἡ RA--NSF--- ὁ
γῆ N1--NSF--- γῆ
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνείτω V2--PAD3S- ὑμνέω
καὶ C--------- καί
ὑπερυψούτω V4--PAD3S- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

DanTh 3:75
εὐλογεῖτε V2--PAD2P- εὐλογέω
ὄρη N3E-NPN--- ὄρος
καὶ C--------- καί
βουνοί N2--NPM--- βουνός
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

DanTh 3:76
εὐλογεῖτε V2--PAD2P- εὐλογέω
πάντα A3--NPN--- πᾶς
τὰ RA--NPN--- ὁ
φυόμενα V1--PMPVPN φύω
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
γῇ N1--DSF--- γῆ
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

DanTh 3:78
εὐλογεῖτε V2--PAD2P- εὐλογέω
θάλασσαι N1S-NPF--- θάλασσα
καὶ C--------- καί
ποταμοί N2--NPM--- ποταμός
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

DanTh 3:77
εὐλογεῖτε V2--PAD2P- εὐλογέω
αἱ RA--NPF--- ὁ
πηγαί N1--NPF--- πηγή
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

DanTh 3:79
εὐλογεῖτε V2--PAD2P- εὐλογέω
κήτη N3E-NPN--- κῆτος
καὶ C--------- καί
πάντα A3--NPN--- πᾶς
τὰ RA--NPN--- ὁ
κινούμενα V2--PMPVPN κινέω
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
ὕδασιν N3T-DPN--- ὕδωρ
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

DanTh 3:80
εὐλογεῖτε V2--PAD2P- εὐλογέω
πάντα A3--NPN--- πᾶς
τὰ RA--NPN--- ὁ
πετεινὰ N2N-NPN--- πετεινόν
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

DanTh 3:81
εὐλογεῖτε V2--PAD2P- εὐλογέω
πάντα A3--NPN--- πᾶς
τὰ RA--NPN--- ὁ
θηρία N2N-NPN--- θηρίον
καὶ C--------- καί
τὰ RA--NPN--- ὁ
κτήνη N3E-NPN--- κτῆνος
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

DanTh 3:82
εὐλογεῖτε V2--PAD2P- εὐλογέω
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
τῶν RA--GPM--- ὁ
ἀνθρώπων N2--GPM--- ἄνθρωπος
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

DanTh 3:83
εὐλογεῖτε V2--PAD2P- εὐλογέω
Ισραηλ N---NSM--- Ἰσραήλ
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

DanTh 3:84
εὐλογεῖτε V2--PAD2P- εὐλογέω
ἱερεῖς N3V-NPM--- ἱερεύς
κυρίου N2--GSM--- κύριος
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

DanTh 3:85
εὐλογεῖτε V2--PAD2P- εὐλογέω
δοῦλοι N2--NPM--- δοῦλος
κυρίου N2--GSM--- κύριος
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

DanTh 3:86
εὐλογεῖτε V2--PAD2P- εὐλογέω
πνεύματα N3M-NPN--- πνεῦμα
καὶ C--------- καί
ψυχαὶ N1--NPF--- ψυχή
δικαίων A1A-GPM--- δίκαιος
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

DanTh 3:87
εὐλογεῖτε V2--PAD2P- εὐλογέω
ὅσιοι A1A-NPM--- ὅσιος
καὶ C--------- καί
ταπεινοὶ A1--NPM--- ταπεινός
τῇ RA--DSF--- ὁ
καρδίᾳ N1A-DSF--- καρδία
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

DanTh 3:88
εὐλογεῖτε V2--PAD2P- εὐλογέω
Ανανια N---VSM--- Ανανιας
Αζαρια N---VSM--- Αζαριας
Μισαηλ N---VSM--- Μισαηλ
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών
ὅτι C--------- ὅτι
ἐξείλατο VBI-AMI3S- αἱρέω ἐκ
ἡμᾶς RP--AP---- ἐγώ
ἐξ P--------- ἐκ
ᾅδου N1M-GSM--- ᾅδης
καὶ C--------- καί
ἐκ P--------- ἐκ
χειρὸς N3--GSF--- χείρ
θανάτου N2--GSM--- θάνατος
ἔσωσεν VAI-AAI3S- σώζω
ἡμᾶς RP--AP---- ἐγώ
καὶ C--------- καί
ἐρρύσατο VAI-AMI3S- ῥύομαι
ἡμᾶς RP--AP---- ἐγώ
ἐκ P--------- ἐκ
μέσου A1--GSM--- μέσος
καμίνου N2--GSF--- κάμινος
καιομένης V1--PMPGSF καίω
φλογὸς N3G-GSF--- φλόξ
καὶ C--------- καί
ἐκ P--------- ἐκ
μέσου A1--GSM--- μέσος
πυρὸς N3--GSN--- πῦρ
ἐρρύσατο VAI-AMI3S- ῥύομαι
ἡμᾶς RP--AP---- ἐγώ

DanTh 3:89
ἐξομολογεῖσθε V2--PMD2P- ὁμολογέω ἐκ
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
ὅτι C--------- ὅτι
χρηστός A1--NSM--- χρηστός
ὅτι C--------- ὅτι
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
αἰῶνα N3W-ASM--- αἰών
τὸ RA--NSN--- ὁ
ἔλεος N3E-NSN--- ἔλεος
αὐτοῦ RD--GSM--- αὐτός

DanTh 3:90
εὐλογεῖτε V2--PAD2P- εὐλογέω
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
σεβόμενοι V1--PMPNPM σέβω
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
τὸν RA--ASM--- ὁ
θεὸν N2--ASM--- θεός
τῶν RA--GPM--- ὁ
θεῶν N2--GPM--- θεός
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ἐξομολογεῖσθε V2--PMD2P- ὁμολογέω ἐκ
ὅτι C--------- ὅτι
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
αἰῶνα N3W-ASM--- αἰών
τὸ RA--NSN--- ὁ
ἔλεος N3E-NSN--- ἔλεος
αὐτοῦ RD--GSM--- αὐτός

DanTh 3:91
καὶ C--------- καί
Ναβουχοδονοσορ N---NSM--- Ναβουχοδονοσορ
ἤκουσεν VAI-AAI3S- ἀκούω
ὑμνούντων V2--PAPGPM ὑμνέω
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἐθαύμασεν VAI-AAI3S- θαυμάζω
καὶ C--------- καί
ἐξανέστη VHI-AAI3S- ἵστημι ἐκ ἀνα
ἐν P--------- ἐν
σπουδῇ N1--DSF--- σπουδή
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
τοῖς RA--DPM--- ὁ
μεγιστᾶσιν N3--DPM--- μεγιστάν
αὐτοῦ RD--GSM--- αὐτός
οὐχὶ D--------- οὐ
ἄνδρας N3--APM--- ἀνήρ
τρεῖς A3--APM--- τρεῖς
ἐβάλομεν VBI-AAI1P- βάλλω
εἰς P--------- εἰς
μέσον A1--ASM--- μέσος
τοῦ RA--GSN--- ὁ
πυρὸς N3--GSN--- πῦρ
πεπεδημένους VX--XMPAPM πεδάω
καὶ C--------- καί
εἶπαν VAI-AAI3P- εἶπον
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
ἀληθῶς D--------- ἀληθῶς
βασιλεῦ N3V-VSM--- βασιλεύς

DanTh 3:92
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
βασιλεύς N3V-NSM--- βασιλεύς
ἰδοὺ I--------- ἰδού
ἐγὼ RP--NS---- ἐγώ
ὁρῶ V3--PAI1S- ὁράω
ἄνδρας N3--APM--- ἀνήρ
τέσσαρας A3--APM--- τέσσαρες
λελυμένους VM--XMPAPM λύω
καὶ C--------- καί
περιπατοῦντας V2--PAPAPM πατέω περι
ἐν P--------- ἐν
μέσῳ A1--DSM--- μέσος
τοῦ RA--GSN--- ὁ
πυρός N3--GSN--- πῦρ
καὶ C--------- καί
διαφθορὰ N1A-NSF--- διαφθορά
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
ἐν P--------- ἐν
αὐτοῖς RD--DPM--- αὐτός
καὶ C--------- καί
ἡ RA--NSF--- ὁ
ὅρασις N3I-NSF--- ὅρασις
τοῦ RA--GSM--- ὁ
τετάρτου A1--GSM--- τέταρτος
ὁμοία A1A-NSF--- ὅμοιος
υἱῷ N2--DSM--- υἱός
θεοῦ N2--GSM--- θεός

DanTh 3:93
τότε D--------- τότε
προσῆλθεν VBI-AAI3S- ἔρχομαι προς
Ναβουχοδονοσορ N---NSM--- Ναβουχοδονοσορ
πρὸς P--------- πρός
τὴν RA--ASF--- ὁ
θύραν N1A-ASF--- θύρα
τῆς RA--GSF--- ὁ
καμίνου N2--GSF--- κάμινος
τοῦ RA--GSN--- ὁ
πυρὸς N3--GSN--- πῦρ
τῆς RA--GSF--- ὁ
καιομένης V1--PMPGSF καίω
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Σεδραχ N---VSM--- Σεδραχ
Μισαχ N---VSM--- Μισαχ
Αβδεναγω N---VSM--- Αβδεναγω
οἱ RA--VPM--- ὁ
δοῦλοι N2--VPM--- δοῦλος
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
τοῦ RA--GSM--- ὁ
ὑψίστου A1--GSM--- ὕψιστος
ἐξέλθετε VB--AAD2P- ἔρχομαι ἐκ
καὶ C--------- καί
δεῦτε D--------- δεῦτε
καὶ C--------- καί
ἐξῆλθον VBI-AAI3P- ἔρχομαι ἐκ
Σεδραχ N---NSM--- Σεδραχ
Μισαχ N---NSM--- Μισαχ
Αβδεναγω N---NSM--- Αβδεναγω
ἐκ P--------- ἐκ
μέσου A1--GSM--- μέσος
τοῦ RA--GSN--- ὁ
πυρός N3--GSN--- πῦρ

DanTh 3:94
καὶ C--------- καί
συνάγονται V1--PMI3P- ἄγω συν
οἱ RA--NPM--- ὁ
σατράπαι N1M-NPM--- σατράπης
καὶ C--------- καί
οἱ RA--NPM--- ὁ
στρατηγοὶ N2--NPM--- στρατηγός
καὶ C--------- καί
οἱ RA--NPM--- ὁ
τοπάρχαι N1M-NPM--- τοπαρχής
καὶ C--------- καί
οἱ RA--NPM--- ὁ
δυνάσται N1M-NPM--- δυνάστης
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
καὶ C--------- καί
ἐθεώρουν V2I-IAI3P- θεωρέω
τοὺς RA--APM--- ὁ
ἄνδρας N3--APM--- ἀνήρ
ὅτι C--------- ὅτι
οὐκ D--------- οὐ
ἐκυρίευσεν VAI-AAI3S- κυριεύω
τὸ RA--NSN--- ὁ
πῦρ N3--NSN--- πῦρ
τοῦ RA--GSN--- ὁ
σώματος N3M-GSN--- σῶμα
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἡ RA--NSF--- ὁ
θρὶξ N3--NSF--- θρίξ
τῆς RA--GSF--- ὁ
κεφαλῆς N1--GSF--- κεφαλή
αὐτῶν RD--GPM--- αὐτός
οὐκ D--------- οὐ
ἐφλογίσθη VCI-API3S- φλογίζω
καὶ C--------- καί
τὰ RA--NPN--- ὁ
σαράβαρα N2N-NPN--- σαράβαρα
αὐτῶν RD--GPM--- αὐτός
οὐκ D--------- οὐ
ἠλλοιώθη VCI-API3S- ἀλλοιόω
καὶ C--------- καί
ὀσμὴ N1--NSF--- ὀσμή
πυρὸς N3--GSN--- πῦρ
οὐκ D--------- οὐ
ἦν V9--IAI3S- εἰμί
ἐν P--------- ἐν
αὐτοῖς RD--DPM--- αὐτός

DanTh 3:95
