Jos 1:1
χρόνον N2--ASM--- χρόνος
ἔζη V3I-IAI3S- ζάω

Jos 4:15
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
κύριος N2--NSM--- κύριος
τῷ RA--DSM--- ὁ
Ἰησοῖ N---DSM--- Ἰησοῦς
λέγων V1--PAPNSM λέγω

Jos 4:16
ἔντειλαι VA--AMD2S- τέλλομαι ἐν
τοῖς RA--DPM--- ὁ
ἱερεῦσιν N3V-DPM--- ἱερεύς
τοῖς RA--DPM--- ὁ
αἴρουσιν V1--PAPDPM αἴρω
τὴν RA--ASF--- ὁ
κιβωτὸν N2--ASF--- κιβωτός
τῆς RA--GSF--- ὁ
διαθήκης N1--GSF--- διαθήκη
τοῦ RA--GSN--- ὁ
μαρτυρίου N2N-GSN--- μαρτύριον
κυρίου N2--GSM--- κύριος
ἐκβῆναι VZ--AAN--- βαίνω ἐκ
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
Ιορδάνου N1M-GSM--- Ἰορδάνης

Jos 4:17
καὶ C--------- καί
ἐνετείλατο VAI-AMI3S- τέλλομαι ἐν
Ἰησοῦς N---NSM--- Ἰησοῦς
τοῖς RA--DPM--- ὁ
ἱερεῦσιν N3V-DPM--- ἱερεύς
λέγων V1--PAPNSM λέγω
ἔκβητε VZ--AAD2P- βαίνω ἐκ
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
Ιορδάνου N1M-GSM--- Ἰορδάνης

Jos 4:18
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ὡς C--------- ὡς
ἐξέβησαν VZI-AAI3P- βαίνω ἐκ
οἱ RA--NPM--- ὁ
ἱερεῖς N3V-NPM--- ἱερεύς
οἱ RA--NPM--- ὁ
αἴροντες V1--PAPNPM αἴρω
τὴν RA--ASF--- ὁ
κιβωτὸν N2--ASF--- κιβωτός
τῆς RA--GSF--- ὁ
διαθήκης N1--GSF--- διαθήκη
κυρίου N2--GSM--- κύριος
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
Ιορδάνου N1M-GSM--- Ἰορδάνης
καὶ C--------- καί
ἔθηκαν VAI-AAI3P- τίθημι
τοὺς RA--APM--- ὁ
πόδας N3D-APM--- πούς
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ὥρμησεν VAI-AAI3S- ὁρμάω
τὸ RA--NSN--- ὁ
ὕδωρ N3--NSN--- ὕδωρ
τοῦ RA--GSM--- ὁ
Ιορδάνου N1M-GSM--- Ἰορδάνης
κατὰ P--------- κατά
χώραν N1A-ASF--- χώρα
καὶ C--------- καί
ἐπορεύετο V1I-IMI3S- πορεύομαι
καθὰ D--------- καθά
ἐχθὲς D--------- χθές
καὶ C--------- καί
τρίτην A1--ASF--- τρίτος
ἡμέραν N1A-ASF--- ἡμέρα
δι' P--------- διά
ὅλης A1--GSF--- ὅλος
τῆς RA--GSF--- ὁ
κρηπῖδος N3D-GSF--- κρηπίς

Jos 4:19
καὶ C--------- καί
ὁ RA--NSM--- ὁ
λαὸς N2--NSM--- λαός
ἀνέβη VZI-AAI3S- βαίνω ἀνα
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
Ιορδάνου N1M-GSM--- Ἰορδάνης
δεκάτῃ A1--DSF--- δέκατος
τοῦ RA--GSM--- ὁ
μηνὸς N3--GSM--- μήν
τοῦ RA--GSM--- ὁ
πρώτου A1--GSMS-- πρῶτος
καὶ C--------- καί
κατεστρατοπέδευσαν VAI-AAI3P- στρατοπεδεύω κατα
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
ἐν P--------- ἐν
Γαλγαλοις N---DPF--- Γάλγαλα
κατὰ P--------- κατά
μέρος N3E-ASN--- μέρος
τὸ RA--ASN--- ὁ
πρὸς P--------- πρός
ἡλίου N2--GSM--- ἥλιος
ἀνατολὰς N1--APF--- ἀνατολή
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
Ιεριχω N---GSF--- Ιεριχω

Jos 4:20
καὶ C--------- καί
τοὺς RA--APM--- ὁ
δώδεκα M--------- δώδεκα
λίθους N2--APM--- λίθος
τούτους RD--APM--- οὗτος
οὓς RR--APM--- ὅς
ἔλαβεν VBI-AAI3S- λαμβάνω
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
Ιορδάνου N1M-GSM--- Ἰορδάνης
ἔστησεν VAI-AAI3S- ἵστημι
Ἰησοῦς N---NSM--- Ἰησοῦς
ἐν P--------- ἐν
Γαλγαλοις N---DPF--- Γάλγαλα

Jos 4:21
λέγων V1--PAPNSM λέγω
ὅταν D--------- ὅταν
ἐρωτῶσιν V3--PAS3P- ἐρωτάω
ὑμᾶς RP--AP---- σύ
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
ὑμῶν RP--GP---- σύ
λέγοντες V1--PAPNPM λέγω
τί RI--NSN--- τίς
εἰσιν V9--PAI3P- εἰμί
οἱ RA--NPM--- ὁ
λίθοι N2--NPM--- λίθος
οὗτοι RD--NPM--- οὗτος

Jos 4:22
ἀναγγείλατε VA--AAD2P- ἀγγέλλω ἀνα
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
ὑμῶν RP--GP---- σύ
ὅτι C--------- ὅτι
ἐπὶ P--------- ἐπί
ξηρᾶς A1A-GSF--- ξηρός
διέβη VZI-AAI3S- βαίνω δια
Ισραηλ N---NSM--- Ἰσραήλ
τὸν RA--ASM--- ὁ
Ιορδάνην N1M-ASM--- Ἰορδάνης

Jos 4:23
ἀποξηράναντος VA--AAPGSM ξηραίνω ἀπο
κυρίου N2--GSM--- κύριος
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
ἡμῶν RP--GP---- ἐγώ
τὸ RA--ASN--- ὁ
ὕδωρ N3--ASN--- ὕδωρ
τοῦ RA--GSM--- ὁ
Ιορδάνου N1M-GSM--- Ἰορδάνης
ἐκ P--------- ἐκ
τοῦ RA--GSN--- ὁ
ἔμπροσθεν P--------- ἔμπροσθεν
αὐτῶν RD--GPM--- αὐτός
μέχρι P--------- μέχρι
οὗ RR--GSM--- ὅς
διέβησαν VZI-AAI3P- βαίνω δια
καθάπερ D--------- καθάπερ
ἐποίησεν VAI-AAI3S- ποιέω
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ἡμῶν RP--GP---- ἐγώ
τὴν RA--ASF--- ὁ
ἐρυθρὰν A1A-ASF--- ἐρυθρός
θάλασσαν N1S-ASF--- θάλασσα
ἣν RR--ASF--- ὅς
ἀπεξήρανεν VAI-AAI3S- ξηραίνω ἀπο
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ἡμῶν RP--GP---- ἐγώ
ἔμπροσθεν P--------- ἔμπροσθεν
ἡμῶν RP--GP---- ἐγώ
ἕως C--------- ἕως
παρήλθομεν VBI-AAI1P- ἔρχομαι παρα

Jos 4:24
ὅπως C--------- ὅπως
γνῶσιν VZ--AAS3P- γιγνώσκω
πάντα A3--NPN--- πᾶς
τὰ RA--NPN--- ὁ
ἔθνη N3E-NPN--- ἔθνος
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ὅτι C--------- ὅτι
ἡ RA--NSF--- ὁ
δύναμις N3I-NSF--- δύναμις
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος
ἰσχυρά A1A-NSF--- ἰσχυρός
ἐστιν V9--PAI3S- εἰμί
καὶ C--------- καί
ἵνα C--------- ἵνα
ὑμεῖς RP--NP---- σύ
σέβησθε V1--PMS2P- σέβω
κύριον N2--ASM--- κύριος
τὸν RA--ASM--- ὁ
θεὸν N2--ASM--- θεός
ὑμῶν RP--GP---- σύ
ἐν P--------- ἐν
παντὶ A3--DSM--- πᾶς
χρόνῳ N2--DSM--- χρόνος

Jos 5:1
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ὡς C--------- ὡς
ἤκουσαν VAI-AAI3P- ἀκούω
οἱ RA--NPM--- ὁ
βασιλεῖς N3V-NPM--- βασιλεύς
τῶν RA--GPM--- ὁ
Αμορραίων N2--GPM--- Ἀμορραῖος
οἳ RR--NPM--- ὅς
ἦσαν V9--IAI3P- εἰμί
πέραν P--------- πέραν
τοῦ RA--GSM--- ὁ
Ιορδάνου N1M-GSM--- Ἰορδάνης
καὶ C--------- καί
οἱ RA--NPM--- ὁ
βασιλεῖς N3V-NPM--- βασιλεύς
τῆς RA--GSF--- ὁ
Φοινίκης N---GSF--- Φοινίκη
οἱ RA--NPM--- ὁ
παρὰ P--------- παρά
τὴν RA--ASF--- ὁ
θάλασσαν N1S-ASF--- θάλασσα
ὅτι C--------- ὅτι
ἀπεξήρανεν VAI-AAI3S- ξηραίνω ἀπο
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τὸν RA--ASM--- ὁ
Ιορδάνην N1M-ASM--- Ἰορδάνης
ποταμὸν N2--ASM--- ποταμός
ἐκ P--------- ἐκ
τῶν RA--GPM--- ὁ
ἔμπροσθεν P--------- ἔμπροσθεν
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
διαβαίνειν V1--PAN--- βαίνω δια
αὐτούς RD--APM--- αὐτός
καὶ C--------- καί
ἐτάκησαν VDI-API3P- τήκω
αὐτῶν RD--GPM--- αὐτός
αἱ RA--NPF--- ὁ
διάνοιαι N1A-NPF--- διάνοια
καὶ C--------- καί
κατεπλάγησαν VDI-API3P- πλήσσω κατα
καὶ C--------- καί
οὐκ D--------- οὐ
ἦν V9--IAI3S- εἰμί
ἐν P--------- ἐν
αὐτοῖς RD--DPM--- αὐτός
φρόνησις N3I-NSF--- φρόνησις
οὐδεμία A1A-NSF--- οὐδείς
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ

Jos 5:2
ὑπὸ P--------- ὑπό
δὲ X--------- δέ
τοῦτον RD--ASM--- οὗτος
τὸν RA--ASM--- ὁ
καιρὸν N2--ASM--- καιρός
εἶπεν VBI-AAI3S- εἶπον
κύριος N2--NSM--- κύριος
τῷ RA--DSM--- ὁ
Ἰησοῖ N---DSM--- Ἰησοῦς
ποίησον VA--AAD2S- ποιέω
σεαυτῷ RD--DSM--- σεαυτοῦ
μαχαίρας N1--APF--- μάχαιρα
πετρίνας A1--APF--- πέτρινος
ἐκ P--------- ἐκ
πέτρας N1A-GSF--- πέτρα
ἀκροτόμου A1B-GSF--- ἀκρότομος
καὶ C--------- καί
καθίσας VA--AAPNSM ἵζω κατα
περίτεμε VB--AAD2S- τέμνω περι
τοὺς RA--APM--- ὁ
υἱοὺς N2--APM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ

Jos 5:3
καὶ C--------- καί
ἐποίησεν VAI-AAI3S- ποιέω
Ἰησοῦς N---NSM--- Ἰησοῦς
μαχαίρας N1--APF--- μάχαιρα
πετρίνας A1--APF--- πέτρινος
ἀκροτόμους A1B-APF--- ἀκρότομος
καὶ C--------- καί
περιέτεμεν VBI-AAI3S- τέμνω περι
τοὺς RA--APM--- ὁ
υἱοὺς N2--APM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
ἐπὶ P--------- ἐπί
τοῦ RA--GSM--- ὁ
καλουμένου V2--PMPGSM καλέω
τόπου N2--GSM--- τόπος
Βουνὸς N---GS---- Βουνός
τῶν RA--GPF--- ὁ
ἀκροβυστιῶν N1A-GPF--- ἀκροβυστία

Jos 5:4
ὃν RR--ASM--- ὅς
δὲ X--------- δέ
τρόπον N2--ASM--- τρόπος
περιεκάθαρεν VAI-AAI3S- αἴρω περι κατα
Ἰησοῦς N---NSM--- Ἰησοῦς
τοὺς RA--APM--- ὁ
υἱοὺς N2--APM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
ὅσοι A1--NPM--- ὅσος
ποτὲ D--------- ποτέ
ἐγένοντο VBI-AMI3P- γίγνομαι
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ὁδῷ N2--DSF--- ὁδός
καὶ C--------- καί
ὅσοι A1--NPM--- ὅσος
ποτὲ D--------- ποτέ
ἀπερίτμητοι A1B-NPM--- ἀπερίτμητος
ἦσαν V9--IAI3P- εἰμί
τῶν RA--GPM--- ὁ
ἐξεληλυθότων VX--XAPGPM ἔρχομαι ἐκ
ἐξ P--------- ἐκ
Αἰγύπτου N2--GSF--- Αἴγυπτος

Jos 5:5
πάντας A3--APM--- πᾶς
τούτους RD--APM--- οὗτος
περιέτεμεν VBI-AAI3S- τέμνω περι
Ἰησοῦς N---NSM--- Ἰησοῦς

Jos 5:6
τεσσαράκοντα M--------- τεσσαράκοντα
γὰρ X--------- γάρ
καὶ C--------- καί
δύο M--------- δύο
ἔτη N3E-APN--- ἔτος
ἀνέστραπται VP--XMI3S- στρέφω ἀνα
Ισραηλ N---NSM--- Ἰσραήλ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἐρήμῳ N2--DSF--- ἔρημος
τῇ RA--DSF--- ὁ
Μαδβαρίτιδι A3--DSF--- Μαδβαρῖτις
διὸ C--------- διό
ἀπερίτμητοι A1B-NPM--- ἀπερίτμητος
ἦσαν V9--IAI3P- εἰμί
οἱ RA--NPM--- ὁ
πλεῖστοι A1--NPMS-- πολύς
αὐτῶν RD--GPM--- αὐτός
τῶν RA--GPM--- ὁ
μαχίμων A1--GPM--- μάχιμος
τῶν RA--GPM--- ὁ
ἐξεληλυθότων VX--XAPGPM ἔρχομαι ἐκ
ἐκ P--------- ἐκ
γῆς N1--GSF--- γῆ
Αἰγύπτου N2--GSF--- Αἴγυπτος
οἱ RA--NPM--- ὁ
ἀπειθήσαντες VA--AAPNPM ἀπειθέω
τῶν RA--GPF--- ὁ
ἐντολῶν N1--GPF--- ἐντολή
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
οἷς RR--DPM--- ὅς
καὶ C--------- καί
διώρισεν VAI-AAI3S- ὁρίζω δια
μὴ D--------- μή
ἰδεῖν VB--AAN--- ὁράω
αὐτοὺς RD--APM--- αὐτός
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
ἣν RR--ASF--- ὅς
ὤμοσεν VAI-AAI3S- ὄμνυμι
κύριος N2--NSM--- κύριος
τοῖς RA--DPM--- ὁ
πατράσιν N3--DPM--- πατήρ
αὐτῶν RD--GPM--- αὐτός
δοῦναι VO--AAN--- δίδωμι
ἡμῖν RP--DP---- ἐγώ
γῆν N1--ASF--- γῆ
ῥέουσαν V2--PAPASF ῥέω
γάλα N3--ASN--- γάλα
καὶ C--------- καί
μέλι N3T-ASN--- μέλι

Jos 5:7
ἀντὶ P--------- ἀντί
δὲ X--------- δέ
τούτων RD--GPM--- οὗτος
ἀντικατέστησεν VHI-AAI3S- ἵστημι ἀντι κατα
τοὺς RA--APM--- ὁ
υἱοὺς N2--APM--- υἱός
αὐτῶν RD--GPM--- αὐτός
οὓς RR--APM--- ὅς
Ἰησοῦς N---NSM--- Ἰησοῦς
περιέτεμεν VBI-AAI3S- τέμνω περι
διὰ P--------- διά
τὸ RA--ASN--- ὁ
αὐτοὺς RD--APM--- αὐτός
γεγενῆσθαι VM--XMN--- γίγνομαι
κατὰ P--------- κατά
τὴν RA--ASF--- ὁ
ὁδὸν N2--ASF--- ὁδός
ἀπεριτμήτους A1B-APM--- ἀπερίτμητος

Jos 5:8
περιτμηθέντες VC--APPNPM τέμνω περι
δὲ X--------- δέ
ἡσυχίαν N1A-ASF--- ἡσυχία
εἶχον V1I-IAI3P- ἔχω
αὐτόθι D--------- αὐτόθι
καθήμενοι V5--PMPNPM ἧμαι κατα
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
παρεμβολῇ N1--DSF--- παρεμβολή
ἕως C--------- ἕως
ὑγιάσθησαν VS--API3P- ὑγιάζω

Jos 5:9
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
κύριος N2--NSM--- κύριος
τῷ RA--DSM--- ὁ
Ἰησοῖ N---DSM--- Ἰησοῦς
υἱῷ N2--DSM--- υἱός
Ναυη N---GS---- Ναυη
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
σήμερον D--------- σήμερον
ἡμέρᾳ N1A-DSF--- ἡμέρα
ἀφεῖλον VBI-AAI1S- αἱρέω ἀπο
τὸν RA--ASM--- ὁ
ὀνειδισμὸν N2--ASM--- ὀνειδισμός
Αἰγύπτου N2--GSF--- Αἴγυπτος
ἀφ' P--------- ἀπό
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
ἐκάλεσεν VAI-AAI3S- καλέω
τὸ RA--ASN--- ὁ
ὄνομα N3M-ASN--- ὄνομα
τοῦ RA--GSM--- ὁ
τόπου N2--GSM--- τόπος
ἐκείνου RD--GSM--- ἐκεῖνος
Γαλγαλα N---ASF--- Γάλγαλα

Jos 5:10
καὶ C--------- καί
ἐποίησαν VAI-AAI3P- ποιέω
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
τὸ RA--ASN--- ὁ
πασχα N---ASN--- πασχα
τῇ RA--DSF--- ὁ
τεσσαρεσκαιδεκάτῃ A1--DSF--- τεσσαρεσκαιδέκατος
ἡμέρᾳ N1A-DSF--- ἡμέρα
τοῦ RA--GSM--- ὁ
μηνὸς N3--GSM--- μήν
ἀπὸ P--------- ἀπό
ἑσπέρας N1A-GSF--- ἑσπέρα
ἐπὶ P--------- ἐπί
δυσμῶν N1--GPF--- δυσμή
Ιεριχω N---GSF--- Ιεριχω
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
πέραν D--------- πέραν
τοῦ RA--GSM--- ὁ
Ιορδάνου N1M-GSM--- Ἰορδάνης
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
πεδίῳ N2N-DSN--- πεδίον

Jos 5:11
καὶ C--------- καί
ἐφάγοσαν VBI-AAI3P- ἐσθίω
ἀπὸ P--------- ἀπό
τοῦ RA--GSM--- ὁ
σίτου N2--GSM--- σῖτος
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ἄζυμα A1B-APN--- ἄζυμος
καὶ C--------- καί
νέα A1A-APN--- νέος
ἐν P--------- ἐν
ταύτῃ RD--DSF--- οὗτος
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα

Jos 5:12
ἐξέλιπεν VBI-AAI3S- λείπω ἐκ
τὸ RA--NSN--- ὁ
μαννα N---NSN--- μαννα
μετὰ P--------- μετά
τὸ RA--ASN--- ὁ
βεβρωκέναι VX--XAN--- βιβρώσκω
αὐτοὺς RD--APM--- αὐτός
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
σίτου N2--GSM--- σῖτος
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
οὐκέτι D--------- οὐκέτι
ὑπῆρχεν V1I-IAI3S- ἄρχω ὑπο
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
μαννα N---NSN--- μαννα
ἐκαρπίσαντο VAI-AMI3P- καρπίζομαι
δὲ X--------- δέ
τὴν RA--ASF--- ὁ
χώραν N1A-ASF--- χώρα
τῶν RA--GPM--- ὁ
Φοινίκων N---GPM--- Φοινίκη
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
ἐνιαυτῷ N2--DSM--- ἐνιαυτός
ἐκείνῳ RD--DSM--- ἐκεῖνος

Jos 5:13
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ὡς C--------- ὡς
ἦν V9--IAI3S- εἰμί
Ἰησοῦς N---NSM--- Ἰησοῦς
ἐν P--------- ἐν
Ιεριχω N---DSF--- Ιεριχω
καὶ C--------- καί
ἀναβλέψας VA--AAPNSM βλέπω ἀνα
τοῖς RA--DPM--- ὁ
ὀφθαλμοῖς N2--DPM--- ὀφθαλμός
εἶδεν VBI-AAI3S- ὁράω
ἄνθρωπον N2--ASM--- ἄνθρωπος
ἑστηκότα VXI-XAPASM ἵστημι
ἐναντίον P--------- ἐναντίον
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἡ RA--NSF--- ὁ
ῥομφαία N1A-NSF--- ῥομφαία
ἐσπασμένη V3--XMPNSF σπάω
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
χειρὶ N3--DSF--- χείρ
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
προσελθὼν VB--AAPNSM ἔρχομαι προς
Ἰησοῦς N---NSM--- Ἰησοῦς
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
ἡμέτερος A1A-NSM--- ἡμέτερος
εἶ V9--PAI2S- εἰμί
ἢ C--------- ἤ
τῶν RA--GPM--- ὁ
ὑπεναντίων A1A-GPM--- ὑπεναντίος

Jos 5:14
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
ἐγὼ RP--NS---- ἐγώ
ἀρχιστράτηγος N2--NSM--- ἀρχιστράτηγος
δυνάμεως N3I-GSF--- δύναμις
κυρίου N2--GSM--- κύριος
νυνὶ D--------- νυνί
παραγέγονα VX--XAI1S- γίγνομαι παρα
καὶ C--------- καί
Ἰησοῦς N---NSM--- Ἰησοῦς
ἔπεσεν VAI-AAI3S- πίπτω
ἐπὶ P--------- ἐπί
πρόσωπον N2N-ASN--- πρόσωπον
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
δέσποτα N1M-VSM--- δεσπότης
τί RI--ASN--- τίς
προστάσσεις V1--PAI2S- τάσσω προς
τῷ RA--DSM--- ὁ
σῷ A1--DSM--- σός
οἰκέτῃ N1M-DSM--- οἰκέτης

Jos 5:15
καὶ C--------- καί
λέγει V1--PAI3S- λέγω
ὁ RA--NSM--- ὁ
ἀρχιστράτηγος N2--NSM--- ἀρχιστράτηγος
κυρίου N2--GSM--- κύριος
πρὸς P--------- πρός
Ἰησοῦν N---ASM--- Ἰησοῦς
λῦσαι VA--AMD2S- λύω
τὸ RA--ASN--- ὁ
ὑπόδημα N3M-ASN--- ὑπόδημα
ἐκ P--------- ἐκ
τῶν RA--GPM--- ὁ
ποδῶν N3D-GPM--- πούς
σου RP--GS---- σύ
ὁ RA--NSM--- ὁ
γὰρ X--------- γάρ
τόπος N2--NSM--- τόπος
ἐφ' P--------- ἐπί
ᾧ RR--DSM--- ὅς
σὺ RP--NS---- σύ
ἕστηκας VXI-XAI2S- ἵστημι
ἅγιός A1A-NSM--- ἅγιος
ἐστιν V9--PAI3S- εἰμί

Jos 6:1
καὶ C--------- καί
Ιεριχω N---NSF--- Ιεριχω
συγκεκλεισμένη VT--XMPNSF κλείω συν
καὶ C--------- καί
ὠχυρωμένη VM--XMPNSF ὀχυρόω
καὶ C--------- καί
οὐθεὶς A3--NSM--- οὐδείς
ἐξεπορεύετο V1I-IMI3S- πορεύομαι ἐκ
ἐξ P--------- ἐκ
αὐτῆς RD--GSF--- αὐτός
οὐδὲ C--------- οὐδέ
εἰσεπορεύετο V1I-IMI3S- πορεύομαι εἰς

Jos 6:2
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
κύριος N2--NSM--- κύριος
πρὸς P--------- πρός
Ἰησοῦν N---ASM--- Ἰησοῦς
ἰδοὺ I--------- ἰδού
ἐγὼ RP--NS---- ἐγώ
παραδίδωμι V8--PAI1S- δίδωμι παρα
ὑποχείριόν A1A-ASF--- ὑποχείριος
σου RP--GS---- σύ
τὴν RA--ASF--- ὁ
Ιεριχω N---ASF--- Ιεριχω
καὶ C--------- καί
τὸν RA--ASM--- ὁ
βασιλέα N3V-ASM--- βασιλεύς
αὐτῆς RD--GSF--- αὐτός
τὸν RA--ASM--- ὁ
ἐν P--------- ἐν
αὐτῇ RD--DSF--- αὐτός
δυνατοὺς A1--APM--- δυνατός
ὄντας V9--PAPAPM εἰμί
ἐν P--------- ἐν
ἰσχύι N3U-DSF--- ἰσχύς

Jos 6:3
σὺ RP--NS---- σύ
δὲ X--------- δέ
περίστησον VA--AAD2S- ἵστημι περι
αὐτῇ RD--DSF--- αὐτός
τοὺς RA--APM--- ὁ
μαχίμους A1--APM--- μάχιμος
κύκλῳ N2--DSM--- κύκλος

Jos 6:5
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
ὡς C--------- ὡς
ἂν X--------- ἄν
σαλπίσητε VA--AAS2P- σαλπίζω
τῇ RA--DSF--- ὁ
σάλπιγγι N3G-DSF--- σάλπιγξ
ἀνακραγέτω VB--AAD3S- κράζω ἀνα
πᾶς A3--NSM--- πᾶς
ὁ RA--NSM--- ὁ
λαὸς N2--NSM--- λαός
ἅμα D--------- ἅμα
καὶ C--------- καί
ἀνακραγόντων VB--AAPGPM κράζω ἀνα
αὐτῶν RD--GPM--- αὐτός
πεσεῖται VF2-FMI3S- πίπτω
αὐτόματα A1--NPN--- αὐτόματος
τὰ RA--NPN--- ὁ
τείχη N3E-NPN--- τεῖχος
τῆς RA--GSF--- ὁ
πόλεως N3I-GSF--- πόλις
καὶ C--------- καί
εἰσελεύσεται VF--FMI3S- ἔρχομαι εἰς
πᾶς A3--NSM--- πᾶς
ὁ RA--NSM--- ὁ
λαὸς N2--NSM--- λαός
ὁρμήσας VA--AAPNSM ὁρμάω
ἕκαστος A1--NSM--- ἕκαστος
κατὰ P--------- κατά
πρόσωπον N2N-ASN--- πρόσωπον
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
πόλιν N3I-ASF--- πόλις

Jos 6:6
καὶ C--------- καί
εἰσῆλθεν VBI-AAI3S- ἔρχομαι εἰς
Ἰησοῦς N---NSM--- Ἰησοῦς
ὁ RA--NSM--- ὁ
τοῦ RA--GSM--- ὁ
Ναυη N---GS---- Ναυη
πρὸς P--------- πρός
τοὺς RA--APM--- ὁ
ἱερεῖς N3V-APM--- ἱερεύς

Jos 6:7
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτοῖς RD--DPM--- αὐτός
λέγων V1--PAPNSM λέγω
παραγγείλατε VA--AAD2P- ἀγγέλλω παρα
τῷ RA--DSM--- ὁ
λαῷ N2--DSM--- λαός
περιελθεῖν VB--AAN--- ἔρχομαι περι
καὶ C--------- καί
κυκλῶσαι VA--AAN--- κυκλόω
τὴν RA--ASF--- ὁ
πόλιν N3I-ASF--- πόλις
καὶ C--------- καί
οἱ RA--NPM--- ὁ
μάχιμοι A1--NPM--- μάχιμος
παραπορευέσθωσαν V1--PMD3P- πορεύομαι παρα
ἐνωπλισμένοι VT--XMPNPM ὁπλίζω ἐν
ἐναντίον P--------- ἐναντίον
κυρίου N2--GSM--- κύριος

Jos 6:8
καὶ C--------- καί
ἑπτὰ M--------- ἑπτά
ἱερεῖς N3V-NPM--- ἱερεύς
ἔχοντες V1--PAPNPM ἔχω
ἑπτὰ M--------- ἑπτά
σάλπιγγας N3G-APF--- σάλπιγξ
ἱερὰς A1A-APF--- ἱερός
παρελθέτωσαν VB--AAD3P- ἔρχομαι παρα
ὡσαύτως D--------- ὡσαύτως
