Est 1:1a
προσκυνεῖ V2--PAI3S- κυνέω προς
αὐτῷ RD--DSM--- αὐτός
Μαρδοχαῖος N2--NSM--- Μαρδοχαῖος
ἐθυμώθη VCI-API3S- θυμόω
σφόδρα D--------- σφόδρα

Est 3:6
καὶ C--------- καί
ἐβουλεύσατο VAI-AMI3S- βουλεύω
ἀφανίσαι VA--AAN--- ἵζω ἀπο ἀνα
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
ὑπὸ P--------- ὑπό
τὴν RA--ASF--- ὁ
Ἀρταξέρξου N1M-GSM--- Ἀρταξέρξης
βασιλείαν N1A-ASF--- βασιλεία
Ιουδαίους N2--APM--- Ἰουδαῖος

Est 3:7
καὶ C--------- καί
ἐποίησεν VAI-AAI3S- ποιέω
ψήφισμα N3M-ASN--- ψήφισμα
ἐν P--------- ἐν
ἔτει N3E-DSN--- ἔτος
δωδεκάτῳ A1--DSN--- δωδέκατος
τῆς RA--GSF--- ὁ
βασιλείας N1A-GSF--- βασιλεία
Ἀρταξέρξου N1M-GSM--- Ἀρταξέρξης
καὶ C--------- καί
ἔβαλεν VBI-AAI3S- βάλλω
κλήρους N2--APM--- κλῆρος
ἡμέραν N1A-ASF--- ἡμέρα
ἐξ P--------- ἐκ
ἡμέρας N1A-GSF--- ἡμέρα
καὶ C--------- καί
μῆνα N3--ASM--- μήν
ἐκ P--------- ἐκ
μηνὸς N3--GSM--- μήν
ὥστε C--------- ὥστε
ἀπολέσαι VA--AAN--- ὀλλύω ἀπο
ἐν P--------- ἐν
μιᾷ A1A-DSF--- εἷς
ἡμέρᾳ N1A-DSF--- ἡμέρα
τὸ RA--ASN--- ὁ
γένος N3E-ASN--- γένος
Μαρδοχαίου N2--GSM--- Μαρδοχαῖος
καὶ C--------- καί
ἔπεσεν VAI-AAI3S- πίπτω
ὁ RA--NSM--- ὁ
κλῆρος N2--NSM--- κλῆρος
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
τεσσαρεσκαιδεκάτην A1--ASF--- τεσσαρεσκαιδέκατος
τοῦ RA--GSM--- ὁ
μηνός N3--GSM--- μήν
ὅς RR--NSM--- ὅς
ἐστιν V9--PAI3S- εἰμί
Αδαρ N---NSM--- Αδαρ

Est 3:8
καὶ C--------- καί
ἐλάλησεν VAI-AAI3S- λαλέω
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
βασιλέα N3V-ASM--- βασιλεύς
Ἀρταξέρξην N1M-ASM--- Ἀρταξέρξης
λέγων V1--PAPNSM λέγω
ὑπάρχει V1--PAI3S- ἄρχω ὑπο
ἔθνος N3E-NSN--- ἔθνος
διεσπαρμένον VM--XMPNSN σπείρω δια
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
ἔθνεσιν N3E-DPN--- ἔθνος
ἐν P--------- ἐν
πάσῃ A1S-DSF--- πᾶς
τῇ RA--DSF--- ὁ
βασιλείᾳ N1A-DSF--- βασιλεία
σου RP--GS---- σύ
οἱ RA--NPM--- ὁ
δὲ X--------- δέ
νόμοι N2--NPM--- νόμος
αὐτῶν RD--GPM--- αὐτός
ἔξαλλοι A1B-NPM--- ἔξαλλος
παρὰ P--------- παρά
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
ἔθνη N3E-APN--- ἔθνος
τῶν RA--GPM--- ὁ
δὲ X--------- δέ
νόμων N2--GPM--- νόμος
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
παρακούουσιν V1--PAI3P- ἀκούω παρα
καὶ C--------- καί
οὐ D--------- οὐ
συμφέρει V1--PAI3S- φέρω συν
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
ἐᾶσαι VA--AAN--- ἐάω
αὐτούς RD--APM--- αὐτός

Est 3:9
εἰ C--------- εἰ
δοκεῖ V2--PAI3S- δοκέω
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
δογματισάτω VA--AAD3S- δογματίζω
ἀπολέσαι VA--AAN--- ὀλλύω ἀπο
αὐτούς RD--APM--- αὐτός
κἀγὼ C+RPNS---- καί+ἐγώ
διαγράψω VF--FAI1S- γράφω δια
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
γαζοφυλάκιον N2N-ASN--- γαζοφυλάκιον
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
ἀργυρίου N2N-GSN--- ἀργύριον
τάλαντα N2N-APN--- τάλαντον
μύρια A1A-APN--- μύριοι

Est 3:10
καὶ C--------- καί
περιελόμενος VB--AMPNSM αἱρέω περι
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
τὸν RA--ASM--- ὁ
δακτύλιον N2--ASM--- δακτύλιος
ἔδωκεν VAI-AAI3S- δίδωμι
εἰς P--------- εἰς
χεῖρα N3--ASF--- χείρ
τῷ RA--DSM--- ὁ
Αμαν N---DSM--- Αμαν
σφραγίσαι VA--AAN--- σφραγίζω
κατὰ P--------- κατά
τῶν RA--GPN--- ὁ
γεγραμμένων VP--XMPGPN γράφω
κατὰ P--------- κατά
τῶν RA--GPM--- ὁ
Ιουδαίων N2--GPM--- Ἰουδαῖος

Est 3:11
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
τῷ RA--DSM--- ὁ
Αμαν N---DSM--- Αμαν
τὸ RA--ASN--- ὁ
μὲν X--------- μέν
ἀργύριον N2N-ASN--- ἀργύριον
ἔχε V1--PAD2S- ἔχω
τῷ RA--DSN--- ὁ
δὲ X--------- δέ
ἔθνει N3E-DSN--- ἔθνος
χρῶ V3--PAI1S- χράω
ὡς C--------- ὡς
βούλει V1--PMI2S- βούλομαι

Est 3:12
καὶ C--------- καί
ἐκλήθησαν VCI-API3P- καλέω
οἱ RA--NPM--- ὁ
γραμματεῖς N3V-NPM--- γραμματεύς
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
μηνὶ N3--DSM--- μήν
πρώτῳ A1--DSMS-- πρῶτος
τῇ RA--DSF--- ὁ
τρισκαιδεκάτῃ A1--DSF--- τρισκαιδέκατος
καὶ C--------- καί
ἔγραψαν VAI-AAI3P- γράφω
ὡς C--------- ὡς
ἐπέταξεν VAI-AAI3S- τάσσω ἐπι
Αμαν N---NSM--- Αμαν
τοῖς RA--DPM--- ὁ
στρατηγοῖς N2--DPM--- στρατηγός
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
ἄρχουσιν N3--DPM--- ἄρχων
κατὰ P--------- κατά
πᾶσαν A1S-ASF--- πᾶς
χώραν N1A-ASF--- χώρα
ἀπὸ P--------- ἀπό
Ἰνδικῆς N1--GSF--- Ἰνδική
ἕως P--------- ἕως
τῆς RA--GSF--- ὁ
Αἰθιοπίας N1A-GSF--- Αἰθιοπία
ταῖς RA--DPF--- ὁ
ἑκατὸν M--------- ἑκατόν
εἴκοσι M--------- εἴκοσι
ἑπτὰ M--------- ἑπτά
χώραις N1A-DPF--- χώρα
τοῖς RA--DPM--- ὁ
τε X--------- τε
ἄρχουσι N3--DPM--- ἄρχων
τῶν RA--GPN--- ὁ
ἐθνῶν N3E-GPN--- ἔθνος
κατὰ P--------- κατά
τὴν RA--ASF--- ὁ
αὐτῶν RD--GPM--- αὐτός
λέξιν N3I-ASF--- λέξις
δι' P--------- διά
Ἀρταξέρξου N1M-GSM--- Ἀρταξέρξης
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς

Est 3:13
καὶ C--------- καί
ἀπεστάλη VDI-API3S- στέλλω ἀπο
διὰ P--------- διά
βιβλιαφόρων N2--GPM--- βιβλιαφόρος
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
Ἀρταξέρξου N1M-GSM--- Ἀρταξέρξης
βασιλείαν N1A-ASF--- βασιλεία
ἀφανίσαι VA--AAN--- ἵζω ἀπο ἀνα
τὸ RA--ASN--- ὁ
γένος N3E-ASN--- γένος
τῶν RA--GPM--- ὁ
Ιουδαίων N2--GPM--- Ἰουδαῖος
ἐν P--------- ἐν
ἡμέρᾳ N1A-DSF--- ἡμέρα
μιᾷ A1A-DSF--- εἷς
μηνὸς N3--GSM--- μήν
δωδεκάτου A1--GSM--- δωδέκατος
ὅς RR--NSM--- ὅς
ἐστιν V9--PAI3S- εἰμί
Αδαρ N---NSM--- Αδαρ
καὶ C--------- καί
διαρπάσαι VA--AAN--- ἁρπάζω δια
τὰ RA--APN--- ὁ
ὑπάρχοντα V1--PAPAPN ἄρχω ὑπο
αὐτῶν RD--GPM--- αὐτός

Est 3:13a
τῆς RA--GSF--- ὁ
δὲ X--------- δέ
ἐπιστολῆς N1--GSF--- ἐπιστολή
ἐστιν V9--PAI3S- εἰμί
τὸ RA--NSN--- ὁ
ἀντίγραφον N2N-NSN--- ἀντίγραφον
τόδε RD--NSN--- ὅδε
βασιλεὺς N3V-NSM--- βασιλεύς
μέγας A1P-NSM--- μέγας
Ἀρταξέρξης N1M-NSM--- Ἀρταξέρξης
τοῖς RA--DPM--- ὁ
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
Ἰνδικῆς N1--GSF--- Ἰνδική
ἕως P--------- ἕως
τῆς RA--GSF--- ὁ
Αἰθιοπίας N1A-GSF--- Αἰθιοπία
ἑκατὸν M--------- ἑκατόν
εἴκοσι M--------- εἴκοσι
ἑπτὰ M--------- ἑπτά
χωρῶν N1A-GPF--- χώρα
ἄρχουσι N3--DPM--- ἄρχων
καὶ C--------- καί
τοπάρχαις N1M-DPM--- τοπαρχής
ὑποτεταγμένοις VK--XMPDPM τάσσω ὑπο
τάδε RD--APN--- ὅδε
γράφει V1--PAI3S- γράφω

Est 3:13b
πολλῶν A3--GPN--- πολύς
ἐπάρξας VA--AAPNSM ἄρχω ἐπι
ἐθνῶν N3E-GPN--- ἔθνος
καὶ C--------- καί
πάσης A1S-GSF--- πᾶς
ἐπικρατήσας VA--AAPNSM κρατέω ἐπι
οἰκουμένης V2--PMPGSF οἰκέω
ἐβουλήθην VCI-API1S- βούλομαι
μὴ D--------- μή
τῷ RA--DSN--- ὁ
θράσει N3--DSN--- θράσος
τῆς RA--GSF--- ὁ
ἐξουσίας N1A-GSF--- ἐξουσία
ἐπαιρόμενος V1--PMPNSM αἴρω ἐπι
ἐπιεικέστερον A3H-ASM--- ἐπιεικής
δὲ X--------- δέ
καὶ C--------- καί
μετὰ P--------- μετά
ἠπιότητος N3--GSF--- ἠπιότης
ἀεὶ D--------- ἀεί
διεξάγων V1--PAPNSM ἄγω δια ἐκ
τοὺς RA--APM--- ὁ
τῶν RA--GPM--- ὁ
ὑποτεταγμένων VK--XMPGPM τάσσω ὑπο
ἀκυμάτους A1B-APM--- ἀκύματος
διὰ P--------- διά
παντὸς A3--GSM--- πᾶς
καταστῆσαι VA--AAN--- ἵστημι κατα
βίους N2--APM--- βίος
τήν RA--ASF--- ὁ
τε X--------- τε
βασιλείαν N1A-ASF--- βασιλεία
ἥμερον A1B-ASF--- ἥμερος
καὶ C--------- καί
πορευτὴν A1--ASF--- πορευτός
μέχρι P--------- μέχρι
περάτων N3T-GPN--- πέρας
παρεξόμενος VF--FMPNSM ἔχω παρα
ἀνανεώσασθαί VA--AMN--- νεόω ἀνα
τε X--------- τε
τὴν RA--ASF--- ὁ
ποθουμένην V2--PMPASF ποθέω
τοῖς RA--DPM--- ὁ
πᾶσιν A3--DPM--- πᾶς
ἀνθρώποις N2--DPM--- ἄνθρωπος
εἰρήνην N1--ASF--- εἰρήνη

Est 3:13c
πυθομένου VB--AMPGSM πυνθάνομαι
δέ X--------- δέ
μου RP--GS---- ἐγώ
τῶν RA--GPM--- ὁ
συμβούλων N2--GPM--- σύμβουλος
πῶς D--------- πῶς
ἂν X--------- ἄν
ἀχθείη VQ--APO3S- ἄγω
τοῦτο RD--NSN--- οὗτος
ἐπὶ P--------- ἐπί
πέρας N3T-ASN--- πέρας
σωφροσύνῃ N1--DSF--- σωφροσύνη
παρ' P--------- παρά
ἡμῖν RP--DP---- ἐγώ
διενέγκας VA--AAPNSM φέρω δια
καὶ C--------- καί
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
εὐνοίᾳ N1A-DSF--- εὔνοια
ἀπαραλλάκτως D--------- ἀπαραλλάκτως
καὶ C--------- καί
βεβαίᾳ A1A-DSF--- βέβαιος
πίστει N3I-DSF--- πίστις
ἀποδεδειγμένος VK--XMPNSM δεικνύω ἀπο
καὶ C--------- καί
δεύτερον A1A-ASN--- δεύτερος
τῶν RA--GPF--- ὁ
βασιλειῶν N1A-GPF--- βασιλεία
γέρας N3--ASN--- γέρας
ἀπενηνεγμένος VK--XMPNSM φέρω ἀπο
Αμαν N---NSM--- Αμαν

Est 3:13d
ἐπέδειξεν VAI-AAI3S- δεικνύω ἐπι
ἡμῖν RP--DP---- ἐγώ
ἐν P--------- ἐν
πάσαις A1S-DPF--- πᾶς
ταῖς RA--DPF--- ὁ
κατὰ P--------- κατά
τὴν RA--ASF--- ὁ
οἰκουμένην V2--PMPASF οἰκέω
φυλαῖς N1--DPF--- φυλή
ἀναμεμεῖχθαι VK--XMN--- μίγνυμι ἀνα
δυσμενῆ A3H-ASM--- δυσμενής
λαόν N2--ASM--- λαός
τινα RI--ASM--- τις
τοῖς RA--DPM--- ὁ
νόμοις N2--DPM--- νόμος
ἀντίθετον A1B-ASM--- ἀντίθετος
πρὸς P--------- πρός
πᾶν A3--ASN--- πᾶς
ἔθνος N3E-ASN--- ἔθνος
τά RA--APN--- ὁ
τε X--------- τε
τῶν RA--GPM--- ὁ
βασιλέων N3V-GPM--- βασιλεύς
παραπέμποντας V1--PAPAPM πέμπω παρα
διηνεκῶς D--------- διηνεκῶς
διατάγματα N3M-APN--- διάταγμα
πρὸς P--------- πρός
τὸ RA--ASN--- ὁ
μὴ D--------- μή
κατατίθεσθαι V7--PMN--- τίθημι κατα
τὴν RA--ASF--- ὁ
ὑφ' P--------- ὑπό
ἡμῶν RP--GP---- ἐγώ
κατευθυνομένην VM--XMPASF εὐθύνω κατα
ἀμέμπτως D--------- ἀμέμπτως
συναρχίαν N1A-ASF--- συναρχία

Est 3:13e
διειληφότες VX--XAPNPM λαμβάνω δια
οὖν X--------- οὖν
τόδε RD--ASN--- ὅδε
τὸ RA--ASN--- ὁ
ἔθνος N3E-ASN--- ἔθνος
μονώτατον A1--ASNS-- μόνος
ἐν P--------- ἐν
ἀντιπαραγωγῇ N1--DSF--- ἀντιπαραγωγή
παντὶ A3--DSM--- πᾶς
διὰ P--------- διά
παντὸς A3--GSM--- πᾶς
ἀνθρώπῳ N2--DSM--- ἄνθρωπος
κείμενον V5--PMPASN κεῖμαι
διαγωγὴν N1--ASF--- διαγωγή
νόμων N2--GPM--- νόμος
ξενίζουσαν V1--PAPASF ξενίζω
παραλλάσσον V1--PAPASN ἀλλάσσω παρα
καὶ C--------- καί
δυσνοοῦν V2--PAPASN δυσνοέω
τοῖς RA--DPN--- ὁ
ἡμετέροις A1A-DPN--- ἡμέτερος
πράγμασιν N3M-DPN--- πρᾶγμα
τὰ RA--APN--- ὁ
χείριστα A1--APNS-- κακός
συντελοῦν V2--PAPASN τελέω συν
κακὰ A1--APN--- κακός
καὶ C--------- καί
πρὸς P--------- πρός
τὸ RA--ASN--- ὁ
μὴ D--------- μή
τὴν RA--ASF--- ὁ
βασιλείαν N1A-ASF--- βασιλεία
εὐσταθείας N1A-ASF--- εὐστάθεια
τυγχάνειν V1--PAN--- τυγχάνω

Est 3:13f
προστετάχαμεν VX--XAI1P- τάσσω προς
οὖν X--------- οὖν
τοὺς RA--APM--- ὁ
σημαινομένους V1--PMPAPM σημαίνω
ὑμῖν RP--DP---- σύ
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
γεγραμμένοις VP--XMPDPN γράφω
ὑπὸ P--------- ὑπό
Αμαν N---GSM--- Αμαν
τοῦ RA--GSM--- ὁ
τεταγμένου VK--XMPGSM τάσσω
ἐπὶ P--------- ἐπί
τῶν RA--GPN--- ὁ
πραγμάτων N3M-GPN--- πρᾶγμα
καὶ C--------- καί
δευτέρου A1A-GSM--- δεύτερος
πατρὸς N3--GSM--- πατήρ
ἡμῶν RP--GP---- ἐγώ
πάντας A3--APM--- πᾶς
σὺν P--------- σύν
γυναιξὶ N3K-DPF--- γυνή
καὶ C--------- καί
τέκνοις N2N-DPN--- τέκνον
ἀπολέσαι VA--AAN--- ὀλλύω ἀπο
ὁλορριζεὶ D--------- ὁλορριζί
ταῖς RA--DPF--- ὁ
τῶν RA--GPM--- ὁ
ἐχθρῶν A1A-GPM--- ἐχθρός
μαχαίραις N1--DPF--- μάχαιρα
ἄνευ P--------- ἄνευ
παντὸς A3--GSM--- πᾶς
οἴκτου N2--GSM--- οἶκτος
καὶ C--------- καί
φειδοῦς N3--GSF--- φειδώ
τῇ RA--DSF--- ὁ
τεσσαρεσκαιδεκάτῃ A1--DSF--- τεσσαρεσκαιδέκατος
τοῦ RA--GSM--- ὁ
δωδεκάτου A1--GSM--- δωδέκατος
μηνὸς N3--GSM--- μήν
Αδαρ N---GSM--- Αδαρ
τοῦ RA--GSN--- ὁ
ἐνεστῶτος VXI-XAPGSN ἵστημι ἐν
ἔτους N3E-GSN--- ἔτος

Est 3:13g
ὅπως C--------- ὅπως
οἱ RA--NPM--- ὁ
πάλαι D--------- πάλαι
καὶ C--------- καί
νῦν D--------- νῦν
δυσμενεῖς A3H-NPM--- δυσμενής
ἐν P--------- ἐν
ἡμέρᾳ N1A-DSF--- ἡμέρα
μιᾷ A1A-DSF--- εἷς
βιαίως D--------- βιαίως
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
ᾅδην N1M-ASM--- ᾅδης
κατελθόντες VB--AAPNPM ἔρχομαι κατα
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
μετέπειτα D--------- μετέπειτα
χρόνον N2--ASM--- χρόνος
εὐσταθῆ A3H-APN--- εὐσταθής
καὶ C--------- καί
ἀτάραχα A1B-APN--- ἀτάραχος
παρέχωσιν V1--PAS3P- ἔχω παρα
ἡμῖν RP--DP---- ἐγώ
διὰ P--------- διά
τέλους N3E-GSN--- τέλος
τὰ RA--APN--- ὁ
πράγματα N3M-APN--- πρᾶγμα

Est 3:14
τὰ RA--NPN--- ὁ
δὲ X--------- δέ
ἀντίγραφα N2N-NPN--- ἀντίγραφον
τῶν RA--GPF--- ὁ
ἐπιστολῶν N1--GPF--- ἐπιστολή
ἐξετίθετο V7I-IMI3S- τίθημι ἐκ
κατὰ P--------- κατά
χώραν N1A-ASF--- χώρα
καὶ C--------- καί
προσετάγη VDI-API3S- τάσσω προς
πᾶσι A3--DPN--- πᾶς
τοῖς RA--DPN--- ὁ
ἔθνεσιν N3E-DPN--- ἔθνος
ἑτοίμους A1--APM--- ἕτοιμος
εἶναι V9--PAN--- εἰμί
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
ἡμέραν N1A-ASF--- ἡμέρα
ταύτην RD--ASF--- οὗτος

Est 3:15
ἐσπεύδετο V1I-IPI3S- σπεύδω
δὲ X--------- δέ
τὸ RA--NSN--- ὁ
πρᾶγμα N3M-NSN--- πρᾶγμα
καὶ D--------- καί
εἰς P--------- εἰς
Σουσαν N---AS---- Σουσαν
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
βασιλεὺς N3V-NSM--- βασιλεύς
καὶ C--------- καί
Αμαν N---NSM--- Αμαν
ἐκωθωνίζοντο V1I-IMI3P- κωθωνίζω
ἐταράσσετο V1I-IMI3S- ταράσσω
δὲ X--------- δέ
ἡ RA--NSF--- ὁ
πόλις N3I-NSF--- πόλις

Est 4:1
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
Μαρδοχαῖος N2--NSM--- Μαρδοχαῖος
ἐπιγνοὺς VZ--AAPNSM γιγνώσκω ἐπι
τὸ RA--ASN--- ὁ
συντελούμενον V2--PMPASN τελέω συν
διέρρηξεν VAI-AAI3S- ῥήγνυμι δια
τὰ RA--APN--- ὁ
ἱμάτια N2N-APN--- ἱμάτιον
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐνεδύσατο VAI-AMI3S- δύω ἐν
σάκκον N2--ASM--- σάκκος
καὶ C--------- καί
κατεπάσατο VAI-AMI3S- πάσσω κατα
σποδὸν N2--ASM--- σποδός
καὶ C--------- καί
ἐκπηδήσας VA--AAPNSM πηδάω ἐκ
διὰ P--------- διά
τῆς RA--GSF--- ὁ
πλατείας A3U-GSF--- πλατύς
τῆς RA--GSF--- ὁ
πόλεως N3I-GSF--- πόλις
ἐβόα V3I-IAI3S- βοάω
φωνῇ N1--DSF--- φωνή
μεγάλῃ A1--DSF--- μέγας
αἴρεται V1--PMI3S- αἴρω
ἔθνος N3E-NSN--- ἔθνος
μηδὲν A3P-NSN--- μηδείς
ἠδικηκός VX--XAPNSN ἀδικέω

Est 4:2
καὶ C--------- καί
ἦλθεν VBI-AAI3S- ἔρχομαι
ἕως P--------- ἕως
τῆς RA--GSF--- ὁ
πύλης N1--GSF--- πύλη
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
καὶ C--------- καί
ἔστη VHI-AAI3S- ἵστημι
οὐ D--------- οὐ
γὰρ X--------- γάρ
ἦν V9--IAI3S- εἰμί
ἐξὸν V9--PAPNSN εἰμί ἐκ
αὐτῷ RD--DSM--- αὐτός
εἰσελθεῖν VB--AAN--- ἔρχομαι εἰς
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
αὐλὴν N1--ASF--- αὐλή
σάκκον N2--ASM--- σάκκος
ἔχοντι V1--PAPDSM ἔχω
καὶ C--------- καί
σποδόν N2--ASM--- σποδός

Est 4:3
καὶ C--------- καί
ἐν P--------- ἐν
πάσῃ A1S-DSF--- πᾶς
χώρᾳ N1A-DSF--- χώρα
οὗ D--------- οὗ
ἐξετίθετο V7I-IPI3S- τίθημι ἐκ
τὰ RA--NPN--- ὁ
γράμματα N3M-NPN--- γράμμα
κραυγὴ N1--NSF--- κραυγή
καὶ C--------- καί
κοπετὸς N2--NSM--- κοπετός
καὶ C--------- καί
πένθος N3E-NSN--- πένθος
μέγα A1P-NSN--- μέγας
τοῖς RA--DPM--- ὁ
Ιουδαίοις N2--DPM--- Ἰουδαῖος
σάκκον N2--ASM--- σάκκος
καὶ C--------- καί
σποδὸν N2--ASM--- σποδός
ἔστρωσαν VAI-AAI3P- στρώννυμι
ἑαυτοῖς RD--DPM--- ἑαυτοῦ

Est 4:4
καὶ C--------- καί
εἰσῆλθον VBI-AAI3P- ἔρχομαι εἰς
αἱ RA--NPF--- ὁ
ἅβραι N1A-NPF--- ἅβρα
καὶ C--------- καί
οἱ RA--NPM--- ὁ
εὐνοῦχοι N2--NPM--- εὐνοῦχος
τῆς RA--GSF--- ὁ
βασιλίσσης N1S-GSF--- βασίλισσα
καὶ C--------- καί
ἀνήγγειλαν VAI-AAI3P- ἀγγέλλω ἀνα
αὐτῇ RD--DSF--- αὐτός
καὶ C--------- καί
ἐταράχθη VQI-API3S- ταράσσω
ἀκούσασα VA--AAPNSF ἀκούω
τὸ RA--ASN--- ὁ
γεγονὸς VX--XAPASN γίγνομαι
καὶ C--------- καί
ἀπέστειλεν VAI-AAI3S- στέλλω ἀπο
στολίσαι VA--AAN--- στολίζω
τὸν RA--ASM--- ὁ
Μαρδοχαῖον N2--ASM--- Μαρδοχαῖος
καὶ C--------- καί
ἀφελέσθαι VB--AMN--- αἱρέω ἀπο
αὐτοῦ RD--GSM--- αὐτός
τὸν RA--ASM--- ὁ
σάκκον N2--ASM--- σάκκος
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
οὐκ D--------- οὐ
ἐπείσθη VSI-API3S- πείθω

Est 4:5
ἡ RA--NSF--- ὁ
δὲ X--------- δέ
Εσθηρ N---NSF--- Εσθηρ
προσεκαλέσατο VAI-AMI3S- καλέω προς
Αχραθαῖον N2--ASM--- Αχραθαῖος
τὸν RA--ASM--- ὁ
εὐνοῦχον N2--ASM--- εὐνοῦχος
αὐτῆς RD--GSF--- αὐτός
ὃς RR--NSM--- ὅς
παρειστήκει VXI-XAI3S- ἵστημι παρα
αὐτῇ RD--DSF--- αὐτός
καὶ C--------- καί
ἀπέστειλεν VAI-AAI3S- στέλλω ἀπο
μαθεῖν VB--AAN--- μανθάνω
αὐτῇ RD--DSF--- αὐτός
παρὰ P--------- παρά
τοῦ RA--GSM--- ὁ
Μαρδοχαίου N2--GSM--- Μαρδοχαῖος
τὸ RA--ASN--- ὁ
ἀκριβές A3H-ASN--- ἀκριβής

Est 4:7
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
Μαρδοχαῖος N2--NSM--- Μαρδοχαῖος
ὑπέδειξεν VAI-AAI3S- δεικνύω ὑπο
αὐτῷ RD--DSM--- αὐτός
τὸ RA--ASN--- ὁ
γεγονὸς VX--XAPASN γίγνομαι
καὶ C--------- καί
τὴν RA--ASF--- ὁ
ἐπαγγελίαν N1A-ASF--- ἐπαγγελία
ἣν RR--ASF--- ὅς
ἐπηγγείλατο VAI-AMI3S- ἀγγέλλω ἐπι
Αμαν N---NSM--- Αμαν
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
γάζαν N1S-ASF--- γάζα
ταλάντων N2--GPN--- τάλαντον
μυρίων A1A-GPN--- μύριοι
ἵνα C--------- ἵνα
ἀπολέσῃ VA--AAS3S- ὀλλύω ἀπο
τοὺς RA--APM--- ὁ
Ιουδαίους N2--APM--- Ἰουδαῖος

Est 4:8
καὶ C--------- καί
τὸ RA--ASN--- ὁ
ἀντίγραφον N2N-ASN--- ἀντίγραφον
τὸ RA--ASN--- ὁ
ἐν P--------- ἐν
Σούσοις N---DPN--- Σουσά
ἐκτεθὲν VC--APPASN τίθημι ἐκ
ὑπὲρ P--------- ὑπέρ
τοῦ RA--GSN--- ὁ
ἀπολέσθαι VA--AMN--- ὀλλύω ἀπο
αὐτοὺς RD--APM--- αὐτός
ἔδωκεν VAI-AAI3S- δίδωμι
αὐτῷ RD--DSM--- αὐτός
δεῖξαι VA--AAN--- δεικνύω
τῇ RA--DSF--- ὁ
Εσθηρ N---DSF--- Εσθηρ
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
ἐντείλασθαι VA--AMN--- τέλλω ἐν
αὐτῇ RD--DSF--- αὐτός
εἰσελθούσῃ VB--AAPDSF ἔρχομαι εἰς
παραιτήσασθαι VA--AMN--- αἰτέω παρα
τὸν RA--ASM--- ὁ
βασιλέα N3V-ASM--- βασιλεύς
καὶ C--------- καί
ἀξιῶσαι VA--AAN--- ἀξιόω
αὐτὸν RD--ASM--- αὐτός
περὶ P--------- περί
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
μνησθεῖσα VS--APPNSF μιμνήσκω
ἡμερῶν N1A-GPF--- ἡμέρα
ταπεινώσεώς N3I-GSF--- ταπείνωσις
σου RP--GS---- σύ
ὡς C--------- ὡς
ἐτράφης VDI-API2S- τρέφω
ἐν P--------- ἐν
χειρί N3--DSF--- χείρ
μου RP--GS---- ἐγώ
διότι C--------- διότι
Αμαν N---NSM--- Αμαν
ὁ RA--NSM--- ὁ
δευτερεύων V1--PAPNSM δευτερεύω
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
ἐλάλησεν VAI-AAI3S- λαλέω
καθ' P--------- κατά
ἡμῶν RP--GP---- ἐγώ
εἰς P--------- εἰς
θάνατον N2--ASM--- θάνατος
