Gen 1:1
συνέπεσεν VBI-AAI3S- πίπτω συν
τῷ RA--DSN--- ὁ
προσώπῳ N2N-DSN--- πρόσωπον

Gen 4:6
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τῷ RA--DSM--- ὁ
Καιν N---DSM--- Καιν
ἵνα C--------- ἵνα
τί RI--ASN--- τίς
περίλυπος A1B-NSM--- περίλυπος
ἐγένου VBI-AMI2S- γίγνομαι
καὶ C--------- καί
ἵνα C--------- ἵνα
τί RI--ASN--- τίς
συνέπεσεν VBI-AAI3S- πίπτω συν
τὸ RA--ASN--- ὁ
πρόσωπόν N2N-ASN--- πρόσωπον
σου RP--GS---- σύ

Gen 4:7
οὐκ D--------- οὐ
ἐὰν C--------- ἐάν
ὀρθῶς D--------- ὀρθῶς
προσενέγκῃς VA--AAS2S- φέρω προς
ὀρθῶς D--------- ὀρθῶς
δὲ X--------- δέ
μὴ D--------- μή
διέλῃς VB--AAS2S- αἱρέω δια
ἥμαρτες VBI-AAI2S- ἁμαρτάνω
ἡσύχασον VA--AAD2S- ἡσυχάζω
πρὸς P--------- πρός
σὲ RP--AS---- σύ
ἡ RA--NSF--- ὁ
ἀποστροφὴ N1--NSF--- ἀποστροφή
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
σὺ RP--NS---- σύ
ἄρξεις VF--FAI2S- ἄρχω
αὐτοῦ RD--GSM--- αὐτός

Gen 4:8
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Καιν N---NSM--- Καιν
πρὸς P--------- πρός
Αβελ N---ASM--- Αβελ
τὸν RA--ASM--- ὁ
ἀδελφὸν N2--ASM--- ἀδελφός
αὐτοῦ RD--GSM--- αὐτός
διέλθωμεν VB--AAS1P- ἔρχομαι δια
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
πεδίον N2N-ASN--- πεδίον
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
εἶναι V9--PAN--- εἰμί
αὐτοὺς RD--APM--- αὐτός
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
πεδίῳ N2N-DSN--- πεδίον
καὶ C--------- καί
ἀνέστη VHI-AAI3S- ἵστημι ἀνα
Καιν N---NSM--- Καιν
ἐπὶ P--------- ἐπί
Αβελ N---DSM--- Αβελ
τὸν RA--ASM--- ὁ
ἀδελφὸν N2--ASM--- ἀδελφός
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἀπέκτεινεν VAI-AAI3S- κτείνω ἀπο
αὐτόν RD--ASM--- αὐτός

Gen 4:9
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
πρὸς P--------- πρός
Καιν N---ASM--- Καιν
ποῦ D--------- ποῦ
ἐστιν V9--PAI3S- εἰμί
Αβελ N---NSM--- Αβελ
ὁ RA--NSM--- ὁ
ἀδελφός N2--NSM--- ἀδελφός
σου RP--GS---- σύ
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
εἶπεν VBI-AAI3S- εἶπον
οὐ D--------- οὐ
γινώσκω V1--PAI1S- γιγνώσκω
μὴ D--------- μή
φύλαξ N3K-NSM--- φύλαξ
τοῦ RA--GSM--- ὁ
ἀδελφοῦ N2--GSM--- ἀδελφός
μού RP--GS---- ἐγώ
εἰμι V9--PAI1S- εἰμί
ἐγώ RP--NS---- ἐγώ

Gen 4:10
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
τί RI--ASN--- τίς
ἐποίησας VAI-AAI2S- ποιέω
φωνὴ N1--NSF--- φωνή
αἵματος N3M-GSN--- αἷμα
τοῦ RA--GSM--- ὁ
ἀδελφοῦ N2--GSM--- ἀδελφός
σου RP--GS---- σύ
βοᾷ V3--PAI3S- βοάω
πρός P--------- πρός
με RP--AS---- ἐγώ
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ

Gen 4:11
καὶ C--------- καί
νῦν D--------- νῦν
ἐπικατάρατος A1B-NSM--- ἐπικατάρατος
σὺ RP--NS---- σύ
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ἣ RR--NSF--- ὅς
ἔχανεν VBI-AAI3S- χαίνω
τὸ RA--ASN--- ὁ
στόμα N3M-ASN--- στόμα
αὐτῆς RD--GSF--- αὐτός
δέξασθαι VA--AMN--- δέχομαι
τὸ RA--ASN--- ὁ
αἷμα N3M-ASN--- αἷμα
τοῦ RA--GSM--- ὁ
ἀδελφοῦ N2--GSM--- ἀδελφός
σου RP--GS---- σύ
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
χειρός N3--GSF--- χείρ
σου RP--GS---- σύ

Gen 4:12
ὅτι C--------- ὅτι
ἐργᾷ VF2-FMI2S- ἐργάζομαι
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
καὶ C--------- καί
οὐ D--------- οὐ
προσθήσει VF--FAI3S- τίθημι προς
τὴν RA--ASF--- ὁ
ἰσχὺν N3U-ASF--- ἰσχύς
αὐτῆς RD--GSF--- αὐτός
δοῦναί VO--AAN--- δίδωμι
σοι RP--DS---- σύ
στένων V1--PAPNSM στένω
καὶ C--------- καί
τρέμων V1--PAPNSM τρέμω
ἔσῃ VF--FMI2S- εἰμί
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ

Gen 4:13
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Καιν N---NSM--- Καιν
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
μείζων A3C-NSFC-- μέγας
ἡ RA--NSF--- ὁ
αἰτία N1A-NSF--- αἰτία
μου RP--GS---- ἐγώ
τοῦ RA--GSN--- ὁ
ἀφεθῆναί VC--APN--- ἵημι ἀπο
με RP--AS---- ἐγώ

Gen 4:14
εἰ C--------- εἰ
ἐκβάλλεις V1--PAI2S- βάλλω ἐκ
με RP--AS---- ἐγώ
σήμερον D--------- σήμερον
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
ἀπὸ P--------- ἀπό
τοῦ RA--GSN--- ὁ
προσώπου N2N-GSN--- πρόσωπον
σου RP--GS---- σύ
κρυβήσομαι VD--FPI1S- κρύπτω
καὶ C--------- καί
ἔσομαι VF--FMI1S- εἰμί
στένων V1--PAPNSM στένω
καὶ C--------- καί
τρέμων V1--PAPNSM τρέμω
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
πᾶς A3--NSM--- πᾶς
ὁ RA--NSM--- ὁ
εὑρίσκων V1--PAPNSM εὑρίσκω
με RP--AS---- ἐγώ
ἀποκτενεῖ VF2-FAI3S- κτείνω ἀπο
με RP--AS---- ἐγώ

Gen 4:15
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
οὐχ D--------- οὐ
οὕτως D--------- οὕτως
πᾶς A3--NSM--- πᾶς
ὁ RA--NSM--- ὁ
ἀποκτείνας VA--AAPNSM κτείνω ἀπο
Καιν N---ASM--- Καιν
ἑπτὰ M--------- ἑπτά
ἐκδικούμενα V2--PMPAPN δικέω ἐκ
παραλύσει VF--FAI3S- λύω παρα
καὶ C--------- καί
ἔθετο VEI-AMI3S- τίθημι
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
σημεῖον N2N-ASN--- σημεῖον
τῷ RA--DSM--- ὁ
Καιν N---DSM--- Καιν
τοῦ RA--GSN--- ὁ
μὴ D--------- μή
ἀνελεῖν VB--AAN--- αἱρέω ἀνα
αὐτὸν RD--ASM--- αὐτός
πάντα A3--ASM--- πᾶς
τὸν RA--ASM--- ὁ
εὑρίσκοντα V1--PAPASM εὑρίσκω
αὐτόν RD--ASM--- αὐτός

Gen 4:16
ἐξῆλθεν VBI-AAI3S- ἔρχομαι ἐκ
δὲ X--------- δέ
Καιν N---NSM--- Καιν
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
καὶ C--------- καί
ᾤκησεν VAI-AAI3S- οἰκέω
ἐν P--------- ἐν
γῇ N1--DSF--- γῆ
Ναιδ N----S---- Ναιδ
κατέναντι P--------- κατέναντι
Εδεμ N---GS---- Εδεμ

Gen 4:17
καὶ C--------- καί
ἔγνω VZI-AAI3S- γιγνώσκω
Καιν N---NSM--- Καιν
τὴν RA--ASF--- ὁ
γυναῖκα N3K-ASF--- γυνή
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
συλλαβοῦσα VB--AAPNSF λαμβάνω συν
ἔτεκεν VBI-AAI3S- τίκτω
τὸν RA--ASM--- ὁ
Ενωχ N---ASM--- Ενωχ
καὶ C--------- καί
ἦν V9--IAI3S- εἰμί
οἰκοδομῶν V2--PAPNSM οἰκοδομέω
πόλιν N3I-ASF--- πόλις
καὶ C--------- καί
ἐπωνόμασεν VAI-AAI3S- ὀνομάζω ἐπι
τὴν RA--ASF--- ὁ
πόλιν N3I-ASF--- πόλις
ἐπὶ P--------- ἐπί
τῷ RA--DSN--- ὁ
ὀνόματι N3M-DSN--- ὄνομα
τοῦ RA--GSM--- ὁ
υἱοῦ N2--GSM--- υἱός
αὐτοῦ RD--GSM--- αὐτός
Ενωχ N---GSM--- Ενωχ

Gen 4:18
ἐγενήθη VCI-API3S- γίγνομαι
δὲ X--------- δέ
τῷ RA--DSM--- ὁ
Ενωχ N---DSM--- Ενωχ
Γαιδαδ N---NSM--- Γαιδαδ
καὶ C--------- καί
Γαιδαδ N---NSM--- Γαιδαδ
ἐγέννησεν VAI-AAI3S- γεννάω
τὸν RA--ASM--- ὁ
Μαιηλ N---ASM--- Μαιηλ
καὶ C--------- καί
Μαιηλ N---NSM--- Μαιηλ
ἐγέννησεν VAI-AAI3S- γεννάω
τὸν RA--ASM--- ὁ
Μαθουσαλα N---ASM--- Μαθουσαλα
καὶ C--------- καί
Μαθουσαλα N---NSM--- Μαθουσαλα
ἐγέννησεν VAI-AAI3S- γεννάω
τὸν RA--ASM--- ὁ
Λαμεχ N---ASM--- Λαμεχ

Gen 4:19
καὶ C--------- καί
ἔλαβεν VBI-AAI3S- λαμβάνω
ἑαυτῷ RD--DSM--- ἑαυτοῦ
Λαμεχ N---NSM--- Λαμεχ
δύο M--------- δύο
γυναῖκας N3K-APF--- γυνή
ὄνομα N3M-ASN--- ὄνομα
τῇ RA--DSF--- ὁ
μιᾷ A1A-DSF--- εἷς
Αδα N---NSF--- Αδα
καὶ C--------- καί
ὄνομα N3M-ASN--- ὄνομα
τῇ RA--DSF--- ὁ
δευτέρᾳ A1A-DSF--- δεύτερος
Σελλα N---NSF--- Σελλα

Gen 4:20
καὶ C--------- καί
ἔτεκεν VBI-AAI3S- τίκτω
Αδα N---NSF--- Αδα
τὸν RA--ASM--- ὁ
Ιωβελ N---ASM--- Ιωβελ
οὗτος RD--NSM--- οὗτος
ἦν V9--IAI3S- εἰμί
ὁ RA--NSM--- ὁ
πατὴρ N3--NSM--- πατήρ
οἰκούντων V2--PAPGPM οἰκέω
ἐν P--------- ἐν
σκηναῖς N1--DPF--- σκηνή
κτηνοτρόφων A1--GPN--- κτηνοτρόφος

Gen 4:21
καὶ C--------- καί
ὄνομα N3M-ASN--- ὄνομα
τῷ RA--DSM--- ὁ
ἀδελφῷ N2--DSM--- ἀδελφός
αὐτοῦ RD--GSM--- αὐτός
Ιουβαλ N---NSM--- Ιουβαλ
οὗτος RD--NSM--- οὗτος
ἦν V9--IAI3S- εἰμί
ὁ RA--NSM--- ὁ
καταδείξας VA--AAPNSM δεικνύω κατα
ψαλτήριον N2N-ASN--- ψαλτήριον
καὶ C--------- καί
κιθάραν N1A-ASF--- κιθάρα

Gen 4:22
Σελλα N---NSF--- Σελλα
δὲ X--------- δέ
ἔτεκεν VBI-AAI3S- τίκτω
καὶ C--------- καί
αὐτὴ RD--NSF--- αὐτός
τὸν RA--ASM--- ὁ
Θοβελ N---ASM--- Θοβελ
καὶ C--------- καί
ἦν V9--IAI3S- εἰμί
σφυροκόπος A1B-NSM--- σφυροκόπος
χαλκεὺς N3V-NSM--- χαλκεύς
χαλκοῦ N2--GSM--- χαλκός
καὶ C--------- καί
σιδήρου N2--GSM--- σίδηρος
ἀδελφὴ N1--NSF--- ἀδελφή
δὲ X--------- δέ
Θοβελ N---GSM--- Θοβελ
Νοεμα N---NSF--- Νοεμα

Gen 4:23
εἶπεν VBI-AAI3S- εἶπον
δὲ X--------- δέ
Λαμεχ N---NSM--- Λαμεχ
ταῖς RA--DPF--- ὁ
ἑαυτοῦ RD--GSM--- ἑαυτοῦ
γυναιξίν N3K-DPF--- γυνή
Αδα N---DSF--- Αδα
καὶ C--------- καί
Σελλα N---DSF--- Σελλα
ἀκούσατέ VA--AAD2P- ἀκούω
μου RP--GS---- ἐγώ
τῆς RA--GSF--- ὁ
φωνῆς N1--GSF--- φωνή
γυναῖκες N3K-VPF--- γυνή
Λαμεχ N---GSM--- Λαμεχ
ἐνωτίσασθέ VA--AMD2P- ἐνωτίζομαι
μου RP--GS---- ἐγώ
τοὺς RA--APM--- ὁ
λόγους N2--APM--- λόγος
ὅτι C--------- ὅτι
ἄνδρα N3--ASM--- ἀνήρ
ἀπέκτεινα VAI-AAI1S- κτείνω ἀπο
εἰς P--------- εἰς
τραῦμα N3M-ASN--- τραῦμα
ἐμοὶ RP--DS---- ἐγώ
καὶ C--------- καί
νεανίσκον N2--ASM--- νεανίσκος
εἰς P--------- εἰς
μώλωπα N3P-ASM--- μώλωψ
ἐμοί RP--DS---- ἐγώ

Gen 4:24
ὅτι C--------- ὅτι
ἑπτάκις D--------- ἑπτάκις
ἐκδεδίκηται VM--XMI3S- δικέω ἐκ
ἐκ P--------- ἐκ
Καιν N---GSM--- Καιν
ἐκ P--------- ἐκ
δὲ X--------- δέ
Λαμεχ N---GSM--- Λαμεχ
ἑβδομηκοντάκις D--------- ἑβδομηκοντάκις
ἑπτά M--------- ἑπτά

Gen 4:25
ἔγνω VZI-AAI3S- γιγνώσκω
δὲ X--------- δέ
Αδαμ N---NSM--- Αδαμ
Ευαν N---ASF--- Ευα
τὴν RA--ASF--- ὁ
γυναῖκα N3K-ASF--- γυνή
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
συλλαβοῦσα VB--AAPNSF λαμβάνω συν
ἔτεκεν VBI-AAI3S- τίκτω
υἱὸν N2--ASM--- υἱός
καὶ C--------- καί
ἐπωνόμασεν VAI-AAI3S- ὀνομάζω ἐπι
τὸ RA--ASN--- ὁ
ὄνομα N3M-ASN--- ὄνομα
αὐτοῦ RD--GSM--- αὐτός
Σηθ N---ASM--- Σηθ
λέγουσα V1--PAPNSF λέγω
ἐξανέστησεν VHI-AAI3S- ἵστημι ἐκ ἀνα
γάρ X--------- γάρ
μοι RP--DS---- ἐγώ
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
σπέρμα N3M-ASN--- σπέρμα
ἕτερον A1A-ASN--- ἕτερος
ἀντὶ P--------- ἀντί
Αβελ N---GSM--- Αβελ
ὃν RR--ASM--- ὅς
ἀπέκτεινεν VAI-AAI3S- κτείνω ἀπο
Καιν N---NSM--- Καιν

Gen 4:26
καὶ C--------- καί
τῷ RA--DSM--- ὁ
Σηθ N---DSM--- Σηθ
ἐγένετο VBI-AMI3S- γίγνομαι
υἱός N2--NSM--- υἱός
ἐπωνόμασεν VAI-AAI3S- ὀνομάζω ἐπι
δὲ X--------- δέ
τὸ RA--ASN--- ὁ
ὄνομα N3M-ASN--- ὄνομα
αὐτοῦ RD--GSM--- αὐτός
Ενως N---ASM--- Ενως
οὗτος RD--NSM--- οὗτος
ἤλπισεν VAI-AAI3S- ἐλπίζω
ἐπικαλεῖσθαι V2--PMN--- καλέω ἐπι
τὸ RA--ASN--- ὁ
ὄνομα N3M-ASN--- ὄνομα
κυρίου N2--GSM--- κύριος
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός

Gen 5:1
αὕτη RD--NSF--- οὗτος
ἡ RA--NSF--- ὁ
βίβλος N2--NSF--- βίβλος
γενέσεως N3I-GSF--- γένεσις
ἀνθρώπων N2--GPM--- ἄνθρωπος
ᾗ RR--DSF--- ὅς
ἡμέρᾳ N1A-DSF--- ἡμέρα
ἐποίησεν VAI-AAI3S- ποιέω
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τὸν RA--ASM--- ὁ
Αδαμ N---ASM--- Αδαμ
κατ' P--------- κατά
εἰκόνα N3N-ASF--- εἰκών
θεοῦ N2--GSM--- θεός
ἐποίησεν VAI-AAI3S- ποιέω
αὐτόν RD--ASM--- αὐτός

Gen 5:2
ἄρσεν A3--ASN--- ἄρσην
καὶ C--------- καί
θῆλυ A3U-ASN--- θῆλυς
ἐποίησεν VAI-AAI3S- ποιέω
αὐτοὺς RD--APM--- αὐτός
καὶ C--------- καί
εὐλόγησεν VA--AAI3S- εὐλογέω
αὐτούς RD--APM--- αὐτός
καὶ C--------- καί
ἐπωνόμασεν VAI-AAI3S- ὀνομάζω ἐπι
τὸ RA--ASN--- ὁ
ὄνομα N3M-ASN--- ὄνομα
αὐτῶν RD--GPM--- αὐτός
Αδαμ N---ASM--- Αδαμ
ᾗ RR--DSF--- ὅς
ἡμέρᾳ N1A-DSF--- ἡμέρα
ἐποίησεν VAI-AAI3S- ποιέω
αὐτούς RD--APM--- αὐτός

Gen 5:3
ἔζησεν VAI-AAI3S- ζάω
δὲ X--------- δέ
Αδαμ N---NSM--- Αδαμ
διακόσια A1A-APN--- διακόσιοι
καὶ C--------- καί
τριάκοντα M--------- τριάκοντα
ἔτη N3E-APN--- ἔτος
καὶ C--------- καί
ἐγέννησεν VAI-AAI3S- γεννάω
κατὰ P--------- κατά
τὴν RA--ASF--- ὁ
ἰδέαν N1A-ASF--- ἰδέα
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
κατὰ P--------- κατά
τὴν RA--ASF--- ὁ
εἰκόνα N3N-ASF--- εἰκών
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐπωνόμασεν VAI-AAI3S- ὀνομάζω ἐπι
τὸ RA--ASN--- ὁ
ὄνομα N3M-ASN--- ὄνομα
αὐτοῦ RD--GSM--- αὐτός
Σηθ N---ASM--- Σηθ

Gen 5:4
ἐγένοντο VBI-AMI3P- γίγνομαι
δὲ X--------- δέ
αἱ RA--NPF--- ὁ
ἡμέραι N1A-NPF--- ἡμέρα
Αδαμ N---GSM--- Αδαμ
μετὰ P--------- μετά
τὸ RA--ASN--- ὁ
γεννῆσαι VA--AAN--- γεννάω
αὐτὸν RD--ASM--- αὐτός
τὸν RA--ASM--- ὁ
Σηθ N---ASM--- Σηθ
ἑπτακόσια A1--APN--- ἑπτακόσιοι
ἔτη N3E-APN--- ἔτος
καὶ C--------- καί
ἐγέννησεν VAI-AAI3S- γεννάω
υἱοὺς N2--APM--- υἱός
καὶ C--------- καί
θυγατέρας N3--APF--- θυγάτηρ

Gen 5:5
καὶ C--------- καί
ἐγένοντο VBI-AMI3P- γίγνομαι
πᾶσαι A1S-NPF--- πᾶς
αἱ RA--NPF--- ὁ
ἡμέραι N1A-NPF--- ἡμέρα
Αδαμ N---GSM--- Αδαμ
ἃς RR--APF--- ὅς
ἔζησεν VAI-AAI3S- ζάω
ἐννακόσια A1--APN--- ἐννακόσιοι
καὶ C--------- καί
τριάκοντα M--------- τριάκοντα
ἔτη N3E-APN--- ἔτος
καὶ C--------- καί
ἀπέθανεν VBI-AAI3S- θνήσκω ἀπο

Gen 5:6
ἔζησεν VAI-AAI3S- ζάω
δὲ X--------- δέ
Σηθ N---NSM--- Σηθ
διακόσια A1A-APN--- διακόσιοι
καὶ C--------- καί
πέντε M--------- πέντε
ἔτη N3E-APN--- ἔτος
καὶ C--------- καί
ἐγέννησεν VAI-AAI3S- γεννάω
τὸν RA--ASM--- ὁ
Ενως N---ASM--- Ενως

Gen 5:7
καὶ C--------- καί
ἔζησεν VAI-AAI3S- ζάω
Σηθ N---NSM--- Σηθ
μετὰ P--------- μετά
τὸ RA--ASN--- ὁ
γεννῆσαι VA--AAN--- γεννάω
αὐτὸν RD--ASM--- αὐτός
τὸν RA--ASM--- ὁ
Ενως N---ASM--- Ενως
ἑπτακόσια A1--APN--- ἑπτακόσιοι
καὶ C--------- καί
ἑπτὰ M--------- ἑπτά
ἔτη N3E-APN--- ἔτος
καὶ C--------- καί
ἐγέννησεν VAI-AAI3S- γεννάω
υἱοὺς N2--APM--- υἱός
καὶ C--------- καί
θυγατέρας N3--APF--- θυγάτηρ

Gen 5:8
καὶ C--------- καί
ἐγένοντο VBI-AMI3P- γίγνομαι
πᾶσαι A1S-NPF--- πᾶς
αἱ RA--NPF--- ὁ
ἡμέραι N1A-NPF--- ἡμέρα
Σηθ N---GSM--- Σηθ
ἐννακόσια A1--APN--- ἐννακόσιοι
καὶ C--------- καί
δώδεκα M--------- δώδεκα
ἔτη N3E-APN--- ἔτος
καὶ C--------- καί
ἀπέθανεν VBI-AAI3S- θνήσκω ἀπο

Gen 5:9
καὶ C--------- καί
ἔζησεν VAI-AAI3S- ζάω
Ενως N---NSM--- Ενως
ἑκατὸν M--------- ἑκατόν
ἐνενήκοντα M--------- ἐνενήκοντα
ἔτη N3E-APN--- ἔτος
καὶ C--------- καί
ἐγέννησεν VAI-AAI3S- γεννάω
τὸν RA--ASM--- ὁ
Καιναν N---ASM--- Καιναν

Gen 5:10
καὶ C--------- καί
ἔζησεν VAI-AAI3S- ζάω
Ενως N---NSM--- Ενως
μετὰ P--------- μετά
τὸ RA--ASN--- ὁ
γεννῆσαι VA--AAN--- γεννάω
αὐτὸν RD--ASM--- αὐτός
τὸν RA--ASM--- ὁ
Καιναν N---ASM--- Καιναν
ἑπτακόσια A1--APN--- ἑπτακόσιοι
καὶ C--------- καί
δέκα M--------- δέκα
πέντε M--------- πέντε
ἔτη N3E-APN--- ἔτος
καὶ C--------- καί
ἐγέννησεν VAI-AAI3S- γεννάω
υἱοὺς N2--APM--- υἱός
καὶ C--------- καί
θυγατέρας N3--APF--- θυγάτηρ

Gen 5:11
καὶ C--------- καί
ἐγένοντο VBI-AMI3P- γίγνομαι
πᾶσαι A1S-NPF--- πᾶς
αἱ RA--NPF--- ὁ
ἡμέραι N1A-NPF--- ἡμέρα
Ενως N---GSM--- Ενως
ἐννακόσια A1--APN--- ἐννακόσιοι
καὶ C--------- καί
πέντε M--------- πέντε
ἔτη N3E-APN--- ἔτος
καὶ C--------- καί
ἀπέθανεν VBI-AAI3S- θνήσκω ἀπο

Gen 5:12
καὶ C--------- καί
ἔζησεν VAI-AAI3S- ζάω
Καιναν N---NSM--- Καιναν
ἑκατὸν M--------- ἑκατόν
ἑβδομήκοντα M--------- ἑβδομήκοντα
ἔτη N3E-APN--- ἔτος
καὶ C--------- καί
ἐγέννησεν VAI-AAI3S- γεννάω
τὸν RA--ASM--- ὁ
Μαλελεηλ N---ASM--- Μαλελεηλ

Gen 5:13
καὶ C--------- καί
ἔζησεν VAI-AAI3S- ζάω
Καιναν N---NSM--- Καιναν
μετὰ P--------- μετά
τὸ RA--ASN--- ὁ
γεννῆσαι VA--AAN--- γεννάω
αὐτὸν RD--ASM--- αὐτός
τὸν RA--ASM--- ὁ
Μαλελεηλ N---ASM--- Μαλελεηλ
ἑπτακόσια A1--APN--- ἑπτακόσιοι
καὶ C--------- καί
τεσσαράκοντα M--------- τεσσαράκοντα
ἔτη N3E-APN--- ἔτος
καὶ C--------- καί
ἐγέννησεν VAI-AAI3S- γεννάω
υἱοὺς N2--APM--- υἱός
καὶ C--------- καί
θυγατέρας N3--APF--- θυγάτηρ

Gen 5:14
καὶ C--------- καί
ἐγένοντο VBI-AMI3P- γίγνομαι
πᾶσαι A1S-NPF--- πᾶς
αἱ RA--NPF--- ὁ
ἡμέραι N1A-NPF--- ἡμέρα
Καιναν N---GSM--- Καιναν
ἐννακόσια A1--APN--- ἐννακόσιοι
καὶ C--------- καί
δέκα M--------- δέκα
ἔτη N3E-APN--- ἔτος
καὶ C--------- καί
ἀπέθανεν VBI-AAI3S- θνήσκω ἀπο

Gen 5:15
καὶ C--------- καί
ἔζησεν VAI-AAI3S- ζάω
Μαλελεηλ N---NSM--- Μαλελεηλ
ἑκατὸν M--------- ἑκατόν
καὶ C--------- καί
ἑξήκοντα M--------- ἑξήκοντα
πέντε M--------- πέντε
ἔτη N3E-APN--- ἔτος
καὶ C--------- καί
ἐγέννησεν VAI-AAI3S- γεννάω
τὸν RA--ASM--- ὁ
Ιαρεδ N---ASM--- Ιαρεδ

Gen 5:16
καὶ C--------- καί
ἔζησεν VAI-AAI3S- ζάω
Μαλελεηλ N---NSM--- Μαλελεηλ
μετὰ P--------- μετά
τὸ RA--ASN--- ὁ
γεννῆσαι VA--AAN--- γεννάω
αὐτὸν RD--ASM--- αὐτός
τὸν RA--ASM--- ὁ
Ιαρεδ N---ASM--- Ιαρεδ
ἑπτακόσια A1--APN--- ἑπτακόσιοι
καὶ C--------- καί
τριάκοντα M--------- τριάκοντα
ἔτη N3E-APN--- ἔτος
καὶ C--------- καί
ἐγέννησεν VAI-AAI3S- γεννάω
υἱοὺς N2--APM--- υἱός
καὶ C--------- καί
θυγατέρας N3--APF--- θυγάτηρ

Gen 5:17
καὶ C--------- καί
ἐγένοντο VBI-AMI3P- γίγνομαι
πᾶσαι A1S-NPF--- πᾶς
αἱ RA--NPF--- ὁ
ἡμέραι N1A-NPF--- ἡμέρα
Μαλελεηλ N---GSM--- Μαλελεηλ
ὀκτακόσια A1--APN--- ὀκτακόσιοι
καὶ C--------- καί
ἐνενήκοντα M--------- ἐνενήκοντα
πέντε M--------- πέντε
ἔτη N3E-APN--- ἔτος
καὶ C--------- καί
ἀπέθανεν VBI-AAI3S- θνήσκω ἀπο

Gen 5:18
καὶ C--------- καί
ἔζησεν VAI-AAI3S- ζάω
Ιαρεδ N---NSM--- Ιαρεδ
ἑκατὸν M--------- ἑκατόν
καὶ C--------- καί
ἑξήκοντα M--------- ἑξήκοντα
δύο M--------- δύο
ἔτη N3E-APN--- ἔτος
καὶ C--------- καί
ἐγέννησεν VAI-AAI3S- γεννάω
τὸν RA--ASM--- ὁ
Ενωχ N---ASM--- Ενωχ

Gen 5:19
καὶ C--------- καί
ἔζησεν VAI-AAI3S- ζάω
Ιαρεδ N---NSM--- Ιαρεδ
μετὰ P--------- μετά
τὸ RA--ASN--- ὁ
γεννῆσαι VA--AAN--- γεννάω
αὐτὸν RD--ASM--- αὐτός
τὸν RA--ASM--- ὁ
Ενωχ N---ASM--- Ενωχ
ὀκτακόσια A1--APN--- ὀκτακόσιοι
ἔτη N3E-APN--- ἔτος
καὶ C--------- καί
ἐγέννησεν VAI-AAI3S- γεννάω
υἱοὺς N2--APM--- υἱός
καὶ C--------- καί
θυγατέρας N3--APF--- θυγάτηρ

Gen 5:20
καὶ C--------- καί
ἐγένοντο VBI-AMI3P- γίγνομαι
