Eze 1:1
καὶ C--------- καί
τὰ RA--NPN--- ὁ
δικαιώματά N3M-NPN--- δικαίωμα
μου RP--GS---- ἐγώ
φυλάσσωνται V1--PMS3P- φυλάσσω
καὶ C--------- καί
ποιῶσιν V2--PAS3P- ποιέω
αὐτά RD--APN--- αὐτός
καὶ C--------- καί
ἔσονταί VF--FMI3P- εἰμί
μοι RP--DS---- ἐγώ
εἰς P--------- εἰς
λαόν N2--ASM--- λαός
καὶ C--------- καί
ἐγὼ RP--NS---- ἐγώ
ἔσομαι VF--FMI1S- εἰμί
αὐτοῖς RD--DPM--- αὐτός
εἰς P--------- εἰς
θεόν N2--ASM--- θεός

Eze 11:21
καὶ C--------- καί
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
καρδίαν N1A-ASF--- καρδία
τῶν RA--GPN--- ὁ
βδελυγμάτων N3M-GPN--- βδέλυγμα
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
τῶν RA--GPF--- ὁ
ἀνομιῶν N1A-GPF--- ἀνομία
αὐτῶν RD--GPM--- αὐτός
ὡς C--------- ὡς
ἡ RA--NSF--- ὁ
καρδία N1A-NSF--- καρδία
αὐτῶν RD--GPM--- αὐτός
ἐπορεύετο V1I-IMI3S- πορεύομαι
τὰς RA--APF--- ὁ
ὁδοὺς N2--APF--- ὁδός
αὐτῶν RD--GPM--- αὐτός
εἰς P--------- εἰς
κεφαλὰς N1--APF--- κεφαλή
αὐτῶν RD--GPM--- αὐτός
δέδωκα VX--XAI1S- δίδωμι
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος

Eze 11:22
καὶ C--------- καί
ἐξῆραν VBI-AAI3P- αἴρω ἐκ
τὰ RA--NPN--- ὁ
χερουβιν N---NPN--- χερουβείμ
τὰς RA--APF--- ὁ
πτέρυγας N3G-APF--- πτέρυξ
αὐτῶν RD--GPN--- αὐτός
καὶ C--------- καί
οἱ RA--NPM--- ὁ
τροχοὶ N2--NPM--- τροχός
ἐχόμενοι V1--PMPNPM ἔχω
αὐτῶν RD--GPN--- αὐτός
καὶ C--------- καί
ἡ RA--NSF--- ὁ
δόξα N1S-NSF--- δόξα
θεοῦ N2--GSM--- θεός
Ισραηλ N---GSM--- Ἰσραήλ
ἐπ' P--------- ἐπί
αὐτὰ RD--APN--- αὐτός
ὑπεράνω D--------- ὑπεράνω
αὐτῶν RD--GPN--- αὐτός

Eze 11:23
καὶ C--------- καί
ἀνέβη VZI-AAI3S- βαίνω ἀνα
ἡ RA--NSF--- ὁ
δόξα N1S-NSF--- δόξα
κυρίου N2--GSM--- κύριος
ἐκ P--------- ἐκ
μέσης A1--GSF--- μέσος
τῆς RA--GSF--- ὁ
πόλεως N3I-GSF--- πόλις
καὶ C--------- καί
ἔστη VHI-AAI3S- ἵστημι
ἐπὶ P--------- ἐπί
τοῦ RA--GSN--- ὁ
ὄρους N3E-GSN--- ὄρος
ὃ RR--NSN--- ὅς
ἦν V9--IAI3S- εἰμί
ἀπέναντι D--------- ἀπέναντι
τῆς RA--GSF--- ὁ
πόλεως N3I-GSF--- πόλις

Eze 11:24
καὶ C--------- καί
ἀνέλαβέν VBI-AAI3S- λαμβάνω ἀνα
με RP--AS---- ἐγώ
πνεῦμα N3M-NSN--- πνεῦμα
καὶ C--------- καί
ἤγαγέν VBI-AAI3S- ἄγω
με RP--AS---- ἐγώ
εἰς P--------- εἰς
γῆν N1--ASF--- γῆ
Χαλδαίων N2--GPM--- Χαλδαῖος
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
αἰχμαλωσίαν N1A-ASF--- αἰχμαλωσία
ἐν P--------- ἐν
ὁράσει N3I-DSF--- ὅρασις
ἐν P--------- ἐν
πνεύματι N3M-DSN--- πνεῦμα
θεοῦ N2--GSM--- θεός
καὶ C--------- καί
ἀνέβην VZI-AAI1S- βαίνω ἀνα
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
ὁράσεως N3I-GSF--- ὅρασις
ἧς RR--GSF--- ὅς
εἶδον VBI-AAI1S- ὁράω

Eze 11:25
καὶ C--------- καί
ἐλάλησα VAI-AAI1S- λαλέω
πρὸς P--------- πρός
τὴν RA--ASF--- ὁ
αἰχμαλωσίαν N1A-ASF--- αἰχμαλωσία
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
λόγους N2--APM--- λόγος
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος
οὓς RR--APM--- ὅς
ἔδειξέν VAI-AAI3S- δεικνύω
μοι RP--DS---- ἐγώ

Eze 12:1
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
λόγος N2--NSM--- λόγος
κυρίου N2--GSM--- κύριος
πρός P--------- πρός
με RP--AS---- ἐγώ
λέγων V1--PAPNSM λέγω

Eze 12:2
υἱὲ N2--VSM--- υἱός
ἀνθρώπου N2--GSM--- ἄνθρωπος
ἐν P--------- ἐν
μέσῳ A1--DSN--- μέσος
τῶν RA--GPF--- ὁ
ἀδικιῶν N1A-GPF--- ἀδικία
αὐτῶν RD--GPM--- αὐτός
σὺ RP--NS---- σύ
κατοικεῖς V2--PAI2S- οἰκέω κατα
οἳ RR--NPM--- ὅς
ἔχουσιν V1--PAI3P- ἔχω
ὀφθαλμοὺς N2--APM--- ὀφθαλμός
τοῦ RA--GSN--- ὁ
βλέπειν V1--PAN--- βλέπω
καὶ C--------- καί
οὐ D--------- οὐ
βλέπουσιν V1--PAI3P- βλέπω
καὶ C--------- καί
ὦτα N3T-APN--- οὖς
ἔχουσιν V1--PAI3P- ἔχω
τοῦ RA--GSN--- ὁ
ἀκούειν V1--PAN--- ἀκούω
καὶ C--------- καί
οὐκ D--------- οὐ
ἀκούουσιν V1--PAI3P- ἀκούω
διότι C--------- διότι
οἶκος N2--NSM--- οἶκος
παραπικραίνων V1--PAPNSM πικραίνω παρα
ἐστίν V9--PAI3S- εἰμί

Eze 12:3
καὶ C--------- καί
σύ RP--NS---- σύ
υἱὲ N2--VSM--- υἱός
ἀνθρώπου N2--GSM--- ἄνθρωπος
ποίησον VA--AAD2S- ποιέω
σεαυτῷ RD--DSM--- σεαυτοῦ
σκεύη N3E-APN--- σκεῦος
αἰχμαλωσίας N1A-GSF--- αἰχμαλωσία
ἡμέρας N1A-GSF--- ἡμέρα
ἐνώπιον P--------- ἐνώπιον
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
αἰχμαλωτευθήσῃ VC--FPI2S- αἰχμαλωτεύω
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
τόπου N2--GSM--- τόπος
σου RP--GS---- σύ
εἰς P--------- εἰς
ἕτερον A1A-ASM--- ἕτερος
τόπον N2--ASM--- τόπος
ἐνώπιον P--------- ἐνώπιον
αὐτῶν RD--GPM--- αὐτός
ὅπως C--------- ὅπως
ἴδωσιν VB--AAS3P- ὁράω
διότι C--------- διότι
οἶκος N2--NSM--- οἶκος
παραπικραίνων V1--PAPNSM πικραίνω παρα
ἐστίν V9--PAI3S- εἰμί

Eze 12:4
καὶ C--------- καί
ἐξοίσεις VF--FAI2S- φέρω ἐκ
τὰ RA--APN--- ὁ
σκεύη N3E-APN--- σκεῦος
σου RP--GS---- σύ
ὡς C--------- ὡς
σκεύη N3E-APN--- σκεῦος
αἰχμαλωσίας N1A-GSF--- αἰχμαλωσία
ἡμέρας N1A-GSF--- ἡμέρα
κατ' P--------- κατά
ὀφθαλμοὺς N2--APM--- ὀφθαλμός
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
σὺ RP--NS---- σύ
ἐξελεύσῃ VF--FMI2S- ἔρχομαι ἐκ
ἑσπέρας N1A-GSF--- ἑσπέρα
ὡς C--------- ὡς
ἐκπορεύεται V1--PMI3S- πορεύομαι ἐκ
αἰχμάλωτος A1B-NSM--- αἰχμάλωτος

Eze 12:5
ἐνώπιον P--------- ἐνώπιον
αὐτῶν RD--GPM--- αὐτός
διόρυξον VA--AAD2S- ὀρύσσω δια
σεαυτῷ RD--DSM--- σεαυτοῦ
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
τοῖχον N2--ASM--- τοῖχος
καὶ C--------- καί
διεξελεύσῃ VF--FMI2S- ἔρχομαι δια ἐκ
δι' P--------- διά
αὐτοῦ RD--GSM--- αὐτός

Eze 12:6
ἐνώπιον P--------- ἐνώπιον
αὐτῶν RD--GPM--- αὐτός
ἐπ' P--------- ἐπί
ὤμων N2--GPM--- ὦμος
ἀναλημφθήσῃ VC--FPI2S- λαμβάνω ἀνα
καὶ C--------- καί
κεκρυμμένος VP--XPPNSM κρύπτω
ἐξελεύσῃ VF--FMI2S- ἔρχομαι ἐκ
τὸ RA--NSN--- ὁ
πρόσωπόν N2N-NSN--- πρόσωπον
σου RP--GS---- σύ
συγκαλύψεις VF--FAI2S- καλύπτω συν
καὶ C--------- καί
οὐ D--------- οὐ
μὴ D--------- μή
ἴδῃς VB--AAS2S- ὁράω
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
διότι C--------- διότι
τέρας N3T-ASN--- τέρας
δέδωκά VX--XAI1S- δίδωμι
σε RP--AS---- σύ
τῷ RA--DSM--- ὁ
οἴκῳ N2--DSM--- οἶκος
Ισραηλ N---GSM--- Ἰσραήλ

Eze 12:7
καὶ C--------- καί
ἐποίησα VAI-AAI1S- ποιέω
οὕτως D--------- οὕτως
κατὰ P--------- κατά
πάντα A3--APN--- πᾶς
ὅσα A1--APN--- ὅσος
ἐνετείλατό VAI-AMI3S- τέλλομαι ἐν
μοι RP--DS---- ἐγώ
καὶ C--------- καί
σκεύη N3E-APN--- σκεῦος
ἐξήνεγκα VAI-AAI1S- φέρω ἐκ
ὡς C--------- ὡς
σκεύη N3E-APN--- σκεῦος
αἰχμαλωσίας N1A-GSF--- αἰχμαλωσία
ἡμέρας N1A-GSF--- ἡμέρα
καὶ C--------- καί
ἑσπέρας N1A-GSF--- ἑσπέρα
διώρυξα VAI-AAI1S- ὀρύσσω δια
ἐμαυτῷ RD--DSM--- ἐμαυτοῦ
τὸν RA--ASM--- ὁ
τοῖχον N2--ASM--- τοῖχος
καὶ C--------- καί
κεκρυμμένος VP--XPPNSM κρύπτω
ἐξῆλθον VBI-AAI1S- ἔρχομαι ἐκ
ἐπ' P--------- ἐπί
ὤμων N2--GPM--- ὦμος
ἀνελήμφθην VVI-API1S- λαμβάνω ἀνα
ἐνώπιον P--------- ἐνώπιον
αὐτῶν RD--GPM--- αὐτός

Eze 12:8
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
λόγος N2--NSM--- λόγος
κυρίου N2--GSM--- κύριος
πρός P--------- πρός
με RP--AS---- ἐγώ
τὸ RA--ASN--- ὁ
πρωὶ D--------- πρωΐ
λέγων V1--PAPNSM λέγω

Eze 12:9
υἱὲ N2--VSM--- υἱός
ἀνθρώπου N2--GSM--- ἄνθρωπος
οὐκ D--------- οὐ
εἶπαν VAI-AAI3P- εἶπον
πρὸς P--------- πρός
σὲ RP--AS---- σύ
ὁ RA--NSM--- ὁ
οἶκος N2--NSM--- οἶκος
τοῦ RA--GSM--- ὁ
Ισραηλ N---GSM--- Ἰσραήλ
οἶκος N2--NSM--- οἶκος
ὁ RA--NSM--- ὁ
παραπικραίνων V1--PAPNSM πικραίνω παρα
τί RI--ASN--- τίς
σὺ RP--NS---- σύ
ποιεῖς V2--PAI2S- ποιέω

Eze 12:10
εἰπὸν VB--AAD2S- εἶπον
πρὸς P--------- πρός
αὐτούς RD--APM--- αὐτός
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
ἄρχων N3--NSM--- ἄρχων
καὶ C--------- καί
ὁ RA--NSM--- ὁ
ἀφηγούμενος V2--PMPNSM ἡγέομαι ἀπο
ἐν P--------- ἐν
Ιερουσαλημ N---DSF--- Ἰερουσαλήμ
καὶ C--------- καί
παντὶ A3--DSM--- πᾶς
οἴκῳ N2--DSM--- οἶκος
Ισραηλ N---DSM--- Ἰσραήλ
οἵ RR--NPM--- ὅς
εἰσιν V9--PAI3P- εἰμί
ἐν P--------- ἐν
μέσῳ A1--DSN--- μέσος
αὐτῶν RD--GPM--- αὐτός

Eze 12:11
εἰπὸν VB--AAD2S- εἶπον
ὅτι C--------- ὅτι
ἐγὼ RP--NS---- ἐγώ
τέρατα N3T-ASN--- τέρας
ποιῶ V2--PAI1S- ποιέω
ἐν P--------- ἐν
μέσῳ A1--DSN--- μέσος
αὐτῆς RD--GSF--- αὐτός
ὃν RR--ASM--- ὅς
τρόπον N2--ASM--- τρόπος
πεποίηκα VX--XAI1S- ποιέω
οὕτως D--------- οὕτως
ἔσται VF--FMI3S- εἰμί
αὐτοῖς RD--DPM--- αὐτός
ἐν P--------- ἐν
μετοικεσίᾳ N1A-DSF--- μετοικεσία
καὶ C--------- καί
ἐν P--------- ἐν
αἰχμαλωσίᾳ N1A-DSF--- αἰχμαλωσία
πορεύσονται VF--FMI3P- πορεύομαι

Eze 12:12
καὶ C--------- καί
ὁ RA--NSM--- ὁ
ἄρχων N3--NSM--- ἄρχων
ἐν P--------- ἐν
μέσῳ A1--DSN--- μέσος
αὐτῶν RD--GPM--- αὐτός
ἐπ' P--------- ἐπί
ὤμων N2--GPM--- ὦμος
ἀρθήσεται VC--FPI3S- αἴρω
καὶ C--------- καί
κεκρυμμένος VP--XPPNSM κρύπτω
ἐξελεύσεται VF--FMI3S- ἔρχομαι ἐκ
διὰ P--------- διά
τοῦ RA--GSM--- ὁ
τοίχου N2--GSM--- τοῖχος
καὶ C--------- καί
διορύξει VF--FAI3S- ὀρύσσω δια
τοῦ RA--GSN--- ὁ
ἐξελθεῖν VB--AAN--- ἔρχομαι ἐκ
αὐτὸν RD--ASM--- αὐτός
δι' P--------- διά
αὐτοῦ RD--GSM--- αὐτός
τὸ RA--ASN--- ὁ
πρόσωπον N2N-ASN--- πρόσωπον
αὐτοῦ RD--GSM--- αὐτός
συγκαλύψει VF--FAI3S- καλύπτω συν
ὅπως C--------- ὅπως
μὴ D--------- μή
ὁραθῇ VC--APS3S- ὁράω
ὀφθαλμῷ N2--DSM--- ὀφθαλμός
καὶ C--------- καί
αὐτὸς RD--NSM--- αὐτός
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
οὐκ D--------- οὐ
ὄψεται VF--FMI3S- ὁράω

Eze 12:13
καὶ C--------- καί
ἐκπετάσω VF2-FAI1S- πεταννύω ἐκ
τὸ RA--ASN--- ὁ
δίκτυόν N2N-ASN--- δίκτυον
μου RP--GS---- ἐγώ
ἐπ' P--------- ἐπί
αὐτόν RD--ASM--- αὐτός
καὶ C--------- καί
συλλημφθήσεται VV--FPI3S- λαμβάνω συν
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
περιοχῇ N1--DSF--- περιοχή
μου RP--GS---- ἐγώ
καὶ C--------- καί
ἄξω VF--FAI1S- ἄγω
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
Βαβυλῶνα N3W-ASF--- Βαβυλών
εἰς P--------- εἰς
γῆν N1--ASF--- γῆ
Χαλδαίων N2--GPM--- Χαλδαῖος
καὶ C--------- καί
αὐτὴν RD--ASF--- αὐτός
οὐκ D--------- οὐ
ὄψεται VF--FMI3S- ὁράω
καὶ C--------- καί
ἐκεῖ D--------- ἐκεῖ
τελευτήσει VF--FAI3S- τελευτάω

Eze 12:14
καὶ C--------- καί
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
κύκλῳ N2--DSM--- κύκλος
αὐτοῦ RD--GSM--- αὐτός
τοὺς RA--APM--- ὁ
βοηθοὺς N2--APM--- βοηθός
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
ἀντιλαμβανομένους V1--PMPAPM λαμβάνω ἀντι
αὐτοῦ RD--GSM--- αὐτός
διασπερῶ VF2-FAI1S- σπείρω δια
εἰς P--------- εἰς
πάντα A3--ASM--- πᾶς
ἄνεμον N2--ASM--- ἄνεμος
καὶ C--------- καί
ῥομφαίαν N1A-ASF--- ῥομφαία
ἐκκενώσω VF--FAI1S- κενόω ἐκ
ὀπίσω P--------- ὀπίσω
αὐτῶν RD--GPM--- αὐτός

Eze 12:15
καὶ C--------- καί
γνώσονται VF--FMI3P- γιγνώσκω
διότι C--------- διότι
ἐγὼ RP--NS---- ἐγώ
κύριος N2--NSM--- κύριος
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
διασκορπίσαι VA--AAN--- σκορπίζω δια
με RP--AS---- ἐγώ
αὐτοὺς RD--APM--- αὐτός
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
ἔθνεσιν N3E-DPN--- ἔθνος
καὶ C--------- καί
διασπερῶ VF2-FAI1S- σπείρω δια
αὐτοὺς RD--APM--- αὐτός
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
χώραις N1A-DPF--- χώρα

Eze 12:16
καὶ C--------- καί
ὑπολείψομαι VF--FMI1S- λείπω ὑπο
ἐξ P--------- ἐκ
αὐτῶν RD--GPM--- αὐτός
ἄνδρας N3--APM--- ἀνήρ
ἀριθμῷ N2--DSM--- ἀριθμός
ἐκ P--------- ἐκ
ῥομφαίας N1A-GSF--- ῥομφαία
καὶ C--------- καί
ἐκ P--------- ἐκ
λιμοῦ N2--GSM--- λιμός
καὶ C--------- καί
ἐκ P--------- ἐκ
θανάτου N2--GSM--- θάνατος
ὅπως C--------- ὅπως
ἐκδιηγῶνται V2--PMS3P- ἡγέομαι ἐκ δια
πάσας A1S-APF--- πᾶς
τὰς RA--APF--- ὁ
ἀνομίας N1A-APF--- ἀνομία
αὐτῶν RD--GPM--- αὐτός
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
ἔθνεσιν N3E-DPN--- ἔθνος
οὗ RR--GSM--- ὅς
εἰσήλθοσαν VBI-AAI3P- ἔρχομαι εἰς
ἐκεῖ D--------- ἐκεῖ
καὶ C--------- καί
γνώσονται VF--FMI3P- γιγνώσκω
ὅτι C--------- ὅτι
ἐγὼ RP--NS---- ἐγώ
κύριος N2--NSM--- κύριος

Eze 12:17
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
λόγος N2--NSM--- λόγος
κυρίου N2--GSM--- κύριος
πρός P--------- πρός
με RP--AS---- ἐγώ
λέγων V1--PAPNSM λέγω

Eze 12:18
υἱὲ N2--VSM--- υἱός
ἀνθρώπου N2--GSM--- ἄνθρωπος
τὸν RA--ASM--- ὁ
ἄρτον N2--ASM--- ἄρτος
σου RP--GS---- σύ
μετ' P--------- μετά
ὀδύνης N1--GSF--- ὀδύνη
φάγεσαι VF--FMI2S- ἐσθίω
καὶ C--------- καί
τὸ RA--ASN--- ὁ
ὕδωρ N3--ASN--- ὕδωρ
σου RP--GS---- σύ
μετὰ P--------- μετά
βασάνου N2--GSF--- βάσανος
καὶ C--------- καί
θλίψεως N3I-GSF--- θλῖψις
πίεσαι VF--FMI2S- πίνω

Eze 12:19
καὶ C--------- καί
ἐρεῖς VF2-FAI2S- εἶπον
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
λαὸν N2--ASM--- λαός
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
τοῖς RA--DPM--- ὁ
κατοικοῦσιν V2--PAPDPM οἰκέω κατα
Ιερουσαλημ N---ASF--- Ἰερουσαλήμ
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
τοῦ RA--GSM--- ὁ
Ισραηλ N---GSM--- Ἰσραήλ
τοὺς RA--APM--- ὁ
ἄρτους N2--APM--- ἄρτος
αὐτῶν RD--GPM--- αὐτός
μετ' P--------- μετά
ἐνδείας N1A-GSF--- ἔνδεια
φάγονται VF--FMI3P- ἐσθίω
καὶ C--------- καί
τὸ RA--ASN--- ὁ
ὕδωρ N3--ASN--- ὕδωρ
αὐτῶν RD--GPM--- αὐτός
μετὰ P--------- μετά
ἀφανισμοῦ N2--GSM--- ἀφανισμός
πίονται VF--FMI3P- πίνω
ὅπως C--------- ὅπως
ἀφανισθῇ VS--APS3S- ἵζω ἀπο ἀνα
ἡ RA--NSF--- ὁ
γῆ N1--NSF--- γῆ
σὺν P--------- σύν
πληρώματι N3M-DSN--- πλήρωμα
αὐτῆς RD--GSF--- αὐτός
ἐν P--------- ἐν
ἀσεβείᾳ N1A-DSF--- ἀσέβεια
γὰρ X--------- γάρ
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
κατοικοῦντες V2--PAPNPM οἰκέω κατα
ἐν P--------- ἐν
αὐτῇ RD--DSF--- αὐτός

Eze 12:20
καὶ C--------- καί
αἱ RA--NPF--- ὁ
πόλεις N3I-NPF--- πόλις
αὐτῶν RD--GPM--- αὐτός
αἱ RA--NPF--- ὁ
κατοικούμεναι V2--PMPNPF οἰκέω κατα
ἐξερημωθήσονται VC--FPI3P- ἐρημόω ἐκ
καὶ C--------- καί
ἡ RA--NSF--- ὁ
γῆ N1--NSF--- γῆ
εἰς P--------- εἰς
ἀφανισμὸν N2--ASM--- ἀφανισμός
ἔσται VF--FMI3S- εἰμί
καὶ C--------- καί
ἐπιγνώσεσθε VF--FMI2P- γιγνώσκω ἐπι
διότι C--------- διότι
ἐγὼ RP--NS---- ἐγώ
κύριος N2--NSM--- κύριος

Eze 12:21
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
λόγος N2--NSM--- λόγος
κυρίου N2--GSM--- κύριος
πρός P--------- πρός
με RP--AS---- ἐγώ
λέγων V1--PAPNSM λέγω

Eze 12:22
υἱὲ N2--VSM--- υἱός
ἀνθρώπου N2--GSM--- ἄνθρωπος
τίς RI--NSM--- τίς
ὑμῖν RP--DP---- σύ
ἡ RA--NSF--- ὁ
παραβολὴ N1--NSF--- παραβολή
αὕτη RD--NSF--- οὗτος
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
τοῦ RA--GSM--- ὁ
Ισραηλ N---GSM--- Ἰσραήλ
λέγοντες V1--PAPNPM λέγω
μακρὰν D--------- μακράν
αἱ RA--NPF--- ὁ
ἡμέραι N1A-NPF--- ἡμέρα
ἀπόλωλεν VX--XAI3S- ὀλλύω ἀπο
ὅρασις N3I-NSF--- ὅρασις

Eze 12:23
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
εἰπὸν VB--AAD2S- εἶπον
πρὸς P--------- πρός
αὐτούς RD--APM--- αὐτός
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ἀποστρέψω VF--FAI1S- στρέφω ἀπο
τὴν RA--ASF--- ὁ
παραβολὴν N1--ASF--- παραβολή
ταύτην RD--ASF--- οὗτος
καὶ C--------- καί
οὐκέτι D--------- οὐκέτι
μὴ D--------- μή
εἴπωσιν VB--AAS3P- εἶπον
τὴν RA--ASF--- ὁ
παραβολὴν N1--ASF--- παραβολή
ταύτην RD--ASF--- οὗτος
οἶκος N2--NSM--- οἶκος
τοῦ RA--GSM--- ὁ
Ισραηλ N---GSM--- Ἰσραήλ
ὅτι C--------- ὅτι
λαλήσεις VF--FAI2S- λαλέω
πρὸς P--------- πρός
αὐτούς RD--APM--- αὐτός
ἠγγίκασιν VX--XAI3P- ἐγγίζω
αἱ RA--NPF--- ὁ
ἡμέραι N1A-NPF--- ἡμέρα
καὶ C--------- καί
λόγος N2--NSM--- λόγος
πάσης A1S-GSF--- πᾶς
ὁράσεως N3I-GSF--- ὅρασις

Eze 12:24
ὅτι C--------- ὅτι
οὐκ D--------- οὐ
ἔσται VF--FMI3S- εἰμί
ἔτι D--------- ἔτι
πᾶσα A1S-NSF--- πᾶς
ὅρασις N3I-NSF--- ὅρασις
ψευδὴς A3H-NSF--- ψευδής
καὶ C--------- καί
μαντευόμενος V1--PMPNSM μαντεύομαι
τὰ RA--APN--- ὁ
πρὸς P--------- πρός
χάριν N3--ASF--- χάρις
ἐν P--------- ἐν
μέσῳ A1--DSN--- μέσος
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ

Eze 12:25
διότι C--------- διότι
ἐγὼ RP--NS---- ἐγώ
κύριος N2--NSM--- κύριος
λαλήσω VF--FAI1S- λαλέω
τοὺς RA--APM--- ὁ
λόγους N2--APM--- λόγος
μου RP--GS---- ἐγώ
λαλήσω VF--FAI1S- λαλέω
καὶ C--------- καί
ποιήσω VF--FAI1S- ποιέω
καὶ C--------- καί
οὐ D--------- οὐ
μὴ D--------- μή
μηκύνω V1--PAI1S- μηκύνω
ἔτι D--------- ἔτι
ὅτι C--------- ὅτι
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἡμέραις N1A-DPF--- ἡμέρα
ὑμῶν RP--GP---- σύ
οἶκος N2--NSM--- οἶκος
ὁ RA--NSM--- ὁ
παραπικραίνων V1--PAPNSM πικραίνω παρα
λαλήσω VF--FAI1S- λαλέω
λόγον N2--ASM--- λόγος
καὶ C--------- καί
ποιήσω VF--FAI1S- ποιέω
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος

Eze 12:26
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
λόγος N2--NSM--- λόγος
κυρίου N2--GSM--- κύριος
πρός P--------- πρός
με RP--AS---- ἐγώ
λέγων V1--PAPNSM λέγω

Eze 12:27
υἱὲ N2--VSM--- υἱός
ἀνθρώπου N2--GSM--- ἄνθρωπος
ἰδοὺ I--------- ἰδού
οἶκος N2--NSM--- οἶκος
Ισραηλ N---GSM--- Ἰσραήλ
ὁ RA--NSM--- ὁ
παραπικραίνων V1--PAPNSM πικραίνω παρα
λέγοντες V1--PAPNPM λέγω
λέγουσιν V1--PAI3P- λέγω
ἡ RA--NSF--- ὁ
ὅρασις N3I-NSF--- ὅρασις
ἣν RR--ASF--- ὅς
οὗτος RD--NSM--- οὗτος
ὁρᾷ V3--PAI3S- ὁράω
εἰς P--------- εἰς
ἡμέρας N1A-APF--- ἡμέρα
πολλάς A1--APF--- πολύς
καὶ C--------- καί
εἰς P--------- εἰς
καιροὺς N2--APM--- καιρός
μακροὺς A1A-APM--- μακρός
οὗτος RD--NSM--- οὗτος
προφητεύει V1--PAI3S- προφητεύω

Eze 12:28
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
εἰπὸν VB--AAD2S- εἶπον
πρὸς P--------- πρός
αὐτούς RD--APM--- αὐτός
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
οὐ D--------- οὐ
μὴ D--------- μή
μηκύνωσιν V1--PAS3P- μηκύνω
οὐκέτι D--------- οὐκέτι
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
λόγοι N2--NPM--- λόγος
μου RP--GS---- ἐγώ
οὓς RR--APM--- ὅς
ἂν X--------- ἄν
λαλήσω VF--FAI1S- λαλέω
λαλήσω VF--FAI1S- λαλέω
καὶ C--------- καί
ποιήσω VF--FAI1S- ποιέω
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος

Eze 13:1
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
λόγος N2--NSM--- λόγος
κυρίου N2--GSM--- κύριος
πρός P--------- πρός
με RP--AS---- ἐγώ
λέγων V1--PAPNSM λέγω

Eze 13:2
υἱὲ N2--VSM--- υἱός
