2Ch 1:1
καὶ C--------- καί
λαοῦ N2--GSM--- λαός
σου RP--GS---- σύ
Ισραηλ N---GSM--- Ἰσραήλ
ἃ RR--APN--- ὅς
ἂν X--------- ἄν
προσεύξωνται VA--AMS3P- εὔχομαι προς
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
τόπον N2--ASM--- τόπος
τοῦτον RD--ASM--- οὗτος
καὶ C--------- καί
σὺ RP--NS---- σύ
εἰσακούσῃ VF--FAI2S- ἀκούω εἰς
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
τόπῳ N2--DSM--- τόπος
τῆς RA--GSF--- ὁ
κατοικήσεώς N3I-GSF--- κατοίκησις
σου RP--GS---- σύ
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
καὶ C--------- καί
ἀκούσῃ VF--FAI2S- ἀκούω
καὶ C--------- καί
ἵλεως A3--NSM--- ἵλεως
ἔσῃ VF--FAI2S- εἰμί

2Ch 6:22
ἐὰν C--------- ἐάν
ἁμάρτῃ VB--AAS3S- ἁμαρτάνω
ἀνὴρ N3--NSM--- ἀνήρ
τῷ RA--DSM--- ὁ
πλησίον D--------- πλησίον
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
λάβῃ VB--AAS3S- λαμβάνω
ἐπ' P--------- ἐπί
αὐτὸν RD--ASM--- αὐτός
ἀρὰν N1A-ASF--- ἀρά
τοῦ RA--GSN--- ὁ
ἀρᾶσθαι V3--PMN--- ἀράομαι
αὐτόν RD--ASM--- αὐτός
καὶ C--------- καί
ἔλθῃ VB--AAS3S- ἔρχομαι
καὶ C--------- καί
ἀράσηται VA--AMS3S- ἀράομαι
κατέναντι D--------- κατέναντι
τοῦ RA--GSN--- ὁ
θυσιαστηρίου N2N-GSN--- θυσιαστήριον
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
οἴκῳ N2--DSM--- οἶκος
τούτῳ RD--DSM--- οὗτος

2Ch 6:23
καὶ C--------- καί
σὺ RP--NS---- σύ
εἰσακούσῃ VF--FAI2S- ἀκούω εἰς
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
καὶ C--------- καί
ποιήσεις VF--FAI2S- ποιέω
καὶ C--------- καί
κρινεῖς VF2-FAI2S- κρίνω
τοὺς RA--APM--- ὁ
δούλους N2--APM--- δοῦλος
σου RP--GS---- σύ
τοῦ RA--GSN--- ὁ
ἀποδοῦναι VO--AAN--- δίδωμι ἀπο
τῷ RA--DSM--- ὁ
ἀνόμῳ A1B-DSM--- ἄνομος
καὶ C--------- καί
ἀποδοῦναι VO--AAN--- δίδωμι ἀπο
ὁδοὺς N2--APF--- ὁδός
αὐτοῦ RD--GSM--- αὐτός
εἰς P--------- εἰς
κεφαλὴν N1--ASF--- κεφαλή
αὐτοῦ RD--GSM--- αὐτός
τοῦ RA--GSN--- ὁ
δικαιῶσαι VA--AAN--- δικαιόω
δίκαιον A1A-ASM--- δίκαιος
τοῦ RA--GSN--- ὁ
ἀποδοῦναι VO--AAN--- δίδωμι ἀπο
αὐτῷ RD--DSM--- αὐτός
κατὰ P--------- κατά
τὴν RA--ASF--- ὁ
δικαιοσύνην N1--ASF--- δικαιοσύνη
αὐτοῦ RD--GSM--- αὐτός

2Ch 6:24
καὶ C--------- καί
ἐὰν C--------- ἐάν
θραυσθῇ VC--APS3S- θραύω
ὁ RA--NSM--- ὁ
λαός N2--NSM--- λαός
σου RP--GS---- σύ
Ισραηλ N---NSM--- Ἰσραήλ
κατέναντι D--------- κατέναντι
τοῦ RA--GSM--- ὁ
ἐχθροῦ A1A-GSM--- ἐχθρός
ἐὰν C--------- ἐάν
ἁμάρτωσίν VB--AAS3P- ἁμαρτάνω
σοι RP--DS---- σύ
καὶ C--------- καί
ἐπιστρέψωσιν VA--AAS3P- στρέφω ἐπι
καὶ C--------- καί
ἐξομολογήσωνται VA--AMS3P- ὁμολογέω ἐκ
τῷ RA--DSN--- ὁ
ὀνόματί N3M-DSN--- ὄνομα
σου RP--GS---- σύ
καὶ C--------- καί
προσεύξωνται VA--AMS3P- εὔχομαι προς
καὶ C--------- καί
δεηθῶσιν VC--APS3P- δέω
ἐναντίον P--------- ἐναντίον
σου RP--GS---- σύ
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
οἴκῳ N2--DSM--- οἶκος
τούτῳ RD--DSM--- οὗτος

2Ch 6:25
καὶ C--------- καί
σὺ RP--NS---- σύ
εἰσακούσῃ VF--FAI2S- ἀκούω εἰς
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
καὶ C--------- καί
ἵλεως A3--NSM--- ἵλεως
ἔσῃ VF--FAI2S- εἰμί
ταῖς RA--DPF--- ὁ
ἁμαρτίαις N1A-DPF--- ἁμαρτία
λαοῦ N2--GSM--- λαός
σου RP--GS---- σύ
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
ἀποστρέψεις VF--FAI2S- στρέφω ἀπο
αὐτοὺς RD--APM--- αὐτός
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
ἣν RR--ASF--- ὅς
ἔδωκας VAI-AAI2S- δίδωμι
αὐτοῖς RD--DPM--- αὐτός
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
πατράσιν N3--DPM--- πατήρ
αὐτῶν RD--GPM--- αὐτός

2Ch 6:26
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
συσχεθῆναι VC--APN--- ἔχω συν
τὸν RA--ASM--- ὁ
οὐρανὸν N2--ASM--- οὐρανός
καὶ C--------- καί
μὴ D--------- μή
γενέσθαι VB--AMN--- γίγνομαι
ὑετόν N2--ASM--- ὑετός
ὅτι C--------- ὅτι
ἁμαρτήσονταί VF--FMI3P- ἁμαρτάνω
σοι RP--DS---- σύ
καὶ C--------- καί
προσεύξονται VF--FMI3P- εὔχομαι προς
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
τόπον N2--ASM--- τόπος
τοῦτον RD--ASM--- οὗτος
καὶ C--------- καί
αἰνέσουσιν VF--FAI3P- αἰνέω
τὸ RA--ASN--- ὁ
ὄνομά N3M-ASN--- ὄνομα
σου RP--GS---- σύ
καὶ C--------- καί
ἀπὸ P--------- ἀπό
τῶν RA--GPF--- ὁ
ἁμαρτιῶν N1A-GPF--- ἁμαρτία
αὐτῶν RD--GPM--- αὐτός
ἐπιστρέψουσιν VF--FAI3P- στρέφω ἐπι
ὅτι C--------- ὅτι
ταπεινώσεις VF--FAI2S- ταπεινόω
αὐτούς RD--APM--- αὐτός

2Ch 6:27
καὶ C--------- καί
σὺ RP--NS---- σύ
εἰσακούσῃ VF--FAI2S- ἀκούω εἰς
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
καὶ C--------- καί
ἵλεως A3--NSM--- ἵλεως
ἔσῃ VF--FAI2S- εἰμί
ταῖς RA--DPF--- ὁ
ἁμαρτίαις N1A-DPF--- ἁμαρτία
τῶν RA--GPM--- ὁ
παίδων N3D-GPM--- παῖς
σου RP--GS---- σύ
καὶ C--------- καί
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
σου RP--GS---- σύ
Ισραηλ N---GSM--- Ἰσραήλ
ὅτι C--------- ὅτι
δηλώσεις VF--FAI2S- δηλόω
αὐτοῖς RD--DPM--- αὐτός
τὴν RA--ASF--- ὁ
ὁδὸν N2--ASF--- ὁδός
τὴν RA--ASF--- ὁ
ἀγαθήν A1--ASF--- ἀγαθός
ἐν P--------- ἐν
ᾗ RR--DSF--- ὅς
πορεύσονται VF--FMI3P- πορεύομαι
ἐν P--------- ἐν
αὐτῇ RD--DSF--- αὐτός
καὶ C--------- καί
δώσεις VF--FAI2S- δίδωμι
ὑετὸν N2--ASM--- ὑετός
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
σου RP--GS---- σύ
ἣν RR--ASF--- ὅς
ἔδωκας VAI-AAI2S- δίδωμι
τῷ RA--DSM--- ὁ
λαῷ N2--DSM--- λαός
σου RP--GS---- σύ
εἰς P--------- εἰς
κληρονομίαν N1A-ASF--- κληρονομία

2Ch 6:28
λιμὸς N2--NSM--- λιμός
ἐὰν C--------- ἐάν
γένηται VB--AMS3S- γίγνομαι
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
θάνατος N2--NSM--- θάνατος
ἐὰν C--------- ἐάν
γένηται VB--AMS3S- γίγνομαι
ἀνεμοφθορία N1A-NSF--- ἀνεμοφθορία
καὶ C--------- καί
ἴκτερος N2--NSM--- ἴκτερος
ἀκρὶς N3D-NSF--- ἀκρίς
καὶ C--------- καί
βροῦχος N2--NSM--- βροῦχος
ἐὰν C--------- ἐάν
γένηται VB--AMS3S- γίγνομαι
ἐὰν C--------- ἐάν
θλίψῃ VF--FMI2S- θλίβω
αὐτὸν RD--ASM--- αὐτός
ὁ RA--NSM--- ὁ
ἐχθρὸς A1A-NSM--- ἐχθρός
κατέναντι D--------- κατέναντι
τῶν RA--GPF--- ὁ
πόλεων N3I-GPF--- πόλις
αὐτῶν RD--GPM--- αὐτός
κατὰ P--------- κατά
πᾶσαν A1S-ASF--- πᾶς
πληγὴν N1--ASF--- πληγή
καὶ C--------- καί
πᾶν A3--ASN--- πᾶς
πόνον N2--ASN--- πόνος

2Ch 6:29
καὶ C--------- καί
πᾶσα A1S-NSF--- πᾶς
προσευχὴ N1--NSF--- προσευχή
καὶ C--------- καί
πᾶσα A1S-NSF--- πᾶς
δέησις N3I-NSF--- δέησις
ἣ RR--NSF--- ὅς
ἐὰν C--------- ἐάν
γένηται VB--AMS3S- γίγνομαι
παντὶ A3--DSM--- πᾶς
ἀνθρώπῳ N2--DSM--- ἄνθρωπος
καὶ C--------- καί
παντὶ A3--DSM--- πᾶς
λαῷ N2--DSM--- λαός
σου RP--GS---- σύ
Ισραηλ N---DSM--- Ἰσραήλ
ἐὰν C--------- ἐάν
γνῷ VZ--AAS3S- γιγνώσκω
ἄνθρωπος N2--NSM--- ἄνθρωπος
τὴν RA--ASF--- ὁ
ἁφὴν N1--ASF--- ἁφή
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
τὴν RA--ASF--- ὁ
μαλακίαν N1A-ASF--- μαλακία
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
διαπετάσῃ VA--AAS3S- πετάζω δια
τὰς RA--APF--- ὁ
χεῖρας N3--APF--- χείρ
αὐτοῦ RD--GSM--- αὐτός
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
τοῦτον RD--ASM--- οὗτος

2Ch 6:30
καὶ C--------- καί
σὺ RP--NS---- σύ
εἰσακούσῃ VF--FAI2S- ἀκούω εἰς
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
ἐξ P--------- ἐκ
ἑτοίμου A1--GSN--- ἕτοιμος
κατοικητηρίου N2--GSN--- κατοικητήριον
σου RP--GS---- σύ
καὶ C--------- καί
ἱλάσῃ VF--FMI2S- ἱλάσκομαι
καὶ C--------- καί
δώσεις VF--FAI2S- δίδωμι
ἀνδρὶ N3--DSM--- ἀνήρ
κατὰ P--------- κατά
τὰς RA--APF--- ὁ
ὁδοὺς N2--APF--- ὁδός
αὐτοῦ RD--GSM--- αὐτός
ὡς C--------- ὡς
ἂν X--------- ἄν
γνῷς VZ--AAS2S- γιγνώσκω
τὴν RA--ASF--- ὁ
καρδίαν N1A-ASF--- καρδία
αὐτοῦ RD--GSM--- αὐτός
ὅτι C--------- ὅτι
μόνος A1--NSM--- μόνος
γινώσκεις V1--PAI2S- γιγνώσκω
τὴν RA--ASF--- ὁ
καρδίαν N1A-ASF--- καρδία
υἱῶν N2--GPM--- υἱός
ἀνθρώπων N2--GPM--- ἄνθρωπος

2Ch 6:31
ὅπως C--------- ὅπως
φοβῶνται V2--PMS3P- φοβέω
τὰς RA--APF--- ὁ
ὁδούς N2--APF--- ὁδός
σου RP--GS---- σύ
πάσας A1S-APF--- πᾶς
τὰς RA--APF--- ὁ
ἡμέρας N1A-APF--- ἡμέρα
ἃς RR--APF--- ὅς
αὐτοὶ RD--NPM--- αὐτός
ζῶσιν V3--PAS3P- ζάω
ἐπὶ P--------- ἐπί
προσώπου N2N-GSN--- πρόσωπον
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ἧς RR--GSF--- ὅς
ἔδωκας VAI-AAI2S- δίδωμι
τοῖς RA--DPM--- ὁ
πατράσιν N3--DPM--- πατήρ
ἡμῶν RP--GP---- ἐγώ

2Ch 6:32
καὶ C--------- καί
πᾶς A3--NSM--- πᾶς
ἀλλότριος A1A-NSM--- ἀλλότριος
ὃς RR--NSM--- ὅς
οὐκ D--------- οὐ
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
σου RP--GS---- σύ
Ισραηλ N---GSM--- Ἰσραήλ
ἐστὶν V9--PAI3S- εἰμί
αὐτὸς RD--NSM--- αὐτός
καὶ C--------- καί
ἔλθῃ VB--AAS3S- ἔρχομαι
ἐκ P--------- ἐκ
γῆς N1--GSF--- γῆ
μακρόθεν D--------- μακρόθεν
διὰ P--------- διά
τὸ RA--ASN--- ὁ
ὄνομά N3M-ASN--- ὄνομα
σου RP--GS---- σύ
τὸ RA--ASN--- ὁ
μέγα A1P-ASN--- μέγας
καὶ C--------- καί
τὴν RA--ASF--- ὁ
χεῖρά N3--ASF--- χείρ
σου RP--GS---- σύ
τὴν RA--ASF--- ὁ
κραταιὰν A1A-ASF--- κραταιός
καὶ C--------- καί
τὸν RA--ASM--- ὁ
βραχίονά N3N-ASM--- βραχίων
σου RP--GS---- σύ
τὸν RA--ASM--- ὁ
ὑψηλὸν A1--ASM--- ὑψηλός
καὶ C--------- καί
ἔλθωσιν VB--AAS3P- ἔρχομαι
καὶ C--------- καί
προσεύξωνται VA--AMS3P- εὔχομαι προς
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
τόπον N2--ASM--- τόπος
τοῦτον RD--ASM--- οὗτος

2Ch 6:33
καὶ C--------- καί
εἰσακούσῃ VF--FAI2S- ἀκούω εἰς
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
ἐξ P--------- ἐκ
ἑτοίμου A1--GSN--- ἕτοιμος
κατοικητηρίου N2--GSN--- κατοικητήριον
σου RP--GS---- σύ
καὶ C--------- καί
ποιήσεις VF--FAI2S- ποιέω
κατὰ P--------- κατά
πάντα A3--APN--- πᾶς
ὅσα A1--APN--- ὅσος
ἐὰν C--------- ἐάν
ἐπικαλέσηταί VA--AMS3S- καλέω ἐπι
σε RP--AS---- σύ
ὁ RA--NSM--- ὁ
ἀλλότριος A1A-NSM--- ἀλλότριος
ὅπως C--------- ὅπως
γνῶσιν VZ--AAS3P- γιγνώσκω
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
λαοὶ N2--NPM--- λαός
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
τὸ RA--ASN--- ὁ
ὄνομά N3M-ASN--- ὄνομα
σου RP--GS---- σύ
καὶ C--------- καί
τοῦ RA--GSN--- ὁ
φοβεῖσθαί V2--PMN--- φοβέω
σε RP--AS---- σύ
ὡς C--------- ὡς
ὁ RA--NSM--- ὁ
λαός N2--NSM--- λαός
σου RP--GS---- σύ
Ισραηλ N---NSM--- Ἰσραήλ
καὶ C--------- καί
τοῦ RA--GSN--- ὁ
γνῶναι VZ--AAN--- γιγνώσκω
ὅτι C--------- ὅτι
ἐπικέκληται VM--XMI3S- καλέω ἐπι
τὸ RA--NSN--- ὁ
ὄνομά N3M-NSN--- ὄνομα
σου RP--GS---- σύ
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
τοῦτον RD--ASM--- οὗτος
ὃν RR--ASM--- ὅς
ᾠκοδόμησα VAI-AAI1S- οἰκοδομέω

2Ch 6:34
ἐὰν C--------- ἐάν
δὲ X--------- δέ
ἐξέλθῃ VB--AAS3S- ἔρχομαι ἐκ
ὁ RA--NSM--- ὁ
λαός N2--NSM--- λαός
σου RP--GS---- σύ
εἰς P--------- εἰς
πόλεμον N2--ASM--- πόλεμος
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
ἐχθροὺς A1A-APM--- ἐχθρός
αὐτοῦ RD--GSM--- αὐτός
ἐν P--------- ἐν
ὁδῷ N2--DSF--- ὁδός
ᾗ RR--DSF--- ὅς
ἀποστελεῖς VF2-FAI2S- στέλλω ἀπο
αὐτούς RD--APM--- αὐτός
καὶ C--------- καί
προσεύξωνται VA--AMS3P- εὔχομαι προς
πρὸς P--------- πρός
σὲ RP--AS---- σύ
κατὰ P--------- κατά
τὴν RA--ASF--- ὁ
ὁδὸν N2--ASF--- ὁδός
τῆς RA--GSF--- ὁ
πόλεως N3I-GSF--- πόλις
ταύτης RD--GSF--- οὗτος
ἣν RR--ASF--- ὅς
ἐξελέξω VAI-AMI2S- λέγω ἐκ
ἐν P--------- ἐν
αὐτῇ RD--DSF--- αὐτός
καὶ C--------- καί
οἴκου N2--GSM--- οἶκος
οὗ RR--GSM--- ὅς
ᾠκοδόμησα VAI-AAI1S- οἰκοδομέω
τῷ RA--DSN--- ὁ
ὀνόματί N3M-DSN--- ὄνομα
σου RP--GS---- σύ

2Ch 6:35
καὶ C--------- καί
ἀκούσῃ VF--FAI2S- ἀκούω
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
τῆς RA--GSF--- ὁ
δεήσεως N3I-GSF--- δέησις
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
τῆς RA--GSF--- ὁ
προσευχῆς N1--GSF--- προσευχή
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ποιήσεις VF--FAI2S- ποιέω
τὸ RA--ASN--- ὁ
δικαίωμα N3M-ASN--- δικαίωμα
αὐτῶν RD--GPM--- αὐτός

2Ch 6:36
ὅτι C--------- ὅτι
ἁμαρτήσονταί VF--FMI3P- ἁμαρτάνω
σοι RP--DS---- σύ
ὅτι C--------- ὅτι
οὐκ D--------- οὐ
ἔσται VF--FMI3S- εἰμί
ἄνθρωπος N2--NSM--- ἄνθρωπος
ὃς RR--NSM--- ὅς
οὐχ D--------- οὐ
ἁμαρτήσεται VF--FMI3S- ἁμαρτάνω
καὶ C--------- καί
πατάξεις VF--FAI2S- πατάσσω
αὐτοὺς RD--APM--- αὐτός
καὶ C--------- καί
παραδώσεις VF--FAI2S- δίδωμι παρα
αὐτοὺς RD--APM--- αὐτός
κατὰ P--------- κατά
πρόσωπον N2N-ASN--- πρόσωπον
ἐχθρῶν A1A-GPM--- ἐχθρός
καὶ C--------- καί
αἰχμαλωτεύσουσιν VF--FAI3P- αἰχμαλωτεύω
οἱ RA--NPM--- ὁ
αἰχμαλωτεύοντες V1--PAPNPM αἰχμαλωτεύω
αὐτοὺς RD--APM--- αὐτός
εἰς P--------- εἰς
γῆν N1--ASF--- γῆ
ἐχθρῶν A1A-GPM--- ἐχθρός
εἰς P--------- εἰς
γῆν N1--ASF--- γῆ
μακρὰν D--------- μακράν
ἢ C--------- ἤ
ἐγγὺς D--------- ἐγγύς

2Ch 6:37
καὶ C--------- καί
ἐπιστρέψωσιν VA--AAS3P- στρέφω ἐπι
καρδίαν N1A-ASF--- καρδία
αὐτῶν RD--GPM--- αὐτός
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
γῇ N1--DSF--- γῆ
αὐτῶν RD--GPM--- αὐτός
οὗ RR--GSM--- ὅς
μετήχθησαν VQI-API3P- ἄγω μετα
ἐκεῖ D--------- ἐκεῖ
καί C--------- καί
γε X--------- γέ
ἐπιστρέψωσιν VA--AAS3P- στρέφω ἐπι
καὶ C--------- καί
δεηθῶσίν VC--APS3P- δέω
σου RP--GS---- σύ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
αἰχμαλωσίᾳ N1A-DSF--- αἰχμαλωσία
αὐτῶν RD--GPM--- αὐτός
λέγοντες V1--PAPNPM λέγω
ἡμάρτομεν VBI-AAI1P- ἁμαρτάνω
ἠδικήσαμεν VAI-AAI1P- ἀδικέω
ἠνομήσαμεν VAI-AAI1P- ἀνομέω

2Ch 6:38
καὶ C--------- καί
ἐπιστρέψωσιν VA--AAS3P- στρέφω ἐπι
πρὸς P--------- πρός
σὲ RP--AS---- σύ
ἐν P--------- ἐν
ὅλῃ A1--DSF--- ὅλος
καρδίᾳ N1A-DSF--- καρδία
καὶ C--------- καί
ἐν P--------- ἐν
ὅλῃ A1--DSF--- ὅλος
ψυχῇ N1--DSF--- ψυχή
αὐτῶν RD--GPM--- αὐτός
ἐν P--------- ἐν
γῇ N1--DSF--- γῆ
αἰχμαλωτευσάντων VA--AAPGPM αἰχμαλωτεύω
αὐτοὺς RD--APM--- αὐτός
καὶ C--------- καί
προσεύξωνται VA--AMS3P- εὔχομαι προς
ὁδὸν N2--ASF--- ὁδός
γῆς N1--GSF--- γῆ
αὐτῶν RD--GPM--- αὐτός
ἧς RR--GSF--- ὅς
ἔδωκας VAI-AAI2S- δίδωμι
τοῖς RA--DPM--- ὁ
πατράσιν N3--DPM--- πατήρ
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
τῆς RA--GSF--- ὁ
πόλεως N3I-GSF--- πόλις
ἧς RR--GSF--- ὅς
ἐξελέξω VAI-AMI2S- λέγω ἐκ
καὶ C--------- καί
τοῦ RA--GSM--- ὁ
οἴκου N2--GSM--- οἶκος
οὗ RR--GSM--- ὅς
ᾠκοδόμησα VAI-AAI1S- οἰκοδομέω
τῷ RA--DSN--- ὁ
ὀνόματί N3M-DSN--- ὄνομα
σου RP--GS---- σύ

2Ch 6:39
καὶ C--------- καί
ἀκούσῃ VF--FAI2S- ἀκούω
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
ἐξ P--------- ἐκ
ἑτοίμου A1--GSN--- ἕτοιμος
κατοικητηρίου N2--GSN--- κατοικητήριον
σου RP--GS---- σύ
τῆς RA--GSF--- ὁ
προσευχῆς N1--GSF--- προσευχή
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
τῆς RA--GSF--- ὁ
δεήσεως N3I-GSF--- δέησις
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ποιήσεις VF--FAI2S- ποιέω
κρίματα N3M-APN--- κρίμα
καὶ C--------- καί
ἵλεως A3--NSM--- ἵλεως
ἔσῃ VF--FMI2S- εἰμί
τῷ RA--DSM--- ὁ
λαῷ N2--DSM--- λαός
τῷ RA--DSM--- ὁ
ἁμαρτόντι VB--AAPDSM ἁμαρτάνω
σοι RP--DS---- σύ

2Ch 6:40
νῦν D--------- νῦν
κύριε N2--VSM--- κύριος
ἔστωσαν V9--PAD3P- εἰμί
δὴ X--------- δή
οἱ RA--NPM--- ὁ
ὀφθαλμοί N2--NPM--- ὀφθαλμός
σου RP--GS---- σύ
ἀνεῳγμένοι VK--XMPNPM οἴγω ἀνα
καὶ C--------- καί
τὰ RA--APN--- ὁ
ὦτά N3T-APN--- οὖς
σου RP--GS---- σύ
ἐπήκοα A1B-NPN--- ἐπήκοος
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
δέησιν N3I-ASF--- δέησις
τοῦ RA--GSM--- ὁ
τόπου N2--GSM--- τόπος
τούτου RD--GSM--- οὗτος

2Ch 6:41
καὶ C--------- καί
νῦν D--------- νῦν
ἀνάστηθι VH--AAD2S- ἵστημι ἀνα
κύριε N2--VSM--- κύριος
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
κατάπαυσίν N3I-ASF--- κατάπαυσις
σου RP--GS---- σύ
σὺ RP--NS---- σύ
καὶ C--------- καί
ἡ RA--NSF--- ὁ
κιβωτὸς N2--NSF--- κιβωτός
τῆς RA--GSF--- ὁ
ἰσχύος N3U-GSF--- ἰσχύς
σου RP--GS---- σύ
οἱ RA--NPM--- ὁ
ἱερεῖς N3V-NPM--- ἱερεύς
σου RP--GS---- σύ
κύριε N2--VSM--- κύριος
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
ἐνδύσαιντο VA--AMO3P- δύω ἐν
σωτηρίαν N1A-ASF--- σωτηρία
καὶ C--------- καί
οἱ RA--NPM--- ὁ
υἱοί N2--NPM--- υἱός
σου RP--GS---- σύ
εὐφρανθήτωσαν VC--APD3P- εὐφραίνω
ἐν P--------- ἐν
ἀγαθοῖς A1--DPM--- ἀγαθός

2Ch 6:42
κύριε N2--VSM--- κύριος
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
μὴ D--------- μή
ἀποστρέψῃς VA--AAS2S- στρέφω ἀπο
τὸ RA--ASN--- ὁ
πρόσωπον N2N-ASN--- πρόσωπον
τοῦ RA--GSM--- ὁ
χριστοῦ A1--GSM--- χριστός
σου RP--GS---- σύ
μνήσθητι VS--APD2S- μιμνήσκω
τὰ RA--APN--- ὁ
ἐλέη N3E-APN--- ἔλεος
Δαυιδ N---GSM--- Δαυίδ
τοῦ RA--GSM--- ὁ
δούλου N2--GSM--- δοῦλος
σου RP--GS---- σύ

2Ch 7:1
καὶ C--------- καί
ὡς C--------- ὡς
συνετέλεσεν VAI-AAI3S- τελέω συν
Σαλωμων N---NSM--- Σαλωμών
προσευχόμενος V1--PMPNSM εὔχομαι προς
καὶ C--------- καί
τὸ RA--ASN--- ὁ
πῦρ N3--ASN--- πῦρ
κατέβη VZI-AAI3S- βαίνω κατα
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
καὶ C--------- καί
κατέφαγεν VBI-AAI3S- ἐσθίω κατα
τὰ RA--APN--- ὁ
ὁλοκαυτώματα N3M-APN--- ὁλοκαύτωμα
καὶ C--------- καί
τὰς RA--APF--- ὁ
θυσίας N1A-APF--- θυσία
καὶ C--------- καί
δόξα N1S-NSF--- δόξα
κυρίου N2--GSM--- κύριος
ἔπλησεν VAI-AAI3S- πίμπλημι
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος

2Ch 7:2
καὶ C--------- καί
οὐκ D--------- οὐ
ἠδύναντο V6I-IMI3P- δύναμαι
οἱ RA--NPM--- ὁ
ἱερεῖς N3V-NPM--- ἱερεύς
εἰσελθεῖν VB--AAN--- ἔρχομαι εἰς
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
κυρίου N2--GSM--- κύριος
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
καιρῷ N2--DSM--- καιρός
ἐκείνῳ RD--DSM--- ἐκεῖνος
ὅτι C--------- ὅτι
ἔπλησεν VAI-AAI3S- πίμπλημι
δόξα N1S-NSF--- δόξα
κυρίου N2--GSM--- κύριος
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος

2Ch 7:3
καὶ C--------- καί
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
ἑώρων V3I-IAI3P- ὁράω
καταβαῖνον V1--PAPASN βαίνω κατα
τὸ RA--ASN--- ὁ
πῦρ N3--ASN--- πῦρ
καὶ C--------- καί
