Mic 1:1
ἐπονηρεύσαντο VAI-AMI3P- πονηρεύομαι
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
ἐπιτηδεύμασιν N3M-DPN--- ἐπιτήδευμα
αὐτῶν RD--GPM--- αὐτός
ἐπ' P--------- ἐπί
αὐτούς RD--APM--- αὐτός

Mic 3:5
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
προφήτας N1M-APM--- προφήτης
τοὺς RA--APM--- ὁ
πλανῶντας V3--PAPAPM πλανάω
τὸν RA--ASM--- ὁ
λαόν N2--ASM--- λαός
μου RP--GS---- ἐγώ
τοὺς RA--APM--- ὁ
δάκνοντας V1--PAPAPM δάκνω
ἐν P--------- ἐν
τοῖς RA--DPM--- ὁ
ὀδοῦσιν N3--DPM--- ὀδούς
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
κηρύσσοντας V1--PAPAPM κηρύσσω
ἐπ' P--------- ἐπί
αὐτὸν RD--ASM--- αὐτός
εἰρήνην N1--ASF--- εἰρήνη
καὶ C--------- καί
οὐκ D--------- οὐ
ἐδόθη VCI-API3S- δίδωμι
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
στόμα N3M-ASN--- στόμα
αὐτῶν RD--GPM--- αὐτός
ἤγειραν VAI-AAI3P- ἀγείρω
ἐπ' P--------- ἐπί
αὐτὸν RD--ASM--- αὐτός
πόλεμον N2--ASM--- πόλεμος

Mic 3:6
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
νὺξ N3--NSF--- νύξ
ὑμῖν RP--DP---- σύ
ἔσται V9--FMI3S- εἰμί
ἐξ P--------- ἐκ
ὁράσεως N3I-GSF--- ὅρασις
καὶ C--------- καί
σκοτία N1A-NSF--- σκοτία
ὑμῖν RP--DP---- σύ
ἔσται V9--FMI3S- εἰμί
ἐκ P--------- ἐκ
μαντείας N1A-GSF--- μαντεία
καὶ C--------- καί
δύσεται VF--FMI3S- δύω
ὁ RA--NSM--- ὁ
ἥλιος N2--NSM--- ἥλιος
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
προφήτας N1M-APM--- προφήτης
καὶ C--------- καί
συσκοτάσει VF--FAI3S- σκοτάζω συν
ἐπ' P--------- ἐπί
αὐτοὺς RD--APM--- αὐτός
ἡ RA--NSF--- ὁ
ἡμέρα N1A-NSF--- ἡμέρα

Mic 3:7
καὶ C--------- καί
καταισχυνθήσονται VC--FPI3P- αἰσχύνω κατα
οἱ RA--NPM--- ὁ
ὁρῶντες V3--PAPNPM ὁράω
τὰ RA--APN--- ὁ
ἐνύπνια N2N-APN--- ἐνύπνιον
καὶ C--------- καί
καταγελασθήσονται VC--FPI3P- γελάω κατα
οἱ RA--NPM--- ὁ
μάντεις N3I-NPM--- μάντις
καὶ C--------- καί
καταλαλήσουσιν VF--FAI3P- λαλέω κατα
κατ' P--------- κατά
αὐτῶν RD--GPM--- αὐτός
πάντες A3--NPM--- πᾶς
αὐτοί RD--NPM--- αὐτός
διότι C--------- διότι
οὐκ D--------- οὐ
ἔσται V9--FMI3S- εἰμί
ὁ RA--NSM--- ὁ
εἰσακούων V1--PAPNSM ἀκούω εἰς
αὐτῶν RD--GPM--- αὐτός

Mic 3:8
ἐὰν C--------- ἐάν
μὴ D--------- μή
ἐγὼ RP--NS---- ἐγώ
ἐμπλήσω VA--AAS1S- πίμπλημι ἐν
ἰσχὺν N3--ASF--- ἰσχύς
ἐν P--------- ἐν
πνεύματι N3M-DSN--- πνεῦμα
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
κρίματος N3M-GSN--- κρίμα
καὶ C--------- καί
δυναστείας N1A-GSF--- δυναστεία
τοῦ RA--GSN--- ὁ
ἀπαγγεῖλαι VA--AAN--- ἀγγέλλω ἀπο
τῷ RA--DSM--- ὁ
Ιακωβ N---DSM--- Ἰακώβ
ἀσεβείας N1A-APF--- ἀσέβεια
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
τῷ RA--DSM--- ὁ
Ισραηλ N---DSM--- Ἰσραήλ
ἁμαρτίας N1A-APF--- ἁμαρτία
αὐτοῦ RD--GSM--- αὐτός

Mic 3:9
ἀκούσατε VA--AAD2P- ἀκούω
δὴ X--------- δή
ταῦτα RD--APN--- οὗτος
οἱ RA--NPM--- ὁ
ἡγούμενοι V2--PMPNPM ἡγέομαι
οἴκου N2--GSM--- οἶκος
Ιακωβ N---GSM--- Ἰακώβ
καὶ C--------- καί
οἱ RA--NPM--- ὁ
κατάλοιποι A1B-NPM--- κατάλοιπος
οἴκου N2--GSM--- οἶκος
Ισραηλ N---GSM--- Ἰσραήλ
οἱ RA--NPM--- ὁ
βδελυσσόμενοι V1--PMPNPM βδελύσσω
κρίμα N3M-ASN--- κρίμα
καὶ C--------- καί
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
ὀρθὰ A1--APN--- ὀρθός
διαστρέφοντες V1--PAPNPM στρέφω δια

Mic 3:10
οἱ RA--NPM--- ὁ
οἰκοδομοῦντες V2--PAPNPM οἰκοδομέω
Σιων N---AS---- Σιων
ἐν P--------- ἐν
αἵμασιν N3M-DPN--- αἷμα
καὶ C--------- καί
Ιερουσαλημ N---ASF--- Ἰερουσαλήμ
ἐν P--------- ἐν
ἀδικίαις N1A-DPF--- ἀδικία

Mic 3:11
οἱ RA--NPM--- ὁ
ἡγούμενοι V2--PMPNPM ἡγέομαι
αὐτῆς RD--GSF--- αὐτός
μετὰ P--------- μετά
δώρων N2N-GPN--- δῶρον
ἔκρινον N2N-ASN--- κρίνον
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ἱερεῖς N3V-NPM--- ἱερεύς
αὐτῆς RD--GSF--- αὐτός
μετὰ P--------- μετά
μισθοῦ N2--GSM--- μισθός
ἀπεκρίνοντο V1I-IMI3P- κρίνω ἀπο
καὶ C--------- καί
οἱ RA--NPM--- ὁ
προφῆται N1M-NPM--- προφήτης
αὐτῆς RD--GSF--- αὐτός
μετὰ P--------- μετά
ἀργυρίου N2N-GSN--- ἀργύριον
ἐμαντεύοντο V1I-IMI3P- μαντεύομαι
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ἐπανεπαύοντο V1I-IMI3P- παύω ἐπι ἀνα
λέγοντες V1--PAPNPM λέγω
οὐχὶ D--------- οὐ
κύριος N2--NSM--- κύριος
ἐν P--------- ἐν
ἡμῖν RP--DP---- ἐγώ
ἐστιν V9--PAI3S- εἰμί
οὐ D--------- οὐ
μὴ D--------- μή
ἐπέλθῃ VB--AAS3S- ἔρχομαι ἐπι
ἐφ' P--------- ἐπί
ἡμᾶς RP--AP---- ἐγώ
κακά A1--NPN--- κακός

Mic 3:12
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
δι' P--------- διά
ὑμᾶς RP--AP---- σύ
Σιων N---NS---- Σιων
ὡς C--------- ὡς
ἀγρὸς N2--NSM--- ἀγρός
ἀροτριαθήσεται VC--FPI3S- ἀροτριάω
καὶ C--------- καί
Ιερουσαλημ N---NSF--- Ἰερουσαλήμ
ὡς C--------- ὡς
ὀπωροφυλάκιον N2N-NSN--- ὀπωροφυλάκιον
ἔσται V9--FMI3S- εἰμί
καὶ C--------- καί
τὸ RA--NSN--- ὁ
ὄρος N3E-NSN--- ὄρος
τοῦ RA--GSM--- ὁ
οἴκου N2--GSM--- οἶκος
ὡς C--------- ὡς
ἄλσος N3E-NSN--- ἄλσος
δρυμοῦ N2--GSM--- δρυμός

Mic 4:1
καὶ C--------- καί
ἔσται V9--FMI3S- εἰμί
ἐπ' P--------- ἐπί
ἐσχάτων A1--GPF--- ἔσχατος
τῶν RA--GPF--- ὁ
ἡμερῶν N1A-GPF--- ἡμέρα
ἐμφανὲς A3H-NSN--- ἐμφανής
τὸ RA--NSN--- ὁ
ὄρος N3E-NSN--- ὄρος
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος
ἕτοιμον A1--ASN--- ἕτοιμος
ἐπὶ P--------- ἐπί
τὰς RA--APF--- ὁ
κορυφὰς N1--APF--- κορυφή
τῶν RA--GPN--- ὁ
ὀρέων N3E-GPN--- ὄρος
καὶ C--------- καί
μετεωρισθήσεται VS--FPI3S- μετεωρίζω
ὑπεράνω D--------- ὑπεράνω
τῶν RA--GPM--- ὁ
βουνῶν N2--GPM--- βουνός
καὶ C--------- καί
σπεύσουσιν VF--FAI3P- σπεύδω
πρὸς P--------- πρός
αὐτὸ RD--ASN--- αὐτός
λαοί N2--NPM--- λαός

Mic 4:2
καὶ C--------- καί
πορεύσονται VF--FMI3P- πορεύομαι
ἔθνη N3E-NPN--- ἔθνος
πολλὰ A1--NPN--- πολύς
καὶ C--------- καί
ἐροῦσιν VF2-FAI3P- εἶπον
δεῦτε D--------- δεῦτε
ἀναβῶμεν VZ--AAS1P- βαίνω ἀνα
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
ὄρος N3E-ASN--- ὄρος
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
Ιακωβ N---GSM--- Ἰακώβ
καὶ C--------- καί
δείξουσιν VF--FAI3P- δεικνύω
ἡμῖν RP--DP---- ἐγώ
τὴν RA--ASF--- ὁ
ὁδὸν N2--ASF--- ὁδός
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
πορευσόμεθα VF--FMI1P- πορεύομαι
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
τρίβοις N2--DPF--- τρίβος
αὐτοῦ RD--GSM--- αὐτός
ὅτι C--------- ὅτι
ἐκ P--------- ἐκ
Σιων N---GS---- Σιων
ἐξελεύσεται VF--FMI3S- ἔρχομαι ἐκ
νόμος N2--NSM--- νόμος
καὶ C--------- καί
λόγος N2--NSM--- λόγος
κυρίου N2--GSM--- κύριος
ἐξ P--------- ἐκ
Ιερουσαλημ N---GSF--- Ἰερουσαλήμ

Mic 4:3
καὶ C--------- καί
κρινεῖ VF2-FAI3S- κρίνω
ἀνὰ P--------- ἀνά
μέσον A1--ASN--- μέσος
λαῶν N2--GPM--- λαός
πολλῶν A1--GPM--- πολύς
καὶ C--------- καί
ἐξελέγξει VF--FAI3S- ἐλέγχω ἐκ
ἔθνη N3E-APN--- ἔθνος
ἰσχυρὰ A1A-APN--- ἰσχυρός
ἕως P--------- ἕως
εἰς P--------- εἰς
γῆν N1--ASF--- γῆ
μακράν D--------- μακράν
καὶ C--------- καί
κατακόψουσιν VF--FAI3P- κόπτω κατα
τὰς RA--APF--- ὁ
ῥομφαίας N1A-APF--- ῥομφαία
αὐτῶν RD--GPM--- αὐτός
εἰς P--------- εἰς
ἄροτρα N2N-APN--- ἄροτρον
καὶ C--------- καί
τὰ RA--APN--- ὁ
δόρατα N3--APN--- δόρυ
αὐτῶν RD--GPM--- αὐτός
εἰς P--------- εἰς
δρέπανα N2N-APN--- δρέπανον
καὶ C--------- καί
οὐκέτι D--------- οὐκέτι
μὴ D--------- μή
ἀντάρῃ VA--AAS3S- αἴρω ἀντι
ἔθνος N3E-NSN--- ἔθνος
ἐπ' P--------- ἐπί
ἔθνος N3E-ASN--- ἔθνος
ῥομφαίαν N1A-ASF--- ῥομφαία
καὶ C--------- καί
οὐκέτι D--------- οὐκέτι
μὴ D--------- μή
μάθωσιν VB--AAS3P- μανθάνω
πολεμεῖν V2--PAN--- πολεμέω

Mic 4:4
καὶ C--------- καί
ἀναπαύσεται VF--FMI3S- παύω ἀνα
ἕκαστος A1--NSM--- ἕκαστος
ὑποκάτω P--------- ὑποκάτω
ἀμπέλου N2--GSF--- ἄμπελος
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἕκαστος A1--NSM--- ἕκαστος
ὑποκάτω P--------- ὑποκάτω
συκῆς N1--GSF--- συκῆ
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
οὐκ D--------- οὐ
ἔσται V9--FMI3S- εἰμί
ὁ RA--NSM--- ὁ
ἐκφοβῶν V2--PAPNSM φοβέω ἐκ
διότι C--------- διότι
τὸ RA--NSN--- ὁ
στόμα N3M-NSN--- στόμα
κυρίου N2--GSM--- κύριος
παντοκράτορος N3R-GSM--- παντοκράτωρ
ἐλάλησεν VAI-AAI3S- λαλέω
ταῦτα RD--APN--- οὗτος

Mic 4:5
ὅτι C--------- ὅτι
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
λαοὶ N2--NPM--- λαός
πορεύσονται VF--FMI3P- πορεύομαι
ἕκαστος A1--NSM--- ἕκαστος
τὴν RA--ASF--- ὁ
ὁδὸν N2--ASF--- ὁδός
αὐτοῦ RD--GSM--- αὐτός
ἡμεῖς RP--NP---- ἐγώ
δὲ X--------- δέ
πορευσόμεθα VF--FMI1P- πορεύομαι
ἐν P--------- ἐν
ὀνόματι N3M-DSN--- ὄνομα
κυρίου N2--GSM--- κύριος
θεοῦ N2--GSM--- θεός
ἡμῶν RP--GP---- ἐγώ
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
αἰῶνα N3W-ASM--- αἰών
καὶ C--------- καί
ἐπέκεινα D--------- ἐπέκεινα

Mic 4:6
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
ἐκείνῃ RD--DSF--- ἐκεῖνος
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
συνάξω VF--FAI1S- ἄγω συν
τὴν RA--ASF--- ὁ
συντετριμμένην VP--XPPASF τρίβω συν
καὶ C--------- καί
τὴν RA--ASF--- ὁ
ἐξωσμένην VT--XPPASF ὠθέω ἐκ
εἰσδέξομαι VF--FMI1S- δέχομαι εἰς
καὶ C--------- καί
οὓς RR--APM--- ὅς
ἀπωσάμην VAI-AMI1S- ὠθέω ἀπο

Mic 4:7
καὶ C--------- καί
θήσομαι VF--FMI1S- τίθημι
τὴν RA--ASF--- ὁ
συντετριμμένην VP--XPPASF τρίβω συν
εἰς P--------- εἰς
ὑπόλειμμα N3M-ASN--- ὑπόλειμμα
καὶ C--------- καί
τὴν RA--ASF--- ὁ
ἀπωσμένην VT--XPPASF ὠθέω ἀπο
εἰς P--------- εἰς
ἔθνος N3E-ASN--- ἔθνος
ἰσχυρόν A1A-ASN--- ἰσχυρός
καὶ C--------- καί
βασιλεύσει VF--FAI3S- βασιλεύω
κύριος N2--NSM--- κύριος
ἐπ' P--------- ἐπί
αὐτοὺς RD--APM--- αὐτός
ἐν P--------- ἐν
ὄρει N3E-DSN--- ὄρος
Σιων N---GS---- Σιων
ἀπὸ P--------- ἀπό
τοῦ RA--GSN--- ὁ
νῦν D--------- νῦν
καὶ C--------- καί
ἕως P--------- ἕως
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
αἰῶνα N3W-ASM--- αἰών

Mic 4:8
καὶ C--------- καί
σύ RP--NS---- σύ
πύργος N2--NSM--- πύργος
ποιμνίου N2N-GSN--- ποίμνιον
αὐχμώδης A3H-NSM--- αὐχμώδης
θύγατερ N3--VSF--- θυγάτηρ
Σιων N---GS---- Σιων
ἐπὶ P--------- ἐπί
σὲ RP--AS---- σύ
ἥξει VF--FAI3S- ἥκω
καὶ C--------- καί
εἰσελεύσεται VF--FMI3S- ἔρχομαι εἰς
ἡ RA--NSF--- ὁ
ἀρχὴ N1--NSF--- ἀρχή
ἡ RA--NSF--- ὁ
πρώτη A1--NSF--- πρῶτος
βασιλεία N1A-NSF--- βασιλεία
ἐκ P--------- ἐκ
Βαβυλῶνος N3W-GSF--- Βαβυλών
τῇ RA--DSF--- ὁ
θυγατρὶ N3--DSF--- θυγάτηρ
Ιερουσαλημ N---GSF--- Ἰερουσαλήμ

Mic 4:9
καὶ C--------- καί
νῦν D--------- νῦν
ἵνα C--------- ἵνα
τί RI--ASN--- τίς
ἔγνως VZI-AAI2S- γιγνώσκω
κακά A1--APN--- κακός
μὴ D--------- μή
βασιλεὺς N3V-NSM--- βασιλεύς
οὐκ D--------- οὐ
ἦν V9--IAI3S- εἰμί
σοι RP--DS---- σύ
ἢ C--------- ἤ
ἡ RA--NSF--- ὁ
βουλή N1--NSF--- βουλή
σου RP--GS---- σύ
ἀπώλετο VBI-AMI3S- ὀλλύω ἀπο
ὅτι C--------- ὅτι
κατεκράτησάν VAI-AAI3P- κρατέω κατα
σου RP--GS---- σύ
ὠδῖνες N3--NPF--- ὠδίν
ὡς C--------- ὡς
τικτούσης V1--PAPGSF τίκτω

Mic 4:10
ὤδινε V1--PAD2S- ὠδίνω
καὶ C--------- καί
ἀνδρίζου V1--PMD2S- ἀνδρίζομαι
καὶ C--------- καί
ἔγγιζε V1--PAD2S- ἐγγίζω
θύγατερ N3--VSF--- θυγάτηρ
Σιων N---GS---- Σιων
ὡς C--------- ὡς
τίκτουσα V1--PAPNSF τίκτω
διότι C--------- διότι
νῦν D--------- νῦν
ἐξελεύσῃ VF--FMI2S- ἔρχομαι ἐκ
ἐκ P--------- ἐκ
πόλεως N3I-GSF--- πόλις
καὶ C--------- καί
κατασκηνώσεις VF--FAI2S- σκηνόω κατα
ἐν P--------- ἐν
πεδίῳ N2N-DSN--- πεδίον
καὶ C--------- καί
ἥξεις VF--FAI2S- ἥκω
ἕως P--------- ἕως
Βαβυλῶνος N3W-GSF--- Βαβυλών
ἐκεῖθεν D--------- ἐκεῖθεν
ῥύσεταί VF--FMI3S- ῥύομαι
σε RP--AS---- σύ
καὶ C--------- καί
ἐκεῖθεν D--------- ἐκεῖθεν
λυτρώσεταί VF--FMI3S- λυτρόω
σε RP--AS---- σύ
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
σου RP--GS---- σύ
ἐκ P--------- ἐκ
χειρὸς N3--GSF--- χείρ
ἐχθρῶν N2--GPM--- ἐχθρός
σου RP--GS---- σύ

Mic 4:11
καὶ C--------- καί
νῦν D--------- νῦν
ἐπισυνήχθη VQI-API3S- ἄγω ἐπι συν
ἐπὶ P--------- ἐπί
σὲ RP--AS---- σύ
ἔθνη N3E-NPN--- ἔθνος
πολλὰ A1--NPN--- πολύς
οἱ RA--NPM--- ὁ
λέγοντες V1--PAPNPM λέγω
ἐπιχαρούμεθα VF--FMI1P- χαίρω ἐπι
καὶ C--------- καί
ἐπόψονται VF--FMI3P- ὁράω ἐπι
ἐπὶ P--------- ἐπί
Σιων N---AS---- Σιων
οἱ RA--NPM--- ὁ
ὀφθαλμοὶ N2--NPM--- ὀφθαλμός
ἡμῶν RP--GP---- ἐγώ

Mic 4:12
αὐτοὶ RD--NPM--- αὐτός
δὲ X--------- δέ
οὐκ D--------- οὐ
ἔγνωσαν VZI-AAI3P- γιγνώσκω
τὸν RA--ASM--- ὁ
λογισμὸν N2--ASM--- λογισμός
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
οὐ D--------- οὐ
συνῆκαν VAI-AAI3P- ἵημι συν
τὴν RA--ASF--- ὁ
βουλὴν N1--ASF--- βουλή
αὐτοῦ RD--GSM--- αὐτός
ὅτι C--------- ὅτι
συνήγαγεν VBI-AAI3S- ἄγω συν
αὐτοὺς RD--APM--- αὐτός
ὡς C--------- ὡς
δράγματα N3M-APN--- δράγμα
ἅλωνος N3W-GSF--- ἅλων

Mic 4:13
ἀνάστηθι VH--AAD2S- ἵστημι ἀνα
καὶ C--------- καί
ἀλόα V3--PAD2S- ἀλοάω
αὐτούς RD--APM--- αὐτός
θύγατερ N3--VSF--- θυγάτηρ
Σιων N---GS---- Σιων
ὅτι C--------- ὅτι
τὰ RA--APN--- ὁ
κέρατά N3T-APN--- κέρας
σου RP--GS---- σύ
θήσομαι VF--FMI1S- τίθημι
σιδηρᾶ A1C-APN--- σιδηροῦς
καὶ C--------- καί
τὰς RA--APF--- ὁ
ὁπλάς N1--APF--- ὁπλή
σου RP--GS---- σύ
θήσομαι VF--FMI1S- τίθημι
χαλκᾶς A1C-APF--- χαλκοῦς
καὶ C--------- καί
κατατήξεις VF--FAI2S- τήκω κατα
ἐν P--------- ἐν
αὐτοῖς RD--DPM--- αὐτός
ἔθνη N3E-APN--- ἔθνος
καὶ C--------- καί
λεπτυνεῖς VF2-FAI2S- λεπτύνω
λαοὺς N2--APM--- λαός
πολλοὺς A1--APM--- πολύς
καὶ C--------- καί
ἀναθήσεις VF--FAI2S- τίθημι ἀνα
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
τὸ RA--ASN--- ὁ
πλῆθος N3E-ASN--- πλῆθος
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
τὴν RA--ASF--- ὁ
ἰσχὺν N3--ASF--- ἰσχύς
αὐτῶν RD--GPM--- αὐτός
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
πάσης A1S-GSF--- πᾶς
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ

Mic 4:14
νῦν D--------- νῦν
ἐμφραχθήσεται VQ--FPI3S- φράσσω ἐν
θυγάτηρ N3--NSF--- θυγάτηρ
Εφραιμ N---GSM--- Ἐφράιμ
ἐν P--------- ἐν
φραγμῷ N2--DSM--- φραγμός
συνοχὴν N1--ASF--- συνοχή
ἔταξεν VAI-AAI3S- τάσσω
ἐφ' P--------- ἐπί
ἡμᾶς RP--AP---- ἐγώ
ἐν P--------- ἐν
ῥάβδῳ N2--DSF--- ῥάβδος
πατάξουσιν VF--FAI3P- πατάσσω
ἐπὶ P--------- ἐπί
σιαγόνα N3N-ASF--- σιαγών
τὰς RA--APF--- ὁ
φυλὰς N1--APF--- φυλή
τοῦ RA--GSM--- ὁ
Ισραηλ N---GSM--- Ἰσραήλ

Mic 5:1
καὶ C--------- καί
σύ RP--NS---- σύ
Βηθλεεμ N---VS---- Βηθλεεμ
οἶκος N2--NSM--- οἶκος
τοῦ RA--GSM--- ὁ
Εφραθα N---GS---- Εφραθα
ὀλιγοστὸς A1--NSM--- ὀλιγοστός
εἶ V9--PAI2S- εἰμί
τοῦ RA--GSN--- ὁ
εἶναι V9--PAN--- εἰμί
ἐν P--------- ἐν
χιλιάσιν N3D-DPF--- χιλιάς
Ιουδα N---GSM--- Ιουδα
ἐκ P--------- ἐκ
σοῦ RP--GS---- σύ
μοι RP--DS---- ἐγώ
ἐξελεύσεται VF--FMI3S- ἔρχομαι ἐκ
τοῦ RA--GSN--- ὁ
εἶναι V9--PAN--- εἰμί
εἰς P--------- εἰς
ἄρχοντα N3--ASM--- ἄρχων
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
Ισραηλ N---DSM--- Ἰσραήλ
καὶ C--------- καί
αἱ RA--NPF--- ὁ
ἔξοδοι N2--NPF--- ἔξοδος
αὐτοῦ RD--GSM--- αὐτός
ἀπ' P--------- ἀπό
ἀρχῆς N1--GSF--- ἀρχή
ἐξ P--------- ἐκ
ἡμερῶν N1A-GPF--- ἡμέρα
αἰῶνος N3W-GSM--- αἰών

Mic 5:2
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
δώσει VF--FAI3S- δίδωμι
αὐτοὺς RD--APM--- αὐτός
ἕως P--------- ἕως
καιροῦ N2--GSM--- καιρός
τικτούσης V1--PAPGSF τίκτω
τέξεται VF--FMI3S- τίκτω
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ἐπίλοιποι A1B-NPM--- ἐπίλοιπος
τῶν RA--GPM--- ὁ
ἀδελφῶν N2--GPM--- ἀδελφός
αὐτῶν RD--GPM--- αὐτός
ἐπιστρέψουσιν VF--FAI3P- στρέφω ἐπι
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
υἱοὺς N2--APM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ

Mic 5:3
καὶ C--------- καί
στήσεται VF--FMI3S- ἵστημι
καὶ C--------- καί
ὄψεται VF--FMI3S- ὁράω
καὶ C--------- καί
ποιμανεῖ VF2-FAI3S- ποιμαίνω
τὸ RA--ASN--- ὁ
ποίμνιον N2N-ASN--- ποίμνιον
αὐτοῦ RD--GSM--- αὐτός
ἐν P--------- ἐν
ἰσχύι N3U-DSF--- ἰσχύς
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
δόξῃ N1S-DSF--- δόξα
τοῦ RA--GSN--- ὁ
ὀνόματος N3M-GSN--- ὄνομα
κυρίου N2--GSM--- κύριος
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
αὐτῶν RD--GPM--- αὐτός
ὑπάρξουσιν VF--FAI3P- ἄρχω ὑπο
διότι C--------- διότι
νῦν D--------- νῦν
μεγαλυνθήσεται VC--FPI3S- μεγαλύνω
ἕως P--------- ἕως
ἄκρων A1A-GPM--- ἄκρος
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ

Mic 5:4
καὶ C--------- καί
ἔσται V9--FMI3S- εἰμί
αὕτη RD--NSF--- οὗτος
εἰρήνη N1--NSF--- εἰρήνη
ὅταν D--------- ὅταν
Ἀσσύριος N2--NSM--- Ἀσσύριος
ἐπέλθῃ VB--AAS3S- ἔρχομαι ἐπι
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
ὅταν D--------- ὅταν
ἐπιβῇ VZ--AAS3S- βαίνω ἐπι
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
χώραν N1A-ASF--- χώρα
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
ἐπεγερθήσονται VC--FPI3P- ἐγείρω ἐπι
ἐπ' P--------- ἐπί
αὐτὸν RD--ASM--- αὐτός
ἑπτὰ M--------- ἑπτά
ποιμένες N3--NPM--- ποιμήν
καὶ C--------- καί
ὀκτὼ M--------- ὀκτώ
δήγματα N3M-NPN--- δῆγμα
ἀνθρώπων N2--GPM--- ἄνθρωπος

Mic 5:5
καὶ C--------- καί
ποιμανοῦσιν VF2-FAI3P- ποιμαίνω
τὸν RA--ASM--- ὁ
Ασσουρ N---ASM--- Ασσουρ
ἐν P--------- ἐν
ῥομφαίᾳ N1A-DSF--- ῥομφαία
καὶ C--------- καί
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
τοῦ RA--GSM--- ὁ
Νεβρωδ N---GS---- Νεβρωδ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
τάφρῳ N2--DSF--- τάφρος
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
ῥύσεται VF--FMI3S- ῥύομαι
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
Ασσουρ N---GSM--- Ασσουρ
ὅταν D--------- ὅταν
ἐπέλθῃ VB--AAS3S- ἔρχομαι ἐπι
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
ὅταν D--------- ὅταν
ἐπιβῇ VZ--AAS3S- βαίνω ἐπι
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
ὅρια N2N-APN--- ὅριον
ὑμῶν RP--GP---- σύ

Mic 5:6
καὶ C--------- καί
ἔσται V9--FMI3S- εἰμί
τὸ RA--NSN--- ὁ
ὑπόλειμμα N3M-NSN--- ὑπόλειμμα
τοῦ RA--GSM--- ὁ
Ιακωβ N---GSM--- Ἰακώβ
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
