Job 1:1
ἢ C--------- ἤ
ὑψωθήσεται VC--FPI3S- ὑψόω
βούτομον N2N-NSN--- βούτομον
ἄνευ P--------- ἄνευ
πότου N2--GSM--- πότος

Job 8:12
ἔτι D--------- ἔτι
ὂν V9--PAPNSN εἰμί
ἐπὶ P--------- ἐπί
ῥίζης N1S-GSF--- ῥίζα
καὶ C--------- καί
οὐ D--------- οὐ
μὴ D--------- μή
θερισθῇ VS--APS3S- θερίζω
πρὸ P--------- πρό
τοῦ RA--GSN--- ὁ
πιεῖν VB--AAN--- πίνω
πᾶσα A1S-NSF--- πᾶς
βοτάνη N1--NSF--- βοτάνη
οὐχὶ D--------- οὐ
ξηραίνεται V1--PPI3S- ξηραίνω

Job 8:13
οὕτως D--------- οὕτως
τοίνυν X--------- τοίνυν
ἔσται VF--FMI3S- εἰμί
τὰ RA--NPN--- ὁ
ἔσχατα A1--NPN--- ἔσχατος
πάντων A3--GPM--- πᾶς
τῶν RA--GPM--- ὁ
ἐπιλανθανομένων V1--PMPGPM λανθάνω ἐπι
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος
ἐλπὶς N3D-NSF--- ἐλπίς
γὰρ X--------- γάρ
ἀσεβοῦς A3H-GSM--- ἀσεβής
ἀπολεῖται VF2-FMI3S- ὀλλύω ἀπο

Job 8:14
ἀοίκητος A1B-NSM--- ἀοίκητος
γὰρ X--------- γάρ
αὐτοῦ RD--GSM--- αὐτός
ἔσται VF--FMI3S- εἰμί
ὁ RA--NSM--- ὁ
οἶκος N2--NSM--- οἶκος
ἀράχνη N1--NSF--- ἀράχνη
δὲ X--------- δέ
αὐτοῦ RD--GSM--- αὐτός
ἀποβήσεται VF--FMI3S- βαίνω ἀπο
ἡ RA--NSF--- ὁ
σκηνή N1--NSF--- σκηνή

Job 8:15
ἐὰν C--------- ἐάν
ὑπερείσῃ VA--AAS3S- ἐρείδω ὑπο
τὴν RA--ASF--- ὁ
οἰκίαν N1A-ASF--- οἰκία
αὐτοῦ RD--GSM--- αὐτός
οὐ D--------- οὐ
μὴ D--------- μή
στῇ VH--AAS3S- ἵστημι
ἐπιλαβομένου VB--AMPGSM λαμβάνω ἐπι
δὲ X--------- δέ
αὐτοῦ RD--GSM--- αὐτός
οὐ D--------- οὐ
μὴ D--------- μή
ὑπομείνῃ VA--AAS3S- μένω ὑπο

Job 8:16
ὑγρὸς A1A-NSM--- ὑγρός
γάρ X--------- γάρ
ἐστιν V9--PAI3S- εἰμί
ὑπὸ P--------- ὑπό
ἡλίου N2--GSM--- ἥλιος
καὶ C--------- καί
ἐκ P--------- ἐκ
σαπρίας N1A-GSF--- σαπρία
αὐτοῦ RD--GSM--- αὐτός
ὁ RA--NSM--- ὁ
ῥάδαμνος N2--NSM--- ῥάδαμνος
αὐτοῦ RD--GSM--- αὐτός
ἐξελεύσεται VF--FMI3S- ἔρχομαι ἐκ

Job 8:17
ἐπὶ P--------- ἐπί
συναγωγὴν N1--ASF--- συναγωγή
λίθων N2--GPM--- λίθος
κοιμᾶται V3--PMI3S- κοιμάω
ἐν P--------- ἐν
δὲ X--------- δέ
μέσῳ A1--DSN--- μέσος
χαλίκων N3K-GPM--- χάλιξ
ζήσεται VF--FMI3S- ζάω

Job 8:18
ἐὰν C--------- ἐάν
καταπίῃ VA--AAS3S- πίνω κατα
ὁ RA--NSM--- ὁ
τόπος N2--NSM--- τόπος
ψεύσεται VF--FMI3S- ψεύδω
αὐτόν RD--ASM--- αὐτός
οὐχ D--------- οὐ
ἑόρακας VX--XAI2S- ὁράω
τοιαῦτα A1--APN--- τοιοῦτος

Job 8:19
ὅτι C--------- ὅτι
καταστροφὴ N1--NSF--- καταστροφή
ἀσεβοῦς A3H-GSM--- ἀσεβής
τοιαύτη A1--NSF--- τοιοῦτος
ἐκ P--------- ἐκ
δὲ X--------- δέ
γῆς N1--GSF--- γῆ
ἄλλον RD--ASM--- ἄλλος
ἀναβλαστήσει VF--FAI3S- βλαστάνω ἀνα

Job 8:20
ὁ RA--NSM--- ὁ
γὰρ X--------- γάρ
κύριος N2--NSM--- κύριος
οὐ D--------- οὐ
μὴ D--------- μή
ἀποποιήσηται VA--AMS3S- ποιέω ἀπο
τὸν RA--ASM--- ὁ
ἄκακον A1B-ASM--- ἄκακος
πᾶν A3--ASN--- πᾶς
δὲ X--------- δέ
δῶρον N2N-ASN--- δῶρον
ἀσεβοῦς A3H-GSM--- ἀσεβής
οὐ D--------- οὐ
δέξεται VF--FMI3S- δέχομαι

Job 8:21
ἀληθινῶν A1--GPM--- ἀληθινός
δὲ X--------- δέ
στόμα N3M-ASN--- στόμα
ἐμπλήσει VF--FAI3S- πίμπλημι ἐν
γέλωτος N3T-GSM--- γέλως
τὰ RA--APN--- ὁ
δὲ X--------- δέ
χείλη N3E-APN--- χεῖλος
αὐτῶν RD--GPM--- αὐτός
ἐξομολογήσεως N3I-GSF--- ἐξομολόγησις

Job 8:22
οἱ RA--NPM--- ὁ
δὲ X--------- δέ
ἐχθροὶ N2--NPM--- ἐχθρός
αὐτῶν RD--GPM--- αὐτός
ἐνδύσονται VF--FMI3P- δύω ἐν
αἰσχύνην N1--ASF--- αἰσχύνη
δίαιτα N1S-NSF--- δίαιτα
δὲ X--------- δέ
ἀσεβοῦς A3H-GSM--- ἀσεβής
οὐκ D--------- οὐ
ἔσται VF--FMI3S- εἰμί

Job 9:1
ὑπολαβὼν VB--AAPNSM λαμβάνω ὑπο
δὲ X--------- δέ
Ιωβ N---NSM--- Ιωβ
λέγει V1--PAI3S- λέγω

Job 9:2
ἐπ' P--------- ἐπί
ἀληθείας N1A-GSF--- ἀλήθεια
οἶδα VX--XAI1S- οἶδα
ὅτι C--------- ὅτι
οὕτως D--------- οὕτως
ἐστίν V9--PAI3S- εἰμί
πῶς D--------- πῶς
γὰρ X--------- γάρ
ἔσται VF--FMI3S- εἰμί
δίκαιος A1A-NSM--- δίκαιος
βροτὸς N2--NSM--- βροτός
παρὰ P--------- παρά
κυρίῳ N2--DSM--- κύριος

Job 9:3
ἐὰν C--------- ἐάν
γὰρ X--------- γάρ
βούληται V1--PMS3S- βούλομαι
κριθῆναι VC--APN--- κρίνω
αὐτῷ RD--DSM--- αὐτός
οὐ D--------- οὐ
μὴ D--------- μή
ὑπακούσῃ VA--AAS3S- ἀκούω ὑπο
αὐτῷ RD--DSM--- αὐτός
ἵνα C--------- ἵνα
μὴ D--------- μή
ἀντείπῃ VB--AAS3S- εἶπον ἀντι
πρὸς P--------- πρός
ἕνα A3--ASM--- εἷς
λόγον N2--ASM--- λόγος
αὐτοῦ RD--GSM--- αὐτός
ἐκ P--------- ἐκ
χιλίων A1A-GPM--- χίλιοι

Job 9:4
σοφὸς A1--NSM--- σοφός
γάρ X--------- γάρ
ἐστιν V9--PAI3S- εἰμί
διανοίᾳ N1A-DSF--- διάνοια
κραταιός A1A-NSM--- κραταιός
τε X--------- τε
καὶ C--------- καί
μέγας A1P-NSM--- μέγας
τίς RI--NSM--- τίς
σκληρὸς A1A-NSM--- σκληρός
γενόμενος VB--AMPNSM γίγνομαι
ἐναντίον P--------- ἐναντίον
αὐτοῦ RD--GSM--- αὐτός
ὑπέμεινεν VAI-AAI3S- μένω ὑπο

Job 9:5
ὁ RA--NSM--- ὁ
παλαιῶν V4--PAPGPM παλαιόω
ὄρη N3E-APN--- ὄρος
καὶ C--------- καί
οὐκ D--------- οὐ
οἴδασιν VX--XAI3P- οἶδα
ὁ RA--NSM--- ὁ
καταστρέφων V1--PAPNSM στρέφω κατα
αὐτὰ RD--APN--- αὐτός
ὀργῇ N1--DSF--- ὀργή

Job 9:6
ὁ RA--NSM--- ὁ
σείων V1--PAPNSM σείω
τὴν RA--ASF--- ὁ
ὑπ' P--------- ὑπό
οὐρανὸν N2--ASM--- οὐρανός
ἐκ P--------- ἐκ
θεμελίων N2N-GPN--- θεμέλιον
οἱ RA--NPM--- ὁ
δὲ X--------- δέ
στῦλοι N2--NPM--- στῦλος
αὐτῆς RD--GSF--- αὐτός
σαλεύονται V1--PAI3P- σαλεύω

Job 9:7
ὁ RA--NSM--- ὁ
λέγων V1--PAPNSM λέγω
τῷ RA--DSM--- ὁ
ἡλίῳ N2--DSM--- ἥλιος
καὶ C--------- καί
οὐκ D--------- οὐ
ἀνατέλλει V1--PAI3S- τέλλω ἀνα
κατὰ P--------- κατά
δὲ X--------- δέ
ἄστρων N2N-GPN--- ἄστρον
κατασφραγίζει V1--PAI3S- σφραγίζω κατα

Job 9:8
ὁ RA--NSM--- ὁ
τανύσας VA--AAPNSM τανύω
τὸν RA--ASM--- ὁ
οὐρανὸν N2--ASM--- οὐρανός
μόνος A1--NSM--- μόνος
καὶ C--------- καί
περιπατῶν V2--PAPNSM πατέω περι
ὡς C--------- ὡς
ἐπ' P--------- ἐπί
ἐδάφους N3E-GSN--- ἔδαφος
ἐπὶ P--------- ἐπί
θαλάσσης N1S-GSF--- θάλασσα

Job 9:9
ὁ RA--NSM--- ὁ
ποιῶν V2--PAPNSM ποιέω
Πλειάδα N3D-APF--- Πλειάς
καὶ C--------- καί
ἕσπερον N2--ASM--- ἕσπερος
καὶ C--------- καί
ἀρκτοῦρον N2--ASM--- ἀρκτοῦρος
καὶ C--------- καί
ταμίεια N2N-APN--- ταμιεῖον
νότου N2--GSM--- νότος

Job 9:10
ὁ RA--NSM--- ὁ
ποιῶν V2--PAPNSM ποιέω
μεγάλα A1P-APN--- μέγας
καὶ C--------- καί
ἀνεξιχνίαστα A1B-APN--- ἀνεξιχνίαστος
ἔνδοξά A1B-APN--- ἔνδοξος
τε X--------- τε
καὶ C--------- καί
ἐξαίσια A1B-APN--- ἐξαίσιος
ὧν RR--GPN--- ὅς
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
ἀριθμός N2--NSM--- ἀριθμός

Job 9:11
ἐὰν C--------- ἐάν
ὑπερβῇ VZ--AAS3S- βαίνω ὑπερ
με RP--AS---- ἐγώ
οὐ D--------- οὐ
μὴ D--------- μή
ἴδω VB--AAS1S- ὁράω
καὶ C--------- καί
ἐὰν C--------- ἐάν
παρέλθῃ VB--AAS3S- ἔρχομαι παρα
με RP--AS---- ἐγώ
οὐδ' C--------- οὐδέ
ὧς D--------- ὥς
ἔγνων VZI-AAI1S- γιγνώσκω

Job 9:12
ἐὰν C--------- ἐάν
ἀπαλλάξῃ VA--AAS3S- ἀλλάσσω ἀπο
τίς RI--NSM--- τίς
ἀποστρέψει VF--FAI3S- στρέφω ἀπο
ἢ C--------- ἤ
τίς RI--NSM--- τίς
ἐρεῖ VF2-FAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
τί RI--ASN--- τίς
ἐποίησας VAI-AAI2S- ποιέω

Job 9:13
αὐτὸς RD--NSM--- αὐτός
γὰρ X--------- γάρ
ἀπέστραπται VP--XMI3S- στρέφω ἀπο
ὀργήν N1--ASF--- ὀργή
ὑπ' P--------- ὑπό
αὐτοῦ RD--GSM--- αὐτός
ἐκάμφθησαν VCI-API3P- κάμπτω
κήτη N3E-NPN--- κῆτος
τὰ RA--NPN--- ὁ
ὑπ' P--------- ὑπό
οὐρανόν N2--ASM--- οὐρανός

Job 9:14
ἐὰν C--------- ἐάν
δέ X--------- δέ
μου RP--GS---- ἐγώ
ὑπακούσηται VA--AMS3S- ἀκούω ὑπο
ἦ D--------- ἦ
διακρινεῖ VF2-FAI3S- κρίνω δια
τὰ RA--APN--- ὁ
ῥήματά N3M-APN--- ῥῆμα
μου RP--GS---- ἐγώ

Job 9:15
ἐάν C--------- ἐάν
τε X--------- τε
γὰρ X--------- γάρ
ὦ V9--PAS1S- εἰμί
δίκαιος A1A-NSM--- δίκαιος
οὐκ D--------- οὐ
εἰσακούσεταί VF--FMI3S- ἀκούω εἰς
μου RP--GS---- ἐγώ
τοῦ RA--GSN--- ὁ
κρίματος N3M-GSN--- κρίμα
αὐτοῦ RD--GSM--- αὐτός
δεηθήσομαι VC--FPI1S- δέω

Job 9:16
ἐάν C--------- ἐάν
τε X--------- τε
καλέσω VA--AAS1S- καλέω
καὶ C--------- καί
ὑπακούσῃ VA--AAS3S- ἀκούω ὑπο
οὐ D--------- οὐ
πιστεύω V1--PAI1S- πιστεύω
ὅτι C--------- ὅτι
εἰσακήκοέν VX--XAI3S- ἀκούω εἰς
μου RP--GS---- ἐγώ

Job 9:17
μὴ D--------- μή
γνόφῳ N2--DSM--- γνόφος
με RP--AS---- ἐγώ
ἐκτρίψῃ VA--AAS3S- τρίβω ἐκ
πολλὰ A1--APN--- πολύς
δέ X--------- δέ
μου RP--GS---- ἐγώ
τὰ RA--APN--- ὁ
συντρίμματα N3M-APN--- σύντριμμα
πεποίηκεν VX--XAI3S- ποιέω
διὰ P--------- διά
κενῆς A1--GSF--- κενός

Job 9:18
οὐκ D--------- οὐ
ἐᾷ V3--PAI3S- ἐάω
γάρ X--------- γάρ
με RP--AS---- ἐγώ
ἀναπνεῦσαι VA--AAN--- πνέω ἀνα
ἐνέπλησεν VAI-AAI3S- πίμπλημι ἐν
δέ X--------- δέ
με RP--AS---- ἐγώ
πικρίας N1A-GSF--- πικρία

Job 9:19
ὅτι C--------- ὅτι
μὲν X--------- μέν
γὰρ X--------- γάρ
ἰσχύι N3U-DSF--- ἰσχύς
κρατεῖ V2--PAI3S- κρατέω
τίς RI--NSM--- τίς
οὖν X--------- οὖν
κρίματι N3M-DSN--- κρίμα
αὐτοῦ RD--GSM--- αὐτός
ἀντιστήσεται VF--FMI3S- ἵστημι ἀντι

Job 9:20
ἐὰν C--------- ἐάν
γὰρ X--------- γάρ
ὦ V9--PAS1S- εἰμί
δίκαιος A1A-NSM--- δίκαιος
τὸ RA--NSN--- ὁ
στόμα N3M-NSN--- στόμα
μου RP--GS---- ἐγώ
ἀσεβήσει VF--FAI3S- ἀσεβέω
ἐάν C--------- ἐάν
τε X--------- τε
ὦ V9--PAS1S- εἰμί
ἄμεμπτος A1B-NSM--- ἄμεμπτος
σκολιὸς A1A-NSM--- σκολιός
ἀποβήσομαι VF--FMI1S- βαίνω ἀπο

Job 9:21
εἴτε C--------- εἴτε
γὰρ X--------- γάρ
ἠσέβησα VAI-AAI1S- ἀσεβέω
οὐκ D--------- οὐ
οἶδα VX--XAI1S- οἶδα
τῇ RA--DSF--- ὁ
ψυχῇ N1--DSF--- ψυχή
πλὴν D--------- πλήν
ὅτι C--------- ὅτι
ἀφαιρεῖταί V2--PPI3S- αἱρέω ἀπο
μου RP--GS---- ἐγώ
ἡ RA--NSF--- ὁ
ζωή N1--NSF--- ζωή

Job 9:22
διὸ C--------- διό
εἶπον VBI-AAI1S- εἶπον
μέγαν A1--ASM--- μέγας
καὶ C--------- καί
δυνάστην N1M-ASM--- δυνάστης
ἀπολλύει V5--PAI3S- ὀλλύω ἀπο
ὀργή N1--NSF--- ὀργή

Job 9:23
ὅτι C--------- ὅτι
φαῦλοι A1--NPM--- φαῦλος
ἐν P--------- ἐν
θανάτῳ N2--DSM--- θάνατος
ἐξαισίῳ A1B-DSM--- ἐξαίσιος
ἀλλὰ C--------- ἀλλά
δίκαιοι A1A-NPM--- δίκαιος
καταγελῶνται V3--PMI3P- γελάω κατα

Job 9:24
παραδέδονται VM--XPI3P- δίδωμι παρα
γὰρ X--------- γάρ
εἰς P--------- εἰς
χεῖρας N3--APF--- χείρ
ἀσεβοῦς A3H-GSM--- ἀσεβής
πρόσωπα N2N-APN--- πρόσωπον
κριτῶν N1M-GPM--- κριτής
αὐτῆς RD--GSF--- αὐτός
συγκαλύπτει V1--PAI3S- καλύπτω συν
εἰ C--------- εἰ
δὲ X--------- δέ
μὴ D--------- μή
αὐτός RD--NSM--- αὐτός
τίς RI--NSM--- τίς
ἐστιν V9--PAI3S- εἰμί

Job 9:25
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
βίος N2--NSM--- βίος
μού RP--GS---- ἐγώ
ἐστιν V9--PAI3S- εἰμί
ἐλαφρότερος A1--NSMC-- ἐλαφρός
δρομέως N3V-GSM--- δρομεύς
ἀπέδρασαν VBI-AAI3P- διδράσκω ἀπο
καὶ C--------- καί
οὐκ D--------- οὐ
εἴδοσαν VBI-AAI3P- ὁράω

Job 9:26
ἦ D--------- ἦ
καὶ C--------- καί
ἔστιν V9--PAI3S- εἰμί
ναυσὶν N3--DPF--- ναῦς
ἴχνος N3E-NSN--- ἴχνος
ὁδοῦ N2--GSF--- ὁδός
ἢ C--------- ἤ
ἀετοῦ N2--GSM--- ἀετός
πετομένου V1--PMPGSM πέτομαι
ζητοῦντος V2--PAPGSM ζητέω
βοράν N1A-ASF--- βορά

Job 9:27
ἐάν C--------- ἐάν
τε X--------- τε
γὰρ X--------- γάρ
εἴπω VB--AAS1S- εἶπον
ἐπιλήσομαι VF--FMI1S- λανθάνω ἐπι
λαλῶν V2--PAPNSM λαλέω
συγκύψας VA--AAPNSM κύπτω συν
τῷ RA--DSN--- ὁ
προσώπῳ N2N-DSN--- πρόσωπον
στενάξω VF--FAI1S- στενάζω

Job 9:28
σείομαι V1--PMI1S- σείω
πᾶσιν A3--DPN--- πᾶς
τοῖς RA--DPN--- ὁ
μέλεσιν N3E-DPN--- μέλος
οἶδα VX--XAI1S- οἶδα
γὰρ X--------- γάρ
ὅτι C--------- ὅτι
οὐκ D--------- οὐ
ἀθῷόν A1--ASM--- ἀθῷος
με RP--AS---- ἐγώ
ἐάσεις VF--FAI2S- ἐάω

Job 9:29
ἐπειδὴ C--------- ἐπειδή
δέ X--------- δέ
εἰμι V9--PAI1S- εἰμί
ἀσεβής A3H-NSM--- ἀσεβής
διὰ P--------- διά
τί RI--ASN--- τίς
οὐκ D--------- οὐ
ἀπέθανον VBI-AAI1S- θνήσκω ἀπο

Job 9:30
ἐὰν C--------- ἐάν
γὰρ X--------- γάρ
ἀπολούσωμαι VA--AMS1S- λούω ἀπο
χιόνι N3N-DSF--- χιών
καὶ C--------- καί
ἀποκαθάρωμαι VA--AMS1S- αἴρω ἀπο κατα
χερσὶν N3--DPF--- χείρ
καθαραῖς A1A-DPF--- καθαρός

Job 9:31
ἱκανῶς D--------- ἱκανῶς
ἐν P--------- ἐν
ῥύπῳ N2--DSM--- ῥύπος
με RP--AS---- ἐγώ
ἔβαψας VAI-AAI2S- βάπτω
ἐβδελύξατο VAI-AMI3S- βδελύσσω
δέ X--------- δέ
με RP--AS---- ἐγώ
ἡ RA--NSF--- ὁ
στολή N1--NSF--- στολή

Job 9:32
οὐ D--------- οὐ
γὰρ X--------- γάρ
εἶ V9--PAI2S- εἰμί
ἄνθρωπος N2--NSM--- ἄνθρωπος
κατ' P--------- κατά
ἐμέ RP--AS---- ἐγώ
ᾧ RR--DSM--- ὅς
ἀντικρινοῦμαι VF2-FMI1S- κρίνω ἀντι
ἵνα C--------- ἵνα
ἔλθωμεν VB--AAS1P- ἔρχομαι
ὁμοθυμαδὸν D--------- ὁμοθυμαδόν
εἰς P--------- εἰς
κρίσιν N3I-ASF--- κρίσις

Job 9:33
εἴθε I--------- εἴθε
ἦν V9--IAI3S- εἰμί
ὁ RA--NSM--- ὁ
μεσίτης N1M-NSM--- μεσίτης
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
ἐλέγχων V1--PAPNSM ἐλέγχω
καὶ C--------- καί
διακούων V1--PAPNSM ἀκούω δια
ἀνὰ P--------- ἀνά
μέσον A1--ASN--- μέσος
ἀμφοτέρων A1A-GPM--- ἀμφότεροι

Job 9:34
ἀπαλλαξάτω VA--AAD3S- ἀλλάσσω ἀπο
ἀπ' P--------- ἀπό
ἐμοῦ RP--GS---- ἐγώ
τὴν RA--ASF--- ὁ
ῥάβδον N2--ASF--- ῥάβδος
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
φόβος N2--NSM--- φόβος
αὐτοῦ RD--GSM--- αὐτός
μή D--------- μή
με RP--AS---- ἐγώ
στροβείτω V2--PAD3S- στροβέω

Job 9:35
καὶ C--------- καί
οὐ D--------- οὐ
μὴ D--------- μή
φοβηθῶ VC--APS1S- φοβέω
ἀλλὰ C--------- ἀλλά
λαλήσω VF--FAI1S- λαλέω
οὐ D--------- οὐ
γὰρ X--------- γάρ
οὕτω D--------- οὕτως
συνεπίσταμαι V6--PMI1S- ἵσταμαι συν ἐπι

Job 10:1
κάμνων V1--PAPNSM κάμνω
τῇ RA--DSF--- ὁ
ψυχῇ N1--DSF--- ψυχή
μου RP--GS---- ἐγώ
στένων V1--PAPNSM στένω
ἐπαφήσω VF--FAI1S- ἵημι ἐπι ἀπο
ἐπ' P--------- ἐπί
αὐτὸν RD--ASM--- αὐτός
τὰ RA--APN--- ὁ
ῥήματά N3M-APN--- ῥῆμα
μου RP--GS---- ἐγώ
λαλήσω VF--FAI1S- λαλέω
πικρίᾳ N1A-DSF--- πικρία
ψυχῆς N1--GSF--- ψυχή
μου RP--GS---- ἐγώ
συνεχόμενος V1--PMPNSM ἔχω συν

Job 10:2
καὶ C--------- καί
ἐρῶ VF2-FAI1S- εἶπον
πρὸς P--------- πρός
κύριον N2--ASM--- κύριος
μή D--------- μή
με RP--AS---- ἐγώ
ἀσεβεῖν V2--PAN--- ἀσεβέω
δίδασκε V1--PAD2S- διδάσκω
καὶ C--------- καί
διὰ P--------- διά
τί RI--ASN--- τίς
με RP--AS---- ἐγώ
οὕτως D--------- οὕτως
ἔκρινας VAI-AAI2S- κρίνω

Job 10:3
ἦ D--------- ἦ
καλόν A1--NSN--- καλός
σοι RP--DS---- σύ
ἐὰν C--------- ἐάν
ἀδικήσω VA--AAS1S- ἀδικέω
ὅτι C--------- ὅτι
ἀπείπω VB--AAS1S- εἶπον ἀπο
ἔργα N2N-APN--- ἔργον
χειρῶν N3--GPF--- χείρ
σου RP--GS---- σύ
βουλῇ N1--DSF--- βουλή
δὲ X--------- δέ
ἀσεβῶν A3H-GPM--- ἀσεβής
προσέσχες VBI-AAI2S- ἔχω προς

Job 10:4
ἦ D--------- ἦ
ὥσπερ D--------- ὥσπερ
βροτὸς N2--NSM--- βροτός
ὁρᾷ V3--PAI3S- ὁράω
καθορᾷς V3--PAI2S- ὁράω κατα
ἢ C--------- ἤ
καθὼς D--------- καθώς
ὁρᾷ V3--PAI3S- ὁράω
ἄνθρωπος N2--NSM--- ἄνθρωπος
βλέψῃ VF--FMI2S- βλέπω

Job 10:5
ἦ D--------- ἦ
ὁ RA--NSM--- ὁ
βίος N2--NSM--- βίος
σου RP--GS---- σύ
ἀνθρώπινός A1--NSM--- ἀνθρώπινος
ἐστιν V9--PAI3S- εἰμί
ἢ C--------- ἤ
τὰ RA--NPN--- ὁ
ἔτη N3E-NPN--- ἔτος
σου RP--GS---- σύ
ἀνδρός N3--GSM--- ἀνήρ

Job 10:6
ὅτι C--------- ὅτι
ἀνεζήτησας VAI-AAI2S- ζητέω ἀνα
τὴν RA--ASF--- ὁ
ἀνομίαν N1A-ASF--- ἀνομία
μου RP--GS---- ἐγώ
καὶ C--------- καί
τὰς RA--APF--- ὁ
ἁμαρτίας N1A-APF--- ἁμαρτία
μου RP--GS---- ἐγώ
ἐξιχνίασας VAI-AAI2S- ἐξιχνίαζω

Job 10:7
οἶδας VX--XAI2S- οἶδα
γὰρ X--------- γάρ
ὅτι C--------- ὅτι
οὐκ D--------- οὐ
ἠσέβησα VAI-AAI1S- ἀσεβέω
ἀλλὰ C--------- ἀλλά
τίς RI--NSM--- τίς
ἐστιν V9--PAI3S- εἰμί
ὁ RA--NSM--- ὁ
ἐκ P--------- ἐκ
τῶν RA--GPF--- ὁ
χειρῶν N3--GPF--- χείρ
σου RP--GS---- σύ
ἐξαιρούμενος V2--PMPNSM αἱρέω ἐκ

Job 10:8
αἱ RA--NPF--- ὁ
χεῖρές N3--NPF--- χείρ
σου RP--GS---- σύ
ἔπλασάν VAI-AAI3P- πλάσσω
με RP--AS---- ἐγώ
καὶ C--------- καί
ἐποίησάν VAI-AAI3P- ποιέω
με RP--AS---- ἐγώ
μετὰ P--------- μετά
ταῦτα RD--APN--- οὗτος
μεταβαλών VB--AAPNSM βάλλω μετα
με RP--AS---- ἐγώ
ἔπαισας VAI-AAI2S- παίω

Job 10:9
μνήσθητι VS--APD2S- μιμνήσκω
ὅτι C--------- ὅτι
πηλόν N2--ASM--- πηλός
με RP--AS---- ἐγώ
ἔπλασας VAI-AAI2S- πλάσσω
εἰς P--------- εἰς
δὲ X--------- δέ
γῆν N1--ASF--- γῆ
με RP--AS---- ἐγώ
πάλιν D--------- πάλιν
ἀποστρέφεις V1--PAI2S- στρέφω ἀπο

Job 10:10
ἦ D--------- ἦ
οὐχ D--------- οὐ
ὥσπερ D--------- ὥσπερ
γάλα N3--ASN--- γάλα
με RP--AS---- ἐγώ
ἤμελξας VAI-AAI2S- ἀμέλγω
ἐτύρωσας VAI-AAI2S- τυρόω
δέ X--------- δέ
με RP--AS---- ἐγώ
ἴσα D--------- ἴσος
τυρῷ N2--DSM--- τυρός

Job 10:11
δέρμα N3M-ASN--- δέρμα
καὶ C--------- καί
κρέας N3--ASN--- κρέας
με RP--AS---- ἐγώ
ἐνέδυσας VAI-AAI2S- δύω ἐν
ὀστέοις N2N-DPN--- ὀστέον
δὲ X--------- δέ
καὶ C--------- καί
νεύροις N2--DPN--- νεῦρον
με RP--AS---- ἐγώ
ἐνεῖρας VAI-AAI2S- εἴρω ἐν

Job 10:12
ζωὴν N1--ASF--- ζωή
δὲ X--------- δέ
καὶ C--------- καί
ἔλεος N3E-ASN--- ἔλεος
ἔθου VEI-AMI2S- τίθημι
παρ' P--------- παρά
ἐμοί RP--DS---- ἐγώ
ἡ RA--NSF--- ὁ
δὲ X--------- δέ
ἐπισκοπή N1--NSF--- ἐπισκοπή
σου RP--GS---- σύ
ἐφύλαξέν VAI-AAI3S- φυλάσσω
μου RP--GS---- ἐγώ
τὸ RA--ASN--- ὁ
πνεῦμα N3M-ASN--- πνεῦμα

Job 10:13
ταῦτα RD--APN--- οὗτος
ἔχων V1--PAPNSM ἔχω
ἐν P--------- ἐν
σεαυτῷ RD--DSM--- σεαυτοῦ
οἶδα VX--XAI1S- οἶδα
ὅτι C--------- ὅτι
πάντα A3--APN--- πᾶς
δύνασαι V6--PMI2S- δύναμαι
ἀδυνατεῖ V2--PAI3S- ἀδυνατέω
δέ X--------- δέ
σοι RP--DS---- σύ
οὐθέν A3--NSN--- οὐδείς

Job 10:14
ἐάν C--------- ἐάν
τε X--------- τε
γὰρ X--------- γάρ
ἁμάρτω VB--AAS1S- ἁμαρτάνω
φυλάσσεις V1--PAI2S- φυλάσσω
με RP--AS---- ἐγώ
ἀπὸ P--------- ἀπό
δὲ X--------- δέ
ἀνομίας N1A-GSF--- ἀνομία
οὐκ D--------- οὐ
ἀθῷόν A1--ASM--- ἀθῷος
με RP--AS---- ἐγώ
πεποίηκας VX--XAI2S- ποιέω

Job 10:15
ἐάν C--------- ἐάν
τε X--------- τε
γὰρ X--------- γάρ
ἀσεβὴς A3H-NSM--- ἀσεβής
ὦ V9--PAS1S- εἰμί
οἴμμοι I--------- οἴμμοι
ἐάν C--------- ἐάν
τε X--------- τε
ὦ V9--PAS1S- εἰμί
δίκαιος A1A-NSM--- δίκαιος
οὐ D--------- οὐ
δύναμαι V6--PMI1S- δύναμαι
ἀνακύψαι VA--AAN--- κύπτω ἀνα
πλήρης A3H-NSM--- πλήρης
γὰρ X--------- γάρ
ἀτιμίας N1A-GSF--- ἀτιμία
εἰμί V9--PAI1S- εἰμί

Job 10:16
ἀγρεύομαι V1--PPI1S- ἀγρεύω
γὰρ X--------- γάρ
ὥσπερ D--------- ὥσπερ
λέων N3W-NSM--- λέων
