Num 1:1
καὶ C--------- καί
ἐγὼ RP--NS---- ἐγώ
κύριος N2--NSM--- κύριος
εὐλογήσω VF--FAI1S- εὐλογέω
αὐτούς RD--APM--- αὐτός

Num 6:24
εὐλογήσαι VA--AAO3S- εὐλογέω
σε RP--AS---- σύ
κύριος N2--NSM--- κύριος
καὶ C--------- καί
φυλάξαι VA--AAO3S- φυλάσσω
σε RP--AS---- σύ

Num 6:25
ἐπιφάναι VA--AAO3S- φαίνω ἐπι
κύριος N2--NSM--- κύριος
τὸ RA--ASN--- ὁ
πρόσωπον N2N-ASN--- πρόσωπον
αὐτοῦ RD--GSM--- αὐτός
ἐπὶ P--------- ἐπί
σὲ RP--AS---- σύ
καὶ C--------- καί
ἐλεήσαι VA--AAO3S- ἐλεέω
σε RP--AS---- σύ

Num 6:26
ἐπάραι VA--AAO3S- αἴρω ἐπι
κύριος N2--NSM--- κύριος
τὸ RA--ASN--- ὁ
πρόσωπον N2N-ASN--- πρόσωπον
αὐτοῦ RD--GSM--- αὐτός
ἐπὶ P--------- ἐπί
σὲ RP--AS---- σύ
καὶ C--------- καί
δῴη VO--AAO3S- δίδωμι
σοι RP--DS---- σύ
εἰρήνην N1--ASF--- εἰρήνη

Num 7:1
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ᾗ RR--DSF--- ὅς
ἡμέρᾳ N1A-DSF--- ἡμέρα
συνετέλεσεν VAI-AAI3S- τελέω συν
Μωυσῆς N1M-NSM--- Μωυσῆς
ὥστε C--------- ὥστε
ἀναστῆσαι VA--AAO3S- ἵστημι ἀνα
τὴν RA--ASF--- ὁ
σκηνὴν N1--ASF--- σκηνή
καὶ C--------- καί
ἔχρισεν VAI-AAI3S- χρίω
αὐτὴν RD--ASF--- αὐτός
καὶ C--------- καί
ἡγίασεν VAI-AAI3S- ἁγιάζω
αὐτὴν RD--ASF--- αὐτός
καὶ C--------- καί
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
σκεύη N3--APN--- σκεῦος
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
τὸ RA--ASN--- ὁ
θυσιαστήριον N2N-ASN--- θυσιαστήριον
καὶ C--------- καί
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
σκεύη N3--APN--- σκεῦος
αὐτοῦ RD--GSN--- αὐτός
καὶ C--------- καί
ἔχρισεν VAI-AAI3S- χρίω
αὐτὰ RD--APN--- αὐτός
καὶ C--------- καί
ἡγίασεν VAI-AAI3S- ἁγιάζω
αὐτά RD--APN--- αὐτός

Num 7:2
καὶ C--------- καί
προσήνεγκαν VAI-AAI3P- φέρω προς
οἱ RA--NPM--- ὁ
ἄρχοντες N3--NPM--- ἄρχων
Ισραηλ N---GSM--- Ἰσραήλ
δώδεκα M--------- δώδεκα
ἄρχοντες N3--NPM--- ἄρχων
οἴκων N2--GPM--- οἶκος
πατριῶν N1A-GPF--- πατριά
αὐτῶν RD--GPM--- αὐτός
οὗτοι RD--NPM--- οὗτος
ἄρχοντες N3--NPM--- ἄρχων
φυλῶν N1--GPF--- φυλή
οὗτοι RD--NPM--- οὗτος
οἱ RA--NPM--- ὁ
παρεστηκότες VXI-XAPNPM ἵστημι παρα
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
ἐπισκοπῆς N1--GSF--- ἐπισκοπή

Num 7:3
καὶ C--------- καί
ἤνεγκαν VAI-AAI3P- φέρω
τὰ RA--APN--- ὁ
δῶρα N2N-APN--- δῶρον
αὐτῶν RD--GPM--- αὐτός
ἔναντι P--------- ἔναντι
κυρίου N2--GSM--- κύριος
ἓξ M--------- ἕξ
ἁμάξας N1A-APF--- ἅμαξα
λαμπηνικὰς A1--APF--- λαμπηνικός
καὶ C--------- καί
δώδεκα M--------- δώδεκα
βόας N3--APM--- βοῦς
ἅμαξαν N1S-ASF--- ἅμαξα
παρὰ P--------- παρά
δύο M--------- δύο
ἀρχόντων N3--GPM--- ἄρχων
καὶ C--------- καί
μόσχον N2--ASM--- μόσχος
παρὰ P--------- παρά
ἑκάστου A1--GSM--- ἕκαστος
καὶ C--------- καί
προσήγαγον VBI-AAI3P- ἄγω προς
ἐναντίον P--------- ἐναντίον
τῆς RA--GSF--- ὁ
σκηνῆς N1--GSF--- σκηνή

Num 7:4
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
κύριος N2--NSM--- κύριος
πρὸς P--------- πρός
Μωυσῆν N1M-ASM--- Μωυσῆς
λέγων V1--PAPNSM λέγω

Num 7:5
λαβὲ VB--AAD2S- λαμβάνω
παρ' P--------- παρά
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἔσονται VF--FMI3P- εἰμί
πρὸς P--------- πρός
τὰ RA--APN--- ὁ
ἔργα N2N-APN--- ἔργον
τὰ RA--APN--- ὁ
λειτουργικὰ A1--APN--- λειτουργικός
τῆς RA--GSF--- ὁ
σκηνῆς N1--GSF--- σκηνή
τοῦ RA--GSN--- ὁ
μαρτυρίου N2N-GSN--- μαρτύριον
καὶ C--------- καί
δώσεις VF--FAI2S- δίδωμι
αὐτὰ RD--APN--- αὐτός
τοῖς RA--DPM--- ὁ
Λευίταις N1M-DPM--- Λευίτης
ἑκάστῳ A1--DSM--- ἕκαστος
κατὰ P--------- κατά
τὴν RA--ASF--- ὁ
αὐτοῦ RD--GSM--- αὐτός
λειτουργίαν N1A-ASF--- λειτουργία

Num 7:6
καὶ C--------- καί
λαβὼν VB--AAPNSM λαμβάνω
Μωυσῆς N1M-NSM--- Μωυσῆς
τὰς RA--APF--- ὁ
ἁμάξας N1S-APF--- ἅμαξα
καὶ C--------- καί
τοὺς RA--APM--- ὁ
βόας N3--APM--- βοῦς
ἔδωκεν VAI-AAI3S- δίδωμι
αὐτὰ RD--APN--- αὐτός
τοῖς RA--DPM--- ὁ
Λευίταις N1M-DPM--- Λευίτης

Num 7:7
τὰς RA--APF--- ὁ
δύο M--------- δύο
ἁμάξας N1S-APF--- ἅμαξα
καὶ C--------- καί
τοὺς RA--APM--- ὁ
τέσσαρας A3--APM--- τέσσαρες
βόας N3--APM--- βοῦς
ἔδωκεν VAI-AAI3S- δίδωμι
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
Γεδσων N---GSM--- Γεδσων
κατὰ P--------- κατά
τὰς RA--APF--- ὁ
λειτουργίας N1A-APF--- λειτουργία
αὐτῶν RD--GPM--- αὐτός

Num 7:8
καὶ C--------- καί
τὰς RA--APF--- ὁ
τέσσαρας A3--APM--- τέσσαρες
ἁμάξας N1S-APF--- ἅμαξα
καὶ C--------- καί
τοὺς RA--APM--- ὁ
ὀκτὼ M--------- ὀκτώ
βόας N3--APM--- βοῦς
ἔδωκεν VAI-AAI3S- δίδωμι
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
Μεραρι N---GSM--- Μεραρι
κατὰ P--------- κατά
τὰς RA--APF--- ὁ
λειτουργίας N1A-APF--- λειτουργία
αὐτῶν RD--GPM--- αὐτός
διὰ P--------- διά
Ιθαμαρ N---GSM--- Ιθαμαρ
υἱοῦ N2--GSM--- υἱός
Ααρων N---GSM--- Ἀαρών
τοῦ RA--GSM--- ὁ
ἱερέως N3V-GSM--- ἱερεύς

Num 7:9
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
Κααθ N---GSM--- Κααθ
οὐκ D--------- οὐ
ἔδωκεν VAI-AAI3S- δίδωμι
ὅτι C--------- ὅτι
τὰ RA--APN--- ὁ
λειτουργήματα N3M-APN--- λειτούργημα
τοῦ RA--GSN--- ὁ
ἁγίου A1A-GSN--- ἅγιος
ἔχουσιν V1--PAI3P- ἔχω
ἐπ' P--------- ἐπί
ὤμων N2--GPM--- ὦμος
ἀροῦσιν VF2-FAI3P- αἴρω

Num 7:10
καὶ C--------- καί
προσήνεγκαν VAI-AAI3P- φέρω προς
οἱ RA--NPM--- ὁ
ἄρχοντες N3--NPM--- ἄρχων
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
ἐγκαινισμὸν N2--ASM--- ἐγκαινισμός
τοῦ RA--GSN--- ὁ
θυσιαστηρίου N2N-GSN--- θυσιαστήριον
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
ᾗ RR--DSF--- ὅς
ἔχρισεν VAI-AAI3S- χρίω
αὐτό RD--ASN--- αὐτός
καὶ C--------- καί
προσήνεγκαν VAI-AAI3P- φέρω προς
οἱ RA--NPM--- ὁ
ἄρχοντες N3--NPM--- ἄρχων
τὰ RA--APN--- ὁ
δῶρα N2N-APN--- δῶρον
αὐτῶν RD--GPM--- αὐτός
ἀπέναντι P--------- ἀπέναντι
τοῦ RA--GSN--- ὁ
θυσιαστηρίου N2N-GSN--- θυσιαστήριον

Num 7:11
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
κύριος N2--NSM--- κύριος
πρὸς P--------- πρός
Μωυσῆν N1M-ASM--- Μωυσῆς
ἄρχων N3--NSM--- ἄρχων
εἷς A3--NSM--- εἷς
καθ' P--------- κατά
ἡμέραν N1A-ASF--- ἡμέρα
ἄρχων N3--NSM--- ἄρχων
καθ' P--------- κατά
ἡμέραν N1A-ASF--- ἡμέρα
προσοίσουσιν VF--FAI3P- φέρω προς
τὰ RA--APN--- ὁ
δῶρα N2N-APN--- δῶρον
αὐτῶν RD--GPM--- αὐτός
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
ἐγκαινισμὸν N2--ASM--- ἐγκαινισμός
τοῦ RA--GSN--- ὁ
θυσιαστηρίου N2N-GSN--- θυσιαστήριον

Num 7:12
καὶ C--------- καί
ἦν V9--IAI3S- εἰμί
ὁ RA--NSM--- ὁ
προσφέρων V1--PAPNSM φέρω προς
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
τῇ RA--DSF--- ὁ
πρώτῃ A1--DSFS-- πρῶτος
τὸ RA--ASN--- ὁ
δῶρον N2N-ASN--- δῶρον
αὐτοῦ RD--GSM--- αὐτός
Ναασσων N---NSM--- Ναασσων
υἱὸς N2--NSM--- υἱός
Αμιναδαβ N---GSM--- Αμιναδαβ
ἄρχων N3--NSM--- ἄρχων
τῆς RA--GSF--- ὁ
φυλῆς N1--GSF--- φυλή
Ιουδα N---GSM--- Ιουδα

Num 7:13
καὶ C--------- καί
προσήνεγκεν VAI-AAI3S- φέρω προς
τὸ RA--ASN--- ὁ
δῶρον N2N-ASN--- δῶρον
αὐτοῦ RD--GSM--- αὐτός
τρυβλίον N2--ASN--- τρυβλίον
ἀργυροῦν A1C-ASN--- ἀργυροῦς
ἕν A3--ASN--- εἷς
τριάκοντα M--------- τριάκοντα
καὶ C--------- καί
ἑκατὸν M--------- ἑκατόν
ὁλκὴ N1--NSF--- ὁλκή
αὐτοῦ RD--GSM--- αὐτός
φιάλην N1--ASF--- φιάλη
μίαν A1A-ASF--- εἷς
ἀργυρᾶν A1C-ASF--- ἀργυροῦς
ἑβδομήκοντα M--------- ἑβδομήκοντα
σίκλων N2--GPM--- σίκλος
κατὰ P--------- κατά
τὸν RA--ASM--- ὁ
σίκλον N2--ASM--- σίκλος
τὸν RA--ASM--- ὁ
ἅγιον A1A-ASM--- ἅγιος
ἀμφότερα A1A-APN--- ἀμφότεροι
πλήρη A3H-APN--- πλήρης
σεμιδάλεως N3I-GSF--- σεμίδαλις
ἀναπεποιημένης VM--XPPGSF ποιέω ἀνα
ἐν P--------- ἐν
ἐλαίῳ N2N-DSN--- ἔλαιον
εἰς P--------- εἰς
θυσίαν N1A-ASF--- θυσία

Num 7:14
θυίσκην N1--ASF--- θυΐσκη
μίαν A1A-ASF--- εἷς
δέκα M--------- δέκα
χρυσῶν A1C-GPM--- χρυσοῦς
πλήρη A3H-APN--- πλήρης
θυμιάματος N3M-GSN--- θυμίαμα

Num 7:15
μόσχον N2--ASM--- μόσχος
ἕνα A3--ASM--- εἷς
ἐκ P--------- ἐκ
βοῶν N3--GPM--- βοῦς
κριὸν N2--ASM--- κριός
ἕνα A3--ASM--- εἷς
ἀμνὸν N2--ASM--- ἀμνός
ἕνα A3--ASM--- εἷς
ἐνιαύσιον A1A-ASM--- ἐνιαύσιος
εἰς P--------- εἰς
ὁλοκαύτωμα N3M-ASN--- ὁλοκαύτωμα

Num 7:16
καὶ C--------- καί
χίμαρον N2--ASM--- χίμαρος
ἐξ P--------- ἐκ
αἰγῶν N3G-GPM--- αἴξ
ἕνα A3--ASM--- εἷς
περὶ P--------- περί
ἁμαρτίας N1A-GSF--- ἁμαρτία

Num 7:17
καὶ C--------- καί
εἰς P--------- εἰς
θυσίαν N1A-ASF--- θυσία
σωτηρίου N2N-GSN--- σωτήριον
δαμάλεις N3I-NPF--- δάμαλις
δύο M--------- δύο
κριοὺς N2--APM--- κριός
πέντε M--------- πέντε
τράγους N2--APM--- τράγος
πέντε M--------- πέντε
ἀμνάδας N3D-APF--- ἀμνάς
ἐνιαυσίας A1A-APF--- ἐνιαύσιος
πέντε M--------- πέντε
τοῦτο RD--NSN--- οὗτος
τὸ RA--NSN--- ὁ
δῶρον N2N-NSN--- δῶρον
Ναασσων N---GSM--- Ναασσων
υἱοῦ N2--GSM--- υἱός
Αμιναδαβ N---GSM--- Αμιναδαβ

Num 7:18
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
τῇ RA--DSF--- ὁ
δευτέρᾳ A1A-DSF--- δεύτερος
προσήνεγκεν VAI-AAI3S- φέρω προς
Ναθαναηλ N---NSM--- Ναθαναηλ
υἱὸς N2--NSM--- υἱός
Σωγαρ N---GSM--- Σωγαρ
ἄρχων N3--NSM--- ἄρχων
τῆς RA--GSF--- ὁ
φυλῆς N1--GSF--- φυλή
Ισσαχαρ N---GSF--- Ισσαχαρ

Num 7:19
καὶ C--------- καί
προσήνεγκεν VAI-AAI3S- φέρω προς
τὸ RA--ASN--- ὁ
δῶρον N2N-ASN--- δῶρον
αὐτοῦ RD--GSM--- αὐτός
τρυβλίον N2--ASN--- τρυβλίον
ἀργυροῦν A1C-ASN--- ἀργυροῦς
ἕν A3--ASN--- εἷς
τριάκοντα M--------- τριάκοντα
καὶ C--------- καί
ἑκατὸν M--------- ἑκατόν
ὁλκὴ N1--NSF--- ὁλκή
αὐτοῦ RD--GSM--- αὐτός
φιάλην N1--ASF--- φιάλη
μίαν A1A-ASF--- εἷς
ἀργυρᾶν A1C-ASF--- ἀργυροῦς
ἑβδομήκοντα M--------- ἑβδομήκοντα
σίκλων N2--GPM--- σίκλος
κατὰ P--------- κατά
τὸν RA--ASM--- ὁ
σίκλον N2--ASM--- σίκλος
τὸν RA--ASN--- ὁ
ἅγιον A1A-ASN--- ἅγιος
ἀμφότερα A1A-APN--- ἀμφότεροι
πλήρη A3H-APN--- πλήρης
σεμιδάλεως N3I-GSF--- σεμίδαλις
ἀναπεποιημένης VM--XPPGSF ποιέω ἀνα
ἐν P--------- ἐν
ἐλαίῳ N2N-DSN--- ἔλαιον
εἰς P--------- εἰς
θυσίαν N1A-ASF--- θυσία

Num 7:20
θυίσκην N1--ASF--- θυΐσκη
μίαν A1A-ASF--- εἷς
δέκα M--------- δέκα
χρυσῶν A1C-GPM--- χρυσοῦς
πλήρη A3H-APN--- πλήρης
θυμιάματος N3M-GSN--- θυμίαμα

Num 7:21
μόσχον N2--ASM--- μόσχος
ἕνα A3--ASM--- εἷς
ἐκ P--------- ἐκ
βοῶν N3--GPM--- βοῦς
κριὸν N2--ASM--- κριός
ἕνα A3--ASM--- εἷς
ἀμνὸν N2--ASM--- ἀμνός
ἕνα A3--ASM--- εἷς
ἐνιαύσιον A1A-ASM--- ἐνιαύσιος
εἰς P--------- εἰς
ὁλοκαύτωμα N3M-ASN--- ὁλοκαύτωμα

Num 7:22
καὶ C--------- καί
χίμαρον N2--ASM--- χίμαρος
ἐξ P--------- ἐκ
αἰγῶν N3G-GPM--- αἴξ
ἕνα A3--ASM--- εἷς
περὶ P--------- περί
ἁμαρτίας N1A-GSF--- ἁμαρτία

Num 7:23
καὶ C--------- καί
εἰς P--------- εἰς
θυσίαν N1A-ASF--- θυσία
σωτηρίου N2N-GSN--- σωτήριον
δαμάλεις N3I-NPF--- δάμαλις
δύο M--------- δύο
κριοὺς N2--APM--- κριός
πέντε M--------- πέντε
τράγους N2--APM--- τράγος
πέντε M--------- πέντε
ἀμνάδας N3D-APF--- ἀμνάς
ἐνιαυσίας A1A-APF--- ἐνιαύσιος
πέντε M--------- πέντε
τοῦτο RD--NSN--- οὗτος
τὸ RA--NSN--- ὁ
δῶρον N2N-NSN--- δῶρον
Ναθαναηλ N---GSM--- Ναθαναηλ
υἱοῦ N2--GSM--- υἱός
Σωγαρ N---GSM--- Σωγαρ

Num 7:24
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
τῇ RA--DSF--- ὁ
τρίτῃ A1--DSF--- τρίτος
ἄρχων N3--NSM--- ἄρχων
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
Ζαβουλων N---GSM--- Ζαβουλων
Ελιαβ N---NSM--- Ελιαβ
υἱὸς N2--NSM--- υἱός
Χαιλων N---GSM--- Χαιλων

Num 7:25
τὸ RA--ASN--- ὁ
δῶρον N2N-ASN--- δῶρον
αὐτοῦ RD--GSM--- αὐτός
τρυβλίον N2--ASN--- τρυβλίον
ἀργυροῦν A1C-ASM--- ἀργυροῦς
ἕν A3--ASN--- εἷς
τριάκοντα M--------- τριάκοντα
καὶ C--------- καί
ἑκατὸν M--------- ἑκατόν
ὁλκὴ N1--NSF--- ὁλκή
αὐτοῦ RD--GSM--- αὐτός
φιάλην N1--ASF--- φιάλη
μίαν A1A-ASF--- εἷς
ἀργυρᾶν A1C-ASF--- ἀργυροῦς
ἑβδομήκοντα M--------- ἑβδομήκοντα
σίκλων N2--GPM--- σίκλος
κατὰ P--------- κατά
τὸν RA--ASM--- ὁ
σίκλον N2--ASM--- σίκλος
τὸν RA--ASN--- ὁ
ἅγιον A1A-ASN--- ἅγιος
ἀμφότερα A1A-APN--- ἀμφότεροι
πλήρη A3H-APN--- πλήρης
σεμιδάλεως N3I-GSF--- σεμίδαλις
ἀναπεποιημένης VM--XPPGSF ποιέω ἀνα
ἐν P--------- ἐν
ἐλαίῳ N2N-DSN--- ἔλαιον
εἰς P--------- εἰς
θυσίαν N1A-ASF--- θυσία

Num 7:26
θυίσκην N1--ASF--- θυΐσκη
μίαν A1A-ASF--- εἷς
δέκα M--------- δέκα
χρυσῶν A1C-GPN--- χρυσοῦς
πλήρη A3H-APN--- πλήρης
θυμιάματος N3M-GSN--- θυμίαμα

Num 7:27
μόσχον N2--ASM--- μόσχος
ἕνα A3--ASM--- εἷς
ἐκ P--------- ἐκ
βοῶν N3--GPM--- βοῦς
κριὸν N2--ASM--- κριός
ἕνα A3--ASM--- εἷς
ἀμνὸν N2--ASM--- ἀμνός
ἕνα A3--ASM--- εἷς
ἐνιαύσιον A1A-ASM--- ἐνιαύσιος
εἰς P--------- εἰς
ὁλοκαύτωμα N3M-ASN--- ὁλοκαύτωμα

Num 7:28
καὶ C--------- καί
χίμαρον N2--ASM--- χίμαρος
ἐξ P--------- ἐκ
αἰγῶν N3G-GPM--- αἴξ
ἕνα A3--ASM--- εἷς
περὶ P--------- περί
ἁμαρτίας N1A-GSF--- ἁμαρτία

Num 7:29
καὶ C--------- καί
εἰς P--------- εἰς
θυσίαν N1A-ASF--- θυσία
σωτηρίου N2N-GSN--- σωτήριον
δαμάλεις N3I-NPF--- δάμαλις
δύο M--------- δύο
κριοὺς N2--APM--- κριός
πέντε M--------- πέντε
τράγους N2--APM--- τράγος
πέντε M--------- πέντε
ἀμνάδας N3D-APF--- ἀμνάς
ἐνιαυσίας A1A-GSF--- ἐνιαύσιος
πέντε M--------- πέντε
τοῦτο RD--NSN--- οὗτος
τὸ RA--NSN--- ὁ
δῶρον N2N-NSN--- δῶρον
Ελιαβ N---GSM--- Ελιαβ
υἱοῦ N2--GSM--- υἱός
Χαιλων N---GSM--- Χαιλων

Num 7:30
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
τῇ RA--DSF--- ὁ
τετάρτῃ A1--DSF--- τέταρτος
ἄρχων N3--NSM--- ἄρχων
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
Ρουβην N---GSM--- Ρουβην
Ελισουρ N---NSM--- Ελισουρ
υἱὸς N2--NSM--- υἱός
Σεδιουρ N---GSM--- Σεδιουρ

Num 7:31
τὸ RA--ASN--- ὁ
δῶρον N2N-ASN--- δῶρον
αὐτοῦ RD--GSM--- αὐτός
τρυβλίον N2--ASN--- τρυβλίον
ἀργυροῦν A1C-ASN--- ἀργυροῦς
ἕν A3--ASN--- εἷς
τριάκοντα M--------- τριάκοντα
καὶ C--------- καί
ἑκατὸν M--------- ἑκατόν
ὁλκὴ N1--NSF--- ὁλκή
αὐτοῦ RD--GSM--- αὐτός
φιάλην N1--ASF--- φιάλη
μίαν A1A-ASF--- εἷς
ἀργυρᾶν A1C-ASF--- ἀργυροῦς
ἑβδομήκοντα M--------- ἑβδομήκοντα
σίκλων N2--GPM--- σίκλος
κατὰ P--------- κατά
τὸν RA--ASM--- ὁ
σίκλον N2--ASM--- σίκλος
τὸν RA--ASN--- ὁ
ἅγιον A1A-ASN--- ἅγιος
ἀμφότερα A1A-APN--- ἀμφότεροι
πλήρη A3H-APN--- πλήρης
σεμιδάλεως N3I-GSF--- σεμίδαλις
ἀναπεποιημένης VM--XPPGSF ποιέω ἀνα
ἐν P--------- ἐν
ἐλαίῳ N2N-DSN--- ἔλαιον
εἰς P--------- εἰς
θυσίαν N1A-ASF--- θυσία

Num 7:32
θυίσκην N1--ASF--- θυΐσκη
μίαν A1A-ASF--- εἷς
δέκα M--------- δέκα
χρυσῶν A1C-GPN--- χρυσοῦς
πλήρη A3H-APN--- πλήρης
θυμιάματος N3M-GSN--- θυμίαμα

Num 7:33
μόσχον N2--ASM--- μόσχος
ἕνα A3--ASM--- εἷς
ἐκ P--------- ἐκ
βοῶν N3--GPM--- βοῦς
κριὸν N2--ASM--- κριός
ἕνα A3--ASM--- εἷς
ἀμνὸν N2--ASM--- ἀμνός
ἕνα A3--ASM--- εἷς
ἐνιαύσιον A1A-ASM--- ἐνιαύσιος
εἰς P--------- εἰς
ὁλοκαύτωμα N3M-ASN--- ὁλοκαύτωμα

Num 7:34
καὶ C--------- καί
χίμαρον N2--ASM--- χίμαρος
ἐξ P--------- ἐκ
αἰγῶν N3G-GPM--- αἴξ
ἕνα A3--ASM--- εἷς
περὶ P--------- περί
ἁμαρτίας N1A-GSF--- ἁμαρτία

Num 7:35
καὶ C--------- καί
εἰς P--------- εἰς
θυσίαν N1A-ASF--- θυσία
σωτηρίου N2N-GSN--- σωτήριον
δαμάλεις N3I-NPF--- δάμαλις
δύο M--------- δύο
κριοὺς N2--APM--- κριός
πέντε M--------- πέντε
τράγους N2--APM--- τράγος
πέντε M--------- πέντε
ἀμνάδας N3D-APF--- ἀμνάς
ἐνιαυσίας A1A-APF--- ἐνιαύσιος
πέντε M--------- πέντε
τοῦτο RD--NSN--- οὗτος
τὸ RA--NSN--- ὁ
δῶρον N2N-NSN--- δῶρον
Ελισουρ N---GSM--- Ελισουρ
υἱοῦ N2--GSM--- υἱός
Σεδιουρ N---GSM--- Σεδιουρ

Num 7:36
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
τῇ RA--DSF--- ὁ
πέμπτῃ A1--DSF--- πέμπτος
ἄρχων N3--NSM--- ἄρχων
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
Συμεων N---GSM--- Συμεων
Σαλαμιηλ N---NSM--- Σαλαμιηλ
υἱὸς N2--NSM--- υἱός
Σουρισαδαι N---GSM--- Σουρισαδαι

Num 7:37
τὸ RA--ASN--- ὁ
δῶρον N2N-ASN--- δῶρον
αὐτοῦ RD--GSM--- αὐτός
τρυβλίον N2--ASN--- τρυβλίον
ἀργυροῦν A1C-ASN--- ἀργυροῦς
ἕν A3--ASN--- εἷς
τριάκοντα M--------- τριάκοντα
καὶ C--------- καί
ἑκατὸν M--------- ἑκατόν
ὁλκὴ N1--NSF--- ὁλκή
αὐτοῦ RD--GSM--- αὐτός
φιάλην N1--ASF--- φιάλη
μίαν A1A-ASF--- εἷς
ἀργυρᾶν A1C-ASF--- ἀργυροῦς
ἑβδομήκοντα M--------- ἑβδομήκοντα
σίκλων N2--GPM--- σίκλος
κατὰ P--------- κατά
τὸν RA--ASM--- ὁ
σίκλον N2--ASM--- σίκλος
τὸν RA--ASN--- ὁ
ἅγιον A1A-ASN--- ἅγιος
ἀμφότερα A1A-APN--- ἀμφότεροι
πλήρη A3H-APN--- πλήρης
σεμιδάλεως N3I-GSF--- σεμίδαλις
ἀναπεποιημένης VM--XPPGSF ποιέω ἀνα
ἐν P--------- ἐν
ἐλαίῳ N2N-DSN--- ἔλαιον
εἰς P--------- εἰς
θυσίαν N1A-ASF--- θυσία

Num 7:38
θυίσκην N1--ASF--- θυΐσκη
μίαν A1A-ASF--- εἷς
δέκα M--------- δέκα
χρυσῶν A1C-GPN--- χρυσοῦς
πλήρη A3H-APN--- πλήρης
θυμιάματος N3M-GSN--- θυμίαμα

Num 7:39
μόσχον N2--ASM--- μόσχος
ἕνα A3--ASM--- εἷς
ἐκ P--------- ἐκ
βοῶν N3--GPM--- βοῦς
κριὸν N2--ASM--- κριός
ἕνα A3--ASM--- εἷς
ἀμνὸν N2--ASM--- ἀμνός
ἕνα A3--ASM--- εἷς
ἐνιαύσιον A1A-ASM--- ἐνιαύσιος
εἰς P--------- εἰς
ὁλοκαύτωμα N3M-ASN--- ὁλοκαύτωμα

Num 7:40
καὶ C--------- καί
χίμαρον N2--ASM--- χίμαρος
ἐξ P--------- ἐκ
αἰγῶν N3G-GPM--- αἴξ
ἕνα A3--ASM--- εἷς
περὶ P--------- περί
ἁμαρτίας N1A-GSF--- ἁμαρτία

Num 7:41
καὶ C--------- καί
εἰς P--------- εἰς
θυσίαν N1A-ASF--- θυσία
σωτηρίου N2N-GSN--- σωτήριον
δαμάλεις N3I-NPF--- δάμαλις
δύο M--------- δύο
κριοὺς N2--APM--- κριός
πέντε M--------- πέντε
τράγους N2--APM--- τράγος
πέντε M--------- πέντε
ἀμνάδας N3D-APF--- ἀμνάς
ἐνιαυσίας A1A-APF--- ἐνιαύσιος
πέντε M--------- πέντε
τοῦτο RD--NSN--- οὗτος
τὸ RA--NSN--- ὁ
δῶρον N2N-NSN--- δῶρον
Σαλαμιηλ N---GSM--- Σαλαμιηλ
υἱοῦ N2--GSM--- υἱός
Σουρισαδαι N---GSM--- Σουρισαδαι

Num 7:42
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
τῇ RA--DSF--- ὁ
ἕκτῃ A1--DSF--- ἕκτος
ἄρχων N3--NSM--- ἄρχων
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
Γαδ N---GSM--- Γαδ
Ελισαφ N---NSM--- Ελισαφ
υἱὸς N2--NSM--- υἱός
Ραγουηλ N---GSM--- Ραγουηλ

Num 7:43
τὸ RA--ASN--- ὁ
δῶρον N2N-ASN--- δῶρον
αὐτοῦ RD--GSM--- αὐτός
τρυβλίον N2--ASN--- τρυβλίον
ἀργυροῦν A1C-ASN--- ἀργυροῦς
ἕν A3--ASN--- εἷς
τριάκοντα M--------- τριάκοντα
καὶ C--------- καί
