Dan 1:1
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών
καὶ C--------- καί
εὐλογημένον VM--XPPNSN εὐλογέω
τὸ RA--NSN--- ὁ
ὄνομα N3M-NSN--- ὄνομα
τῆς RA--GSF--- ὁ
δόξης N1S-GSF--- δόξα
σου RP--GS---- σύ
τὸ RA--NSN--- ὁ
ἅγιον A1A-NSN--- ἅγιος
καὶ C--------- καί
ὑπεραινετὸν A1--NSN--- ὑπεραινετός
καὶ C--------- καί
ὑπερυψωμένον V4--PPPNSN ὑψόω ὑπερ
εἰς P--------- εἰς
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

Dan 3:53
εὐλογημένος VM--XPPNSM εὐλογέω
εἶ V9--PAI2S- εἰμί
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
ναῷ N2--DSM--- ναός
τῆς RA--GSF--- ὁ
ἁγίας A1A-GSF--- ἅγιος
δόξης N1S-GSF--- δόξα
σου RP--GS---- σύ
καὶ C--------- καί
ὑπερυμνητὸς A1--NSN--- ὑπερυμνητός
καὶ C--------- καί
ὑπερένδοξος A1B-NSN--- ὑπερένδοξος
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

Dan 3:54
εὐλογητὸς A1--NSM--- εὐλογητός
εἶ V9--PAI2S- εἰμί
ἐπὶ P--------- ἐπί
θρόνου N2--GSM--- θρόνος
τῆς RA--GSF--- ὁ
βασιλείας N1A-GSF--- βασιλεία
σου RP--GS---- σύ
καὶ C--------- καί
ὑμνητὸς A1--NSM--- ὑμνητός
καὶ C--------- καί
ὑπερυψωμένος V4--PPPNSM ὑψόω ὑπερ
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

Dan 3:55
εὐλογητὸς A1--NSM--- εὐλογητός
εἶ V9--PAI2S- εἰμί
ὁ RA--NSM--- ὁ
βλέπων V1--PAPNSM βλέπω
ἀβύσσους N2--APF--- ἄβυσσος
καθήμενος V5--PMPNSM ἧμαι κατα
ἐπὶ P--------- ἐπί
χερουβιμ N---APM--- χερουβιμ
καὶ C--------- καί
αἰνετὸς A1--NSM--- αἰνετός
καὶ C--------- καί
δεδοξασμένος VT--XMPNSM δοξάζω
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

Dan 3:56
εὐλογητὸς A1--NSM--- εὐλογητός
εἶ V9--PAI2S- εἰμί
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
στερεώματι N3M-DSN--- στερέωμα
καὶ C--------- καί
ὑμνητὸς A1--NSM--- ὑμνητός
καὶ C--------- καί
δεδοξασμένος VT--XMPNSM δοξάζω
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

Dan 3:57
εὐλογεῖτε V2--PAD2P- εὐλογέω
πάντα A3--NPN--- πᾶς
τὰ RA--NPN--- ὁ
ἔργα N2N-NPN--- ἔργον
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

Dan 3:58
εὐλογεῖτε V2--PAD2P- εὐλογέω
ἄγγελοι N2--NPM--- ἄγγελος
κυρίου N2--GSM--- κύριος
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

Dan 3:59
εὐλογεῖτε V2--PAD2P- εὐλογέω
οὐρανοί N2--NPM--- οὐρανός
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

Dan 3:60
εὐλογεῖτε V2--PAD2P- εὐλογέω
ὕδατα N3T-NPN--- ὕδωρ
πάντα A3--NPN--- πᾶς
τὰ RA--NPN--- ὁ
ἐπάνω P--------- ἐπάνω
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

Dan 3:61
εὐλογεῖτε V2--PAD2P- εὐλογέω
πᾶσαι A1S-NPF--- πᾶς
αἱ RA--NPF--- ὁ
δυνάμεις N3I-NPF--- δύναμις
κυρίου N2--GSM--- κύριος
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

Dan 3:62
εὐλογεῖτε V2--PAD2P- εὐλογέω
ἥλιος N2--NSM--- ἥλιος
καὶ C--------- καί
σελήνη N1--NSF--- σελήνη
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

Dan 3:63
εὐλογεῖτε V2--PAD2P- εὐλογέω
ἄστρα N2N-NPN--- ἄστρον
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

Dan 3:64
εὐλογεῖτε V2--PAD2P- εὐλογέω
πᾶς A3--NSM--- πᾶς
ὄμβρος N2--NSM--- ὄμβρος
καὶ C--------- καί
δρόσος N2--NSF--- δρόσος
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

Dan 3:65
εὐλογεῖτε V2--PAD2P- εὐλογέω
πάντα A3--NPN--- πᾶς
τὰ RA--NPN--- ὁ
πνεύματα N3M-NPN--- πνεῦμα
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

Dan 3:66
εὐλογεῖτε V2--PAD2P- εὐλογέω
πῦρ N3--NSN--- πῦρ
καὶ C--------- καί
καῦμα N3M-NSN--- καῦμα
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

Dan 3:67
εὐλογεῖτε V2--PAD2P- εὐλογέω
ῥῖγος N3E-NSN--- ῥῖγος
καὶ C--------- καί
ψῦχος N3E-NSN--- ψῦχος
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

Dan 3:68
εὐλογεῖτε V2--PAD2P- εὐλογέω
δρόσοι N2--NPF--- δρόσος
καὶ C--------- καί
νιφετοί N2--NPM--- νιφετός
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

Dan 3:69
εὐλογεῖτε V2--PAD2P- εὐλογέω
πάγοι N2--NPM--- πάγος
καὶ C--------- καί
ψῦχος N3E-NSN--- ψῦχος
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

Dan 3:70
εὐλογεῖτε V2--PAD2P- εὐλογέω
πάχναι N1--NPF--- πάχνη
καὶ C--------- καί
χιόνες N3N-NPF--- χιών
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

Dan 3:71
εὐλογεῖτε V2--PAD2P- εὐλογέω
νύκτες N3--NPF--- νύξ
καὶ C--------- καί
ἡμέραι N1A-NPF--- ἡμέρα
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

Dan 3:72
εὐλογεῖτε V2--PAD2P- εὐλογέω
φῶς N3T-NSN--- φῶς
καὶ C--------- καί
σκότος N3E-NSN--- σκότος
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

Dan 3:73
εὐλογεῖτε V2--PAD2P- εὐλογέω
ἀστραπαὶ N1--VPF--- ἀστραπή
καὶ C--------- καί
νεφέλαι N1--NPF--- νεφέλη
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

Dan 3:74
εὐλογείτω V2--PAD3S- εὐλογέω
ἡ RA--NSF--- ὁ
γῆ N1--NSF--- γῆ
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνείτω V2--PAD3S- ὑμνέω
καὶ C--------- καί
ὑπερυψούτω V4--PAD3S- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

Dan 3:75
εὐλογεῖτε V2--PAD2P- εὐλογέω
ὄρη N3E-NPN--- ὄρος
καὶ C--------- καί
βουνοί N2--NPM--- βουνός
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

Dan 3:76
εὐλογεῖτε V2--PAD2P- εὐλογέω
πάντα A3--NPN--- πᾶς
τὰ RA--NPN--- ὁ
φυόμενα V1--PMPNPN φύω
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

Dan 3:77
εὐλογεῖτε V2--PAD2P- εὐλογέω
αἱ RA--NPF--- ὁ
πηγαί N1--NPF--- πηγή
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

Dan 3:78
εὐλογεῖτε V2--PAD2P- εὐλογέω
θάλασσαι N1S-NPF--- θάλασσα
καὶ C--------- καί
ποταμοί N2--NPM--- ποταμός
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

Dan 3:79
εὐλογεῖτε V2--PAD2P- εὐλογέω
κήτη N3E-NPN--- κῆτος
καὶ C--------- καί
πάντα A3--NPN--- πᾶς
τὰ RA--NPN--- ὁ
κινούμενα V2--PMPNPN κινέω
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
ὕδασι N3T-DPN--- ὕδωρ
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

Dan 3:80
εὐλογεῖτε V2--PAD2P- εὐλογέω
πάντα A3--NPN--- πᾶς
τὰ RA--NPN--- ὁ
πετεινὰ N2N-NPN--- πετεινόν
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

Dan 3:81
εὐλογεῖτε V2--PAD2P- εὐλογέω
τετράποδα A1B-NPN--- τετράποδος
καὶ C--------- καί
θηρία N2N-NPN--- θηρίον
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

Dan 3:82
εὐλογεῖτε V2--PAD2P- εὐλογέω
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
τῶν RA--GPM--- ὁ
ἀνθρώπων N2--GPM--- ἄνθρωπος
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

Dan 3:83
εὐλογεῖτε V2--PAD2P- εὐλογέω
Ισραηλ N---NSM--- Ἰσραήλ
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

Dan 3:84
εὐλογεῖτε V2--PAD2P- εὐλογέω
ἱερεῖς N3V-NPM--- ἱερεύς
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

Dan 3:85
εὐλογεῖτε V2--PAD2P- εὐλογέω
δοῦλοι N2--NPM--- δοῦλος
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

Dan 3:86
εὐλογεῖτε V2--PAD2P- εὐλογέω
πνεύματα N3M-NPN--- πνεῦμα
καὶ C--------- καί
ψυχαὶ N1--NPF--- ψυχή
δικαίων A1A-GPM--- δίκαιος
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

Dan 3:87
εὐλογεῖτε V2--PAD2P- εὐλογέω
ὅσιοι A1A-NPM--- ὅσιος
καὶ C--------- καί
ταπεινοὶ A1--NPM--- ταπεινός
καρδίᾳ N1A-DSF--- καρδία
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών

Dan 3:88
εὐλογεῖτε V2--PAD2P- εὐλογέω
Ανανια N1T-NSM--- Ανανιας
Αζαρια N1T-NSM--- Αζαριας
Μισαηλ N---NSM--- Μισαηλ
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ὑπερυψοῦτε V4--PAD2P- ὑψόω ὑπερ
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών
ὅτι C--------- ὅτι
ἐξείλετο VBI-AMI3S- αἱρέω ἐκ
ἡμᾶς RP--AP---- ἐγώ
ἐξ P--------- ἐκ
ᾅδου N1M-GSM--- ᾅδης
καὶ C--------- καί
ἔσωσεν VAI-AAI3S- σώζω
ἡμᾶς RP--AP---- ἐγώ
ἐκ P--------- ἐκ
χειρὸς N3--GSF--- χείρ
θανάτου N2--GSM--- θάνατος
καὶ C--------- καί
ἐρρύσατο VAI-AMI3S- ῥύομαι
ἡμᾶς RP--AP---- ἐγώ
ἐκ P--------- ἐκ
μέσου A1--GSM--- μέσος
καιομένης V1--PMPGSF καίω
φλογὸς N3G-GSF--- φλόξ
καὶ C--------- καί
ἐκ P--------- ἐκ
τοῦ RA--GSN--- ὁ
πυρὸς N3--GSN--- πῦρ
ἐλυτρώσατο VAI-AMI3S- λυτρόω
ἡμᾶς RP--AP---- ἐγώ

Dan 3:89
ἐξομολογεῖσθε V2--PMD2P- ὁμολογέω ἐκ
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
ὅτι C--------- ὅτι
χρηστός A1--NSM--- χρηστός
ὅτι C--------- ὅτι
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
αἰῶνα N3W-ASM--- αἰών
τὸ RA--NSN--- ὁ
ἔλεος N3E-NSN--- ἔλεος
αὐτοῦ RD--GSM--- αὐτός

Dan 3:90
εὐλογεῖτε V2--PAD2P- εὐλογέω
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
σεβόμενοι V1--PMPNPM σέβω
τὸν RA--ASM--- ὁ
θεὸν N2--ASM--- θεός
τῶν RA--GPM--- ὁ
θεῶν N2--GPM--- θεός
ὑμνεῖτε V2--PAD2P- ὑμνέω
καὶ C--------- καί
ἐξομολογεῖσθε V2--PMD2P- ὁμολογέω ἐκ
ὅτι C--------- ὅτι
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
αἰῶνα N3W-ASM--- αἰών
τὸ RA--NSN--- ὁ
ἔλεος N3E-NSN--- ἔλεος
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
αἰῶνα N3W-ASM--- αἰών
τῶν RA--GPM--- ὁ
αἰώνων N3W-GPM--- αἰών

Dan 3:91
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ἀκοῦσαι VA--AAN--- ἀκούω
τὸν RA--ASM--- ὁ
βασιλέα N3V-ASM--- βασιλεύς
ὑμνούντων V2--PAPGPM ὑμνέω
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἑστὼς VXI-XAPNSM ἵστημι
ἐθεώρει V2I-IAI3S- θεωρέω
αὐτοὺς RD--APM--- αὐτός
ζῶντας V3--PAPAPM ζάω
τότε D--------- τότε
Ναβουχοδονοσορ N---NSM--- Ναβουχοδονοσορ
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
ἐθαύμασε VAI-AAI3S- θαυμάζω
καὶ C--------- καί
ἀνέστη VHI-AAI3S- ἵστημι ἀνα
σπεύσας VA--AAPNSM σπεύδω
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
τοῖς RA--DPM--- ὁ
φίλοις N2--DPM--- φίλος
αὐτοῦ RD--GSM--- αὐτός

Dan 3:92
ἰδοὺ I--------- ἰδού
ἐγὼ RP--NS---- ἐγώ
ὁρῶ V3--PAI1S- ὁράω
ἄνδρας N3--APM--- ἀνήρ
τέσσαρας A3--APM--- τέσσαρες
λελυμένους VM--XMPAPM λύω
περιπατοῦντας V2--PAPAPM πατέω περι
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
πυρί N3--DSN--- πῦρ
καὶ C--------- καί
φθορὰ N1A-NSF--- φθορά
οὐδεμία A1A-NSF--- οὐδείς
ἐγενήθη VCI-API3S- γίγνομαι
ἐν P--------- ἐν
αὐτοῖς RD--DPM--- αὐτός
καὶ C--------- καί
ἡ RA--NSF--- ὁ
ὅρασις N3I-NSF--- ὅρασις
τοῦ RA--GSM--- ὁ
τετάρτου A1--GSM--- τέταρτος
ὁμοίωμα N3M-NSN--- ὁμοίωμα
ἀγγέλου N2--GSM--- ἄγγελος
θεοῦ N2--GSM--- θεός

Dan 3:93
καὶ C--------- καί
προσελθὼν VB--AAPNSM ἔρχομαι προς
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
πρὸς P--------- πρός
τὴν RA--ASF--- ὁ
θύραν N1A-ASF--- θύρα
τῆς RA--GSF--- ὁ
καμίνου N2--GSF--- κάμινος
τῆς RA--GSF--- ὁ
καιομένης V1--PMPGSF καίω
τῷ RA--DSN--- ὁ
πυρὶ N3--DSN--- πῦρ
ἐκάλεσεν VAI-AAI3S- καλέω
αὐτοὺς RD--APM--- αὐτός
ἐξ P--------- ἐκ
ὀνόματος N3M-GSN--- ὄνομα
Σεδραχ N---NSM--- Σεδραχ
Μισαχ N---NSM--- Μισαχ
Αβδεναγω N---NSM--- Αβδεναγω
οἱ RA--NPM--- ὁ
παῖδες N3D-NPM--- παῖς
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
τῶν RA--GPM--- ὁ
θεῶν N2--GPM--- θεός
τοῦ RA--GSM--- ὁ
ὑψίστου A1--GSM--- ὕψιστος
ἐξέλθετε VB--AAD2P- ἔρχομαι ἐκ
ἐκ P--------- ἐκ
τοῦ RA--GSN--- ὁ
πυρός N3--GSN--- πῦρ
οὕτως D--------- οὕτως
οὖν X--------- οὖν
ἐξῆλθον VBI-AAI3P- ἔρχομαι ἐκ
οἱ RA--NPM--- ὁ
ἄνδρες N3--NPM--- ἀνήρ
ἐκ P--------- ἐκ
μέσου A1--GSM--- μέσος
τοῦ RA--GSN--- ὁ
πυρός N3--GSN--- πῦρ

Dan 3:94
καὶ C--------- καί
συνήχθησαν VQI-API3P- ἄγω συν
οἱ RA--NPM--- ὁ
ὕπατοι A1--NPM--- ὕπατος
τοπάρχαι N1M-NPM--- τοπαρχής
καὶ C--------- καί
ἀρχιπατριῶται N1M-NPM--- ἀρχιπατριώτης
καὶ C--------- καί
οἱ RA--NPM--- ὁ
φίλοι N2--NPM--- φίλος
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
καὶ C--------- καί
ἐθεώρουν V2I-IAI3P- θεωρέω
τοὺς RA--APM--- ὁ
ἀνθρώπους N2--APM--- ἄνθρωπος
ἐκείνους RD--APM--- ἐκεῖνος
ὅτι C--------- ὅτι
οὐχ D--------- οὐ
ἥψατο VAI-AMI3S- ἅπτομαι
τὸ RA--NSN--- ὁ
πῦρ N3--NSN--- πῦρ
τοῦ RA--GSN--- ὁ
σώματος N3M-GSN--- σῶμα
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
αἱ RA--NPF--- ὁ
τρίχες N3--NPF--- θρίξ
αὐτῶν RD--GPM--- αὐτός
οὐ D--------- οὐ
κατεκάησαν VBI-API3P- καίω κατα
καὶ C--------- καί
τὰ RA--NPN--- ὁ
σαράβαρα N2N-NPN--- σαράβαρα
αὐτῶν RD--GPM--- αὐτός
οὐκ D--------- οὐ
ἠλλοιώθησαν VAI-API3P- ἀλλοιόω
οὐδὲ C--------- οὐδέ
