Hos 1:1
καὶ C--------- καί
πόλεμον N2--ASM--- πόλεμος
συντρίψω VF--FAI1S- τρίβω συν
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
κατοικιῶ VF2-FAI1S- οἰκίζω κατα
σε RP--AS---- σύ
ἐπ' P--------- ἐπί
ἐλπίδι N3D-DSF--- ἐλπίς

Hos 2:21
καὶ C--------- καί
μνηστεύσομαί VF--FMI1S- μνηστεύομαι
σε RP--AS---- σύ
ἐμαυτῷ RD--DSM--- ἐμαυτοῦ
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
αἰῶνα N3W-ASM--- αἰών
καὶ C--------- καί
μνηστεύσομαί VF--FMI1S- μνηστεύομαι
σε RP--AS---- σύ
ἐμαυτῷ RD--DSM--- ἐμαυτοῦ
ἐν P--------- ἐν
δικαιοσύνῃ N1--DSF--- δικαιοσύνη
καὶ C--------- καί
ἐν P--------- ἐν
κρίματι N3M-DSN--- κρίμα
καὶ C--------- καί
ἐν P--------- ἐν
ἐλέει N3E-DSN--- ἔλεος
καὶ C--------- καί
ἐν P--------- ἐν
οἰκτιρμοῖς N2--DPM--- οἰκτιρμός

Hos 2:22
καὶ C--------- καί
μνηστεύσομαί VF--FMI1S- μνηστεύομαι
σε RP--AS---- σύ
ἐμαυτῷ RD--DSM--- ἐμαυτοῦ
ἐν P--------- ἐν
πίστει N3I-DSF--- πίστις
καὶ C--------- καί
ἐπιγνώσῃ VF--FMI2S- γιγνώσκω ἐπι
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος

Hos 2:23
καὶ C--------- καί
ἔσται V9--FMI3S- εἰμί
ἐν P--------- ἐν
ἐκείνῃ RD--DSF--- ἐκεῖνος
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ἐπακούσομαι VF--FMI1S- ἀκούω ἐπι
τῷ RA--DSM--- ὁ
οὐρανῷ N2--DSM--- οὐρανός
καὶ C--------- καί
ὁ RA--NSM--- ὁ
οὐρανὸς N2--NSM--- οὐρανός
ἐπακούσεται VF--FMI3S- ἀκούω ἐπι
τῇ RA--DSF--- ὁ
γῇ N1--DSF--- γῆ

Hos 2:24
καὶ C--------- καί
ἡ RA--NSF--- ὁ
γῆ N1--NSF--- γῆ
ἐπακούσεται VF--FMI3S- ἀκούω ἐπι
τὸν RA--ASM--- ὁ
σῖτον N2--ASM--- σῖτος
καὶ C--------- καί
τὸν RA--ASM--- ὁ
οἶνον N2--ASM--- οἶνος
καὶ C--------- καί
τὸ RA--ASN--- ὁ
ἔλαιον N2N-ASN--- ἔλαιον
καὶ C--------- καί
αὐτὰ RD--NPN--- αὐτός
ἐπακούσεται VF--FMI3S- ἀκούω ἐπι
τῷ RA--DSM--- ὁ
Ιεζραελ N---DSM--- Ιεζραελ

Hos 2:25
καὶ C--------- καί
σπερῶ VF2-FAI1S- σπείρω
αὐτὴν RD--ASF--- αὐτός
ἐμαυτῷ RD--DSM--- ἐμαυτοῦ
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
ἐλεήσω VF--FAI1S- ἐλεέω
τὴν RA--ASF--- ὁ
Οὐκ-ἠλεημένην N---ASF--- οὐ+ἐλεέω
καὶ C--------- καί
ἐρῶ VF2-FAI1S- εἶπον
τῷ RA--DSM--- ὁ
Οὐ-λαῷ-μου N---DSM--- οὐ+λαός+ἐγώ
λαός N2--NSM--- λαός
μου RP--GS---- ἐγώ
εἶ V9--PAI2S- εἰμί
σύ RP--NS---- σύ
καὶ C--------- καί
αὐτὸς RD--NSM--- αὐτός
ἐρεῖ VF2-FAI3S- εἶπον
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
μου RP--GS---- ἐγώ
εἶ V9--PAI2S- εἰμί
σύ RP--NS---- σύ

Hos 3:1
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
κύριος N2--NSM--- κύριος
πρός P--------- πρός
με RP--AS---- ἐγώ
ἔτι D--------- ἔτι
πορεύθητι VC--APD2S- πορεύομαι
καὶ C--------- καί
ἀγάπησον VA--AAD2S- ἀγαπάω
γυναῖκα N3K-ASF--- γυνή
ἀγαπῶσαν V3--PAPASF ἀγαπάω
πονηρὰ A1A-APN--- πονηρός
καὶ C--------- καί
μοιχαλίν N3D-ASF--- μοιχαλίς
καθὼς D--------- καθώς
ἀγαπᾷ V3--PAI3S- ἀγαπάω
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τοὺς RA--APM--- ὁ
υἱοὺς N2--APM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
αὐτοὶ RD--NPM--- αὐτός
ἀποβλέπουσιν V1--PAI3P- βλέπω ἀπο
ἐπὶ P--------- ἐπί
θεοὺς N2--APM--- θεός
ἀλλοτρίους A1A-APM--- ἀλλότριος
καὶ C--------- καί
φιλοῦσιν V2--PAI3P- φιλέω
πέμματα N3M-APN--- πέμμα
μετὰ P--------- μετά
σταφίδων N3D-GPF--- σταφίς

Hos 3:2
καὶ C--------- καί
ἐμισθωσάμην VAI-AMI1S- μισθόω
ἐμαυτῷ RD--DSM--- ἐμαυτοῦ
πεντεκαίδεκα M--------- πεντεκαίδεκα
ἀργυρίου N2N-GSN--- ἀργύριον
καὶ C--------- καί
γομορ N---GS---- γομορ
κριθῶν N1--GPF--- κριθή
καὶ C--------- καί
νεβελ N---GS---- νεβελ
οἴνου N2--GSM--- οἶνος

Hos 3:3
καὶ C--------- καί
εἶπα VAI-AAI1S- εἶπον
πρὸς P--------- πρός
αὐτήν RD--ASF--- αὐτός
ἡμέρας N1A-APF--- ἡμέρα
πολλὰς A1--APF--- πολύς
καθήσῃ VF--FMI2S- ἧμαι κατα
ἐπ' P--------- ἐπί
ἐμοὶ RP--DS---- ἐγώ
καὶ C--------- καί
οὐ D--------- οὐ
μὴ D--------- μή
πορνεύσῃς VA--AAS2S- πορνεύω
οὐδὲ C--------- οὐδέ
μὴ D--------- μή
γένῃ VB--AMS2S- γίγνομαι
ἀνδρὶ N3--DSM--- ἀνήρ
ἑτέρῳ A1A-DSM--- ἕτερος
καὶ C--------- καί
ἐγὼ RP--NS---- ἐγώ
ἐπὶ P--------- ἐπί
σοί RP--DS---- σύ

Hos 3:4
διότι C--------- διότι
ἡμέρας N1A-APF--- ἡμέρα
πολλὰς A1--APF--- πολύς
καθήσονται VF--FMI3P- ἵημι κατα
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
οὐκ D--------- οὐ
ὄντος V9--PAPGSM εἰμί
βασιλέως N3V-GSM--- βασιλεύς
οὐδὲ C--------- οὐδέ
ὄντος V9--PAPGSM εἰμί
ἄρχοντος N3--GSM--- ἄρχων
οὐδὲ C--------- οὐδέ
οὔσης V9--PAPGSF εἰμί
θυσίας N1A-GSF--- θυσία
οὐδὲ C--------- οὐδέ
ὄντος V9--PAPGSM εἰμί
θυσιαστηρίου N2N-GSN--- θυσιαστήριον
οὐδὲ C--------- οὐδέ
ἱερατείας N1A-GSF--- ἱερατεία
οὐδὲ C--------- οὐδέ
δήλων A1--GPM--- δῆλος

Hos 3:5
καὶ C--------- καί
μετὰ P--------- μετά
ταῦτα RD--APN--- οὗτος
ἐπιστρέψουσιν VF--FAI3P- στρέφω ἐπι
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
ἐπιζητήσουσιν VF--FAI3P- ζητέω ἐπι
κύριον N2--ASM--- κύριος
τὸν RA--ASM--- ὁ
θεὸν N2--ASM--- θεός
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
Δαυιδ N---ASM--- Δαυίδ
τὸν RA--ASM--- ὁ
βασιλέα N3V-ASM--- βασιλεύς
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἐκστήσονται VF--FMI3P- ἵστημι ἐκ
ἐπὶ P--------- ἐπί
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τοῖς RA--DPM--- ὁ
ἀγαθοῖς A1--DPM--- ἀγαθός
αὐτοῦ RD--GSM--- αὐτός
ἐπ' P--------- ἐπί
ἐσχάτων A1--GPF--- ἔσχατος
τῶν RA--GPF--- ὁ
ἡμερῶν N1A-GPF--- ἡμέρα

Hos 4:1
ἀκούσατε VA--AAD2P- ἀκούω
λόγον N2--ASM--- λόγος
κυρίου N2--GSM--- κύριος
υἱοὶ N2--VPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
διότι C--------- διότι
κρίσις N3I-NSF--- κρίσις
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
πρὸς P--------- πρός
τοὺς RA--APM--- ὁ
κατοικοῦντας V2--PAPAPM οἰκέω κατα
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
διότι C--------- διότι
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
ἀλήθεια N1A-NSF--- ἀλήθεια
οὐδὲ C--------- οὐδέ
ἔλεος N3E-NSN--- ἔλεος
οὐδὲ C--------- οὐδέ
ἐπίγνωσις N3I-NSF--- ἐπίγνωσις
θεοῦ N2--GSM--- θεός
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ

Hos 4:2
ἀρὰ N1A-NSF--- ἀρά
καὶ C--------- καί
ψεῦδος N3E-NSN--- ψεῦδος
καὶ C--------- καί
φόνος N2--NSM--- φόνος
καὶ C--------- καί
κλοπὴ N1--NSF--- κλοπή
καὶ C--------- καί
μοιχεία N1A-NSF--- μοιχεία
κέχυται VM--XMI3S- χέω
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
αἵματα N3M-APN--- αἷμα
ἐφ' P--------- ἐπί
αἵμασιν N3M-DPN--- αἷμα
μίσγουσιν V1--PAI3P- μίσγω

Hos 4:3
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
πενθήσει VF--FAI3S- πενθέω
ἡ RA--NSF--- ὁ
γῆ N1--NSF--- γῆ
καὶ C--------- καί
σμικρυνθήσεται VC--FPI3S- μικρύνω
σὺν P--------- σύν
πᾶσιν A3--DPM--- πᾶς
τοῖς RA--DPM--- ὁ
κατοικοῦσιν V2--PAPDPM οἰκέω κατα
αὐτήν RD--ASF--- αὐτός
σὺν P--------- σύν
τοῖς RA--DPN--- ὁ
θηρίοις N2N-DPN--- θηρίον
τοῦ RA--GSM--- ὁ
ἀγροῦ N2--GSM--- ἀγρός
καὶ C--------- καί
σὺν P--------- σύν
τοῖς RA--DPN--- ὁ
ἑρπετοῖς N2N-DPN--- ἑρπετόν
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
σὺν P--------- σύν
τοῖς RA--DPN--- ὁ
πετεινοῖς N2N-DPN--- πετεινόν
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ἰχθύες N3U-NPM--- ἰχθύς
τῆς RA--GSF--- ὁ
θαλάσσης N1S-GSF--- θάλασσα
ἐκλείψουσιν VF--FAI3P- λείπω ἐκ

Hos 4:4
ὅπως C--------- ὅπως
μηδεὶς A3P-NSM--- μηδείς
μήτε C--------- μήτε
δικάζηται V1--PMS3S- δικάζω
μήτε C--------- μήτε
ἐλέγχῃ V1--PAS3S- ἐλέγχω
μηδείς A3P-NSM--- μηδείς
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
λαός N2--NSM--- λαός
μου RP--GS---- ἐγώ
ὡς C--------- ὡς
ἀντιλεγόμενος V1--PMPNSM λέγω ἀντι
ἱερεύς N3V-NSM--- ἱερεύς

Hos 4:5
καὶ C--------- καί
ἀσθενήσεις VF--FAI2S- ἀσθενέω
ἡμέρας N1A-GSF--- ἡμέρα
καὶ C--------- καί
ἀσθενήσει VF--FAI3S- ἀσθενέω
καὶ D--------- καί
προφήτης N1M-NSM--- προφήτης
μετὰ P--------- μετά
σοῦ RP--GS---- σύ
νυκτὶ N3--DSF--- νύξ
ὡμοίωσα VAI-AAI1S- ὁμοιόω
τὴν RA--ASF--- ὁ
μητέρα N3--ASF--- μήτηρ
σου RP--GS---- σύ

Hos 4:6
ὡμοιώθη VCI-API3S- ὁμοιόω
ὁ RA--NSM--- ὁ
λαός N2--NSM--- λαός
μου RP--GS---- ἐγώ
ὡς C--------- ὡς
οὐκ D--------- οὐ
ἔχων V1--PAPNSM ἔχω
γνῶσιν N3I-ASF--- γνῶσις
ὅτι C--------- ὅτι
σὺ RP--NS---- σύ
ἐπίγνωσιν N3I-ASF--- ἐπίγνωσις
ἀπώσω VA--AMI2S- ὠθέω ἀπο
κἀγὼ C+RPNS---- καί+ἐγώ
ἀπώσομαι VF--FMI1S- ὠθέω ἀπο
σὲ RP--AS---- σύ
τοῦ RA--GSN--- ὁ
μὴ D--------- μή
ἱερατεύειν V1--PAN--- ἱερατεύω
μοι RP--DS---- ἐγώ
καὶ C--------- καί
ἐπελάθου VBI-AMI2S- λανθάνω ἐπι
νόμον N2--ASM--- νόμος
θεοῦ N2--GSM--- θεός
σου RP--GS---- σύ
κἀγὼ C+RPNS---- καί+ἐγώ
ἐπιλήσομαι VF--FMI1S- λανθάνω ἐπι
τέκνων N2N-GPN--- τέκνον
σου RP--GS---- σύ

Hos 4:7
κατὰ P--------- κατά
τὸ RA--ASN--- ὁ
πλῆθος N3E-ASN--- πλῆθος
αὐτῶν RD--GPM--- αὐτός
οὕτως D--------- οὕτως
ἥμαρτόν VBI-AAI3P- ἁμαρτάνω
μοι RP--DS---- ἐγώ
τὴν RA--ASF--- ὁ
δόξαν N1S-ASF--- δόξα
αὐτῶν RD--GPM--- αὐτός
εἰς P--------- εἰς
ἀτιμίαν N1A-ASF--- ἀτιμία
θήσομαι VF--FMI1S- τίθημι

Hos 4:8
ἁμαρτίας N1A-APF--- ἁμαρτία
λαοῦ N2--GSM--- λαός
μου RP--GS---- ἐγώ
φάγονται VF--FMI3P- ἐσθίω
καὶ C--------- καί
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἀδικίαις N1A-DPF--- ἀδικία
αὐτῶν RD--GPM--- αὐτός
λήμψονται VF--FMI3P- λαμβάνω
τὰς RA--APF--- ὁ
ψυχὰς N1--APF--- ψυχή
αὐτῶν RD--GPM--- αὐτός

Hos 4:9
καὶ C--------- καί
ἔσται V9--FMI3S- εἰμί
καθὼς D--------- καθώς
ὁ RA--NSM--- ὁ
λαὸς N2--NSM--- λαός
οὕτως D--------- οὕτως
καὶ D--------- καί
ὁ RA--NSM--- ὁ
ἱερεύς N3V-NSM--- ἱερεύς
καὶ C--------- καί
ἐκδικήσω VF--FAI1S- δικέω ἐκ
ἐπ' P--------- ἐπί
αὐτὸν RD--ASM--- αὐτός
τὰς RA--APF--- ὁ
ὁδοὺς N2--APF--- ὁδός
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
τὰ RA--APN--- ὁ
διαβούλια N2N-APN--- διαβούλιον
αὐτοῦ RD--GSM--- αὐτός
ἀνταποδώσω VF--FAI1S- δίδωμι ἀντι ἀπο
αὐτῷ RD--DSM--- αὐτός

Hos 4:10
καὶ C--------- καί
φάγονται VF--FMI3P- ἐσθίω
καὶ C--------- καί
οὐ D--------- οὐ
μὴ D--------- μή
ἐμπλησθῶσιν VS--APS3P- πίμπλημι ἐν
ἐπόρνευσαν VAI-AAI3P- πορνεύω
καὶ C--------- καί
οὐ D--------- οὐ
μὴ D--------- μή
κατευθύνωσιν VA--AAS3P- εὐθύνω κατα
διότι C--------- διότι
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ἐγκατέλιπον VBI-AAI3P- λείπω ἐν κατα
τοῦ RA--GSN--- ὁ
φυλάξαι VA--AAN--- φυλάσσω

Hos 4:11
πορνείαν N1A-ASF--- πορνεία
καὶ C--------- καί
οἶνον N2--ASM--- οἶνος
καὶ C--------- καί
μέθυσμα N3M-ASN--- μέθυσμα
ἐδέξατο VAI-AMI3S- δέχομαι
καρδία N1A-NSF--- καρδία
λαοῦ N2--GSM--- λαός
μου RP--GS---- ἐγώ

Hos 4:12
ἐν P--------- ἐν
συμβόλοις N2N-DPN--- σύμβολον
ἐπηρώτων V3I-IAI3P- ἐρωτάω ἐπι
καὶ C--------- καί
ἐν P--------- ἐν
ῥάβδοις N2--DPF--- ῥάβδος
αὐτοῦ RD--GSM--- αὐτός
ἀπήγγελλον V1I-IAI3P- ἀγγέλλω ἀπο
αὐτῷ RD--DSM--- αὐτός
πνεύματι N3M-DSN--- πνεῦμα
πορνείας N1A-GSF--- πορνεία
ἐπλανήθησαν VCI-API3P- πλανάω
καὶ C--------- καί
ἐξεπόρνευσαν VAI-AAI3P- πορνεύω ἐκ
ἀπὸ P--------- ἀπό
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
αὐτῶν RD--GPM--- αὐτός

Hos 4:13
ἐπὶ P--------- ἐπί
τὰς RA--APF--- ὁ
κορυφὰς N1--APF--- κορυφή
τῶν RA--GPN--- ὁ
ὀρέων N3E-GPN--- ὄρος
ἐθυσίαζον V1I-IAI3P- θυσιάζω
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
βουνοὺς N2--APM--- βουνός
ἔθυον V1I-IAI3P- θύω
ὑποκάτω P--------- ὑποκάτω
δρυὸς N3U-GSF--- δρῦς
καὶ C--------- καί
λεύκης A1--GSF--- λευκός
καὶ C--------- καί
δένδρου N2N-GSN--- δένδρον
συσκιάζοντος V1--PAPGSM σκιάζω συν
ὅτι C--------- ὅτι
καλὸν A1--NSN--- καλός
σκέπη N1--NSF--- σκέπη
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
ἐκπορνεύσουσιν VF--FAI3P- πορνεύω ἐκ
αἱ RA--NPF--- ὁ
θυγατέρες N3--NPF--- θυγάτηρ
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
αἱ RA--NPF--- ὁ
νύμφαι N1--NPF--- νύμφη
ὑμῶν RP--GP---- σύ
μοιχεύσουσιν VF--FAI3P- μοιχεύω

Hos 4:14
καὶ C--------- καί
οὐ D--------- οὐ
μὴ D--------- μή
ἐπισκέψωμαι VA--AMS1S- σκέπτω ἐπι
ἐπὶ P--------- ἐπί
τὰς RA--APF--- ὁ
θυγατέρας N3--APF--- θυγάτηρ
ὑμῶν RP--GP---- σύ
ὅταν D--------- ὅταν
πορνεύωσιν V1--PAS3P- πορνεύω
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τὰς RA--APF--- ὁ
νύμφας N1--APF--- νύμφη
ὑμῶν RP--GP---- σύ
ὅταν D--------- ὅταν
μοιχεύωσιν V1--PAS3P- μοιχεύω
διότι C--------- διότι
καὶ D--------- καί
αὐτοὶ RD--NPM--- αὐτός
μετὰ P--------- μετά
τῶν RA--GPF--- ὁ
πορνῶν N1--GPF--- πόρνη
συνεφύροντο V1I-IMI3P- φύρω συν
καὶ C--------- καί
μετὰ P--------- μετά
τῶν RA--GPM--- ὁ
τετελεσμένων VM--XPPGPM τελέω
ἔθυον V1I-IAI3P- θύω
καὶ C--------- καί
ὁ RA--NSM--- ὁ
λαὸς N2--NSM--- λαός
ὁ RA--NSM--- ὁ
συνίων V7--PAPNSM ἵημι συν
συνεπλέκετο V1I-IMI3S- πλέκω συν
μετὰ P--------- μετά
πόρνης N1--GSF--- πόρνη

Hos 4:15
σὺ RP--NS---- σύ
δέ X--------- δέ
Ισραηλ N---VSM--- Ἰσραήλ
μὴ D--------- μή
ἀγνόει V2--PAD2S- ἀγνοέω
καὶ C--------- καί
Ιουδα N---VSM--- Ιουδα
μὴ D--------- μή
εἰσπορεύεσθε V1--PMD2P- πορεύομαι εἰς
εἰς P--------- εἰς
Γαλγαλα N---ASF--- Γαλγαλα
καὶ C--------- καί
μὴ D--------- μή
ἀναβαίνετε V1--PAD2P- βαίνω ἀνα
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
Ων N---GS---- Ων
καὶ C--------- καί
μὴ D--------- μή
ὀμνύετε V5--PAD2P- ὄμνυμι
ζῶντα V3--PAPASM ζάω
κύριον N2--ASM--- κύριος

Hos 4:16
ὅτι C--------- ὅτι
ὡς C--------- ὡς
δάμαλις N3I-NSF--- δάμαλις
παροιστρῶσα V3--PAPNSF οἰστράω παρα
παροίστρησεν V3--IAI3S- οἰστράω παρα
Ισραηλ N---NSM--- Ἰσραήλ
νῦν D--------- νῦν
νεμήσει VF--FAI3S- νέμω
αὐτοὺς RD--APM--- αὐτός
κύριος N2--NSM--- κύριος
ὡς C--------- ὡς
ἀμνὸν N2--ASM--- ἀμνός
ἐν P--------- ἐν
εὐρυχώρῳ A1B-DSM--- εὐρύχωρος

Hos 4:17
μέτοχος A1B-NSM--- μέτοχος
εἰδώλων N2N-GPN--- εἴδωλον
Εφραιμ N---NSM--- Ἐφράιμ
ἔθηκεν VAI-AAI3S- τίθημι
ἑαυτῷ RD--DSM--- ἑαυτοῦ
σκάνδαλα N2N-APN--- σκάνδαλον

Hos 4:18
ᾑρέτισεν VAI-AAI3S- αἱρετίζω
Χαναναίους N2--APM--- Χαναναῖος
πορνεύοντες V1--PAPNPM πορνεύω
ἐξεπόρνευσαν VAI-AAI3P- πορνεύω ἐκ
ἠγάπησαν VAI-AAI3P- ἀγαπάω
ἀτιμίαν N1A-ASF--- ἀτιμία
ἐκ P--------- ἐκ
φρυάγματος N3M-GSN--- φρύαγμα
αὐτῶν RD--GPM--- αὐτός

Hos 4:19
συστροφὴ N1--NSF--- συστροφή
πνεύματος N3M-GSN--- πνεῦμα
σὺ RP--NS---- σύ
εἶ V9--PAI2S- εἰμί
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
πτέρυξιν N3G-DPF--- πτέρυξ
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
καταισχυνθήσονται VC--FPI3P- αἰσχύνω κατα
ἐκ P--------- ἐκ
τῶν RA--GPN--- ὁ
θυσιαστηρίων N2N-GPN--- θυσιαστήριον
αὐτῶν RD--GPM--- αὐτός

Hos 5:1
ἀκούσατε VA--AAD2P- ἀκούω
ταῦτα RD--APN--- οὗτος
οἱ RA--NPM--- ὁ
ἱερεῖς N3V-NPM--- ἱερεύς
καὶ C--------- καί
προσέχετε V1--PAD2P- ἔχω προς
οἶκος N2--NSM--- οἶκος
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
ὁ RA--NSM--- ὁ
οἶκος N2--NSM--- οἶκος
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
ἐνωτίζεσθε V1--PMD2P- ὠτίζομαι ἐν
διότι C--------- διότι
πρὸς P--------- πρός
ὑμᾶς RP--AP---- σύ
ἐστιν V9--PAI3S- εἰμί
τὸ RA--ASN--- ὁ
κρίμα N3M-ASN--- κρίμα
ὅτι C--------- ὅτι
παγὶς N3D-NSF--- παγίς
ἐγενήθητε VCI-API2P- γίγνομαι
τῇ RA--DSF--- ὁ
σκοπιᾷ N1A-DSF--- σκοπιά
καὶ C--------- καί
ὡς C--------- ὡς
δίκτυον N2N-NSN--- δίκτυον
ἐκτεταμένον VM--XMPNSN τείνω ἐκ
ἐπὶ P--------- ἐπί
τὸ RA--ASN--- ὁ
ἰταβύριον N2N-ASN--- ἰταβύριον

Hos 5:2
ὃ RR--ASN--- ὅς
οἱ RA--NPM--- ὁ
ἀγρεύοντες V1--PAPNPM ἀγρεύω
τὴν RA--ASF--- ὁ
θήραν N1A-ASF--- θήρα
κατέπηξαν VAI-AAI3P- πήγνυμι κατα
ἐγὼ RP--NS---- ἐγώ
δὲ X--------- δέ
παιδευτὴς N1M-NSM--- παιδευτής
ὑμῶν RP--GP---- σύ

Hos 5:3
ἐγὼ RP--NS---- ἐγώ
ἔγνων VZI-AAI1S- γιγνώσκω
τὸν RA--ASM--- ὁ
Εφραιμ N---ASM--- Ἐφράιμ
καὶ C--------- καί
Ισραηλ N---NSM--- Ἰσραήλ
οὐκ D--------- οὐ
ἄπεστιν V9--PAI3S- εἰμί ἀπο
ἀπ' P--------- ἀπό
ἐμοῦ RP--GS---- ἐγώ
διότι C--------- διότι
νῦν D--------- νῦν
ἐξεπόρνευσεν VAI-AAI3S- πορνεύω ἐκ
Εφραιμ N---NSM--- Ἐφράιμ
ἐμιάνθη VCI-API3S- μιαίνω
Ισραηλ N---NSM--- Ἰσραήλ

Hos 5:4
οὐκ D--------- οὐ
ἔδωκαν VAI-AAI3P- δίδωμι
τὰ RA--NPN--- ὁ
διαβούλια N2N-NPN--- διαβούλιον
αὐτῶν RD--GPM--- αὐτός
τοῦ RA--GSN--- ὁ
ἐπιστρέψαι VA--AAN--- στρέφω ἐπι
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
θεὸν N2--ASM--- θεός
αὐτῶν RD--GPM--- αὐτός
ὅτι C--------- ὅτι
πνεῦμα N3M-NSN--- πνεῦμα
πορνείας N1A-GSF--- πορνεία
ἐν P--------- ἐν
αὐτοῖς RD--DPM--- αὐτός
ἐστιν V9--PAI3S- εἰμί
τὸν RA--ASM--- ὁ
δὲ X--------- δέ
κύριον N2--ASM--- κύριος
οὐκ D--------- οὐ
ἐπέγνωσαν VZI-AAI3P- γιγνώσκω ἐπι

Hos 5:5
καὶ C--------- καί
ταπεινωθήσεται VC--FPI3S- ταπεινόω
ἡ RA--NSF--- ὁ
ὕβρις N3I-NSF--- ὕβρις
τοῦ RA--GSM--- ὁ
Ισραηλ N---GSM--- Ἰσραήλ
εἰς P--------- εἰς
πρόσωπον N2N-ASN--- πρόσωπον
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
Ισραηλ N---NSM--- Ἰσραήλ
καὶ C--------- καί
Εφραιμ N---NSM--- Ἐφράιμ
ἀσθενήσουσιν VF--FAI3P- ἀσθενέω
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἀδικίαις N1A-DPF--- ἀδικία
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἀσθενήσει VF--FAI3S- ἀσθενέω
καὶ D--------- καί
Ιουδας N1T-NSM--- Ἰούδας
μετ' P--------- μετά
αὐτῶν RD--GPM--- αὐτός

Hos 5:6
μετὰ P--------- μετά
προβάτων N2N-GPN--- πρόβατον
καὶ C--------- καί
μόσχων N2--GPM--- μόσχος
πορεύσονται VF--FMI3P- πορεύομαι
τοῦ RA--GSN--- ὁ
ἐκζητῆσαι VA--AAN--- ζητέω ἐκ
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
καὶ C--------- καί
οὐ D--------- οὐ
μὴ D--------- μή
εὕρωσιν VB--AAS3P- εὑρίσκω
αὐτόν RD--ASM--- αὐτός
ὅτι C--------- ὅτι
ἐξέκλινεν V1I-IAI3S- κλίνω ἐκ
ἀπ' P--------- ἀπό
αὐτῶν RD--GPM--- αὐτός

Hos 5:7
ὅτι C--------- ὅτι
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
ἐγκατέλιπον VBI-AAI3P- λείπω ἐν κατα
ὅτι C--------- ὅτι
τέκνα N2N-NPN--- τέκνον
ἀλλότρια A1A-NPN--- ἀλλότριος
