Wis 1:1
διερευνήσει VF--FAI3S- ἐρευνάω δια

Wis 6:4
ὅτι C--------- ὅτι
ὑπηρέται N1M-VPM--- ὑπηρέτης
ὄντες V9--PAPVPM εἰμί
τῆς RA--GSF--- ὁ
αὐτοῦ RD--GSM--- αὐτός
βασιλείας N1A-GSF--- βασιλεία
οὐκ D--------- οὐ
ἐκρίνατε VAI-AAI2P- κρίνω
ὀρθῶς D--------- ὀρθῶς
οὐδὲ C--------- οὐδέ
ἐφυλάξατε VAI-AAI2P- φυλάσσω
νόμον N2--ASM--- νόμος
οὐδὲ C--------- οὐδέ
κατὰ P--------- κατά
τὴν RA--ASF--- ὁ
βουλὴν N1--ASF--- βουλή
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
ἐπορεύθητε VCI-API2P- πορεύομαι

Wis 6:5
φρικτῶς D--------- φρικτῶς
καὶ C--------- καί
ταχέως D--------- ταχέως
ἐπιστήσεται VF--FMI3S- ἵστημι ἐπι
ὑμῖν RP--DP---- σύ
ὅτι C--------- ὅτι
κρίσις N3I-NSF--- κρίσις
ἀπότομος A1B-NSF--- ἀπότομος
ἐν P--------- ἐν
τοῖς RA--DPM--- ὁ
ὑπερέχουσιν V1--PAPDPM ἔχω ὑπερ
γίνεται V1--PMI3S- γίγνομαι

Wis 6:6
ὁ RA--NSM--- ὁ
γὰρ X--------- γάρ
ἐλάχιστος A1--NSMS-- ἐλαχύς
συγγνωστός A1B-NSM--- συγγνωστός
ἐστιν V9--PAI3S- εἰμί
ἐλέους N2--APM--- ἔλεος
δυνατοὶ A1--NPM--- δυνατός
δὲ X--------- δέ
δυνατῶς D--------- δυνατῶς
ἐτασθήσονται VS--FPI3P- ἐτάζω

Wis 6:7
οὐ D--------- οὐ
γὰρ X--------- γάρ
ὑποστελεῖται VF2-FMI3S- στέλλω ὑπο
πρόσωπον N2N-ASN--- πρόσωπον
ὁ RA--NSM--- ὁ
πάντων A3--GPM--- πᾶς
δεσπότης N1M-NSM--- δεσπότης
οὐδὲ C--------- οὐδέ
ἐντραπήσεται VD--FPI3S- τρέπω ἐν
μέγεθος N3E-ASN--- μέγεθος
ὅτι C--------- ὅτι
μικρὸν A1A-ASM--- μικρός
καὶ C--------- καί
μέγαν A1P-ASM--- μέγας
αὐτὸς RD--NSM--- αὐτός
ἐποίησεν VAI-AAI3S- ποιέω
ὁμοίως D--------- ὁμοίως
τε X--------- τε
προνοεῖ VF2-FAI3S- νοέω προ
περὶ P--------- περί
πάντων A3--GPM--- πᾶς

Wis 6:8
τοῖς RA--DPM--- ὁ
δὲ X--------- δέ
κραταιοῖς A1A-DPM--- κραταιός
ἰσχυρὰ A1A-APN--- ἰσχυρός
ἐφίσταται V6--PMI3S- ἵστημι ἐπι
ἔρευνα N1A-NSF--- ἔρευνα

Wis 6:9
πρὸς P--------- πρός
ὑμᾶς RP--AP---- σύ
οὖν X--------- οὖν
ὦ I--------- ὦ
τύραννοι N2--VPM--- τύραννος
οἱ RA--NPM--- ὁ
λόγοι N2--NPM--- λόγος
μου RP--GS---- ἐγώ
ἵνα C--------- ἵνα
μάθητε VB--AAS2P- μανθάνω
σοφίαν N1A-ASF--- σοφία
καὶ C--------- καί
μὴ D--------- μή
παραπέσητε VA--AAS2P- πίπτω παρα

Wis 6:10
οἱ RA--NPM--- ὁ
γὰρ X--------- γάρ
φυλάξαντες VA--AAPNPM φυλάσσω
ὁσίως D--------- ὁσίως
τὰ RA--APN--- ὁ
ὅσια A1A-APN--- ὅσιος
ὁσιωθήσονται VC--FPI3P- ὁσιόω
καὶ C--------- καί
οἱ RA--NPM--- ὁ
διδαχθέντες VC--APPNPM διδάσκω
αὐτὰ RD--APN--- αὐτός
εὑρήσουσιν VF--FAI3P- εὑρίσκω
ἀπολογίαν N1A-ASF--- ἀπολογία

Wis 6:11
ἐπιθυμήσατε VA--AAD2P- θυμέω ἐπι
οὖν X--------- οὖν
τῶν RA--GPM--- ὁ
λόγων N2--GPM--- λόγος
μου RP--GS---- ἐγώ
ποθήσατε VA--AAD2P- ποθέω
καὶ C--------- καί
παιδευθήσεσθε VC--FPI2P- παιδεύω

Wis 6:12
λαμπρὰ A1A-NSF--- λαμπρός
καὶ C--------- καί
ἀμάραντός A1B-NSF--- ἀμάραντος
ἐστιν V9--PAI3S- εἰμί
ἡ RA--NSF--- ὁ
σοφία N1A-NSF--- σοφία
καὶ C--------- καί
εὐχερῶς D--------- εὐχερῶς
θεωρεῖται V2--PMI3S- θεωρέω
ὑπὸ P--------- ὑπό
τῶν RA--GPM--- ὁ
ἀγαπώντων V3--PAPGPM ἀγαπάω
αὐτὴν RD--ASF--- αὐτός
καὶ C--------- καί
εὑρίσκεται V1--PMI3S- εὑρίσκω
ὑπὸ P--------- ὑπό
τῶν RA--GPM--- ὁ
ζητούντων V2--PAPGPM ζητέω
αὐτήν RD--ASF--- αὐτός

Wis 6:13
φθάνει V1--PAI3S- φθάνω
τοὺς RA--APM--- ὁ
ἐπιθυμοῦντας V4--PAPAPM θυμόω ἐπι
προγνωσθῆναι VS--APN--- γιγνώσκω προ

Wis 6:14
ὁ RA--NSM--- ὁ
ὀρθρίσας VA--AAPNSM ὀρθρίζω
πρὸς P--------- πρός
αὐτὴν RD--ASF--- αὐτός
οὐ D--------- οὐ
κοπιάσει VF--FAI3S- κοπιάω
πάρεδρον N2--ASM--- πάρεδρος
γὰρ X--------- γάρ
εὑρήσει VF--FAI3S- εὑρίσκω
τῶν RA--GPF--- ὁ
πυλῶν N1--GPF--- πύλη
αὐτοῦ RD--GSM--- αὐτός

Wis 6:15
τὸ RA--NSN--- ὁ
γὰρ X--------- γάρ
ἐνθυμηθῆναι VC--APN--- θυμέομαι ἐν
περὶ P--------- περί
αὐτῆς RD--GSF--- αὐτός
φρονήσεως N3I-GSF--- φρόνησις
τελειότης N3T-NSF--- τελειότης
καὶ C--------- καί
ὁ RA--NSM--- ὁ
ἀγρυπνήσας VA--AAPNSM ἀγρυπνέω
δι' P--------- διά
αὐτὴν RD--ASF--- αὐτός
ταχέως D--------- ταχέως
ἀμέριμνος A1B-NSM--- ἀμέριμνος
ἔσται VF--FMI3S- εἰμί

Wis 6:16
ὅτι C--------- ὅτι
τοὺς RA--APM--- ὁ
ἀξίους A1A-APM--- ἄξιος
αὐτῆς RD--GSF--- αὐτός
αὐτὴ RD--NSF--- αὐτός
περιέρχεται V1--PMI3S- ἔρχομαι περι
ζητοῦσα V2--PAPNSF ζητέω
καὶ C--------- καί
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
τρίβοις N2--DPF--- τρίβος
φαντάζεται V1--PMI3S- φαντάζομαι
αὐτοῖς RD--DPM--- αὐτός
εὐμενῶς D--------- εὐμενῶς
καὶ C--------- καί
ἐν P--------- ἐν
πάσῃ A1S-DSF--- πᾶς
ἐπινοίᾳ N1A-DSF--- ἐπίνοια
ὑπαντᾷ V3--PAI3S- ἀντάω ὑπο
αὐτοῖς RD--DPM--- αὐτός

Wis 6:17
ἀρχὴ N1--NSF--- ἀρχή
γὰρ X--------- γάρ
αὐτῆς RD--GSF--- αὐτός
ἡ RA--NSF--- ὁ
ἀληθεστάτη A3H-NSFS-- ἀληθής
παιδείας N1A-GSF--- παιδεία
ἐπιθυμία N1A-NSF--- ἐπιθυμία
φροντὶς N3D-NSF--- φροντίς
δὲ X--------- δέ
παιδείας N1A-GSF--- παιδεία
ἀγάπη N1--NSF--- ἀγάπη

Wis 6:18
ἀγάπη N1--NSF--- ἀγάπη
δὲ X--------- δέ
τήρησις N3I-NSF--- τήρησις
νόμων N2--GPM--- νόμος
αὐτῆς RD--GSF--- αὐτός
προσοχὴ N1--NSF--- προσοχή
δὲ X--------- δέ
νόμων N2--GPM--- νόμος
βεβαίωσις N3I-NSF--- βεβαίωσις
ἀφθαρσίας N1A-GSF--- ἀφθαρσία

Wis 6:19
ἀφθαρσία N1A-NSF--- ἀφθαρσία
δὲ X--------- δέ
ἐγγὺς D--------- ἐγγύς
εἶναι V9--PAN--- εἰμί
ποιεῖ V2--PAI3S- ποιέω
θεοῦ N2--GSM--- θεός

Wis 6:20
ἐπιθυμία N1A-NSF--- ἐπιθυμία
ἄρα X--------- ἄρα
σοφίας N1A-GSF--- σοφία
ἀνάγει V1--PAI3S- ἄγω ἀνα
ἐπὶ P--------- ἐπί
βασιλείαν N1A-ASF--- βασιλεία

Wis 6:21
εἰ C--------- εἰ
οὖν X--------- οὖν
ἥδεσθε V1--PMI2P- ἥδομαι
ἐπὶ P--------- ἐπί
θρόνοις N2--DPM--- θρόνος
καὶ C--------- καί
σκήπτροις N2N-DPN--- σκῆπτρον
τύραννοι N2--VPM--- τύραννος
λαῶν N2--GPM--- λαός
τιμήσατε VA--AAD2P- τιμάω
σοφίαν N1A-ASF--- σοφία
ἵνα C--------- ἵνα
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
αἰῶνα N3W-ASM--- αἰών
βασιλεύσητε VA--AAS2P- βασιλεύω

Wis 6:22
τί RI--NSN--- τίς
δέ X--------- δέ
ἐστιν V9--PAI3S- εἰμί
σοφία N1A-NSF--- σοφία
καὶ C--------- καί
πῶς D--------- πῶς
ἐγένετο VBI-AMI3S- γίγνομαι
ἀπαγγελῶ VF2-FAI1S- ἀγγέλλω ἀπο
καὶ C--------- καί
οὐκ D--------- οὐ
ἀποκρύψω VF--FAI1S- κρύπτω ἀπο
ὑμῖν RP--DP---- σύ
μυστήρια N2N-APN--- μυστήριον
ἀλλὰ C--------- ἀλλά
ἀπ' P--------- ἀπό
ἀρχῆς N1--GSF--- ἀρχή
γενέσεως N3I-GSF--- γένεσις
ἐξιχνιάσω VF--FAI1S- ἐξιχνιάζω
καὶ C--------- καί
θήσω VF--FAI1S- τίθημι
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
ἐμφανὲς A3--ASN--- ἐμφανής
τὴν RA--ASF--- ὁ
γνῶσιν N3I-ASF--- γνῶσις
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
οὐ D--------- οὐ
μὴ D--------- μή
παροδεύσω VF--FAI1S- ὁδεύω παρα
τὴν RA--ASF--- ὁ
ἀλήθειαν N1A-ASF--- ἀλήθεια

Wis 6:23
οὔτε C--------- οὔτε
μὴν X--------- μήν
φθόνῳ N2--DSM--- φθόνος
τετηκότι VX--XAPDSM τήκω
συνοδεύσω VF--FAI1S- ὁδεύω συν
ὅτι C--------- ὅτι
οὗτος RD--NSM--- οὗτος
οὐ D--------- οὐ
κοινωνήσει VF--FAI3S- κοινωνέω
σοφίᾳ N1A-DSF--- σοφία

Wis 6:24
πλῆθος N3E-NSN--- πλῆθος
δὲ X--------- δέ
σοφῶν A1--GPM--- σοφός
σωτηρία N1A-NSF--- σωτηρία
κόσμου N2--GSM--- κόσμος
καὶ C--------- καί
βασιλεὺς N3V-NSM--- βασιλεύς
φρόνιμος A1B-NSM--- φρόνιμος
εὐστάθεια N1A-NSF--- εὐστάθεια
δήμου N2--GSM--- δῆμος

Wis 6:25
ὥστε C--------- ὥστε
παιδεύεσθε V1--PMD2P- παιδεύω
τοῖς RA--DPN--- ὁ
ῥήμασίν N3M-DPN--- ῥῆμα
μου RP--GS---- ἐγώ
καὶ C--------- καί
ὠφεληθήσεσθε VC--FPI2P- ὠφελέω

Wis 7:1
εἰμὶ V9--PAI1S- εἰμί
μὲν X--------- μέν
κἀγὼ C+RPNS---- καί+ἐγώ
θνητὸς A1--NSM--- θνητός
ἄνθρωπος N2--NSM--- ἄνθρωπος
ἴσος A1--NSM--- ἴσος
ἅπασιν A3P-DPM--- ἅπας
καὶ C--------- καί
γηγενοῦς A3H-GSM--- γηγενής
ἀπόγονος A1B-NSM--- ἀπόγονος
πρωτοπλάστου A1B-GSM--- πρωτόπλαστος
καὶ C--------- καί
ἐν P--------- ἐν
κοιλίᾳ N1A-DSF--- κοιλία
μητρὸς N3--GSF--- μήτηρ
ἐγλύφην N1--ASF--- γλυφή
σὰρξ N3K-NSF--- σάρξ

Wis 7:2
δεκαμηνιαίῳ A1A-DSM--- δεκαμηνιαῖος
χρόνῳ N2--DSM--- χρόνος
παγεὶς VD--APPNSM πήγνυμι
ἐν P--------- ἐν
αἵματι N3M-DSN--- αἷμα
ἐκ P--------- ἐκ
σπέρματος N3M-GSN--- σπέρμα
ἀνδρὸς N3--GSM--- ἀνήρ
καὶ C--------- καί
ἡδονῆς N1--GSF--- ἡδονή
ὕπνῳ N2--DSM--- ὕπνος
συνελθούσης VB--AAPGSF ἔρχομαι συν

Wis 7:3
καὶ C--------- καί
ἐγὼ RP--NS---- ἐγώ
δὲ X--------- δέ
γενόμενος VB--AMPNSM γίγνομαι
ἔσπασα VAI-AAI1S- σπάω
τὸν RA--ASM--- ὁ
κοινὸν A1--ASM--- κοινός
ἀέρα N3--ASM--- ἀήρ
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
ὁμοιοπαθῆ A3--ASF--- ὁμοιοπαθής
κατέπεσον VBI-AAI3P- πίπτω κατα
γῆν N1--ASF--- γῆ
πρώτην A1--ASFS-- πρῶτος
φωνὴν N1--ASF--- φωνή
τὴν RA--ASF--- ὁ
ὁμοίαν A1A-ASF--- ὅμοιος
πᾶσιν A3--DPM--- πᾶς
ἴσα A1--APN--- ἴσος
κλαίων V1--PAPNSM κλαίω

Wis 7:4
ἐν P--------- ἐν
σπαργάνοις N2N-DPM--- σπάργανον
ἀνετράφην VDI-API1S- τρέφω ἀνα
καὶ C--------- καί
φροντίσιν N3D-DPF--- φροντίς

Wis 7:5
οὐδεὶς A3--NSM--- οὐδείς
γὰρ X--------- γάρ
βασιλέων N3V-GPM--- βασιλεύς
ἑτέραν A1A-ASF--- ἕτερος
ἔσχεν VBI-AAI3S- ἔχω
γενέσεως N3I-GSF--- γένεσις
ἀρχήν N1--ASF--- ἀρχή

Wis 7:6
μία A1A-NSF--- εἷς
δὲ X--------- δέ
πάντων A3--GPM--- πᾶς
εἴσοδος N2--NSF--- εἴσοδος
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
βίον N2--ASM--- βίος
ἔξοδός N2--NSF--- ἔξοδος
τε X--------- τε
ἴση A1--NSF--- ἴσος

Wis 7:7
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
εὐξάμην VA--AMI1S- εὔχομαι
καὶ C--------- καί
φρόνησις N3I-NSF--- φρόνησις
ἐδόθη VCI-API3S- δίδωμι
μοι RP--DS---- ἐγώ
ἐπεκαλεσάμην VAI-AMI1S- καλέω ἐπι
καὶ C--------- καί
ἦλθέν VBI-AAI3S- ἔρχομαι
μοι RP--DS---- ἐγώ
πνεῦμα N3M-NSN--- πνεῦμα
σοφίας N1A-GSF--- σοφία

Wis 7:8
προέκρινα VAI-AAI1S- κρίνω προ
αὐτὴν RD--ASF--- αὐτός
σκήπτρων N2N-GPN--- σκῆπτρον
καὶ C--------- καί
θρόνων N2--GPM--- θρόνος
καὶ C--------- καί
πλοῦτον N2--ASM--- πλοῦτος
οὐδὲν A3--ASN--- οὐδείς
ἡγησάμην VAI-AMI1S- ἡγέομαι
ἐν P--------- ἐν
συγκρίσει N3I-DSF--- σύγκρισις
αὐτῆς RD--GSF--- αὐτός

Wis 7:9
οὐδὲ C--------- οὐδέ
ὡμοίωσα VAI-AAI1S- ὁμοίοω
αὐτῇ RD--DSF--- αὐτός
λίθον N2--ASM--- λίθος
ἀτίμητον A1B-ASM--- ἀτίμητος
ὅτι C--------- ὅτι
ὁ RA--NSM--- ὁ
πᾶς A3--NSM--- πᾶς
χρυσὸς A1--NSM--- χρυσός
ἐν P--------- ἐν
ὄψει N3I-DSF--- ὄψις
αὐτῆς RD--GSF--- αὐτός
ψάμμος N2--NSF--- ψάμμος
ὀλίγη A1--NSF--- ὀλίγος
καὶ C--------- καί
ὡς C--------- ὡς
πηλὸς N2--NSM--- πηλός
λογισθήσεται VS--FPI3S- λογίζομαι
ἄργυρος N2--NSM--- ἄργυρος
ἐναντίον D--------- ἐναντίον
αὐτῆς RD--GSF--- αὐτός

Wis 7:10
ὑπὲρ P--------- ὑπέρ
ὑγίειαν N1A-ASF--- ὑγίεια
καὶ C--------- καί
εὐμορφίαν N1A-ASF--- εὐμορφία
ἠγάπησα VAI-AAI1S- ἀγαπάω
αὐτὴν RD--ASF--- αὐτός
καὶ C--------- καί
προειλόμην VBI-AMI1S- αἱρέω προ
αὐτὴν RD--ASF--- αὐτός
ἀντὶ P--------- ἀντί
φωτὸς N3T-GSN--- φῶς
ἔχειν V1--PAN--- ἔχω
ὅτι C--------- ὅτι
ἀκοίμητον A1B-NSN--- ἀκοίμητος
τὸ RA--NSN--- ὁ
ἐκ P--------- ἐκ
ταύτης RD--GSF--- οὗτος
φέγγος N3E-NSN--- φέγγος

Wis 7:11
ἦλθεν VBI-AAI3S- ἔρχομαι
δέ X--------- δέ
μοι RP--DS---- ἐγώ
τὰ RA--NPN--- ὁ
ἀγαθὰ A1--NPN--- ἀγαθός
ὁμοῦ D--------- ὁμοῦ
πάντα A3--NPN--- πᾶς
μετ' P--------- μετά
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
ἀναρίθμητος A1B-NSM--- ἀναρίθμητος
πλοῦτος N2--NSM--- πλοῦτος
ἐν P--------- ἐν
χερσὶν N3--DPF--- χείρ
αὐτῆς RD--GSF--- αὐτός

Wis 7:12
εὐφράνθην VC--API1S- εὐφραίνω
δὲ X--------- δέ
ἐπὶ P--------- ἐπί
πᾶσιν A3--DPN--- πᾶς
ὅτι C--------- ὅτι
αὐτῶν RD--GPN--- αὐτός
ἡγεῖται V2--PMI3S- ἡγέομαι
σοφία N1A-NSF--- σοφία
ἠγνόουν V2I-IAI1S- ἀγνοέω
δὲ X--------- δέ
αὐτὴν RD--ASF--- αὐτός
γενέτιν N3I-ASF--- γενέτις
εἶναι V9--PAN--- εἰμί
τούτων RD--GPN--- οὗτος

Wis 7:13
ἀδόλως D--------- ἀδόλως
τε X--------- τε
ἔμαθον VBI-AAI1S- μανθάνω
ἀφθόνως D--------- ἀφθόνως
τε X--------- τε
μεταδίδωμι V8--PAI1S- δίδωμι μετα
τὸν RA--ASM--- ὁ
πλοῦτον N2--ASM--- πλοῦτος
αὐτῆς RD--GSF--- αὐτός
οὐκ D--------- οὐ
ἀποκρύπτομαι V1--PMI1S- κρύπτω ἀπο

Wis 7:14
ἀνεκλιπὴς A3--NSM--- ἀνεκλιπής
γὰρ X--------- γάρ
θησαυρός N2--NSM--- θησαυρός
ἐστιν V9--PAI3S- εἰμί
ἀνθρώποις N2--DPM--- ἄνθρωπος
ὃν RR--ASM--- ὅς
οἱ RA--NPM--- ὁ
κτησάμενοι VA--AMPNPM κτάομαι
πρὸς P--------- πρός
θεὸν N2--ASM--- θεός
ἐστείλαντο VAI-AMI3P- στέλλω
φιλίαν N1A-ASF--- φιλία
διὰ P--------- διά
τὰς RA--APF--- ὁ
ἐκ P--------- ἐκ
παιδείας N1A-GSF--- παιδεία
δωρεὰς N1A-APF--- δωρεά
συσταθέντες VC--APPNPM ἵστημι συν

Wis 7:15
ἐμοὶ RP--DS---- ἐγώ
δὲ X--------- δέ
δῴη VO--AAO3S- δίδωμι
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
εἰπεῖν VB--AAN--- λέγω
κατὰ P--------- κατά
γνώμην N1--ASF--- γνώμη
καὶ C--------- καί
ἐνθυμηθῆναι VC--APN--- θυμέομαι ἐν
ἀξίως D--------- ἀξίως
τῶν RA--GPM--- ὁ
δεδομένων VM--XMPGPM δίδωμι
ὅτι C--------- ὅτι
αὐτὸς RD--NSM--- αὐτός
καὶ C--------- καί
τῆς RA--GSF--- ὁ
σοφίας N1A-GSF--- σοφία
ὁδηγός N2--NSM--- ὁδηγός
ἐστιν V9--PAI3S- εἰμί
καὶ C--------- καί
τῶν RA--GPM--- ὁ
σοφῶν A1--GPM--- σοφός
διορθωτής N1M-NSM--- διορθωτής

Wis 7:16
ἐν P--------- ἐν
γὰρ X--------- γάρ
χειρὶ N3--DSF--- χείρ
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἡμεῖς RP--NP---- ἐγώ
καὶ C--------- καί
οἱ RA--NPM--- ὁ
λόγοι N2--NPM--- λόγος
ἡμῶν RP--GP---- ἐγώ
πᾶσά A1S-NSF--- πᾶς
τε X--------- τε
φρόνησις N3I-NSF--- φρόνησις
καὶ C--------- καί
ἐργατειῶν N1A-GPF--- ἐργατεία
ἐπιστήμη N1--NSF--- ἐπιστήμη

Wis 7:17
αὐτὸς RD--NSM--- αὐτός
γάρ X--------- γάρ
μοι RP--DS---- ἐγώ
ἔδωκεν VAI-AAI3S- δίδωμι
τῶν RA--GPN--- ὁ
ὄντων V9--PAPGPN εἰμί
γνῶσιν N3I-ASF--- γνῶσις
ἀψευδῆ A3H-ASF--- ἀψευδής
εἰδέναι VX--XAN--- οἶδα
σύστασιν N3I-ASF--- σύστασις
κόσμου N2--GSM--- κόσμος
καὶ C--------- καί
ἐνέργειαν N1A-ASF--- ἐνέργεια
στοιχείων N2N-GPN--- στοιχεῖον

Wis 7:18
ἀρχὴν N1--ASF--- ἀρχή
καὶ C--------- καί
τέλος N3E-ASN--- τέλος
καὶ C--------- καί
μεσότητα N3T-ASF--- μεσότης
χρόνων N2--GPM--- χρόνος
τροπῶν N1--GPF--- τροπή
ἀλλαγὰς N1--APF--- ἀλλαγή
καὶ C--------- καί
μεταβολὰς N1--APF--- μεταβολή
καιρῶν N2--GPM--- καιρός

Wis 7:19
ἐνιαυτοῦ N2--GSM--- ἐνιαυτός
κύκλους N2--APM--- κύκλος
καὶ C--------- καί
ἄστρων N2N-GPN--- ἄστρον
θέσεις N3I-APF--- θέσις

Wis 7:20
φύσεις N3I-APF--- φύσις
ζῴων N2--GPN--- ζῷον
καὶ C--------- καί
θυμοὺς N2--APM--- θυμός
θηρίων N2N-GPN--- θηρίον
πνευμάτων N3M-GPN--- πνεῦμα
βίας N1A-APF--- βία
καὶ C--------- καί
διαλογισμοὺς N2--APM--- διαλογισμός
ἀνθρώπων N2--GPM--- ἄνθρωπος
διαφορὰς N1A-APF--- διαφορά
φυτῶν N2N-GPN--- φυτόν
καὶ C--------- καί
δυνάμεις N3I-APF--- δύναμις
ῥιζῶν N1S-GPF--- ῥίζα

Wis 7:21
ὅσα A1--NPN--- ὅσος
τέ X--------- τε
ἐστιν V9--PAI3S- εἰμί
κρυπτὰ A1--NPN--- κρυπτός
καὶ C--------- καί
ἐμφανῆ A3H-NPN--- ἐμφανής
ἔγνων VZI-AAI1S- γιγνώσκω
ἡ RA--NSF--- ὁ
γὰρ X--------- γάρ
πάντων A3--GPN--- πᾶς
τεχνῖτις N3--NSF--- τεχνῖτις
ἐδίδαξέν VAI-AAI3S- διδάσκω
με RP--AS---- ἐγώ
σοφία N1A-NSF--- σοφία

Wis 7:22
ἔστιν V9--PAI3S- εἰμί
γὰρ X--------- γάρ
ἐν P--------- ἐν
αὐτῇ RD--DSF--- αὐτός
πνεῦμα N3M-NSN--- πνεῦμα
νοερόν A1A-NSN--- νοερός
ἅγιον A1A-NSN--- ἅγιος
μονογενές A3H-NSN--- μονογενής
πολυμερές A3H-NSN--- πολυμερής
λεπτόν A1--NSN--- λεπτός
εὐκίνητον A1B-NSN--- εὐκίνητος
τρανόν A1--NSN--- τρανός
ἀμόλυντον A1B-NSN--- ἀμόλυντος
σαφές A3H-NSN--- σαφής
ἀπήμαντον A1B-NSN--- ἀπήμαντος
φιλάγαθον A1B-NSN--- φιλάγαθος
ὀξύ A3U-NSN--- ὀξύς

Wis 7:23
ἀκώλυτον A1B-NSN--- ἀκώλυτος
εὐεργετικόν A1--NSN--- εὐεργετικός
φιλάνθρωπον A1B-NSN--- φιλάνθρωπος
βέβαιον A1A-NSN--- βέβαιος
ἀσφαλές A3H-NSN--- ἀσφαλής
ἀμέριμνον A1B-NSN--- ἀμέριμνος
παντοδύναμον A1B-NSN--- παντοδύναμος
πανεπίσκοπον A1B-NSN--- πανεπίσκοπος
καὶ C--------- καί
διὰ P--------- διά
πάντων A3--GPN--- πᾶς
χωροῦν V2--PAPNSN χωρέω
πνευμάτων N3M-GPN--- πνεῦμα
νοερῶν A1A-GPN--- νοερός
καθαρῶν A1A-GPN--- καθαρός
λεπτοτάτων A1--GPMS-- λεπτός

Wis 7:24
πάσης A1S-GSF--- πᾶς
γὰρ X--------- γάρ
κινήσεως N3I-GSF--- κίνησις
κινητικώτερον A1--NSNC-- κινητικός
σοφία N1A-NSF--- σοφία
διήκει V1--PAI3S- ἥκω δια
δὲ X--------- δέ
καὶ C--------- καί
χωρεῖ V2--PAI3S- χωρέω
διὰ P--------- διά
πάντων A3--GPN--- πᾶς
διὰ P--------- διά
τὴν RA--ASF--- ὁ
καθαρότητα N3T-ASF--- καθαρότης

Wis 7:25
ἀτμὶς N3D-NSF--- ἀτμίς
γάρ X--------- γάρ
ἐστιν V9--PAI3S- εἰμί
τῆς RA--GSF--- ὁ
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
δυνάμεως N3I-GSF--- δύναμις
καὶ C--------- καί
ἀπόρροια N1A-NSF--- ἀπόρροια
τῆς RA--GSF--- ὁ
τοῦ RA--GSM--- ὁ
παντοκράτορος N3R-GSM--- παντοκράτωρ
δόξης N1S-GSF--- δόξα
εἰλικρινής A3H-NSF--- εἰλικρινής
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
οὐδὲν A3--NSN--- οὐδείς
μεμιαμμένον VM--XMPNSN μιαίνω
εἰς P--------- εἰς
αὐτὴν RD--ASF--- αὐτός
παρεμπίπτει V1--PAI3S- πίπτω παρα ἐν

Wis 7:26
ἀπαύγασμα N3M-NSN--- ἀπαύγασμα
γάρ X--------- γάρ
ἐστιν V9--PAI3S- εἰμί
φωτὸς N3T-GSN--- φῶς
ἀϊδίου A1B-GSN--- ἀΐδιος
καὶ C--------- καί
ἔσοπτρον N2N-NSN--- ἔσοπτρον
ἀκηλίδωτον A1B-NSN--- ἀκηλίδωτος
τῆς RA--GSF--- ὁ
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
ἐνεργείας N1A-GSF--- ἐνέργεια
καὶ C--------- καί
εἰκὼν V1--PAPNSM εἴκω
τῆς RA--GSF--- ὁ
ἀγαθότητος N3T-GSF--- ἀγαθότης
αὐτοῦ RD--GSM--- αὐτός

Wis 7:27
μία A1A-NSF--- εἷς
δὲ X--------- δέ
οὖσα V9--PAPNSF εἰμί
πάντα A3--ASN--- πᾶς
δύναται V6--PMI3S- δύναμαι
καὶ C--------- καί
μένουσα V1--PAPNSF μένω
ἐν P--------- ἐν
αὑτῇ RD--DSF--- ἑαυτοῦ
τὰ RA--APN--- ὁ
πάντα A3--APN--- πᾶς
καινίζει V1--PAI3S- καινίζω
καὶ C--------- καί
κατὰ P--------- κατά
γενεὰς N1A-APF--- γενεά
εἰς P--------- εἰς
ψυχὰς N1--APF--- ψυχή
ὁσίας A1A-APF--- ὅσιος
μεταβαίνουσα V1--PAPNSF βαίνω μετα
φίλους A1--APM--- φίλος
θεοῦ N2--GSM--- θεός
καὶ C--------- καί
προφήτας N1M-APM--- προφήτης
κατασκευάζει V1--PAI3S- σκευάζω κατα

Wis 7:28
οὐθὲν A3--ASN--- οὐδείς
γὰρ X--------- γάρ
ἀγαπᾷ V3--PAI3S- ἀγαπάω
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
εἰ C--------- εἰ
μὴ D--------- μή
τὸν RA--ASM--- ὁ
σοφίᾳ N1A-DSF--- σοφία
