Jdt 1:1
ἔμπροσθεν P--------- ἔμπροσθεν
αὐτῶν RD--GPM--- αὐτός

Jdt 5:14
καὶ C--------- καί
ἤγαγεν VBI-AAI3S- ἄγω
αὐτοὺς RD--APM--- αὐτός
εἰς P--------- εἰς
ὁδὸν N2--ASF--- ὁδός
τοῦ RA--GS---- ὁ
Σινα N---GS---- Σινα
καὶ C--------- καί
Καδης N---GS---- Καδης
Βαρνη N---GS---- Βαρνη
καὶ C--------- καί
ἐξέβαλον VBI-AAI3P- βάλλω ἐκ
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
κατοικοῦντας V2--PAPAPM οἰκέω κατα
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἐρήμῳ N2--DSF--- ἔρημος

Jdt 5:15
καὶ C--------- καί
ᾤκησαν VAI-AAI3P- οἰκέω
ἐν P--------- ἐν
γῇ N1--DSF--- γῆ
Αμορραίων N2--GPM--- Ἀμορραῖος
καὶ C--------- καί
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
Εσεβωνίτας N1M-APM--- Εσεβωνείτης
ἐξωλέθρευσαν VAI-AAI3P- ὀλεθρεύω ἐκ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἰσχύι N3U-DSF--- ἰσχύς
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
διαβάντες VZ--AAPNPM βαίνω δια
τὸν RA--ASM--- ὁ
Ιορδάνην N1M-ASM--- Ἰορδάνης
ἐκληρονόμησαν VAI-AAI3P- κληρονομέω
πᾶσαν A1S-ASF--- πᾶς
τὴν RA--ASF--- ὁ
ὀρεινὴν N1--ASF--- ὀρεινή

Jdt 5:16
καὶ C--------- καί
ἐξέβαλον VBI-AAI3P- βάλλω ἐκ
ἐκ P--------- ἐκ
προσώπου N2N-GSN--- πρόσωπον
αὐτῶν RD--GPM--- αὐτός
τὸν RA--ASM--- ὁ
Χαναναῖον N2--ASM--- Χαναναῖος
καὶ C--------- καί
τὸν RA--ASM--- ὁ
Φερεζαῖον N2--ASM--- Φερεζαῖος
καὶ C--------- καί
τὸν RA--ASM--- ὁ
Ιεβουσαῖον N2--ASM--- Ιεβουσαῖος
καὶ C--------- καί
τὸν RA--ASM--- ὁ
Συχεμ N---ASM--- Συχεμ
καὶ C--------- καί
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
Γεργεσαίους N2--APM--- Γεργεσαῖος
καὶ C--------- καί
κατῴκησαν VAI-AAI3P- οἰκέω κατα
ἐν P--------- ἐν
αὐτῇ RD--DSF--- αὐτός
ἡμέρας N1A-APF--- ἡμέρα
πολλάς A1--APF--- πολύς

Jdt 5:17
καὶ C--------- καί
ἕως C--------- ἕως
οὐχ D--------- οὐ
ἥμαρτον VBI-AAI3P- ἁμαρτάνω
ἐνώπιον P--------- ἐνώπιον
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
αὐτῶν RD--GPM--- αὐτός
ἦν V9--IAI3S- εἰμί
μετ' P--------- μετά
αὐτῶν RD--GPM--- αὐτός
τὰ RA--NPN--- ὁ
ἀγαθά A1--NPN--- ἀγαθός
ὅτι C--------- ὅτι
θεὸς N2--NSM--- θεός
μισῶν V2--PAPNSM μισέω
ἀδικίαν N1A-ASF--- ἀδικία
μετ' P--------- μετά
αὐτῶν RD--GPM--- αὐτός
ἐστιν V9--PAI3S- εἰμί

Jdt 5:18
ὅτε D--------- ὅτε
δὲ X--------- δέ
ἀπέστησαν VHI-AAI3P- ἵστημι ἀπο
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
ὁδοῦ N2--GSF--- ὁδός
ἧς RR--GSF--- ὅς
διέθετο VEI-AMI3S- τίθημι δια
αὐτοῖς RD--DPM--- αὐτός
ἐξωλεθρεύθησαν VCI-API3P- ὀλεθρεύω ἐκ
ἐν P--------- ἐν
πολλοῖς A1--DPM--- πολύς
πολέμοις N2--DPM--- πόλεμος
ἐπὶ P--------- ἐπί
πολὺ A1P-ASN--- πολύς
σφόδρα D--------- σφόδρα
καὶ C--------- καί
ᾐχμαλωτεύθησαν VCI-API3P- αἰχμαλωτεύω
εἰς P--------- εἰς
γῆν N1--ASF--- γῆ
οὐκ D--------- οὐ
ἰδίαν A1A-ASF--- ἴδιος
καὶ C--------- καί
ὁ RA--NSM--- ὁ
ναὸς N2--NSM--- ναός
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
αὐτῶν RD--GPM--- αὐτός
ἐγενήθη VCI-API3S- γίγνομαι
εἰς P--------- εἰς
ἔδαφος N3E-ASN--- ἔδαφος
καὶ C--------- καί
αἱ RA--NPF--- ὁ
πόλεις N3I-NPF--- πόλις
αὐτῶν RD--GPM--- αὐτός
ἐκρατήθησαν VCI-API3P- κρατέω
ὑπὸ P--------- ὑπό
τῶν RA--GPM--- ὁ
ὑπεναντίων A1A-GPM--- ὑπεναντίος

Jdt 5:19
καὶ C--------- καί
νῦν D--------- νῦν
ἐπιστρέψαντες VA--AAPNPM στρέφω ἐπι
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
θεὸν N2--ASM--- θεός
αὐτῶν RD--GPM--- αὐτός
ἀνέβησαν VZI-AAI3P- βαίνω ἀνα
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
διασπορᾶς N1A-GSF--- διασπορά
οὗ D--------- οὗ
διεσπάρησαν VDI-API3P- σπείρω δια
ἐκεῖ D--------- ἐκεῖ
καὶ C--------- καί
κατέσχον VBI-AAI3P- ἔχω κατα
τὴν RA--ASF--- ὁ
Ιερουσαλημ N---ASF--- Ἰερουσαλήμ
οὗ D--------- οὗ
τὸ RA--NSN--- ὁ
ἁγίασμα N3M-NSN--- ἁγίασμα
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
κατῳκίσθησαν VSI-API3P- οἰκίζω κατα
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ὀρεινῇ N1--DSF--- ὀρεινή
ὅτι C--------- ὅτι
ἦν V9--IAI3S- εἰμί
ἔρημος N2--NSF--- ἔρημος

Jdt 5:20
καὶ C--------- καί
νῦν D--------- νῦν
δέσποτα N1M-VSM--- δεσπότης
κύριε N2--VSM--- κύριος
εἰ C--------- εἰ
μὲν X--------- μέν
ἔστιν V9--PAI3S- εἰμί
ἀγνόημα N3M-NSN--- ἀγνόημα
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
λαῷ N2--DSM--- λαός
τούτῳ RD--DSM--- οὗτος
καὶ C--------- καί
ἁμαρτάνουσιν V1--PAI3P- ἁμαρτάνω
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
θεὸν N2--ASM--- θεός
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἐπισκεψόμεθα VF--FMI1P- σκέπτομαι ἐπι
ὅτι C--------- ὅτι
ἔστιν V9--PAI3S- εἰμί
ἐν P--------- ἐν
αὐτοῖς RD--DPM--- αὐτός
σκάνδαλον N2N-NSN--- σκάνδαλον
τοῦτο RD--NSN--- οὗτος
καὶ C--------- καί
ἀναβησόμεθα VF--FMI1P- βαίνω ἀνα
καὶ C--------- καί
ἐκπολεμήσομεν VF--FAI1P- πολεμέω ἐκ
αὐτούς RD--APM--- αὐτός

Jdt 5:21
εἰ C--------- εἰ
δ' X--------- δέ
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
ἀνομία N1A-NSF--- ἀνομία
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ἔθνει N3E-DSN--- ἔθνος
αὐτῶν RD--GPM--- αὐτός
παρελθέτω VB--AAD3S- ἔρχομαι παρα
δὴ X--------- δή
ὁ RA--NSM--- ὁ
κύριός N2--NSM--- κύριος
μου RP--GS---- ἐγώ
μήποτε D--------- μήποτε
ὑπερασπίσῃ VA--AAS3S- ἀσπίζω ὑπερ
ὁ RA--NSM--- ὁ
κύριος N2--NSM--- κύριος
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
αὐτῶν RD--GPM--- αὐτός
ὑπὲρ P--------- ὑπέρ
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἐσόμεθα VF--FMI1P- εἰμί
εἰς P--------- εἰς
ὀνειδισμὸν N2--ASM--- ὀνειδισμός
ἐναντίον P--------- ἐναντίον
πάσης A1S-GSF--- πᾶς
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ

Jdt 5:22
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ὡς C--------- ὡς
ἐπαύσατο VAI-AMI3S- παύω
Αχιωρ N---NSM--- Αχιωρ
λαλῶν V2--PAPNSM λαλέω
τοὺς RA--APM--- ὁ
λόγους N2--APM--- λόγος
τούτους RD--APM--- οὗτος
καὶ C--------- καί
ἐγόγγυσεν VAI-AAI3S- γογγύζω
πᾶς A3--NSM--- πᾶς
ὁ RA--NSM--- ὁ
λαὸς N2--NSM--- λαός
ὁ RA--NSM--- ὁ
κυκλῶν V4--PAPNSM κυκλόω
τὴν RA--ASF--- ὁ
σκηνὴν N1--ASF--- σκηνή
καὶ C--------- καί
περιεστώς VXI-XAPNSM ἵστημι περι
καὶ C--------- καί
εἶπαν VAI-AAI3P- εἶπον
οἱ RA--NPM--- ὁ
μεγιστᾶνες N3N-NPM--- μεγιστάν
Ολοφέρνου N1M-GSM--- Ολοφέρνης
καὶ C--------- καί
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
κατοικοῦντες V2--PAPNPM οἰκέω κατα
τὴν RA--ASF--- ὁ
παραλίαν A1A-ASF--- παράλιος
καὶ C--------- καί
τὴν RA--ASF--- ὁ
Μωαβ N---ASF--- Μωαβ
συγκόψαι VA--AAN--- κόπτω συν
αὐτόν RD--ASM--- αὐτός

Jdt 5:23
οὐ D--------- οὐ
γὰρ X--------- γάρ
φοβηθησόμεθα VC--FPI1P- φοβέω
ἀπὸ P--------- ἀπό
υἱῶν N2--GPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
ἰδοὺ I--------- ἰδού
γὰρ X--------- γάρ
λαὸς N2--NSM--- λαός
ἐν P--------- ἐν
ᾧ RR--DSM--- ὅς
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
δύναμις N3I-NSF--- δύναμις
οὐδὲ C--------- οὐδέ
κράτος N3E-NSN--- κράτος
εἰς P--------- εἰς
παράταξιν N3I-ASF--- παράταξις
ἰσχυράν A1A-ASF--- ἰσχυρός

Jdt 5:24
διὸ C--------- διό
δὴ X--------- δή
ἀναβησόμεθα VF--FMI1P- βαίνω ἀνα
καὶ C--------- καί
ἔσονται VF--FMI3P- εἰμί
εἰς P--------- εἰς
κατάβρωσιν N3I-ASF--- κατάβρωσις
πάσης A1S-GSF--- πᾶς
τῆς RA--GSF--- ὁ
στρατιᾶς N1A-GSF--- στρατιά
σου RP--GS---- σύ
δέσποτα N1M-VSM--- δεσπότης
Ολοφέρνη N1M-VSM--- Ολοφέρνης

Jdt 6:1
καὶ C--------- καί
ὡς C--------- ὡς
κατέπαυσεν VAI-AAI3S- παύω κατα
ὁ RA--NSM--- ὁ
θόρυβος N2--NSM--- θόρυβος
τῶν RA--GPM--- ὁ
ἀνδρῶν N3--GPM--- ἀνήρ
τῶν RA--GPM--- ὁ
κύκλῳ N2--DSM--- κύκλος
τῆς RA--GSF--- ὁ
συνεδρίας N1A-GSF--- συνεδρία
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Ολοφέρνης N1M-NSM--- Ολοφέρνης
ἀρχιστράτηγος N2--NSM--- ἀρχιστράτηγος
δυνάμεως N3I-GSF--- δύναμις
Ασσουρ N---GSM--- Ασσουρ
πρὸς P--------- πρός
Αχιωρ N---ASM--- Αχιωρ
ἐναντίον P--------- ἐναντίον
παντὸς A3--GSM--- πᾶς
τοῦ RA--GSM--- ὁ
δήμου N2--GSM--- δῆμος
ἀλλοφύλων A1B-GPM--- ἀλλόφυλος
καὶ C--------- καί
πρὸς P--------- πρός
πάντας A3--APM--- πᾶς
υἱοὺς N2--APM--- υἱός
Μωαβ N---GSF--- Μωαβ

Jdt 6:2
καὶ C--------- καί
τίς RI--NSM--- τίς
εἶ V9--PAI2S- εἰμί
σύ RP--NS---- σύ
Αχιωρ N---NSM--- Αχιωρ
καὶ C--------- καί
οἱ RA--NPM--- ὁ
μισθωτοὶ A1--NPM--- μισθωτός
τοῦ RA--GSM--- ὁ
Εφραιμ N---GSM--- Ἐφράιμ
ὅτι C--------- ὅτι
ἐπροφήτευσας VAI-AAI2S- προφητεύω
ἐν P--------- ἐν
ἡμῖν RP--DP---- ἐγώ
καθὼς C--------- καθώς
σήμερον D--------- σήμερον
καὶ C--------- καί
εἶπας VAI-AAI2S- εἶπον
τὸ RA--ASN--- ὁ
γένος N3E-ASN--- γένος
Ισραηλ N---GSM--- Ἰσραήλ
μὴ D--------- μή
πολεμῆσαι VA--AAN--- πολεμέω
ὅτι C--------- ὅτι
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
αὐτῶν RD--GPM--- αὐτός
ὑπερασπιεῖ VF2-FAI3S- ἀσπίζω ὑπερ
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
τίς RI--NSM--- τίς
θεὸς N2--NSM--- θεός
εἰ C--------- εἰ
μὴ D--------- μή
Ναβουχοδονοσορ N---NSM--- Ναβουχοδονοσορ
οὗτος RD--NSM--- οὗτος
ἀποστελεῖ VF2-FAI3S- στέλλω ἀπο
τὸ RA--ASN--- ὁ
κράτος N3E-ASN--- κράτος
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐξολεθρεύσει VF--FAI3S- ὀλεθρεύω ἐκ
αὐτοὺς RD--APM--- αὐτός
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
οὐ D--------- οὐ
ῥύσεται VF--FMI3S- ῥύομαι
αὐτοὺς RD--APM--- αὐτός
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
αὐτῶν RD--GPM--- αὐτός

Jdt 6:3
ἀλλ' C--------- ἀλλά
ἡμεῖς RP--NP---- ἐγώ
οἱ RA--NPM--- ὁ
δοῦλοι N2--NPM--- δοῦλος
αὐτοῦ RD--GSM--- αὐτός
πατάξομεν VF--FAI1P- πατάσσω
αὐτοὺς RD--APM--- αὐτός
ὡς C--------- ὡς
ἄνθρωπον N2--ASM--- ἄνθρωπος
ἕνα A3--ASM--- εἷς
καὶ C--------- καί
οὐχ D--------- οὐ
ὑποστήσονται VF--FMI3P- ἵστημι ὑπο
τὸ RA--ASN--- ὁ
κράτος N3E-ASN--- κράτος
τῶν RA--GPM--- ὁ
ἵππων N2--GPM--- ἵππος
ἡμῶν RP--GP---- ἐγώ

Jdt 6:4
κατακαύσομεν VF--FAI1P- καίω κατα
γὰρ X--------- γάρ
αὐτοὺς RD--APM--- αὐτός
ἐν P--------- ἐν
αὐτοῖς RD--DPM--- αὐτός
καὶ C--------- καί
τὰ RA--NPN--- ὁ
ὄρη N3E-NPN--- ὄρος
αὐτῶν RD--GPM--- αὐτός
μεθυσθήσεται VS--FPI3S- μεθύω
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
αἵματι N3M-DSN--- αἷμα
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
τὰ RA--NPN--- ὁ
πεδία N2N-NPN--- πεδίον
αὐτῶν RD--GPM--- αὐτός
πληρωθήσεται VC--FPI3S- πληρόω
τῶν RA--GPM--- ὁ
νεκρῶν N2--GPM--- νεκρός
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
οὐκ D--------- οὐ
ἀντιστήσεται VF--FMI3S- ἵστημι ἀντι
τὸ RA--NSN--- ὁ
ἴχνος N3E-NSN--- ἴχνος
τῶν RA--GPM--- ὁ
ποδῶν N3D-GPM--- πούς
αὐτῶν RD--GPM--- αὐτός
κατὰ P--------- κατά
πρόσωπον N2N-ASN--- πρόσωπον
ἡμῶν RP--GP---- ἐγώ
ἀλλὰ C--------- ἀλλά
ἀπωλείᾳ N1A-DSF--- ἀπώλεια
ἀπολοῦνται VF2-FMI3P- ὀλλύω ἀπο
λέγει V1--PAI3S- λέγω
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
Ναβουχοδονοσορ N---NSM--- Ναβουχοδονοσορ
ὁ RA--NSM--- ὁ
κύριος N2--NSM--- κύριος
πάσης A1S-GSF--- πᾶς
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
εἶπεν VBI-AAI3S- εἶπον
γάρ X--------- γάρ
οὐ D--------- οὐ
ματαιωθήσεται VC--FPI3S- ματαιόω
τὰ RA--NPN--- ὁ
ῥήματα N3M-NPN--- ῥῆμα
τῶν RA--GPM--- ὁ
λόγων N2--GPM--- λόγος
αὐτοῦ RD--GSM--- αὐτός

Jdt 6:5
σὺ RP--NS---- σύ
δέ X--------- δέ
Αχιωρ N---VSM--- Αχιωρ
μισθωτὲ A1--VSM--- μισθωτός
τοῦ RA--GSM--- ὁ
Αμμων N---GSM--- Αμμων
ὃς RR--NSM--- ὅς
ἐλάλησας VAI-AAI2S- λαλέω
τοὺς RA--APM--- ὁ
λόγους N2--APM--- λόγος
τούτους RD--APM--- οὗτος
ἐν P--------- ἐν
ἡμέρᾳ N1A-DSF--- ἡμέρα
ἀδικίας N1A-GSF--- ἀδικία
σου RP--GS---- σύ
οὐκ D--------- οὐ
ὄψει VF--FMI2S- ὁράω
ἔτι D--------- ἔτι
τὸ RA--ASN--- ὁ
πρόσωπόν N2N-ASN--- πρόσωπον
μου RP--GS---- ἐγώ
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
ἡμέρας N1A-GSF--- ἡμέρα
ταύτης RD--GSF--- οὗτος
ἕως P--------- ἕως
οὗ RR--GSM--- ὅς
ἐκδικήσω VF--FAI1S- δικέω ἐκ
τὸ RA--ASN--- ὁ
γένος N3E-ASN--- γένος
τῶν RA--GPM--- ὁ
ἐξ P--------- ἐκ
Αἰγύπτου N2--GSF--- Αἴγυπτος

Jdt 6:6
καὶ C--------- καί
τότε D--------- τότε
διελεύσεται VF--FMI3S- ἔρχομαι δια
ὁ RA--NSM--- ὁ
σίδηρος N2--NSM--- σίδηρος
τῆς RA--GSF--- ὁ
στρατιᾶς N1A-GSF--- στρατιά
μου RP--GS---- ἐγώ
καὶ C--------- καί
ὁ RA--NSM--- ὁ
λαὸς N2--NSM--- λαός
τῶν RA--GPM--- ὁ
θεραπόντων N3--GPM--- θεράπων
μου RP--GS---- ἐγώ
τὰς RA--APF--- ὁ
πλευράς N1A-APF--- πλευρά
σου RP--GS---- σύ
καὶ C--------- καί
πεσῇ VF--FMI2S- πίπτω
ἐν P--------- ἐν
τοῖς RA--DPM--- ὁ
τραυματίαις N1T-DPM--- τραυματίας
αὐτῶν RD--GPM--- αὐτός
ὅταν D--------- ὅταν
ἐπιστρέψω VF--FAI1S- στρέφω ἐπι

Jdt 6:7
καὶ C--------- καί
ἀποκαταστήσουσίν VF--FAI3P- ἵστημι ἀπο κατα
σε RP--AS---- σύ
οἱ RA--NPM--- ὁ
δοῦλοί N2--NPM--- δοῦλος
μου RP--GS---- ἐγώ
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
ὀρεινὴν N1--ASF--- ὀρεινή
καὶ C--------- καί
θήσουσίν VF--FAI3P- τίθημι
σε RP--AS---- σύ
ἐν P--------- ἐν
μιᾷ A1A-DSF--- εἷς
τῶν RA--GPF--- ὁ
πόλεων N3I-GPF--- πόλις
τῶν RA--GPF--- ὁ
ἀναβάσεων N3I-GPF--- ἀνάβασις

Jdt 6:8
καὶ C--------- καί
οὐκ D--------- οὐ
ἀπολῇ VF2-FMI2S- ὀλλύω ἀπο
ἕως P--------- ἕως
οὗ RR--GSM--- ὅς
ἐξολεθρευθῇς VC--APS2S- ὀλεθρεύω ἐκ
μετ' P--------- μετά
αὐτῶν RD--GPM--- αὐτός

Jdt 6:9
καὶ C--------- καί
εἴπερ C--------- εἴπερ
ἐλπίζεις V1--PAI2S- ἐλπίζω
τῇ RA--DSF--- ὁ
καρδίᾳ N1A-DSF--- καρδία
σου RP--GS---- σύ
ὅτι C--------- ὅτι
οὐ D--------- οὐ
συλλημφθήσονται VD--FPI3P- λαμβάνω συν
μὴ D--------- μή
συμπεσέτω VB--AAD3S- πίπτω συν
σου RP--GS---- σύ
τὸ RA--NSN--- ὁ
πρόσωπον N2N-NSN--- πρόσωπον
ἐλάλησα VAI-AAI1S- λαλέω
καὶ C--------- καί
οὐδὲν A3--NSN--- οὐδείς
διαπεσεῖται VF2-FMI3S- πίπτω δια
τῶν RA--GPN--- ὁ
ῥημάτων N3M-GPN--- ῥῆμα
μου RP--GS---- ἐγώ

Jdt 6:10
καὶ C--------- καί
προσέταξεν VAI-AAI3S- τάσσω προς
Ολοφέρνης N1M-NSM--- Ολοφέρνης
τοῖς RA--DPM--- ὁ
δούλοις N2--DPM--- δοῦλος
αὐτοῦ RD--GSM--- αὐτός
οἳ RR--NPM--- ὅς
ἦσαν V9--IAI3P- εἰμί
παρεστηκότες VXI-XAPNPM ἵστημι παρα
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
σκηνῇ N1--DSF--- σκηνή
αὐτοῦ RD--GSM--- αὐτός
συλλαβεῖν VB--AAN--- λαμβάνω συν
τὸν RA--ASM--- ὁ
Αχιωρ N---ASM--- Αχιωρ
καὶ C--------- καί
ἀποκαταστῆσαι VA--AAN--- ἵστημι ἀπο κατα
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
Βαιτυλουα N---ASF--- Βαιτυλουα
καὶ C--------- καί
παραδοῦναι VO--AAN--- δίδωμι παρα
εἰς P--------- εἰς
χεῖρας N3--APF--- χείρ
υἱῶν N2--GPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ

Jdt 6:11
καὶ C--------- καί
συνέλαβον VBI-AAI3P- λαμβάνω συν
αὐτὸν RD--ASM--- αὐτός
οἱ RA--NPM--- ὁ
δοῦλοι N2--NPM--- δοῦλος
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἤγαγον VBI-AAI3P- ἄγω
αὐτὸν RD--ASM--- αὐτός
ἔξω P--------- ἔξω
τῆς RA--GSF--- ὁ
παρεμβολῆς N1--GSF--- παρεμβολή
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
πεδίον N2N-ASN--- πεδίον
καὶ C--------- καί
ἀπῆραν VAI-AAI3P- αἴρω ἀπο
ἐκ P--------- ἐκ
μέσου A1--GSN--- μέσος
τῆς RA--GSF--- ὁ
πεδινῆς A1--GSF--- πεδεινός
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
ὀρεινὴν N1--ASF--- ὀρεινή
καὶ C--------- καί
παρεγένοντο VBI-AMI3P- γίγνομαι παρα
ἐπὶ P--------- ἐπί
τὰς RA--APF--- ὁ
πηγάς N1--APF--- πηγή
αἳ RR--NPF--- ὅς
ἦσαν V9--IAI3P- εἰμί
ὑποκάτω P--------- ὑποκάτω
Βαιτυλουα N---GSF--- Βαιτυλουα

Jdt 6:12
καὶ C--------- καί
ὡς C--------- ὡς
εἶδαν VAI-AAI3P- εἶδον
αὐτοὺς RD--APM--- αὐτός
οἱ RA--NPM--- ὁ
ἄνδρες N3--NPM--- ἀνήρ
τῆς RA--GSF--- ὁ
πόλεως N3I-GSF--- πόλις
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
κορυφὴν N1--ASF--- κορυφή
τοῦ RA--GSN--- ὁ
ὄρους N3E-GSN--- ὄρος
ἀνέλαβον VBI-AAI3P- λαμβάνω ἀνα
τὰ RA--APN--- ὁ
ὅπλα N2N-APN--- ὅπλον
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἀπῆλθον VBI-AAI3P- ἔρχομαι ἀπο
ἔξω P--------- ἔξω
τῆς RA--GSF--- ὁ
πόλεως N3I-GSF--- πόλις
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
κορυφὴν N1--ASF--- κορυφή
τοῦ RA--GSN--- ὁ
ὄρους N3E-GSN--- ὄρος
καὶ C--------- καί
πᾶς A3--NSM--- πᾶς
ἀνὴρ N3--NSM--- ἀνήρ
σφενδονήτης N1M-NSM--- σφενδονήτης
διεκράτησαν VAI-AAI3P- κρατέω δια
τὴν RA--ASF--- ὁ
ἀνάβασιν N3I-ASF--- ἀνάβασις
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἔβαλλον V1I-IAI3P- βάλλω
ἐν P--------- ἐν
λίθοις N2--DPM--- λίθος
ἐπ' P--------- ἐπί
αὐτούς RD--APM--- αὐτός

Jdt 6:13
καὶ C--------- καί
ὑποδύσαντες VA--AAPNPM δύω ὑπο
ὑποκάτω P--------- ὑποκάτω
τοῦ RA--GSN--- ὁ
ὄρους N3E-GSN--- ὄρος
ἔδησαν VAI-AAI3P- δέω
τὸν RA--ASM--- ὁ
Αχιωρ N---ASM--- Αχιωρ
καὶ C--------- καί
ἀφῆκαν VAI-AAI3P- ἵημι ἀπο
ἐρριμμένον VM--XMPASM ῥίπτω
ὑπὸ P--------- ὑπό
τὴν RA--ASF--- ὁ
ῥίζαν N1A-ASF--- ῥίζα
τοῦ RA--GSN--- ὁ
ὄρους N3E-GSN--- ὄρος
καὶ C--------- καί
ἀπῴχοντο V1I-IMI3P- οἴχομαι ἀπο
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
αὐτῶν RD--GPM--- αὐτός

Jdt 6:14
καταβάντες VZ--AAPNPM βαίνω κατα
δὲ X--------- δέ
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
πόλεως N3I-GSF--- πόλις
αὐτῶν RD--GPM--- αὐτός
ἐπέστησαν VHI-AAI3P- ἵστημι ἐπι
αὐτῷ RD--DSM--- αὐτός
καὶ C--------- καί
λύσαντες VA--AAPNPM λύω
αὐτὸν RD--ASM--- αὐτός
ἀπήγαγον VBI-AAI3P- ἄγω ἀπο
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
Βαιτυλουα N---ASF--- Βαιτυλουα
καὶ C--------- καί
κατέστησαν VHI-AAI3P- ἵστημι κατα
αὐτὸν RD--ASM--- αὐτός
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
ἄρχοντας N3--APM--- ἄρχων
τῆς RA--GSF--- ὁ
πόλεως N3I-GSF--- πόλις
αὐτῶν RD--GPM--- αὐτός

Jdt 6:15
οἳ RR--NPM--- ὅς
ἦσαν V9--IAI3P- εἰμί
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἡμέραις N1A-DPF--- ἡμέρα
ἐκείναις RD--DPF--- ἐκεῖνος
Οζιας N---NSM--- Οζιας
ὁ RA--NSM--- ὁ
τοῦ RA--GSM--- ὁ
Μιχα N---GSM--- Μιχα
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
φυλῆς N1--GSF--- φυλή
Συμεων N---GSM--- Συμεων
καὶ C--------- καί
Χαβρις N---NSM--- Χαβρις
ὁ RA--NSM--- ὁ
τοῦ RA--GSM--- ὁ
Γοθονιηλ N---GSM--- Γοθονιηλ
καὶ C--------- καί
Χαρμις N---NSM--- Χαρμις
υἱὸς N2--NSM--- υἱός
Μελχιηλ N---GSM--- Μελχιηλ

