Jer 1:1
κύριος N2--NSM--- κύριος
λέγουσιν V1--PAI3P- λέγω
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
οὐκ D--------- οὐ
ἐπὶ P--------- ἐπί
ψεύδεσιν A3H-DPM--- ψευδής
ὀμνύουσιν V5--PAI3P- ὄμνυμι

Jer 5:3
κύριε N2--VSM--- κύριος
οἱ RA--NPM--- ὁ
ὀφθαλμοί N2--NPM--- ὀφθαλμός
σου RP--GS---- σύ
εἰς P--------- εἰς
πίστιν N3I-ASF--- πίστις
ἐμαστίγωσας VAI-AAI2S- μαστιγόω
αὐτούς RD--APM--- αὐτός
καὶ C--------- καί
οὐκ D--------- οὐ
ἐπόνεσαν VAI-AAI3P- πονέω
συνετέλεσας VAI-AAI2S- τελέω συν
αὐτούς RD--APM--- αὐτός
καὶ C--------- καί
οὐκ D--------- οὐ
ἠθέλησαν VAI-AAI3P- θέλω
δέξασθαι VA--AMN--- δέχομαι
παιδείαν N1A-ASF--- παιδεία
ἐστερέωσαν VAI-AAI3P- στερεόω
τὰ RA--APN--- ὁ
πρόσωπα N2N-APN--- πρόσωπον
αὐτῶν RD--GPM--- αὐτός
ὑπὲρ P--------- ὑπέρ
πέτραν N1A-ASF--- πέτρα
καὶ C--------- καί
οὐκ D--------- οὐ
ἠθέλησαν VAI-AAI3P- θέλω
ἐπιστραφῆναι VD--APN--- στρέφω ἐπι

Jer 5:4
καὶ C--------- καί
ἐγὼ RP--NS---- ἐγώ
εἶπα VAI-AAI1S- εἶπον
ἴσως D--------- ἴσως
πτωχοί N2--NPM--- πτωχός
εἰσιν V9--PAI3P- εἰμί
διότι C--------- διότι
οὐκ D--------- οὐ
ἐδυνάσθησαν VSI-API3P- δύναμαι
ὅτι C--------- ὅτι
οὐκ D--------- οὐ
ἔγνωσαν VZI-AAI3P- γιγνώσκω
ὁδὸν N2--ASF--- ὁδός
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
κρίσιν N3I-ASF--- κρίσις
θεοῦ N2--GSM--- θεός

Jer 5:5
πορεύσομαι VF--FMI1S- πορεύομαι
πρὸς P--------- πρός
τοὺς RA--APM--- ὁ
ἁδροὺς A1A-APM--- ἁδρός
καὶ C--------- καί
λαλήσω VF--FAI1S- λαλέω
αὐτοῖς RD--DPM--- αὐτός
ὅτι C--------- ὅτι
αὐτοὶ RD--NPM--- αὐτός
ἐπέγνωσαν VZI-AAI3P- γιγνώσκω ἐπι
ὁδὸν N2--ASF--- ὁδός
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
κρίσιν N3I-ASF--- κρίσις
θεοῦ N2--GSM--- θεός
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
ὁμοθυμαδὸν D--------- ὁμοθυμαδόν
συνέτριψαν VAI-AAI3P- τρίβω συν
ζυγόν N2--ASM--- ζυγός
διέρρηξαν VAI-AAI3P- ῥήγνυμι δια
δεσμούς N2--APM--- δεσμός

Jer 5:6
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
ἔπαισεν VAI-AAI3S- παίζω
αὐτοὺς RD--APM--- αὐτός
λέων N3W-NSM--- λέων
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
δρυμοῦ N2--GSM--- δρυμός
καὶ C--------- καί
λύκος N2--NSM--- λύκος
ἕως P--------- ἕως
τῶν RA--GPF--- ὁ
οἰκιῶν N1A-GPF--- οἰκία
ὠλέθρευσεν VAI-AAI3S- ὀλεθρεύω
αὐτούς RD--APM--- αὐτός
καὶ C--------- καί
πάρδαλις N3I-NSF--- πάρδαλις
ἐγρηγόρησεν VAI-AAI3S- γρηγορέω
ἐπὶ P--------- ἐπί
τὰς RA--APF--- ὁ
πόλεις N3I-APF--- πόλις
αὐτῶν RD--GPM--- αὐτός
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
ἐκπορευόμενοι V1--PMPNPM πορεύομαι ἐκ
ἀπ' P--------- ἀπό
αὐτῶν RD--GPM--- αὐτός
θηρευθήσονται VC--FPI3P- θηρεύω
ὅτι C--------- ὅτι
ἐπλήθυναν VAI-AAI3P- πληθύνω
ἀσεβείας N1A-APF--- ἀσέβεια
αὐτῶν RD--GPM--- αὐτός
ἴσχυσαν VA--AAI3P- ἰσχύω
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἀποστροφαῖς N1--DPF--- ἀποστροφή
αὐτῶν RD--GPM--- αὐτός

Jer 5:7
ποίᾳ A1A-DSF--- ποῖος
τούτων RD--GPM--- οὗτος
ἵλεως A1B-NSM--- ἵλεως
γένωμαί VB--AMS1S- γίγνομαι
σοι RP--DS---- σύ
οἱ RA--NPM--- ὁ
υἱοί N2--NPM--- υἱός
σου RP--GS---- σύ
ἐγκατέλιπόν VBI-AAI3P- λείπω ἐν κατα
με RP--AS---- ἐγώ
καὶ C--------- καί
ὤμνυον V5--IAI3P- ὄμνυμι
ἐν P--------- ἐν
τοῖς RA--DPM--- ὁ
οὐκ D--------- οὐ
οὖσιν V9--PAPDPM εἰμί
θεοῖς N2--DPM--- θεός
καὶ C--------- καί
ἐχόρτασα VAI-AAI1S- χορτάζω
αὐτούς RD--APM--- αὐτός
καὶ C--------- καί
ἐμοιχῶντο V1I-IMI3P- μοιχάομαι
καὶ C--------- καί
ἐν P--------- ἐν
οἴκοις N2--DPM--- οἶκος
πορνῶν N1--GPF--- πόρνη
κατέλυον V1I-IAI3P- λύω κατα

Jer 5:8
ἵπποι N2--NPM--- ἵππος
θηλυμανεῖς A3H-NPM--- θηλυμανής
ἐγενήθησαν VCI-API3P- γίγνομαι
ἕκαστος A1--NSM--- ἕκαστος
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
γυναῖκα N3K-ASF--- γυνή
τοῦ RA--GSM--- ὁ
πλησίον D--------- πλησίον
αὐτοῦ RD--GSM--- αὐτός
ἐχρεμέτιζον V1I-IAI3P- χρηματίζω

Jer 5:9
μὴ D--------- μή
ἐπὶ P--------- ἐπί
τούτοις RD--DPN--- οὗτος
οὐκ D--------- οὐ
ἐπισκέψομαι VF--FMI1S- σκέπτω ἐπι
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ἢ C--------- ἤ
ἐν P--------- ἐν
ἔθνει N3E-DSN--- ἔθνος
τοιούτῳ A1--DSN--- τοιοῦτος
οὐκ D--------- οὐ
ἐκδικήσει VF2-FAI3S- δικέω ἐκ
ἡ RA--NSF--- ὁ
ψυχή N1--NSF--- ψυχή
μου RP--GS---- ἐγώ

Jer 5:10
ἀνάβητε VZ--AAD2P- βαίνω ἀνα
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
προμαχῶνας N3W-APM--- προμαχών
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
κατασκάψατε VA--AAD2P- σκάπτω κατα
συντέλειαν N1A-ASF--- συντέλεια
δὲ X--------- δέ
μὴ D--------- μή
ποιήσητε VA--AAS2P- ποιέω
ὑπολίπεσθε VB--AMD2P- λείπω ὑπο
τὰ RA--APN--- ὁ
ὑποστηρίγματα N3M-APN--- ὑποστήριγμα
αὐτῆς RD--GSF--- αὐτός
ὅτι C--------- ὅτι
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος
εἰσίν V9--PAI3P- εἰμί

Jer 5:11
ὅτι C--------- ὅτι
ἀθετῶν V2--PAPNSM ἀθετέω
ἠθέτησεν VAI-AAI3S- ἀθετέω
εἰς P--------- εἰς
ἐμέ RP--AS---- ἐγώ
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
οἶκος N2--NSM--- οἶκος
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
οἶκος N2--NSM--- οἶκος
Ιουδα N---GSM--- Ιουδα

Jer 5:12
ἐψεύσαντο VAI-AMI3P- ψεύδω
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
ἑαυτῶν RD--GPM--- ἑαυτοῦ
καὶ C--------- καί
εἶπαν VAI-AAI3P- εἶπον
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
ταῦτα RD--NPN--- οὗτος
οὐχ D--------- οὐ
ἥξει VF--FAI3S- ἥκω
ἐφ' P--------- ἐπί
ἡμᾶς RP--AP---- ἐγώ
κακά A1--NPN--- κακός
καὶ C--------- καί
μάχαιραν N1A-ASF--- μάχαιρα
καὶ C--------- καί
λιμὸν N2--ASM--- λιμός
οὐκ D--------- οὐ
ὀψόμεθα VF--FMI1P- ὁράω

Jer 5:13
οἱ RA--NPM--- ὁ
προφῆται N1M-NPM--- προφήτης
ἡμῶν RP--GP---- ἐγώ
ἦσαν V9--IAI3P- εἰμί
εἰς P--------- εἰς
ἄνεμον N2--ASM--- ἄνεμος
καὶ C--------- καί
λόγος N2--NSM--- λόγος
κυρίου N2--GSM--- κύριος
οὐχ D--------- οὐ
ὑπῆρχεν V1I-IAI3S- ἄρχω ὑπο
ἐν P--------- ἐν
αὐτοῖς RD--DPM--- αὐτός
οὕτως D--------- οὕτως
ἔσται VF--FMI3S- εἰμί
αὐτοῖς RD--DPM--- αὐτός

Jer 5:14
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
παντοκράτωρ N3R-NSM--- παντοκράτωρ
ἀνθ' P--------- ἀντί
ὧν RR--GPM--- ὅς
ἐλαλήσατε VAI-AAI2P- λαλέω
τὸ RA--ASN--- ὁ
ῥῆμα N3M-ASN--- ῥῆμα
τοῦτο RD--ASN--- οὗτος
ἰδοὺ I--------- ἰδού
ἐγὼ RP--NS---- ἐγώ
δέδωκα VX--XAI1S- δίδωμι
τοὺς RA--APM--- ὁ
λόγους N2--APM--- λόγος
μου RP--GS---- ἐγώ
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
στόμα N3M-ASN--- στόμα
σου RP--GS---- σύ
πῦρ N3--ASN--- πῦρ
καὶ C--------- καί
τὸν RA--ASM--- ὁ
λαὸν N2--ASM--- λαός
τοῦτον RD--ASM--- οὗτος
ξύλα N2N-APN--- ξύλον
καὶ C--------- καί
καταφάγεται VF--FMI3S- ἐσθίω κατα
αὐτούς RD--APM--- αὐτός

Jer 5:15
ἰδοὺ I--------- ἰδού
ἐγὼ RP--NS---- ἐγώ
ἐπάγω V1--PAI1S- ἄγω ἐπι
ἐφ' P--------- ἐπί
ὑμᾶς RP--AP---- σύ
ἔθνος N3E-ASN--- ἔθνος
πόρρωθεν D--------- πόρρωθεν
οἶκος N2--NSM--- οἶκος
Ισραηλ N---GSM--- Ἰσραήλ
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ἔθνος N3E-ASN--- ἔθνος
οὗ RR--GSM--- ὅς
οὐκ D--------- οὐ
ἀκούσῃ VF--FMI2S- ἀκούω
τῆς RA--GSF--- ὁ
φωνῆς N1--GSF--- φωνή
τῆς RA--GSF--- ὁ
γλώσσης N1S-GSF--- γλῶσσα
αὐτοῦ RD--GSN--- αὐτός

Jer 5:16
πάντες A3--NPM--- πᾶς
ἰσχυροὶ A1A-NPM--- ἰσχυρός

Jer 5:17
καὶ C--------- καί
κατέδονται VF--FMI3P- ἐσθίω κατα
τὸν RA--ASM--- ὁ
θερισμὸν N2--ASM--- θερισμός
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
τοὺς RA--APM--- ὁ
ἄρτους N2--APM--- ἄρτος
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
κατέδονται VF--FMI3P- ἐσθίω κατα
τοὺς RA--APM--- ὁ
υἱοὺς N2--APM--- υἱός
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
τὰς RA--APF--- ὁ
θυγατέρας N3--APF--- θυγάτηρ
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
κατέδονται VF--FMI3P- ἐσθίω κατα
τὰ RA--APN--- ὁ
πρόβατα N2N-APN--- πρόβατον
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
τοὺς RA--APM--- ὁ
μόσχους N2--APM--- μόσχος
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
κατέδονται VF--FMI3P- ἐσθίω κατα
τοὺς RA--APM--- ὁ
ἀμπελῶνας N3W-APM--- ἀμπελών
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
τοὺς RA--APM--- ὁ
συκῶνας N3W-APM--- συκών
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
τοὺς RA--APM--- ὁ
ἐλαιῶνας N3W-APM--- ἐλαιών
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
ἀλοήσουσιν VF--FAI3P- ἀλοάω
τὰς RA--APF--- ὁ
πόλεις N3I-APF--- πόλις
τὰς RA--APF--- ὁ
ὀχυρὰς A1A-APF--- ὀχυρός
ὑμῶν RP--GP---- σύ
ἐφ' P--------- ἐπί
αἷς RR--DPF--- ὅς
ὑμεῖς RP--NP---- σύ
πεποίθατε VX--XAI2P- πείθω
ἐπ' P--------- ἐπί
αὐταῖς RD--DPF--- αὐτός
ἐν P--------- ἐν
ῥομφαίᾳ N1A-DSF--- ῥομφαία

Jer 5:18
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἡμέραις N1A-DPF--- ἡμέρα
ἐκείναις RD--DPF--- ἐκεῖνος
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
σου RP--GS---- σύ
οὐ D--------- οὐ
μὴ D--------- μή
ποιήσω VF--FAI1S- ποιέω
ὑμᾶς RP--AP---- σύ
εἰς P--------- εἰς
συντέλειαν N1A-ASF--- συντέλεια

Jer 5:19
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
ὅταν D--------- ὅταν
εἴπητε VB--AAS2P- εἶπον
τίνος RI--GSN--- τίς
ἕνεκεν P--------- ἕνεκεν
ἐποίησεν VAI-AAI3S- ποιέω
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ἡμῶν RP--GP---- ἐγώ
ἡμῖν RP--DP---- ἐγώ
ἅπαντα A3--APN--- ἅπας
ταῦτα RD--APN--- οὗτος
καὶ C--------- καί
ἐρεῖς VF2-FAI2S- εἶπον
αὐτοῖς RD--DPM--- αὐτός
ἀνθ' P--------- ἀντί
ὧν RR--GPM--- ὅς
ἐδουλεύσατε VAI-AAI2P- δουλεύω
θεοῖς N2--DPM--- θεός
ἀλλοτρίοις A1A-DPM--- ἀλλότριος
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
γῇ N1--DSF--- γῆ
ὑμῶν RP--GP---- σύ
οὕτως D--------- οὕτως
δουλεύσετε VF--FAI2P- δουλεύω
ἀλλοτρίοις A1A-DPM--- ἀλλότριος
ἐν P--------- ἐν
γῇ N1--DSF--- γῆ
οὐχ D--------- οὐ
ὑμῶν RP--GP---- σύ

Jer 5:20
ἀναγγείλατε VA--AAD2P- ἀγγέλλω ἀνα
ταῦτα RD--APN--- οὗτος
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
Ιακωβ N---GSM--- Ἰακώβ
καὶ C--------- καί
ἀκουσθήτω VC--APD3S- ἀκούω
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
Ιουδα N---DSM--- Ιουδα

Jer 5:21
ἀκούσατε VA--AAD2P- ἀκούω
δὴ X--------- δή
ταῦτα RD--APN--- οὗτος
λαὸς N2--NSM--- λαός
μωρὸς A1A-NSM--- μωρός
καὶ C--------- καί
ἀκάρδιος A1A-NSM--- ἀκάρδιος
ὀφθαλμοὶ N2--NPM--- ὀφθαλμός
αὐτοῖς RD--DPM--- αὐτός
καὶ C--------- καί
οὐ D--------- οὐ
βλέπουσιν V1--PAI3P- βλέπω
ὦτα N3T-NPN--- οὖς
αὐτοῖς RD--DPM--- αὐτός
καὶ C--------- καί
οὐκ D--------- οὐ
ἀκούουσιν V1--PAI3P- ἀκούω

Jer 5:22
μὴ D--------- μή
ἐμὲ RP--AS---- ἐγώ
οὐ D--------- οὐ
φοβηθήσεσθε VC--FPI2P- φοβέω
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ἢ C--------- ἤ
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
μου RP--GS---- ἐγώ
οὐκ D--------- οὐ
εὐλαβηθήσεσθε VC--FPI2P- εὐλαβέομαι
τὸν RA--ASM--- ὁ
τάξαντα VA--AAPASM τάσσω
ἄμμον N2--ASF--- ἄμμος
ὅριον N2N-ASN--- ὅριον
τῇ RA--DSF--- ὁ
θαλάσσῃ N1S-DSF--- θάλασσα
πρόσταγμα N3M-ASN--- πρόσταγμα
αἰώνιον A1A-ASN--- αἰώνιος
καὶ C--------- καί
οὐχ D--------- οὐ
ὑπερβήσεται VF--FMI3S- βαίνω ὑπερ
αὐτό RD--ASN--- αὐτός
καὶ C--------- καί
ταραχθήσεται VQ--FPI3S- ταράσσω
καὶ C--------- καί
οὐ D--------- οὐ
δυνήσεται VF--FMI3S- δύναμαι
καὶ C--------- καί
ἠχήσουσιν VF--FAI3P- ἠχέω
τὰ RA--NPN--- ὁ
κύματα N3M-NPN--- κῦμα
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
οὐχ D--------- οὐ
ὑπερβήσεται VF--FMI3S- βαίνω ὑπερ
αὐτό RD--ASN--- αὐτός

Jer 5:23
τῷ RA--DSM--- ὁ
δὲ X--------- δέ
λαῷ N2--DSM--- λαός
τούτῳ RD--DSM--- οὗτος
ἐγενήθη VCI-API3S- γίγνομαι
καρδία N1A-NSF--- καρδία
ἀνήκοος A1B-NSF--- ἀνήκοος
καὶ C--------- καί
ἀπειθής A3H-NSF--- ἀπειθής
καὶ C--------- καί
ἐξέκλιναν VAI-AAI3P- κλίνω ἐκ
καὶ C--------- καί
ἀπήλθοσαν VBI-AAI3P- ἔρχομαι ἀπο

Jer 5:24
καὶ C--------- καί
οὐκ D--------- οὐ
εἶπον VBI-AAI3P- εἶπον
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
καρδίᾳ N1A-DSF--- καρδία
αὐτῶν RD--GPM--- αὐτός
φοβηθῶμεν VC--APS1P- φοβέω
δὴ X--------- δή
κύριον N2--ASM--- κύριος
τὸν RA--ASM--- ὁ
θεὸν N2--ASM--- θεός
ἡμῶν RP--GP---- ἐγώ
τὸν RA--ASM--- ὁ
διδόντα V8--PAPASM δίδωμι
ἡμῖν RP--DP---- ἐγώ
ὑετὸν N2--ASM--- ὑετός
πρόιμον A1B-ASM--- πρώιμος
καὶ C--------- καί
ὄψιμον A1B-ASM--- ὄψιμος
κατὰ P--------- κατά
καιρὸν N2--ASM--- καιρός
πληρώσεως N3I-GSF--- πλήρωσις
προστάγματος N3M-GSN--- πρόσταγμα
θερισμοῦ N2--GSM--- θερισμός
καὶ C--------- καί
ἐφύλαξεν VAI-AAI3S- φυλάσσω
ἡμῖν RP--DP---- ἐγώ

Jer 5:25
αἱ RA--NPF--- ὁ
ἀνομίαι N1A-NPF--- ἀνομία
ὑμῶν RP--GP---- σύ
ἐξέκλιναν VAI-AAI3P- κλίνω ἐκ
ταῦτα RD--APN--- οὗτος
καὶ C--------- καί
αἱ RA--NPF--- ὁ
ἁμαρτίαι N1A-NPF--- ἁμαρτία
ὑμῶν RP--GP---- σύ
ἀπέστησαν VHI-AAI3P- ἵστημι ἀπο
τὰ RA--APN--- ὁ
ἀγαθὰ A1--APN--- ἀγαθός
ἀφ' P--------- ἀπό
ὑμῶν RP--GP---- σύ

Jer 5:26
ὅτι C--------- ὅτι
εὑρέθησαν VC--API3P- εὑρίσκω
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
λαῷ N2--DSM--- λαός
μου RP--GS---- ἐγώ
ἀσεβεῖς A3H-NPM--- ἀσεβής
καὶ C--------- καί
παγίδας N3D-APF--- παγίς
ἔστησαν VAI-AAI3P- ἵστημι
διαφθεῖραι VA--AAN--- φθείρω δια
ἄνδρας N3--APM--- ἀνήρ
καὶ C--------- καί
συνελαμβάνοσαν V1I-IAI3P- λαμβάνω συν

Jer 5:27
ὡς C--------- ὡς
παγὶς N3D-NSF--- παγίς
ἐφεσταμένη VHI-AMPNSF ἵστημι ἐπι
πλήρης A3H-NSF--- πλήρης
πετεινῶν N2N-GPN--- πετεινόν
οὕτως D--------- οὕτως
οἱ RA--NPM--- ὁ
οἶκοι N2--NPM--- οἶκος
αὐτῶν RD--GPM--- αὐτός
πλήρεις A3H-NPM--- πλήρης
δόλου N2--GSM--- δόλος
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
ἐμεγαλύνθησαν VCI-API3P- μεγαλύνω
καὶ C--------- καί
ἐπλούτησαν VAI-AAI3P- πλουτέω

Jer 5:28
καὶ C--------- καί
παρέβησαν VZI-AAI3P- βαίνω παρα
κρίσιν N3I-ASF--- κρίσις
οὐκ D--------- οὐ
ἔκριναν VAI-AAI3P- κρίνω
κρίσιν N3I-ASF--- κρίσις
ὀρφανοῦ A1--GSM--- ὀρφανός
καὶ C--------- καί
κρίσιν N3I-ASF--- κρίσις
χήρας N1A-GSF--- χήρα
οὐκ D--------- οὐ
ἐκρίνοσαν V1I-IAI3P- κρίνω

Jer 5:29
μὴ D--------- μή
ἐπὶ P--------- ἐπί
τούτοις RD--DPN--- οὗτος
οὐκ D--------- οὐ
ἐπισκέψομαι VF--FMI1S- σκέπτω ἐπι
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ἢ C--------- ἤ
ἐν P--------- ἐν
ἔθνει N3E-DSN--- ἔθνος
τῷ RA--DSN--- ὁ
τοιούτῳ A1--DSN--- τοιοῦτος
οὐκ D--------- οὐ
ἐκδικήσει VF2-FAI3S- δικέω ἐκ
ἡ RA--NSF--- ὁ
ψυχή N1--NSF--- ψυχή
μου RP--GS---- ἐγώ

Jer 5:30
ἔκστασις N3I-NSF--- ἔκστασις
καὶ C--------- καί
φρικτὰ A1--NPN--- φρικτός
ἐγενήθη VCI-API3S- γίγνομαι
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ

Jer 5:31
οἱ RA--NPM--- ὁ
προφῆται N1M-NPM--- προφήτης
προφητεύουσιν V1--PAI3P- προφητεύω
ἄδικα A1B-APN--- ἄδικος
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ἱερεῖς N3V-NPM--- ἱερεύς
ἐπεκρότησαν VAI-AAI3P- κροτέω ἐπι
ταῖς RA--DPF--- ὁ
χερσὶν N3--DPF--- χείρ
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ὁ RA--NSM--- ὁ
λαός N2--NSM--- λαός
μου RP--GS---- ἐγώ
ἠγάπησεν VAI-AAI3S- ἀγαπάω
οὕτως D--------- οὕτως
καὶ C--------- καί
τί RI--ASN--- τίς
ποιήσετε VF--FAI2P- ποιέω
εἰς P--------- εἰς
τὰ RA--APN--- ὁ
μετὰ P--------- μετά
ταῦτα RD--APN--- οὗτος

Jer 6:1
ἐνισχύσατε VA--AAD2P- ἰσχύω ἐν
υἱοὶ N2--NPM--- υἱός
Βενιαμιν N---GSM--- Βενιαμίν
ἐκ P--------- ἐκ
μέσου A1--GSM--- μέσος
τῆς RA--GSF--- ὁ
Ιερουσαλημ N---GSF--- Ἰερουσαλήμ
καὶ C--------- καί
ἐν P--------- ἐν
Θεκουε N---DSF--- Θεκουε
σημάνατε VA--AAD2P- σημαίνω
σάλπιγγι N3G-DSF--- σάλπιγξ
καὶ C--------- καί
ὑπὲρ P--------- ὑπέρ
Βαιθαχαρμα N---ASF--- Βαιθαχαρμα
ἄρατε VA--AAD2P- αἴρω
σημεῖον N2--ASN--- σημεῖον
ὅτι C--------- ὅτι
κακὰ A1--NPN--- κακός
ἐκκέκυφεν VT--XAI3S- κύπτω ἐκ
ἀπὸ P--------- ἀπό
βορρᾶ N1T-GSM--- βορέας
καὶ C--------- καί
συντριβὴ N1--NSF--- συντριβή
μεγάλη A1--NSF--- μέγας
γίνεται V1--PMI3S- γίγνομαι

Jer 6:2
καὶ C--------- καί
ἀφαιρεθήσεται VC--FPI3S- αἱρέω ἀπο
τὸ RA--NSN--- ὁ
ὕψος N3E-NSN--- ὕψος
σου RP--GS---- σύ
θύγατερ N3--VSF--- θυγάτηρ
Σιων N---GSF--- Σιων

Jer 6:3
εἰς P--------- εἰς
αὐτὴν RD--ASF--- αὐτός
ἥξουσιν VF--FAI3P- ἥκω
ποιμένες N3--NPM--- ποιμήν
καὶ C--------- καί
τὰ RA--NPN--- ὁ
ποίμνια N2N-NPN--- ποίμνιον
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
πήξουσιν VF--FAI3P- πήγνυμι
ἐπ' P--------- ἐπί
αὐτὴν RD--ASF--- αὐτός
σκηνὰς N1--APF--- σκηνή
κύκλῳ N2--DSM--- κύκλος
καὶ C--------- καί
ποιμανοῦσιν VF2-FAI3P- ποιμαίνω
ἕκαστος A1--NSM--- ἕκαστος
τῇ RA--DSF--- ὁ
χειρὶ N3--DSF--- χείρ
αὐτοῦ RD--GSM--- αὐτός

Jer 6:4
παρασκευάσασθε VA--AMD2P- σκευάζω παρα
ἐπ' P--------- ἐπί
αὐτὴν RD--ASF--- αὐτός
εἰς P--------- εἰς
πόλεμον N2--ASM--- πόλεμος
ἀνάστητε VH--AAD2P- ἵστημι ἀνα
καὶ C--------- καί
ἀναβῶμεν VZ--AAS1P- βαίνω ἀνα
ἐπ' P--------- ἐπί
αὐτὴν RD--ASF--- αὐτός
μεσημβρίας N1A-GSF--- μεσημβρία
οὐαὶ I--------- οὐαί
ἡμῖν RP--DP---- ἐγώ
ὅτι C--------- ὅτι
κέκλικεν VX--XAI3S- κλίνω
ἡ RA--NSF--- ὁ
ἡμέρα N1A-NSF--- ἡμέρα
ὅτι C--------- ὅτι
ἐκλείπουσιν V1--PAI3P- λείπω ἐκ
αἱ RA--NPF--- ὁ
σκιαὶ N1A-NPF--- σκιά
τῆς RA--GSF--- ὁ
ἑσπέρας N1A-GSF--- ἑσπέρα

Jer 6:5
ἀνάστητε VH--AAD2P- ἵστημι ἀνα
καὶ C--------- καί
ἀναβῶμεν VZ--AAS1P- βαίνω ἀνα
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
νυκτὶ N3--DSF--- νύξ
καὶ C--------- καί
διαφθείρωμεν V1--PAS1P- φθείρω δια
τὰ RA--APN--- ὁ
θεμέλια N2N-APN--- θεμέλιον
αὐτῆς RD--GSF--- αὐτός

Jer 6:6
ὅτι C--------- ὅτι
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ἔκκοψον VA--AAD2S- κόπτω ἐκ
τὰ RA--APN--- ὁ
ξύλα N2N-APN--- ξύλον
αὐτῆς RD--GSF--- αὐτός
ἔκχεον VA--AAD2S- χέω ἐκ
ἐπὶ P--------- ἐπί
Ιερουσαλημ N---ASF--- Ἰερουσαλήμ
δύναμιν N3I-ASF--- δύναμις
ὦ I--------- ὦ
πόλις N3I-NSF--- πόλις
ψευδής A3H-NSF--- ψευδής
ὅλη A1--NSF--- ὅλος
καταδυναστεία A1A-NSF--- καταδυναστεία
ἐν P--------- ἐν
αὐτῇ RD--DSF--- αὐτός

Jer 6:7
ὡς C--------- ὡς
ψύχει V1--PAI3S- ψύχω
λάκκος N2--NSM--- λάκκος
ὕδωρ N3--ASN--- ὕδωρ
οὕτως D--------- οὕτως
ψύχει V1--PAI3S- ψύχω
