1Sa 1:1
σοί RP--DS---- σύ

1Sa 9:24
καὶ C--------- καί
ὕψωσεν VAI-AAI3S- ὑψόω
ὁ RA--NSM--- ὁ
μάγειρος N2--NSM--- μάγειρος
τὴν RA--ASF--- ὁ
κωλέαν N1A-ASF--- κωλέα
καὶ C--------- καί
παρέθηκεν VAI-AAI3S- τίθημι παρα
αὐτὴν RD--ASF--- αὐτός
ἐνώπιον P--------- ἐνώπιον
Σαουλ N---GSM--- Σαούλ
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Σαμουηλ N---NSM--- Σαμουηλ
τῷ RA--DSM--- ὁ
Σαουλ N---DSM--- Σαούλ
ἰδοὺ I--------- ἰδού
ὑπόλειμμα N3M-ASN--- ὑπόλειμμα
παράθες VE--AAD2S- τίθημι παρα
αὐτὸ RD--ASN--- αὐτός
ἐνώπιόν P--------- ἐνώπιον
σου RP--GS---- σύ
καὶ C--------- καί
φάγε VB--AAD2S- ἐσθίω
ὅτι C--------- ὅτι
εἰς P--------- εἰς
μαρτύριον N2N-ASN--- μαρτύριον
τέθειταί VT--XMI3S- τίθημι
σοι RP--DS---- σύ
παρὰ P--------- παρά
τοὺς RA--APM--- ὁ
ἄλλους RD--APM--- ἄλλος
ἀπόκνιζε V1--PAD2S- κνίζω ἀπο
καὶ C--------- καί
ἔφαγεν VBI-AAI3S- ἐσθίω
Σαουλ N---NSM--- Σαούλ
μετὰ P--------- μετά
Σαμουηλ N---ASM--- Σαμουηλ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
ἐκείνῃ RD--DSF--- ἐκεῖνος

1Sa 9:25
καὶ C--------- καί
κατέβη VZI-AAI3S- βαίνω κατα
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
Βαμα N---GSF--- Βαμα
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
πόλει N3I-DSF--- πόλις
καὶ C--------- καί
διέστρωσαν VAI-AAI3P- στρώννυμι δια
τῷ RA--DSM--- ὁ
Σαουλ N---DSM--- Σαούλ
ἐπὶ P--------- ἐπί
τῷ RA--DSN--- ὁ
δώματι N3M-DSN--- δῶμα

1Sa 9:26
καὶ C--------- καί
ἐκοιμήθη VCI-API3S- κοιμάω
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ὡς C--------- ὡς
ἀνέβαινεν V1I-IAI3S- βαίνω ἀνα
ὁ RA--NSM--- ὁ
ὄρθρος N2--NSM--- ὄρθρος
καὶ C--------- καί
ἐκάλεσεν VAI-AAI3S- καλέω
Σαμουηλ N---NSM--- Σαμουηλ
τὸν RA--ASM--- ὁ
Σαουλ N---ASM--- Σαούλ
ἐπὶ P--------- ἐπί
τῷ RA--DSN--- ὁ
δώματι N3M-DSN--- δῶμα
λέγων V1--PAPNSM λέγω
ἀνάστα VH--AAD2S- ἵστημι ἀνα
καὶ C--------- καί
ἐξαποστελῶ VF2-FAI1S- στέλλω ἐκ ἀπο
σε RP--AS---- σύ
καὶ C--------- καί
ἀνέστη VHI-AAI3S- ἵστημι ἀνα
Σαουλ N---NSM--- Σαούλ
καὶ C--------- καί
ἐξῆλθεν VBI-AAI3S- ἔρχομαι ἐκ
αὐτὸς RD--NSM--- αὐτός
καὶ C--------- καί
Σαμουηλ N---NSM--- Σαμουηλ
ἕως P--------- ἕως
ἔξω D--------- ἔξω

1Sa 9:27
αὐτῶν RD--GPM--- αὐτός
καταβαινόντων V1--PAPGPM βαίνω κατα
εἰς P--------- εἰς
μέρος N3E-ASN--- μέρος
τῆς RA--GSF--- ὁ
πόλεως N3I-GSF--- πόλις
καὶ C--------- καί
Σαμουηλ N---NSM--- Σαμουηλ
εἶπεν VBI-AAI3S- εἶπον
τῷ RA--DSM--- ὁ
Σαουλ N---DSM--- Σαούλ
εἰπὸν VB--AAD2S- εἰπόν
τῷ RA--DSM--- ὁ
νεανίσκῳ N2--DSM--- νεανίσκος
καὶ C--------- καί
διελθέτω VB--AAD3S- ἔρχομαι δια
ἔμπροσθεν P--------- ἔμπροσθεν
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
σὺ RP--NS---- σύ
στῆθι VH--AAD2S- ἵστημι
ὡς C--------- ὡς
σήμερον D--------- σήμερον
καὶ C--------- καί
ἄκουσον VA--AAD2S- ἀκούω
ῥῆμα N3M-ASN--- ῥῆμα
θεοῦ N2--GSM--- θεός

1Sa 10:1
καὶ C--------- καί
ἔλαβεν VBI-AAI3S- λαμβάνω
Σαμουηλ N---NSM--- Σαμουηλ
τὸν RA--ASM--- ὁ
φακὸν N2--ASM--- φακός
τοῦ RA--GSN--- ὁ
ἐλαίου N2N-GSN--- ἔλαιον
καὶ C--------- καί
ἐπέχεεν V2I-IAI3S- χέω ἐπι
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
κεφαλὴν N1--ASF--- κεφαλή
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐφίλησεν VAI-AAI3S- φιλέω
αὐτὸν RD--ASM--- αὐτός
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
οὐχὶ D--------- οὐ
κέχρικέν VX--XAI3S- χρίω
σε RP--AS---- σύ
κύριος N2--NSM--- κύριος
εἰς P--------- εἰς
ἄρχοντα N3--ASM--- ἄρχων
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
λαὸν N2--ASM--- λαός
αὐτοῦ RD--GSM--- αὐτός
ἐπὶ P--------- ἐπί
Ισραηλ N---ASM--- Ἰσραήλ
καὶ C--------- καί
σὺ RP--NS---- σύ
ἄρξεις VF--FAI2S- ἄρχω
ἐν P--------- ἐν
λαῷ N2--DSM--- λαός
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
σὺ RP--NS---- σύ
σώσεις VF--FAI2S- σώζω
αὐτὸν RD--ASM--- αὐτός
ἐκ P--------- ἐκ
χειρὸς N3--GSF--- χείρ
ἐχθρῶν N2--GPM--- ἐχθρός
αὐτοῦ RD--GSM--- αὐτός
κυκλόθεν D--------- κυκλόθεν
καὶ C--------- καί
τοῦτό RD--ASN--- οὗτος
σοι RP--DS---- σύ
τὸ RA--ASN--- ὁ
σημεῖον N2N-ASN--- σημεῖον
ὅτι C--------- ὅτι
ἔχρισέν VAI-AAI3S- χρίω
σε RP--AS---- σύ
κύριος N2--NSM--- κύριος
ἐπὶ P--------- ἐπί
κληρονομίαν N1A-ASF--- κληρονομία
αὐτοῦ RD--GSM--- αὐτός
εἰς P--------- εἰς
ἄρχοντα N3--ASM--- ἄρχων

1Sa 10:2
ὡς C--------- ὡς
ἂν X--------- ἄν
ἀπέλθῃς VB--AAS2S- ἔρχομαι ἀπο
σήμερον D--------- σήμερον
ἀπ' P--------- ἀπό
ἐμοῦ RP--GS---- ἐγώ
καὶ C--------- καί
εὑρήσεις VF--FAI2S- εὑρίσκω
δύο M--------- δύο
ἄνδρας N3--APM--- ἀνήρ
πρὸς P--------- πρός
τοῖς RA--DPM--- ὁ
τάφοις N2--DPM--- τάφος
Ραχηλ N---GSF--- Ραχηλ
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ὁρίῳ N2N-DSN--- ὅριον
Βενιαμιν N---GSM--- Βενιαμίν
ἁλλομένους V1--PAPAPN ἅλλομαι
μεγάλα A1--APN--- μέγας
καὶ C--------- καί
ἐροῦσίν VF2-FAI3P- εἶπον
σοι RP--DS---- σύ
εὕρηνται VM--XPI3P- εὑρίσκω
αἱ RA--NPF--- ὁ
ὄνοι N2--NPF--- ὄνος
ἃς RR--APF--- ὅς
ἐπορεύθητε VCI-API2P- πορεύομαι
ζητεῖν V2--PAN--- ζητέω
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
ὁ RA--NSM--- ὁ
πατήρ N3--NSM--- πατήρ
σου RP--GS---- σύ
ἀποτετίνακται VX--XPI3S- τινάσσω ἀπο
τὸ RA--ASN--- ὁ
ῥῆμα N3M-ASN--- ῥῆμα
τῶν RA--GPF--- ὁ
ὄνων N2--GPF--- ὄνος
καὶ C--------- καί
ἐδαψιλεύσατο VAI-AMI3S- δαψιλεύω
δι' P--------- διά
ὑμᾶς RP--AP---- σύ
λέγων V1--PAPNSM λέγω
τί RI--ASN--- τίς
ποιήσω VA--AAS1S- ποιέω
ὑπὲρ P--------- ὑπέρ
τοῦ RA--GSM--- ὁ
υἱοῦ N2--GSM--- υἱός
μου RP--GS---- ἐγώ

1Sa 10:3
καὶ C--------- καί
ἀπελεύσει VAI-AAI3S- ἔρχομαι ἀπο
ἐκεῖθεν D--------- ἐκεῖθεν
καὶ C--------- καί
ἐπέκεινα D--------- ἐπέκεινα
ἥξεις VF--FAI2S- ἥκω
ἕως P--------- ἕως
τῆς RA--GSF--- ὁ
δρυὸς N3U-GSF--- δρῦς
Θαβωρ N---GS---- Θαβωρ
καὶ C--------- καί
εὑρήσεις VF--FAI2S- εὑρίσκω
ἐκεῖ D--------- ἐκεῖ
τρεῖς A3--APM--- τρεῖς
ἄνδρας N3--APM--- ἀνήρ
ἀναβαίνοντας V1--PAPAPM βαίνω ἀνα
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
θεὸν N2--ASM--- θεός
εἰς P--------- εἰς
Βαιθηλ N---AS---- Βαιθηλ
ἕνα A3--ASM--- εἷς
αἴροντα V1--PAPASM αἴρω
τρία A3--APN--- τρεῖς
αἰγίδια N2N-APN--- αἰγίδιον
καὶ C--------- καί
ἕνα A3--ASM--- εἷς
αἴροντα V1--PAPASM αἴρω
τρία A3--APN--- τρεῖς
ἀγγεῖα N2N-APN--- ἀγγεῖον
ἄρτων N2--GPM--- ἄρτος
καὶ C--------- καί
ἕνα A3--ASM--- εἷς
αἴροντα V1--PAPASM αἴρω
ἀσκὸν N2--ASM--- ἀσκός
οἴνου N2--GSM--- οἶνος

1Sa 10:4
καὶ C--------- καί
ἐρωτήσουσίν VF--FAI3P- ἐρωτάω
σε RP--AS---- σύ
τὰ RA--APN--- ὁ
εἰς P--------- εἰς
εἰρήνην N1--ASF--- εἰρήνη
καὶ C--------- καί
δώσουσίν VF--FAI3P- δίδωμι
σοι RP--DS---- σύ
δύο M--------- δύο
ἀπαρχὰς N1--APF--- ἀπαρχή
ἄρτων N2--GPM--- ἄρτος
καὶ C--------- καί
λήμψῃ VF--FMI2S- λαμβάνω
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
χειρὸς N3--GSF--- χείρ
αὐτῶν RD--GPM--- αὐτός

1Sa 10:5
καὶ C--------- καί
μετὰ P--------- μετά
ταῦτα RD--APN--- οὗτος
εἰσελεύσῃ VF--FMI2S- ἔρχομαι εἰς
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
βουνὸν N2--ASM--- βουνός
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
οὗ RR--GSM--- ὅς
ἐστιν V9--PAI3S- εἰμί
ἐκεῖ D--------- ἐκεῖ
τὸ RA--ASN--- ὁ
ἀνάστημα N3M-ASN--- ἀνάστημα
τῶν RA--GPM--- ὁ
ἀλλοφύλων N2--GPM--- ἀλλόφυλος
ἐκεῖ D--------- ἐκεῖ
Νασιβ N---NSM--- Νασιβ
ὁ RA--NSM--- ὁ
ἀλλόφυλος N2--NSM--- ἀλλόφυλος
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
ὡς C--------- ὡς
ἂν X--------- ἄν
εἰσέλθητε VB--AAS2P- ἔρχομαι εἰς
ἐκεῖ D--------- ἐκεῖ
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
πόλιν N3I-ASF--- πόλις
καὶ C--------- καί
ἀπαντήσεις VF--FAI2S- ἀντάω ἀπο
χορῷ N2--DSM--- χορός
προφητῶν N1M-GPM--- προφήτης
καταβαινόντων V1--PAPGPM βαίνω κατα
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
Βαμα N---GSF--- Βαμα
καὶ C--------- καί
ἔμπροσθεν P--------- ἔμπροσθεν
αὐτῶν RD--GPM--- αὐτός
νάβλα N---ASN--- νάβλα
καὶ C--------- καί
τύμπανον N2N-ASN--- τύμπανον
καὶ C--------- καί
αὐλὸς N2--ASM--- αὐλός
καὶ C--------- καί
κινύρα N1A-NSF--- κινύρα
καὶ C--------- καί
αὐτοὶ RD--NPM--- αὐτός
προφητεύοντες V1--PAPNPM προφητεύω

1Sa 10:6
καὶ C--------- καί
ἐφαλεῖται VF2-FAI3S- ἅλλομαι ἐπι
ἐπὶ P--------- ἐπί
σὲ RP--AS---- σύ
πνεῦμα N3M-NSN--- πνεῦμα
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
προφητεύσεις VF--FAI2S- προφητεύω
μετ' P--------- μετά
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
στραφήσῃ VD--FPI2S- στρέφω
εἰς P--------- εἰς
ἄνδρα N3--ASM--- ἀνήρ
ἄλλον RD--ASM--- ἄλλος

1Sa 10:7
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
ὅταν D--------- ὅταν
ἥξει VF--FAI3S- ἥκω
τὰ RA--APN--- ὁ
σημεῖα N2N-APN--- σημεῖον
ταῦτα RD--APN--- οὗτος
ἐπὶ P--------- ἐπί
σέ RP--AS---- σύ
ποίει V2--PAD2S- ποιέω
πάντα A3--APN--- πᾶς
ὅσα A1--APN--- ὅσος
ἐὰν C--------- ἐάν
εὕρῃ VB--AAS3S- εὑρίσκω
ἡ RA--NSF--- ὁ
χείρ N3--NSF--- χείρ
σου RP--GS---- σύ
ὅτι C--------- ὅτι
θεὸς N2--NSM--- θεός
μετὰ P--------- μετά
σοῦ RP--GS---- σύ

1Sa 10:8
καὶ C--------- καί
καταβήσῃ VF--FMI2S- βαίνω κατα
ἔμπροσθεν P--------- ἔμπροσθεν
τῆς RA--GSF--- ὁ
Γαλγαλα N---GSF--- Γάλγαλα
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
καταβαίνω V1--PAI1S- βαίνω κατα
πρὸς P--------- πρός
σὲ RP--AS---- σύ
ἀνενεγκεῖν VB--AAN--- φέρω ἀνα
ὁλοκαύτωσιν N3I-ASF--- ὁλοκαύτωσις
καὶ C--------- καί
θυσίας N1A-APF--- θυσία
εἰρηνικάς A1--APF--- εἰρηνικός
ἑπτὰ M--------- ἑπτά
ἡμέρας N1A-APF--- ἡμέρα
διαλείψεις VF--FAI2S- λείπω δια
ἕως P--------- ἕως
τοῦ RA--GSN--- ὁ
ἐλθεῖν VB--AAN--- ἔρχομαι
με RP--AS---- ἐγώ
πρὸς P--------- πρός
σέ RP--AS---- σύ
καὶ C--------- καί
γνωρίσω VA--AAS1S- γνωρίζω
σοι RP--DS---- σύ
ἃ RR--APN--- ὅς
ποιήσεις VF--FAI2S- ποιέω

1Sa 10:9
καὶ C--------- καί
ἐγενήθη VCI-API3S- γίγνομαι
ὥστε C--------- ὥστε
ἐπιστραφῆναι VD--APN--- στρέφω ἐπι
τῷ RA--DSM--- ὁ
ὤμῳ N2--DSM--- ὦμος
αὐτοῦ RD--GSM--- αὐτός
ἀπελθεῖν VB--AAN--- ἔρχομαι ἀπο
ἀπὸ P--------- ἀπό
Σαμουηλ N---GSM--- Σαμουηλ
μετέστρεψεν VAI-AAI3S- στρέφω μετα
αὐτῷ RD--DSM--- αὐτός
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
καρδίαν N1A-ASF--- καρδία
ἄλλην RD--ASF--- ἄλλος
καὶ C--------- καί
ἦλθεν VBI-AAI3S- ἔρχομαι
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
σημεῖα N2N-APN--- σημεῖον
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
ἐκείνῃ RD--DSF--- ἐκεῖνος

1Sa 10:10
καὶ C--------- καί
ἔρχεται V1--PMI3S- ἔρχομαι
ἐκεῖθεν D--------- ἐκεῖθεν
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
βουνόν N2--ASM--- βουνός
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
χορὸς N2--NSM--- χορός
προφητῶν N1M-GPM--- προφήτης
ἐξ P--------- ἐκ
ἐναντίας A1A-GSF--- ἐναντίος
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἥλατο VAI-AMI3S- ἅλλομαι
ἐπ' P--------- ἐπί
αὐτὸν RD--ASM--- αὐτός
πνεῦμα N3M-NSN--- πνεῦμα
θεοῦ N2--GSM--- θεός
καὶ C--------- καί
ἐπροφήτευσεν VAI-AAI3S- προφητεύω
ἐν P--------- ἐν
μέσῳ A1--DSN--- μέσος
αὐτῶν RD--GPM--- αὐτός

1Sa 10:11
καὶ C--------- καί
ἐγενήθησαν VCI-API3P- γίγνομαι
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
εἰδότες VB--AAPNPM ὁράω
αὐτὸν RD--ASM--- αὐτός
ἐχθὲς D--------- χθές
καὶ C--------- καί
τρίτην A1--ASF--- τρίτος
καὶ C--------- καί
εἶδον VBI-AAI3P- ὁράω
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
αὐτὸς RD--NSM--- αὐτός
ἐν P--------- ἐν
μέσῳ A1--DSN--- μέσος
τῶν RA--GPM--- ὁ
προφητῶν N1M-GPM--- προφήτης
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
λαὸς N2--NSM--- λαός
ἕκαστος A1--NSM--- ἕκαστος
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
πλησίον D--------- πλησίον
αὐτοῦ RD--GSM--- αὐτός
τί RI--ASN--- τίς
τοῦτο RD--ASN--- οὗτος
τὸ RA--ASN--- ὁ
γεγονὸς VX--XAPASM γίγνομαι
τῷ RA--DSM--- ὁ
υἱῷ N2--DSM--- υἱός
Κις N---GS---- Κις
ἦ C--------- ἤ
καὶ D--------- καί
Σαουλ N---NSM--- Σαούλ
ἐν P--------- ἐν
προφήταις N1M-DPM--- προφήτης

1Sa 10:12
καὶ C--------- καί
ἀπεκρίθη VCI-API3S- κρίνω ἀπο
τις RI--NSM--- τις
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
καὶ C--------- καί
τίς RI--NSM--- τίς
πατὴρ N3--NSM--- πατήρ
αὐτοῦ RD--GSM--- αὐτός
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
ἐγενήθη VCI-API3S- γίγνομαι
εἰς P--------- εἰς
παραβολήν N1--ASF--- παραβολή
ἦ V9--PAS3S- εἰμί
καὶ C--------- καί
Σαουλ N---NSM--- Σαούλ
ἐν P--------- ἐν
προφήταις N1M-DPM--- προφήτης

1Sa 10:13
καὶ C--------- καί
συνετέλεσεν VAI-AAI3S- τελέω συν
προφητεύων V1--PAPNSM προφητεύω
καὶ C--------- καί
ἔρχεται V1--PMI3S- ἔρχομαι
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
βουνόν N2--ASM--- βουνός

1Sa 10:14
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
οἰκεῖος A1A-NSM--- οἰκεῖος
αὐτοῦ RD--GSM--- αὐτός
πρὸς P--------- πρός
αὐτὸν RD--ASM--- αὐτός
καὶ C--------- καί
πρὸς P--------- πρός
τὸ RA--ASN--- ὁ
παιδάριον N2N-ASN--- παιδάριον
αὐτοῦ RD--GSM--- αὐτός
ποῦ D--------- ποῦ
ἐπορεύθητε VCI-API2P- πορεύομαι
καὶ C--------- καί
εἶπαν VAI-AAI3P- εἶπον
ζητεῖν V2--PAN--- ζητέω
τὰς RA--APF--- ὁ
ὄνους N2--APF--- ὄνος
καὶ C--------- καί
εἴδαμεν VBI-AAI1P- ὀράω
ὅτι C--------- ὅτι
οὐκ D--------- οὐ
εἰσίν V9--PAI3P- εἰμί
καὶ C--------- καί
εἰσήλθομεν VBI-AAI1P- ἔρχομαι εἰς
πρὸς P--------- πρός
Σαμουηλ N---ASM--- Σαμουηλ

1Sa 10:15
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
οἰκεῖος A1A-NSM--- οἰκεῖος
πρὸς P--------- πρός
Σαουλ N---ASM--- Σαούλ
ἀπάγγειλον VB--AAI3S- ἀγγέλλω ἀπο
δή X--------- δή
μοι RP--DS---- ἐγώ
τί RI--ASN--- τίς
εἶπέν VBI-AAI3S- εἶπον
σοι RP--DS---- σύ
Σαμουηλ N---NSM--- Σαμουηλ

1Sa 10:16
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Σαουλ N---NSM--- Σαούλ
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
οἰκεῖον A1A-ASM--- οἰκεῖος
αὐτοῦ RD--GSM--- αὐτός
ἀπήγγειλεν VAI-AAI3S- ἀγγέλλω ἀπο
ἀπαγγέλλων V1--PAPNSM ἀγγέλλω ἀπο
μοι RP--DS---- ἐγώ
ὅτι C--------- ὅτι
εὕρηνται VM--XPI3P- εὑρίσκω
αἱ RA--NPF--- ὁ
ὄνοι N2--NPF--- ὄνος
τὸ RA--ASN--- ὁ
δὲ X--------- δέ
ῥῆμα N3M-ASN--- ῥῆμα
τῆς RA--GSF--- ὁ
βασιλείας N1A-GSF--- βασιλεία
οὐκ D--------- οὐ
ἀπήγγειλεν VAI-AAI3S- ἀγγέλλω ἀπο
αὐτῷ RD--DSM--- αὐτός

1Sa 10:17
καὶ C--------- καί
παρήγγειλεν VAI-AAI3S- ἀγγέλλω παρα
Σαμουηλ N---NSM--- Σαμουηλ
παντὶ A3--DSM--- πᾶς
τῷ RA--DSM--- ὁ
λαῷ N2--DSM--- λαός
πρὸς P--------- πρός
κύριον N2--ASM--- κύριος
εἰς P--------- εἰς
Μασσηφα N---ASF--- Μασσηφα

1Sa 10:18
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
πρὸς P--------- πρός
υἱοὺς N2--APM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
τάδε RI--APN--- ὅδε
εἶπεν VBI-AAI3S- εἶπον
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
Ισραηλ N---GSM--- Ἰσραήλ
λέγων V1--PAPNSM λέγω
ἐγὼ RP--NS---- ἐγώ
ἀνήγαγον VBI-AAI3P- ἄγω ἀνα
τοὺς RA--APM--- ὁ
υἱοὺς N2--APM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
ἐξ P--------- ἐκ
Αἰγύπτου N2--GSF--- Αἴγυπτος
καὶ C--------- καί
ἐξειλάμην VB--AMI1S- αἱρέω ἐκ
ὑμᾶς RP--AP---- σύ
ἐκ P--------- ἐκ
χειρὸς N3--GSF--- χείρ
Φαραω N---GSM--- Φαραώ
βασιλέως N3V-GSM--- βασιλεύς
Αἰγύπτου N2--GSF--- Αἴγυπτος
καὶ C--------- καί
ἐκ P--------- ἐκ
πασῶν A1S-GPF--- πᾶς
τῶν RA--GPM--- ὁ
βασιλειῶν N1A-GPF--- βασιλεία
τῶν RA--GPM--- ὁ
θλιβουσῶν V1--PAPGPF θλίβω
ὑμᾶς RP--AP---- σύ

1Sa 10:19
καὶ C--------- καί
ὑμεῖς RP--NP---- σύ
σήμερον D--------- σήμερον
ἐξουθενήκατε VX--XAI2P- οὐθενέω ἐκ
τὸν RA--ASM--- ὁ
θεόν N2--ASM--- θεός
ὃς RR--NSM--- ὅς
αὐτός RD--NSM--- αὐτός
ἐστιν V9--PAI3S- εἰμί
ὑμῶν RP--GP---- σύ
σωτὴρ N3--NSM--- σωτήρ
ἐκ P--------- ἐκ
πάντων A3--GPM--- πᾶς
τῶν RA--GPM--- ὁ
κακῶν A1--GPM--- κακός
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
θλίψεων N3I-GPF--- θλῖψις
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
εἴπατε VAI-AAI2P- εἶπον
οὐχί D--------- οὐ
ἀλλ' C--------- ἀλλά
ἢ C--------- ἤ
ὅτι C--------- ὅτι
βασιλέα N3V-ASM--- βασιλεύς
στήσεις VF--FAI2S- ἵστημι
ἐφ' P--------- ἐπί
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
νῦν D--------- νῦν
κατάστητε VH--AAS2P- ἵστημι κατα
ἐνώπιον P--------- ἐνώπιον
κυρίου N2--GSM--- κύριος
κατὰ P--------- κατά
τὰ RA--APN--- ὁ
σκῆπτρα N2N-APN--- σκῆπτρον
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
κατὰ P--------- κατά
τὰς RA--APF--- ὁ
φυλὰς N1--APF--- φυλή
ὑμῶν RP--GP---- σύ

1Sa 10:20
καὶ C--------- καί
προσήγαγεν VBI-AAI3S- ἄγω προς
Σαμουηλ N---NSM--- Σαμουηλ
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
σκῆπτρα N2N-APN--- σκῆπτρον
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
κατακληροῦται V4--PPI3S- κληρόω κατα
σκῆπτρον N2N-NSN--- σκῆπτρον
Βενιαμιν N---GSM--- Βενιαμίν

1Sa 10:21
καὶ C--------- καί
προσάγει V1--PAI3S- ἄγω προς
σκῆπτρον N2N-ASN--- σκῆπτρον
Βενιαμιν N---GSM--- Βενιαμίν
εἰς P--------- εἰς
φυλάς N1--APF--- φυλή
καὶ C--------- καί
κατακληροῦται V4--PPI3S- κληρόω κατα
φυλὴ N1--NSF--- φυλή
Ματταρι N---GS---- Ματταρι
καὶ C--------- καί
προσάγουσιν V1--PAI3P- ἄγω προς
τὴν RA--ASF--- ὁ
φυλὴν N1--ASF--- φυλή
Ματταρι N---GS---- Ματταρι
εἰς P--------- εἰς
ἄνδρας N3--APM--- ἀνήρ
καὶ C--------- καί
κατακληροῦται V4--PPI3S- κληρόω κατα
Σαουλ N---NSM--- Σαούλ
υἱὸς N2--NSM--- υἱός
Κις N---GSM--- Κις
καὶ C--------- καί
ἐζήτει V2I-IAI3S- ζητέω
αὐτόν RD--ASM--- αὐτός
καὶ C--------- καί
οὐχ D--------- οὐ
εὑρίσκετο V1--IPI3S- εὑρίσκω

1Sa 10:22
καὶ C--------- καί
ἐπηρώτησεν VAI-AAI3S- ἐρωτάω ἐπι
Σαμουηλ N---NSM--- Σαμουηλ
ἔτι D--------- ἔτι
ἐν P--------- ἐν
κυρίῳ N2--DSM--- κύριος
εἰ X--------- εἰ
ἔρχεται V1--PMI3S- ἔρχομαι
ὁ RA--NSM--- ὁ
ἀνὴρ N3--NSM--- ἀνήρ
ἐνταῦθα D--------- ἐνταῦθα
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
κύριος N2--NSM--- κύριος
ἰδοὺ I--------- ἰδού
αὐτὸς RD--NSM--- αὐτός
κέκρυπται VP--XMI3S- κρύπτω
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
σκεύεσιν N3E-DPN--- σκεῦος

1Sa 10:23
καὶ C--------- καί
ἔδραμεν VBI-AAI3S- τρέχω
καὶ C--------- καί
λαμβάνει V1--PAI3S- λαμβάνω
αὐτὸν RD--ASM--- αὐτός
ἐκεῖθεν D--------- ἐκεῖθεν
καὶ C--------- καί
κατέστησεν VHI-AAI3S- ἵστημι κατα
ἐν P--------- ἐν
μέσῳ A1--DSN--- μέσος
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
καὶ C--------- καί
ὑψώθη VCI-API3S- ὑψόω
ὑπὲρ P--------- ὑπέρ
