Tob 1:1
τέκνον N2N-ASN--- τέκνον
ἵνα C--------- ἵνα
κληρονομήσῃ VA--AAS3S- κληρονομέω
αὐτόν RD--ASM--- αὐτός
οὐδὲ C--------- οὐδέ
ἀδελφὸς N2--NSM--- ἀδελφός
αὐτῷ RD--DSM--- αὐτός
ἐγγὺς D--------- ἐγγύς
οὔτε C--------- οὔτε
συγγενὴς A3H-NSM--- συγγενής
αὐτῷ RD--DSM--- αὐτός
ὑπάρχει V1--PAI3S- ἄρχω ὑπο
ἵνα C--------- ἵνα
συντηρήσω VA--AAS1S- τηρέω συν
ἐμαυτὴν RD--ASF--- ἐμαυτοῦ
αὐτῷ RD--DSM--- αὐτός
γυναῖκα N3K-ASF--- γυνή
ἤδη D--------- ἤδη
ἀπώλοντό VBI-AMI3P- ὀλλύω ἀπο
μοι RP--DS---- ἐγώ
ἑπτά M--------- ἑπτά
καὶ C--------- καί
ἵνα C--------- ἵνα
τί RI--ASN--- τίς
μοί RP--DS---- ἐγώ
ἐστιν V9--PAI3S- εἰμί
ἔτι D--------- ἔτι
ζῆν V3--PAN--- ζάω
καὶ C--------- καί
εἰ C--------- εἰ
μή D--------- μή
σοι RP--DS---- σύ
δοκεῖ V2--PAI3S- δοκέω
ἀποκτεῖναί VA--AAN--- κτείνω ἀπο
με RP--AS---- ἐγώ
κύριε N2--VSM--- κύριος
νῦν D--------- νῦν
εἰσάκουσον VA--AAD2S- ἀκούω εἰς
ὀνειδισμόν N2--ASM--- ὀνειδισμός
μου RP--GS---- ἐγώ

Tob 3:16
ἐν P--------- ἐν
αὐτῷ RD--DSM--- αὐτός
τῷ RA--DSM--- ὁ
καιρῷ N2--DSM--- καιρός
εἰσηκούσθη VCI-API3S- ἀκούω εἰς
ἡ RA--NSF--- ὁ
προσευχὴ N1--NSF--- προσευχή
ἀμφοτέρων A1A-GPM--- ἀμφότεροι
ἐνώπιον P--------- ἐνώπιον
τῆς RA--GSF--- ὁ
δόξης N1S-GSF--- δόξα
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός

Tob 3:17
καὶ C--------- καί
ἀπεστάλη VDI-API3S- στέλλω ἀπο
Ραφαηλ N---NSM--- Ραφαηλ
ἰάσασθαι VA--AMN--- ἰάομαι
τοὺς RA--APM--- ὁ
δύο M--------- δύο
Τωβιν N---ASM--- Τωβιν
ἀπολῦσαι VA--AAN--- λύω ἀπο
τὰ RA--APN--- ὁ
λευκώματα N3M-APN--- λεύκωμα
ἀπὸ P--------- ἀπό
τῶν RA--GPM--- ὁ
ὀφθαλμῶν N2--GPM--- ὀφθαλμός
αὐτοῦ RD--GSM--- αὐτός
ἵνα C--------- ἵνα
ἴδῃ VB--AAS3S- ὁράω
τοῖς RA--DPM--- ὁ
ὀφθαλμοῖς N2--DPM--- ὀφθαλμός
τὸ RA--ASN--- ὁ
φῶς N3T-ASN--- φῶς
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
καὶ C--------- καί
Σαρραν N1A-NSF--- Σαρρα
τὴν RA--ASF--- ὁ
Ραγουηλ N---GSM--- Ραγουηλ
δοῦναι VO--AAN--- δίδωμι
αὐτὴν RD--ASF--- αὐτός
Τωβια N---DSM--- Τωβια
τῷ RA--DSM--- ὁ
υἱῷ N2--DSM--- υἱός
Τωβιθ N---GSM--- Τωβιθ
γυναῖκα N3K-ASF--- γυνή
καὶ C--------- καί
λῦσαι VA--AAN--- λύω
Ασμοδαιον N2--ASN--- Ασμοδαιος
τὸ RA--ASN--- ὁ
δαιμόνιον N2N-ASN--- δαιμόνιον
τὸ RA--ASN--- ὁ
πονηρὸν A1A-ASM--- πονηρός
ἀπ' P--------- ἀπό
αὐτῆς RD--GSF--- αὐτός
διότι C--------- διότι
Τωβια N---NSM--- Τωβια
ἐπιβάλλει V1--PAI3S- βάλλω ἐπι
κληρονομῆσαι VA--AAN--- κληρονομέω
αὐτὴν RD--ASF--- αὐτός
παρὰ P--------- παρά
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
θέλοντας V1--PAPAPM θέλω
λαβεῖν VB--AAN--- λαμβάνω
αὐτήν RD--ASF--- αὐτός
ἐν P--------- ἐν
ἐκείνῳ RD--DSM--- ἐκεῖνος
τῷ RA--DSM--- ὁ
καιρῷ N2--DSM--- καιρός
ἐπέστρεψεν VAI-AAI3S- στρέφω ἐπι
Τωβιθ N---NSM--- Τωβιθ
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
αὐλῆς N1--GSF--- αὐλή
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
Σαρρα N1A-NSF--- Σαρρα
ἡ RA--NSF--- ὁ
τοῦ RA--GSM--- ὁ
Ραγουηλ N---GSM--- Ραγουηλ
καὶ C--------- καί
αὐτὴ RD--NSF--- αὐτός
κατέβη VZI-AAI3S- βαίνω κατα
ἐκ P--------- ἐκ
τοῦ RA--GSN--- ὁ
ὑπερῴου N2N-GSN--- ὑπερῷον

Tob 4:1
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
ἐκείνῃ RD--DSF--- ἐκεῖνος
ἐμνήσθη VSI-API3S- μιμνήσκω
Τωβιθ N---NSM--- Τωβιθ
τοῦ RA--GSN--- ὁ
ἀργυρίου N2N-GSN--- ἀργύριον
ὃ RR--ASN--- ὅς
παρέθετο VEI-AMI3S- τίθημι παρα
Γαβαήλῳ N2--DSM--- Γαβάηλος
ἐν P--------- ἐν
Ῥάγοις N2--DPM--- Ῥάγοι
τῆς RA--GSF--- ὁ
Μηδίας N1A-GSF--- Μηδία

Tob 4:2
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
καρδίᾳ N1A-DSF--- καρδία
αὐτοῦ RD--GSM--- αὐτός
ἰδοὺ I--------- ἰδού
ἐγὼ RP--NS---- ἐγώ
ᾐτησάμην VAI-AMI1S- αἰτέω
θάνατον N2--ASM--- θάνατος
τί RI--ASN--- τίς
οὐχὶ D--------- οὐ
καλῶ V2--PAI1S- καλέω
Τωβιαν N1T-ASM--- Τωβιας
τὸν RA--ASM--- ὁ
υἱόν N2--ASM--- υἱός
μου RP--GS---- ἐγώ
καὶ C--------- καί
ὑποδείξω VF--FAI1S- δεικνύω ὑπο
αὐτῷ RD--DSM--- αὐτός
περὶ P--------- περί
τοῦ RA--GSN--- ὁ
ἀργυρίου N2N-GSN--- ἀργύριον
τούτου RD--GSN--- οὗτος
πρὶν D--------- πρίν
ἀποθανεῖν VB--AAN--- θνήσκω ἀπο
με RP--AS---- ἐγώ

Tob 4:3
καὶ C--------- καί
ἐκάλεσεν VAI-AAI3S- καλέω
Τωβιαν N1T-ASM--- Τωβιας
τὸν RA--ASM--- ὁ
υἱὸν N2--ASM--- υἱός
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἦλθεν VBI-AAI3S- ἔρχομαι
πρὸς P--------- πρός
αὐτόν RD--ASM--- αὐτός
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
θάψον VA--AAD2S- θάπτω
με RP--AS---- ἐγώ
καλῶς D--------- καλῶς
καὶ C--------- καί
τίμα V3--PAD2S- τιμάω
τὴν RA--ASF--- ὁ
μητέρα N3--ASF--- μήτηρ
σου RP--GS---- σύ
καὶ C--------- καί
μὴ D--------- μή
ἐγκαταλίπῃς VB--AAS2S- λείπω ἐν κατα
αὐτὴν RD--ASF--- αὐτός
πάσας A1S-APF--- πᾶς
τὰς RA--APF--- ὁ
ἡμέρας N1A-APF--- ἡμέρα
τῆς RA--GSF--- ὁ
ζωῆς N1--GSF--- ζωή
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
ποίει V2--PAD2S- ποιέω
τὸ RA--ASN--- ὁ
ἀρεστὸν A1--ASN--- ἀρεστός
ἐνώπιον P--------- ἐνώπιον
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
μὴ D--------- μή
λυπήσῃς VA--AAS2S- λυπέω
τὸ RA--ASN--- ὁ
πνεῦμα N3M-ASN--- πνεῦμα
αὐτῆς RD--GSF--- αὐτός
ἐν P--------- ἐν
παντὶ A3--DSN--- πᾶς
πράγματι N3M-DSN--- πρᾶγμα

Tob 4:4
μνήσθητι VS--APD2S- μιμνήσκω
αὐτῆς RD--GSF--- αὐτός
παιδίον N2N-VSN--- παιδίον
ὅτι C--------- ὅτι
κινδύνους N2--APM--- κίνδυνος
πολλοὺς A1--APM--- πολύς
ἑώρακεν VX--XAI3S- ὁράω
ἐπὶ P--------- ἐπί
σοὶ RP--DS---- σύ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
κοιλίᾳ N1A-DSF--- κοιλία
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
ὅταν D--------- ὅταν
ἀποθάνῃ VB--AAS3S- θνήσκω ἀπο
θάψον VA--AAD2S- θάπτω
αὐτὴν RD--ASF--- αὐτός
παρ' P--------- παρά
ἐμοὶ RP--DS---- ἐγώ
ἐν P--------- ἐν
ἑνὶ A3--DSM--- εἷς
τάφῳ N2--DSM--- τάφος

Tob 4:5
καὶ C--------- καί
πάσας A1S-APF--- πᾶς
τὰς RA--APF--- ὁ
ἡμέρας N1A-APF--- ἡμέρα
σου RP--GS---- σύ
παιδίον N2N-VSN--- παιδίον
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος
μνημόνευε V1--PAD2S- μνημονεύω
καὶ C--------- καί
μὴ D--------- μή
θελήσῃς VA--AAS2S- θέλω
ἁμαρτεῖν VB--AAN--- ἁμαρτάνω
καὶ C--------- καί
παραβῆναι VZ--AAN--- βαίνω παρα
τὰς RA--APF--- ὁ
ἐντολὰς N1--APF--- ἐντολή
αὐτοῦ RD--GSM--- αὐτός
δικαιοσύνας N1--APF--- δικαιοσύνη
ποίει V2--PAD2S- ποιέω
πάσας A1S-APF--- πᾶς
τὰς RA--APF--- ὁ
ἡμέρας N1A-APF--- ἡμέρα
τῆς RA--GSF--- ὁ
ζωῆς N1--GSF--- ζωή
σου RP--GS---- σύ
καὶ C--------- καί
μὴ D--------- μή
πορευθῇς VC--APS2S- πορεύομαι
ταῖς RA--DPF--- ὁ
ὁδοῖς N2--DPF--- ὁδός
τῆς RA--GSF--- ὁ
ἀδικίας N1A-GSF--- ἀδικία

Tob 4:6
διότι C--------- διότι
οἱ RA--NPM--- ὁ
ποιοῦντες V2--PAPNPM ποιέω
ἀλήθειαν N1A-ASF--- ἀλήθεια
εὐοδωθήσονται VC--FPI3P- εὐοδόω
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
ἔργοις N2N-DPN--- ἔργον
αὐτῶν RD--GPM--- αὐτός

Tob 4:7
καὶ C--------- καί
πᾶσιν A3--DPM--- πᾶς
τοῖς RA--DPM--- ὁ
ποιοῦσιν V2--PAI3P- ποιέω
δικαιοσύνην N1--ASF--- δικαιοσύνη

Tob 4:19
δώσει VF--FAI3S- δίδωμι
κύριος N2--NSM--- κύριος
αὐτοῖς RD--DPM--- αὐτός
βουλὴν N1--ASF--- βουλή
ἀγαθήν A1--ASF--- ἀγαθός
καὶ C--------- καί
ὃν RR--ASM--- ὅς
ἂν X--------- ἄν
θέλῃ V1--PAS3S- θέλω
κύριος N2--NSM--- κύριος
ταπεινοῖ V4--PAI3S- ταπεινόω
ἕως P--------- ἕως
ᾅδου N1M-GSM--- ᾅδης
κατωτάτω D--------- κατωτάτω
καὶ C--------- καί
νῦν D--------- νῦν
παιδίον N2N-VSN--- παιδίον
μνημόνευε V1--PAD2S- μνημονεύω
τὰς RA--APF--- ὁ
ἐντολὰς N1--APF--- ἐντολή
ταύτας RD--APF--- οὗτος
καὶ C--------- καί
μὴ D--------- μή
ἐξαλειφθήτωσαν VV--APD3P- ἀλείφω ἐκ
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
καρδίας N1A-GSF--- καρδία
σου RP--GS---- σύ

Tob 4:20
καὶ C--------- καί
νῦν D--------- νῦν
παιδίον N2N-VSN--- παιδίον
ὑποδεικνύω V1--PAS1S- δεικνύω ὑπο
σοι RP--DS---- σύ
ὅτι C--------- ὅτι
δέκα M--------- δέκα
τάλαντα N2N-APN--- τάλαντον
ἀργυρίου N2N-GSN--- ἀργύριον
παρεθέμην VEI-API1S- τίθημι παρα
Γαβαήλῳ N2--DSM--- Γαβαήλος
τῷ RA--DSM--- ὁ
τοῦ RA--GSM--- ὁ
Γαβρι N---GSM--- Γαβρι
ἐν P--------- ἐν
Ῥάγοις N2--DPM--- Ῥάγοι
τῆς RA--GSF--- ὁ
Μηδίας N1A-GSF--- Μηδία

Tob 4:21
καὶ C--------- καί
μὴ D--------- μή
φοβοῦ V2--PMD2S- φοβέω
παιδίον N2N-VSN--- παιδίον
ὅτι C--------- ὅτι
ἐπτωχεύσαμεν VAI-AAI1P- πτωχεύω
ὑπάρχει V1--PAI3S- ἄρχω ὑπο
σοι RP--DS---- σύ
πολλὰ A1--APN--- πολύς
ἀγαθά A1--APN--- ἀγαθός
ἐὰν C--------- ἐάν
φοβηθῇς VC--APS2S- φοβέω
τὸν RA--ASM--- ὁ
θεὸν N2--ASM--- θεός
καὶ C--------- καί
φύγῃς VB--AAS2S- φεύγω
ἀπὸ P--------- ἀπό
πάσης A1S-GSF--- πᾶς
ἁμαρτίας N1A-GSF--- ἁμαρτία
καὶ C--------- καί
ποιήσῃς VA--AAS2S- ποιέω
τὰ RA--APN--- ὁ
ἀγαθὰ A1--APN--- ἀγαθός
ἐνώπιον P--------- ἐνώπιον
κυρίου N2--GSM--- κύριος
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
σου RP--GS---- σύ

Tob 5:1
τότε D--------- τότε
ἀποκριθεὶς VC--APPNSM κρίνω ἀπο
Τωβιας N1T-NSM--- Τωβιας
εἶπεν VBI-AAI3S- εἶπον
Τωβιθ N---DSM--- Τωβιθ
τῷ RA--DSM--- ὁ
πατρὶ N3--DSM--- πατήρ
αὐτοῦ RD--GSM--- αὐτός
πάντα A3--APN--- πᾶς
ὅσα A1--APN--- ὅσος
ἐντέταλσαί VM--XMI2S- τέλλομαι ἐν
μοι RP--DS---- ἐγώ
ποιήσω VA--AAS1S- ποιέω
πάτερ N3--VSM--- πατήρ

Tob 5:2
πῶς D--------- πῶς
δὲ X--------- δέ
δυνήσομαι VF--FMI1S- δύναμαι
αὐτὸ RD--ASN--- αὐτός
λαβεῖν VB--AAN--- λαμβάνω
παρ' P--------- παρά
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
αὐτὸς RD--NSM--- αὐτός
οὐ D--------- οὐ
γινώσκει V1--PAI3S- γιγνώσκω
με RP--AS---- ἐγώ
καὶ C--------- καί
ἐγὼ RP--NS---- ἐγώ
οὐ D--------- οὐ
γινώσκω V1--PAI1S- γιγνώσκω
αὐτόν RD--ASM--- αὐτός
τί RI--ASN--- τίς
σημεῖον N2N-ASN--- σημεῖον
δῶ VO--AAS1S- δίδωμι
αὐτῷ RD--DSM--- αὐτός
καὶ C--------- καί
ἐπιγνῷ VZ--AAS3S- γιγνώσκω ἐπι
με RP--AS---- ἐγώ
καὶ C--------- καί
πιστεύσῃ VA--AAS3S- πιστεύω
μοι RP--DS---- ἐγώ
καὶ C--------- καί
δῷ VO--AAS3S- δίδωμι
μοι RP--DS---- ἐγώ
τὸ RA--ASN--- ὁ
ἀργύριον N2N-ASN--- ἀργύριον
καὶ C--------- καί
τὰς RA--APF--- ὁ
ὁδοὺς N2--APF--- ὁδός
τὰς RA--APF--- ὁ
εἰς P--------- εἰς
Μηδίαν N1A-ASF--- Μηδία
οὐ D--------- οὐ
γινώσκω V1--PAI1S- γιγνώσκω
τοῦ RA--GSN--- ὁ
πορευθῆναι VC--APN--- πορεύομαι
ἐκεῖ D--------- ἐκεῖ

Tob 5:3
τότε D--------- τότε
ἀποκριθεὶς VC--APPNSM κρίνω ἀπο
Τωβιθ N---NSM--- Τωβιθ
εἶπεν VBI-AAI3S- εἶπον
Τωβια N---DSM--- Τωβια
τῷ RA--DSM--- ὁ
υἱῷ N2--DSM--- υἱός
αὐτοῦ RD--GSM--- αὐτός
χειρόγραφον N2N-ASN--- χειρόγραφον
αὐτοῦ RD--GSM--- αὐτός
ἔδωκέν VAI-AAI3S- δίδωμι
μοι RP--DS---- ἐγώ
καὶ C--------- καί
χειρόγραφον N2N-ASN--- χειρόγραφον
ἔδωκα VAI-AAI1S- δίδωμι
αὐτῷ RD--DSM--- αὐτός
καὶ C--------- καί
διεῖλον VBI-AAI3P- αἱρέω δια
εἰς P--------- εἰς
δύο M--------- δύο
καὶ C--------- καί
ἐλάβομεν VBI-AAI1P- λαμβάνω
ἑκάτερος A1A-NSM--- ἑκάτερος
ἕν A3--ASN--- εἷς
καὶ C--------- καί
ἔθηκα VAI-AAI1S- τίθημι
μετὰ P--------- μετά
τοῦ RA--GSN--- ὁ
ἀργυρίου N2N-GSN--- ἀργύριον
καὶ C--------- καί
νῦν D--------- νῦν
ἰδοὺ I--------- ἰδού
ἔτη N3E-APN--- ἔτος
εἴκοσι M--------- εἴκοσι
ἀφ' P--------- ἀπό
οὗ RR--GSM--- ὅς
παρεθέμην VEI-AMI1S- τίθημι παρα
τὸ RA--ASN--- ὁ
ἀργύριον N2N-ASN--- ἀργύριον
τοῦτο RD--ASN--- οὗτος
ἐγώ RP--NS---- ἐγώ
καὶ C--------- καί
νῦν D--------- νῦν
παιδίον N2N-VSN--- παιδίον
ζήτησον VA--AAD2S- ζητέω
σεαυτῷ RD--DSM--- σεαυτοῦ
ἄνθρωπον N2--ASM--- ἄνθρωπος
πιστόν A1--ASM--- πιστός
ὃς RR--NSM--- ὅς
πορεύσεται VF--FMI3S- πορεύομαι
μετὰ P--------- μετά
σοῦ RP--GS---- σύ
καὶ C--------- καί
δώσομεν VF--FAI1P- δίδωμι
αὐτῷ RD--DSM--- αὐτός
μισθόν N2--ASM--- μισθός
ἕως P--------- ἕως
ὅτου RX--GSM--- ὅστις
ἔλθῃς VB--AAS2S- ἔρχομαι
καὶ C--------- καί
λαβὲ VB--AAD2S- λαμβάνω
παρ' P--------- παρά
αὐτοῦ RD--GSM--- αὐτός
τὸ RA--ASN--- ὁ
ἀργύριον N2N-ASN--- ἀργύριον
τοῦτο RD--ASN--- οὗτος

Tob 5:4
ἐξῆλθεν VBI-AAI3S- ἔρχομαι ἐκ
δὲ X--------- δέ
Τωβιας N1T-NSM--- Τωβιας
ζητῆσαι VA--AAN--- ζητέω
ἄνθρωπον N2--ASM--- ἄνθρωπος
ὃς RR--NSM--- ὅς
πορεύσεται VF--FMI3S- πορεύομαι
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός
εἰς P--------- εἰς
Μηδίαν N1A-ASF--- Μηδία
ὃς RR--NSM--- ὅς
ἐμπειρεῖ VF2-FAI3S- πείρω ἐν
τῆς RA--GSF--- ὁ
ὁδοῦ N2--GSF--- ὁδός
καὶ C--------- καί
ἐξῆλθεν VBI-AAI3S- ἔρχομαι ἐκ
καὶ C--------- καί
εὗρεν VB--AAI3S- εὑρίσκω
Ραφαηλ N---ASM--- Ραφαηλ
τὸν RA--ASM--- ὁ
ἄγγελον N2--ASM--- ἄγγελος
ἑστηκότα VXI-XAPASM ἵστημι
ἀπέναντι D--------- ἀπέναντι
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
οὐκ D--------- οὐ
ἔγνω VZI-AAI3S- γιγνώσκω
ὅτι C--------- ὅτι
ἄγγελος N2--NSM--- ἄγγελος
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
ἐστιν V9--PAI3S- εἰμί

Tob 5:5
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
πόθεν D--------- πόθεν
εἶ V9--PAI2S- εἰμί
νεανίσκε N2--VSM--- νεανίσκος
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
ἐκ P--------- ἐκ
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
τῶν RA--GPM--- ὁ
ἀδελφῶν N2--GPM--- ἀδελφός
σου RP--GS---- σύ
καὶ C--------- καί
ἐλήλυθα VX--XAI1S- ἔρχομαι
ὧδε D--------- ὧδε
ἐργατεύεσθαι V1--PMN--- ἐργατεύομαι
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
ἐπίστῃ VH--AMS2S- ἵστημι ἐπι
τὴν RA--ASF--- ὁ
ὁδὸν N2--ASF--- ὁδός
πορευθῆναι VC--APN--- πορεύομαι
εἰς P--------- εἰς
Μηδίαν N1A-ASF--- Μηδία

Tob 5:6
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
ναί D--------- ναί
πολλάκις D--------- πολλάκις
ἐγὼ RP--NS---- ἐγώ
ἐγενόμην VBI-AMI1S- γίγνομαι
ἐκεῖ D--------- ἐκεῖ
καὶ C--------- καί
ἐμπειρῶ VF2-FAI1S- πείρω ἐν
καὶ C--------- καί
ἐπίσταμαι V6--PMI1S- ἐπίσταμαι
τὰς RA--APF--- ὁ
ὁδοὺς N2--APF--- ὁδός
πάσας A1S-APF--- πᾶς
πλεονάκις D--------- πλεονάκις
ἐπορεύθην VCI-API1S- πορεύομαι
εἰς P--------- εἰς
Μηδίαν N1A-ASF--- Μηδία
καὶ C--------- καί
ηὐλιζόμην V1I-IMI1S- αὐλίζω
παρὰ P--------- παρά
Γαβαήλῳ N2--DSM--- Γαβάηλος
τῷ RA--DSM--- ὁ
ἀδελφῷ N2--DSM--- ἀδελφός
ἡμῶν RP--GP---- ἐγώ
τῷ RA--DSM--- ὁ
οἰκοῦντι V2--PAPDSM οἰκέω
ἐν P--------- ἐν
Ῥάγοις N2--DPM--- Ῥάγοι
τῆς RA--GSF--- ὁ
Μηδίας N1A-GSF--- Μηδία
καὶ C--------- καί
ἀπέχει V1--PAI3S- ἔχω ἀπο
ὁδὸν N2--ASF--- ὁδός
ἡμερῶν N1A-GPF--- ἡμέρα
δύο M--------- δύο
τεταγμένων VK--XMPGPM τάσσω
ἀπὸ P--------- ἀπό
Ἐκβατάνων N---GP---- Ἐκβάτανα
εἰς P--------- εἰς
Ῥάγα N2--ASF--- Ῥάγη
κεῖνται V5--PMI3P- κεῖμαι
γὰρ X--------- γάρ
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ὄρει N3E-DSN--- ὄρος

Tob 5:7
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
μεῖνόν VB--AAD2S- μένω
με RP--AS---- ἐγώ
νεανίσκε N2--VSM--- νεανίσκος
μέχρι P--------- μέχρι
ὅτου RX--GSM--- ὅστις
εἰσελθὼν VB--AAPNSM ἔρχομαι εἰς
ὑποδείξω VF--FAI1S- δεικνύω ὑπο
τῷ RA--DSM--- ὁ
πατρί N3--DSM--- πατήρ
μου RP--GS---- ἐγώ
χρείαν N1A-ASF--- χρεία
γὰρ X--------- γάρ
ἔχω V1--PAI1S- ἔχω
ἵνα C--------- ἵνα
βαδίσῃς VA--AAS2S- βαδίζω
μετ' P--------- μετά
ἐμοῦ RP--GS---- ἐγώ
καὶ C--------- καί
δώσω VF--FAI1S- δίδωμι
σοι RP--DS---- σύ
τὸν RA--ASM--- ὁ
μισθόν N2--ASM--- μισθός
σου RP--GS---- σύ

Tob 5:8
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
ἰδοὺ I--------- ἰδού
ἐγὼ RP--NS---- ἐγώ
προσκαρτερῶ V2--PAI1S- καρτερέω προς
μόνον D--------- μόνον
μὴ D--------- μή
χρονίσῃς VA--AAS2S- χρονίζω

Tob 5:9
καὶ C--------- καί
εἰσελθὼν VB--AAPNSM ἔρχομαι εἰς
Τωβιας N1T-NSM--- Τωβιας
ὑπέδειξεν VAI-AAI3S- δεικνύω ὑπο
Τωβιθ N---DSM--- Τωβιθ
τῷ RA--DSM--- ὁ
πατρὶ N3--DSM--- πατήρ
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
ἰδοὺ I--------- ἰδού
ἄνθρωπον N2--ASM--- ἄνθρωπος
εὗρον VB--AAI3P- εὑρίσκω
τῶν RA--GPM--- ὁ
ἀδελφῶν N2--GPM--- ἀδελφός
ἡμῶν RP--GP---- ἐγώ
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
κάλεσόν VA--AAD2S- καλέω
μοι RP--DS---- ἐγώ
τὸν RA--ASM--- ὁ
ἄνθρωπον N2--ASM--- ἄνθρωπος
ὅπως C--------- ὅπως
ἐπιγνῶ VZ--AAS1S- γιγνώσκω ἐπι
τί RI--ASN--- τίς
τὸ RA--ASN--- ὁ
γένος N3E-ASN--- γένος
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐκ P--------- ἐκ
ποίας A1A-GSF--- ποῖος
φυλῆς N1--GSF--- φυλή
ἐστιν V9--PAI3S- εἰμί
καὶ C--------- καί
εἰ C--------- εἰ
πιστός A1--NSM--- πιστός
ἐστιν V9--PAI3S- εἰμί
ἵνα C--------- ἵνα
πορευθῇ VC--APS3S- πορεύομαι
μετὰ P--------- μετά
σοῦ RP--GS---- σύ
παιδίον N2N-VSN--- παιδίον

Tob 5:10
καὶ C--------- καί
ἐξῆλθεν VBI-AAI3S- ἔρχομαι ἐκ
Τωβιας N1T-NSM--- Τωβιας
καὶ C--------- καί
ἐκάλεσεν VAI-AAI3S- καλέω
αὐτὸν RD--ASM--- αὐτός
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
νεανίσκε N2--VSM--- νεανίσκος
ὁ RA--NSM--- ὁ
πατὴρ N3--NSM--- πατήρ
καλεῖ V2--PAI3S- καλέω
σε RP--AS---- σύ
καὶ C--------- καί
εἰσῆλθεν VBI-AAI3S- ἔρχομαι εἰς
πρὸς P--------- πρός
αὐτόν RD--ASM--- αὐτός
καὶ C--------- καί
ἐχαιρέτισεν VAI-AAI3S- χαιρετίζω
αὐτὸν RD--ASM--- αὐτός
Τωβιθ N---NSM--- Τωβιθ
πρῶτος A1--NSMS-- πρῶτος
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
χαίρειν V1--PAN--- χαίρω
σοι RP--DS---- σύ
πολλὰ A1--APN--- πολύς
γένοιτο VB--AMO3S- γίγνομαι
καὶ C--------- καί
ἀποκριθεὶς VC--APPNSM κρίνω ἀπο
Τωβιθ N---NSM--- Τωβιθ
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
τί RI--NSM--- τίς
μοι RP--DS---- ἐγώ
ἔτι D--------- ἔτι
ὑπάρχει V1--PAI3S- ἄρχω ὑπο
χαίρειν V1--PAN--- χαίρω
καὶ C--------- καί
ἐγὼ RP--NS---- ἐγώ
ἄνθρωπος N2--NSM--- ἄνθρωπος
ἀδύνατος A1B-NSM--- ἀδύνατος
τοῖς RA--DPM--- ὁ
