Rth 1:1
πίεσαι VF--FAI2S- πίνω
ὅθεν D--------- ὅθεν
ἂν X--------- ἄν
ὑδρεύωνται V1--PMS3P- ὑδρεύω
τὰ RA--NPN--- ὁ
παιδάρια N2N-NPN--- παιδάριον

Rth 2:10
καὶ C--------- καί
ἔπεσεν VBI-AAI3S- πίπτω
ἐπὶ P--------- ἐπί
πρόσωπον N2N-ASN--- πρόσωπον
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
προσεκύνησεν VAI-AAI3S- κυνέω προς
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
πρὸς P--------- πρός
αὐτόν RD--ASM--- αὐτός
τί RI--D----- τίς
ὅτι C--------- ὅτι
εὗρον VB--AAI1S- εὑρίσκω
χάριν N3--ASF--- χάρις
ἐν P--------- ἐν
ὀφθαλμοῖς N2--DPM--- ὀφθαλμός
σου RP--GSM--- σύ
τοῦ RA--GSN--- ὁ
ἐπιγνῶναί VZ--AAN--- γιγνώσκω ἐπι
με RP--ASF--- ἐγώ
καὶ C--------- καί
ἐγώ RP--NSF--- ἐγώ
εἰμι V9--PAI1S- εἰμί
ξένη A1--NSF--- ξένος

Rth 2:11
καὶ C--------- καί
ἀπεκρίθη VCI-API3S- κρίνω ἀπο
Βοος N---NSM--- Βοος
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῇ RD--DSF--- αὐτός
ἀπαγγελίᾳ N1A-DSF--- ἀπαγγελία
ἀπηγγέλη VDI-API3S- ἀγγέλλω ἀπο
μοι RP--DSM--- ἐγώ
ὅσα A1--APN--- ὅσος
πεποίηκας VX--XAI2S- ποιέω
μετὰ P--------- μετά
τῆς RA--GSF--- ὁ
πενθερᾶς N1A-GSF--- πενθερά
σου RP--GSF--- σύ
μετὰ P--------- μετά
τὸ RA--ASN--- ὁ
ἀποθανεῖν VB--AAN--- θνήσκω ἀπο
τὸν RA--ASM--- ὁ
ἄνδρα N3--ASM--- ἀνήρ
σου RP--GSF--- σύ
καὶ C--------- καί
πῶς D--------- πῶς
κατέλιπες VBI-AAI2S- λείπω κατα
τὸν RA--ASM--- ὁ
πατέρα N3--ASM--- πατήρ
σου RP--GSF--- σύ
καὶ C--------- καί
τὴν RA--ASF--- ὁ
μητέρα N3--ASF--- μήτηρ
σου RP--GSF--- σύ
καὶ C--------- καί
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
γενέσεώς N3I-GSF--- γένεσις
σου RP--GSF--- σύ
καὶ C--------- καί
ἐπορεύθης VCI-API2S- πορεύομαι
πρὸς P--------- πρός
λαὸν N2--ASM--- λαός
ὃν RR--ASM--- ὅς
οὐκ D--------- οὐ
ᾔδεις V---YAI3S- οἶδα
ἐχθὲς D--------- ἐχθές
καὶ C--------- καί
τρίτης A1--GSF--- τρίτος

Rth 2:12
ἀποτείσαι VA--AAO3S- τίνω ἀπο
κύριος N2--NSM--- κύριος
τὴν RA--ASF--- ὁ
ἐργασίαν N1A-ASF--- ἐργασία
σου RP--GSF--- σύ
καὶ C--------- καί
γένοιτο VB--AMO3S- γίγνομαι
ὁ RA--NSM--- ὁ
μισθός N2--NSM--- μισθός
σου RP--GSF--- σύ
πλήρης A3H-NSM--- πλήρης
παρὰ P--------- παρά
κυρίου N2--GSM--- κύριος
θεοῦ N2--GSM--- θεός
Ισραηλ N---GSM--- Ἰσραήλ
πρὸς P--------- πρός
ὃν RR--ASM--- ὅς
ἦλθες VBI-AAI2S- ἔρχομαι
πεποιθέναι VX--XAN--- πείθω
ὑπὸ P--------- ὑπό
τὰς RA--APF--- ὁ
πτέρυγας N3G-APF--- πτέρυξ
αὐτοῦ RD--GSM--- αὐτός

Rth 2:13
ἡ RA--NSF--- ὁ
δὲ X--------- δέ
εἶπεν VBI-AAI3S- εἶπον
εὕροιμι VB--AAO1S- εὑρίσκω
χάριν N3--ASF--- χάρις
ἐν P--------- ἐν
ὀφθαλμοῖς N2--DPM--- ὀφθαλμός
σου RP--GSM--- σύ
κύριε N2--VSM--- κύριος
ὅτι C--------- ὅτι
παρεκάλεσάς VAI-AAI2S- καλέω παρα
με RP--ASF--- ἐγώ
καὶ C--------- καί
ὅτι C--------- ὅτι
ἐλάλησας VAI-AAI2S- λαλέω
ἐπὶ P--------- ἐπί
καρδίαν N1A-ASF--- καρδία
τῆς RA--GSF--- ὁ
δούλης N1--GSF--- δούλη
σου RP--GSF--- σύ
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
ἐγὼ RP--NSF--- ἐγώ
ἔσομαι VF--FMI1S- εἰμί
ὡς C--------- ὡς
μία A1A-ASF--- εἷς
τῶν RA--GPM--- ὁ
παιδισκῶν N2--GPM--- παιδίσκος
σου RP--GSM--- σύ

Rth 2:14
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῇ RD--DSF--- αὐτός
Βοος N---NSM--- Βοος
ἤδη D--------- ἤδη
ὥρᾳ N1A-DSF--- ὥρα
τοῦ RA--GSN--- ὁ
φαγεῖν VB--AAN--- ἐσθίω
πρόσελθε VA--AMD2S- ἔρχομαι προς
ὧδε D--------- ὧδε
καὶ C--------- καί
φάγεσαι VF--FMI2S- ἐσθίω
τῶν RA--GPM--- ὁ
ἄρτων N2--GPM--- ἄρτος
καὶ C--------- καί
βάψεις VF--FAI2S- βάπτω
τὸν RA--ASM--- ὁ
ψωμόν N2--ASM--- ψωμός
σου RP--GSF--- σύ
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
ὄξει N3E-DSN--- ὄξος
καὶ C--------- καί
ἐκάθισεν VAI-AAI3S- ἵζω κατα
Ρουθ N---NSF--- Ρουθ
ἐκ P--------- ἐκ
πλαγίων A1A-GPM--- πλάγιος
τῶν RA--GPM--- ὁ
θεριζόντων V1--PAPGPM θερίζω
καὶ C--------- καί
ἐβούνισεν VAI-AAI3S- βουνίζω
αὐτῇ RD--DSF--- αὐτός
Βοος N---NSM--- Βοος
ἄλφιτον N2N-ASN--- ἄλφιτον
καὶ C--------- καί
ἔφαγεν VBI-AAI3S- ἐσθίω
καὶ C--------- καί
ἐνεπλήσθη VSI-API3S- πίμπλημι ἐν
καὶ C--------- καί
κατέλιπεν VBI-AAI3S- λείπω κατα

Rth 2:15
καὶ C--------- καί
ἀνέστη VHI-AAI3S- ἵστημι ἀνα
τοῦ RA--GSN--- ὁ
συλλέγειν V1--PAN--- λέγω συν
καὶ C--------- καί
ἐνετείλατο VBI-AMI3S- τέλλω ἐν
Βοος N---NSM--- Βοος
τοῖς RA--DPN--- ὁ
παιδαρίοις N2N-DPN--- παιδάριον
αὐτοῦ RD--GSM--- αὐτός
λέγων V1--PAPNSM λέγω
καί C--------- καί
γε X--------- γέ
ἀνὰ P--------- ἀνά
μέσον A1--ASN--- μέσος
τῶν RA--GPN--- ὁ
δραγμάτων N3M-GPN--- δράγμα
συλλεγέτω V1--PAD3S- λέγω συν
καὶ C--------- καί
μὴ D--------- μή
καταισχύνητε V1--PAS2P- αἰσχύνω κατα
αὐτήν RD--ASF--- αὐτός

Rth 2:16
καὶ C--------- καί
βαστάζοντες V1--PAPNPM βαστάζω
βαστάξατε VA--AAD2P- βαστάζω
αὐτῇ RD--DSF--- αὐτός
καί C--------- καί
γε X--------- γέ
παραβάλλοντες V1--PAPNPM βάλλω παρα
παραβαλεῖτε VF--FAI2P- βάλλω παρα
αὐτῇ RD--DSF--- αὐτός
ἐκ P--------- ἐκ
τῶν RA--GPM--- ὁ
βεβουνισμένων VM--XMPGPM βουνίζω
καὶ C--------- καί
ἄφετε VB--AAD2P- ἵημι ἀπο
καὶ C--------- καί
συλλέξει VF--FAI3S- λέγω συν
καὶ C--------- καί
οὐκ D--------- οὐ
ἐπιτιμήσετε VF--FAI2P- τιμάω ἐπι
αὐτῇ RD--DSF--- αὐτός

Rth 2:17
καὶ C--------- καί
συνέλεξεν VAI-AAI3S- λέγω συν
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
ἀγρῷ N2--DSM--- ἀγρός
ἕως C--------- ἕως
ἑσπέρας N1A-GSF--- ἑσπέρα
καὶ C--------- καί
ἐρράβδισεν VAI-AAI3S- ραβδίζω
ἃ RR--APN--- ὅς
συνέλεξεν VAI-AAI3S- λέγω συν
καὶ C--------- καί
ἐγενήθη VCI-API3S- γίγνομαι
ὡς C--------- ὡς
οιφι N3--ASN--- οἰφί
κριθῶν N1--GPF--- κριθή

Rth 2:18
καὶ C--------- καί
ἦρεν VAI-AAI3S- αἴρω
καὶ C--------- καί
εἰσῆλθεν VBI-AAI3S- ἔρχομαι εἰς
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
πόλιν N3I-ASF--- πόλις
καὶ C--------- καί
εἶδεν VBI-AAI3S- ὁράω
ἡ RA--NSF--- ὁ
πενθερὰ N1A-NSF--- πενθερά
αὐτῆς RD--GSF--- αὐτός
ἃ RR--APN--- ὅς
συνέλεξεν VAI-AAI3S- λέγω συν
καὶ C--------- καί
ἐξενέγκασα VA--AAPNSF φέρω ἐκ
Ρουθ N---NSF--- Ρουθ
ἔδωκεν VAI-AAI3S- δίδωμι
αὐτῇ RD--DSF--- αὐτός
ἃ RR--APN--- ὅς
κατέλιπεν VBI-AAI3S- λείπω κατα
ἐξ P--------- ἐκ
ὧν RR--GPN--- ὅς
ἐνεπλήσθη VSI-API3S- πίμπλημι ἐν

Rth 2:19
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῇ RD--DSF--- αὐτός
ἡ RA--NSF--- ὁ
πενθερὰ N1A-NSF--- πενθερά
αὐτῆς RD--GSF--- αὐτός
ποῦ D--------- ποῦ
συνέλεξας VAI-AAI2S- λέγω συν
σήμερον D--------- σήμερον
καὶ C--------- καί
ποῦ D--------- ποῦ
ἐποίησας VAI-AAI2S- ποιέω
εἴη V9--PAO3S- εἰμί
ὁ RA--NSM--- ὁ
ἐπιγνούς VZ--AAPNSM γιγνώσκω ἐπι
σε RP--ASF--- σύ
εὐλογημένος VM--XPPNSM εὐλογέω
καὶ C--------- καί
ἀπήγγειλεν VAI-AAI3S- ἀγγέλλω ἀπο
Ρουθ N---NSF--- Ρουθ
τῇ RA--DSF--- ὁ
πενθερᾷ N1A-DSF--- πενθερά
αὐτῆς RD--GSF--- αὐτός
ποῦ D--------- ποῦ
ἐποίησεν VAI-AAI3S- ποιέω
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
τὸ RA--ASN--- ὁ
ὄνομα N3M-ASN--- ὄνομα
τοῦ RA--GSM--- ὁ
ἀνδρός N3--GSM--- ἀνήρ
μεθ' P--------- μετά
οὗ RR--GSM--- ὅς
ἐποίησα VAI-AAI1S- ποιέω
σήμερον D--------- σήμερον
Βοος N---ASM--- Βοος

Rth 2:20
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Νωεμιν N---NSF--- Νωεμιν
τῇ RA--DSF--- ὁ
νύμφῃ N1--DSF--- νύμφη
αὐτῆς RD--GSF--- αὐτός
εὐλογητός A1--NSM--- εὐλογητός
ἐστιν V9--PAI3S- εἰμί
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
ὅτι C--------- ὅτι
οὐκ D--------- οὐ
ἐγκατέλιπεν VBI-AAI3S- λείπω ἐν κατα
τὸ RA--ASN--- ὁ
ἔλεος N3E-ASN--- ἔλεος
αὐτοῦ RD--GSM--- αὐτός
μετὰ P--------- μετά
τῶν RA--GPM--- ὁ
ζώντων V3--PAPGPM ζάω
καὶ C--------- καί
μετὰ P--------- μετά
τῶν RA--GPM--- ὁ
τεθνηκότων VX--XAPGPM θνήσκω
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῇ RD--DSF--- αὐτός
Νωεμιν N---NSF--- Νωεμιν
ἐγγίζει V1--PAI3S- ἐγγίζω
ἡμῖν RP--DP---- ἐγώ
ὁ RA--NSM--- ὁ
ἀνὴρ N3--NSM--- ἀνήρ
ἐκ P--------- ἐκ
τῶν RA--GPM--- ὁ
ἀγχιστευόντων V1--PAPGPM ἀγχιστεύω
ἡμᾶς RP--APF--- ἐγώ
ἐστιν V9--PAI3S- εἰμί

Rth 2:21
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Ρουθ N---NSF--- Ρουθ
πρὸς P--------- πρός
τὴν RA--ASF--- ὁ
πενθερὰν N1A-ASF--- πενθερά
αὐτῆς RD--GSF--- αὐτός
καί C--------- καί
γε X--------- γέ
ὅτι C--------- ὅτι
εἶπεν VBI-AAI3S- εἶπον
πρός P--------- πρός
με RP--ASF--- ἐγώ
μετὰ P--------- μετά
τῶν RA--GPN--- ὁ
παιδαρίων N2N-GPN--- παιδάριον
μου RP--GSF--- ἐγώ
προσκολλήθητι VC--APD2S- κολλάω προς
ἕως C--------- ἕως
ἂν X--------- ἄν
τελέσωσιν VA--AAS3P- τελέω
ὅλον A1--ASM--- ὅλος
τὸν RA--ASM--- ὁ
ἀμητόν N2--ASM--- ἀμητός
ὃς RR--NSM--- ὅς
ὑπάρχει V1--PAI3S- ἄρχω ὑπο
μοι RP--DSM--- ἐγώ

Rth 2:22
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Νωεμιν N---NSF--- Νωεμιν
πρὸς P--------- πρός
Ρουθ N---ASF--- Ρουθ
τὴν RA--ASF--- ὁ
νύμφην N1--ASF--- νύμφη
αὐτῆς RD--GSF--- αὐτός
ἀγαθόν A1--NSN--- ἀγαθός
θύγατερ N3--VSF--- θυγάτηρ
ὅτι C--------- ὅτι
ἐπορεύθης VCI-API2S- πορεύομαι
μετὰ P--------- μετά
τῶν RA--GPN--- ὁ
κορασίων N2N-GPN--- κοράσιον
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
οὐκ D--------- οὐ
ἀπαντήσονταί VF--FMI3P- ἀντάω ἀπο
σοι RP--DSF--- σύ
ἐν P--------- ἐν
ἀγρῷ N2--DSM--- ἀγρός
ἑτέρῳ A1A-DSM--- ἕτερος

Rth 2:23
καὶ C--------- καί
προσεκολλήθη VCI-API3S- κολλάω προς
Ρουθ N---NSF--- Ρουθ
τοῖς RA--DPN--- ὁ
κορασίοις N2N-DPN--- κοράσιον
Βοος N---GSM--- Βοος
συλλέγειν V1--PAN--- λέγω συν
ἕως C--------- ἕως
οὗ D--------- ὅς
συνετέλεσεν VAI-AAI3S- τελέω συν
τὸν RA--ASM--- ὁ
θερισμὸν N2--ASM--- θερισμός
τῶν RA--GPF--- ὁ
κριθῶν N1--GPF--- κριθή
καὶ C--------- καί
τῶν RA--GPF--- ὁ
πυρῶν N1A-GPF--- πυρά
καὶ C--------- καί
ἐκάθισεν VAI-AAI3S- ἵζω κατα
μετὰ P--------- μετά
τῆς RA--GSF--- ὁ
πενθερᾶς N1A-GSF--- πενθερά
αὐτῆς RD--GSF--- αὐτός

Rth 3:1
εἶπεν VBI-AAI3S- εἶπον
δὲ X--------- δέ
αὐτῇ RD--DSF--- αὐτός
Νωεμιν N---NSF--- Νωεμιν
ἡ RA--NSF--- ὁ
πενθερὰ N1A-NSF--- πενθερά
αὐτῆς RD--GSF--- αὐτός
θύγατερ N3--VSF--- θυγάτηρ
οὐ D--------- οὐ
μὴ D--------- μή
ζητήσω VA--AAS1S- ζητέω
σοι RP--DSF--- σύ
ἀνάπαυσιν N3I-ASF--- ἀνάπαυσις
ἵνα C--------- ἵνα
εὖ D--------- εὖ
γένηταί VB--AMS3S- γίγνομαι
σοι RP--DSF--- σύ

Rth 3:2
καὶ C--------- καί
νῦν D--------- νῦν
οὐχὶ D--------- οὐ
Βοος N---NSM--- Βοος
γνώριμος A1B-NSM--- γνώριμος
ἡμῶν RP--GPF--- ἐγώ
οὗ RR--GSM--- ὅς
ἦς V9--IAI2S- εἰμί
μετὰ P--------- μετά
τῶν RA--GPN--- ὁ
κορασίων N2N-GPN--- κοράσιον
αὐτοῦ RD--GSM--- αὐτός
ἰδοὺ I--------- ἰδού
αὐτὸς RD--NSM--- αὐτός
λικμᾷ V3--PAI3S- λικμάω
τὸν RA--ASM--- ὁ
ἅλωνα N3W-ASM--- ἅλων
τῶν RA--GPF--- ὁ
κριθῶν N1--GPF--- κριθή
ταύτῃ RD--DSF--- οὗτος
τῇ RA--DSF--- ὁ
νυκτί N3--DSF--- νύξ

Rth 3:3
σὺ RP--NSF--- σύ
δὲ X--------- δέ
λούσῃ VF--FMI2S- λούω
καὶ C--------- καί
ἀλείψῃ VF--FMI2S- ἀλείφω
καὶ C--------- καί
περιθήσεις VF--FAI2S- τίθημι περι
τὸν RA--ASM--- ὁ
ἱματισμόν N2--ASM--- ἱματισμός
σου RP--GSF--- σύ
ἐπὶ P--------- ἐπί
σεαυτῇ RD--DSF--- σεαυτοῦ
καὶ C--------- καί
ἀναβήσῃ VF--FMI2S- βαίνω ἀνα
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
ἅλω N3--ASM--- ἅλων
μὴ D--------- μή
γνωρισθῇς VS--APS2S- γνωρίζω
τῷ RA--DSM--- ὁ
ἀνδρὶ N3--DSM--- ἀνήρ
ἕως C--------- ἕως
οὗ RR--GSM--- ὅς
συντελέσαι VA--AAN--- τελέω συν
αὐτὸν RD--ASM--- αὐτός
πιεῖν VB--AAN--- πίνω
καὶ C--------- καί
φαγεῖν VB--AAN--- ἐσθίω

Rth 3:4
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
κοιμηθῆναι VC--APN--- κοιμάω
αὐτόν RD--ASM--- αὐτός
καὶ C--------- καί
γνώσῃ VF--FMI2S- γιγνώσκω
τὸν RA--ASM--- ὁ
τόπον N2--ASM--- τόπος
ὅπου D--------- ὅπου
κοιμᾶται V3--PMI3S- κοιμάω
ἐκεῖ D--------- ἐκεῖ
καὶ C--------- καί
ἐλεύσῃ VF--FMI2S- ἔρχομαι
καὶ C--------- καί
ἀποκαλύψεις VF--FAI2S- καλύπτω ἀπο
τὰ RA--APN--- ὁ
πρὸς P--------- πρός
ποδῶν N3D-GPM--- πούς
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
κοιμηθήσῃ VC--FPI2S- κοιμάω
καὶ C--------- καί
αὐτὸς RD--NSM--- αὐτός
ἀπαγγελεῖ VF2-FAI3S- ἀγγέλλω ἀπο
σοι RP--DSF--- σύ
ἃ RR--APN--- ὅς
ποιήσεις VF--FAI2S- ποιέω

Rth 3:5
εἶπεν VBI-AAI3S- εἶπον
δὲ X--------- δέ
Ρουθ N---NSF--- Ρουθ
πρὸς P--------- πρός
αὐτήν RD--ASF--- αὐτός
πάντα A---APN--- πᾶς
ὅσα A1--APN--- ὅσος
ἐὰν C--------- ἐάν
εἴπῃς VB--AAS2S- εἶπον
ποιήσω VF--FAI1S- ποιέω

Rth 3:6
καὶ C--------- καί
κατέβη VZI-AAI3S- βαίνω κατα
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
ἅλω N3--ASM--- ἅλων
καὶ C--------- καί
ἐποίησεν VAI-AAI3S- ποιέω
κατὰ P--------- κατά
πάντα A3--APN--- πᾶς
ὅσα A1--APN--- ὅσος
ἐνετείλατο VBI-AMI3S- τέλλω ἐν
αὐτῇ RD--DSF--- αὐτός
ἡ RA--NSF--- ὁ
πενθερὰ N1A-NSF--- πενθερά
αὐτῆς RD--GSF--- αὐτός

Rth 3:7
καὶ C--------- καί
ἔφαγεν VBI-AAI3S- ἐσθίω
Βοος N---NSM--- Βοος
καὶ C--------- καί
ἠγαθύνθη VCI-API3S- ἀγαθύνω
ἡ RA--NSF--- ὁ
καρδία N1A-NSF--- καρδία
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἦλθεν VBI-AAI3S- ἔρχομαι
κοιμηθῆναι VC--APN--- κοιμάω
ἐν P--------- ἐν
μερίδι N3D-DSF--- μερίς
τῆς RA--GSF--- ὁ
στοιβῆς N1--GSF--- στοιβή
ἡ RA--NSF--- ὁ
δὲ X--------- δέ
ἦλθεν VBI-AAI3S- ἔρχομαι
κρυφῇ D--------- κρυφῇ
καὶ C--------- καί
ἀπεκάλυψεν VAI-AAI3S- καλύπτω ἀπο
τὰ RA--APN--- ὁ
πρὸς P--------- πρός
ποδῶν N3D-GPM--- πούς
αὐτοῦ RD--GSM--- αὐτός

Rth 3:8
ἐγένετο VBI-AMI3S- γίγνομαι
δὲ X--------- δέ
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
μεσονυκτίῳ N2N-DSN--- μεσονύκτιον
καὶ C--------- καί
ἐξέστη VHI-AAI3S- ἵστημι ἐκ
ὁ RA--NSM--- ὁ
ἀνὴρ N3--NSM--- ἀνήρ
καὶ C--------- καί
ἐταράχθη VQI-API3S- ταράσσω
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
γυνὴ N3K-NSF--- γυνή
κοιμᾶται V3--PMI3S- κοιμάω
πρὸς P--------- πρός
ποδῶν N3D-GPM--- πούς
αὐτοῦ RD--GSM--- αὐτός

Rth 3:9
εἶπεν VBI-AAI3S- εἶπον
δέ X--------- δέ
τίς RI--NSF--- τίς
εἶ V9--PAI2S- εἰμί
σύ RP--NSF--- σύ
ἡ RA--NSF--- ὁ
δὲ X--------- δέ
εἶπεν VBI-AAI3S- εἶπον
ἐγώ RP--NSF--- ἐγώ
εἰμι V9--PAI1S- εἰμί
Ρουθ N---NSF--- Ρουθ
ἡ RA--NSF--- ὁ
δούλη N1--NSF--- δούλη
σου RP--GSM--- σύ
καὶ C--------- καί
περιβαλεῖς VF--FAI2S- βάλλω περι
τὸ RA--ASN--- ὁ
πτερύγιόν N2N-ASN--- πτερυγίον
σου RP--GSM--- σύ
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
δούλην N1--ASF--- δούλη
σου RP--GSM--- σύ
ὅτι C--------- ὅτι
ἀγχιστεὺς N3U-NSM--- ἀγχιστεύς
εἶ V9--PAI2S- εἰμί
σύ RP--NSM--- σύ

Rth 3:10
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Βοος N---NSM--- Βοος
εὐλογημένη VM--XPPNSF εὐλογέω
σὺ RP--NSF--- σύ
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
θεῷ N2--DSM--- θεός
θύγατερ N3--VSF--- θυγάτηρ
ὅτι C--------- ὅτι
ἠγάθυνας VAI-AAI2S- ἀγαθύνω
τὸ RA--ASN--- ὁ
ἔλεός N3E-ASN--- ἔλεος
σου RP--GSF--- σύ
τὸ RA--ASN--- ὁ
ἔσχατον A1--ASN--- ἔσχατος
ὑπὲρ P--------- ὑπέρ
τὸ RA--ASN--- ὁ
πρῶτον A---ASN--- πρῶτος
τὸ RA--ASN--- ὁ
μὴ D--------- μή
πορευθῆναί VC--APN--- πορεύομαι
σε RP--ASF--- σύ
ὀπίσω P--------- ὀπίσω
νεανιῶν N1T-GPM--- νεανίας
εἴτοι C--------- εἴτοι
πτωχὸς A1--NSM--- πτωχός
εἴτοι C--------- εἴτοι
πλούσιος A1A-NSM--- πλούσιος

Rth 3:11
καὶ C--------- καί
νῦν D--------- νῦν
θύγατερ N3--VSF--- θυγάτηρ
μὴ D--------- μή
φοβοῦ V2--PMD2S- φοβέω
πάντα A3--APN--- πᾶς
ὅσα A1--APN--- ὅσος
ἐὰν C--------- ἐάν
εἴπῃς VB--AAS2S- εἶπον
ποιήσω VF--FAI1S- ποιέω
σοι RP--DSF--- σύ
οἶδεν VX--XAI3S- οἶδα
γὰρ X--------- γάρ
πᾶσα A1S-NSF--- πᾶς
φυλὴ N1--NSF--- φυλή
λαοῦ N2--GSM--- λαός
μου RP--GSM--- ἐγώ
ὅτι C--------- ὅτι
γυνὴ N3K-NSF--- γυνή
δυνάμεως N3I-GSF--- δύναμις
εἶ V9--PAI2S- εἰμί
σύ RP--NSF--- σύ

Rth 3:12
καὶ C--------- καί
ὅτι C--------- ὅτι
ἀληθῶς D--------- ἀληθῶς
ἀγχιστεὺς N3U-NSM--- ἀγχιστεύς
ἐγώ RP--NSM--- ἐγώ
εἰμι V9--PAI1S- εἰμί
καί C--------- καί
γε X--------- γέ
ἔστιν V9--PAI3S- εἰμί
ἀγχιστεὺς N3U-NSM--- ἀγχιστεύς
ἐγγίων A3--NSMC-- ἐγγύς
ὑπὲρ P--------- ὑπέρ
ἐμέ RP--ASM--- ἐγώ

Rth 3:13
αὐλίσθητι VS--APD2S- αὐλίζω
τὴν RA--ASF--- ὁ
νύκτα N3--ASF--- νύξ
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
τὸ RA--NSN--- ὁ
πρωί D--------- πρωί
ἐὰν C--------- ἐάν
ἀγχιστεύσῃ VA--AAS3S- ἀγχιστεύω
σε RP--ASF--- σύ
ἀγαθόν A1--D----- ἀγαθός
ἀγχιστευέτω V1--PAD3S- ἀγχιστεύω
ἐὰν C--------- ἐάν
δὲ X--------- δέ
μὴ D--------- μή
βούληται V1--PAS3S- βούλομαι
ἀγχιστεῦσαί VA--AAN--- ἀγχιστεύω
σε RP--ASF--- σύ
ἀγχιστεύσω VF--FAI1S- ἀγχιστεύω
σε RP--ASF--- σύ
ἐγώ RP--NSM--- ἐγώ
ζῇ V3--PAI3S- ζάω
κύριος N2--NSM--- κύριος
κοιμήθητι VC--APD2S- κοιμάω
ἕως C--------- ἕως
πρωί D--------- πρωί

Rth 3:14
καὶ C--------- καί
ἐκοιμήθη VCI-API3S- κοιμάω
πρὸς P--------- πρός
ποδῶν N3D-GPM--- πούς
αὐτοῦ RD--GSM--- αὐτός
ἕως C--------- ἕως
πρωί D--------- πρωί
ἡ RA--NSF--- ὁ
δὲ X--------- δέ
ἀνέστη VHI-AAI3S- ἵστημι ἀνα
πρὸ P--------- πρό
τοῦ RA--GSN--- ὁ
ἐπιγνῶναι VZ--AAN--- γιγνώσκω ἐπι
ἄνδρα N3--ASM--- ἀνήρ
τὸν RA--ASM--- ὁ
πλησίον D--------- πλησίον
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Βοος N---NSM--- Βοος
μὴ D--------- μή
γνωσθήτω VS--APD3S- γιγνώσκω
ὅτι C--------- ὅτι
ἦλθεν VBI-AAI3S- ἔρχομαι
γυνὴ N3K-NSF--- γυνή
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
ἅλωνα N3W-ASM--- ἅλων

Rth 3:15
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῇ RD--DSF--- αὐτός
φέρε V1--PAD2S- φέρω
τὸ RA--ASN--- ὁ
περίζωμα N3M-ASN--- περίζωμα
τὸ RA--ASN--- ὁ
ἐπάνω D---P----- ἐπάνω
σου RP--GSF--- σύ
καὶ C--------- καί
ἐκράτησεν VAI-AAI3S- κρατέω
αὐτό RD--ASN--- αὐτός
καὶ C--------- καί
ἐμέτρησεν VAI-AAI3S- μετρέω
ἓξ M--------- ἕξ
κριθῶν N1--GPF--- κριθή
καὶ C--------- καί
ἐπέθηκεν VEI-AAI3S- τίθημι ἐπι
ἐπ' P--------- ἐπί
αὐτήν RD--ASF--- αὐτός
καὶ C--------- καί
εἰσῆλθεν VBI-AAI3S- ἔρχομαι εἰς
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
πόλιν N3I-ASF--- πόλις

Rth 3:16
καὶ C--------- καί
Ρουθ N---NSF--- Ρουθ
εἰσῆλθεν VBI-AAI3S- ἔρχομαι εἰς
πρὸς P--------- πρός
τὴν RA--ASF--- ὁ
πενθερὰν N1A-ASF--- πενθερά
