Bel 1
Αμβακουμ N---NSM--- Αμβακουμ
κύριε N2--VSM--- κύριος
Βαβυλῶνα N3W-ASF--- Βαβυλών
οὐχ D--------- οὐ
ἑώρακα VX--XAI1S- ὁράω
καὶ C--------- καί
τὸν RA--ASM--- ὁ
λάκκον N2--ASM--- λάκκος
οὐ D--------- οὐ
γινώσκω V1--PAI1S- γιγνώσκω

Bel 36
καὶ C--------- καί
ἐπελάβετο VBI-AMI3S- λαμβάνω ἐπι
ὁ RA--NSM--- ὁ
ἄγγελος N2--NSM--- ἄγγελος
κυρίου N2--GSM--- κύριος
τῆς RA--GSF--- ὁ
κορυφῆς N1--GSF--- κορυφή
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
βαστάσας VA--AAPNSM βαστάζω
τῆς RA--GSF--- ὁ
κόμης N1--GSF--- κόμη
τῆς RA--GSF--- ὁ
κεφαλῆς N1--GSF--- κεφαλή
αὐτοῦ RD--GSM--- αὐτός
ἔθηκεν VAI-AAI3S- τίθημι
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
Βαβυλῶνα N3W-ASF--- Βαβυλών
ἐπάνω D--------- ἐπάνω
τοῦ RA--GSM--- ὁ
λάκκου N2--GSM--- λάκκος
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
ῥοίζῳ N2--DSM--- ῥοίζος
τοῦ RA--GSN--- ὁ
πνεύματος N3M-GSN--- πνεῦμα
αὐτοῦ RD--GSM--- αὐτός

Bel 37
καὶ C--------- καί
ἐβόησεν VAI-AAI3S- βοάω
Αμβακουμ N---NSM--- Αμβακουμ
λέγων V1--PAPNSM λέγω
Δανιηλ N---VSM--- Δανιηλ
Δανιηλ N---VSM--- Δανιηλ
λαβὲ VB--AAD2S- λαμβάνω
τὸ RA--ASN--- ὁ
ἄριστον N2N-ASN--- ἄριστον
ὃ RR--ASN--- ὅς
ἀπέστειλέν VAI-AAI3S- στέλλω ἀπο
σοι RP--DS---- σύ
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός

Bel 38
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Δανιηλ N---NSM--- Δανιηλ
ἐμνήσθης VSI-API2S- μιμνήσκω
γάρ X--------- γάρ
μου RP--GS---- ἐγώ
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
καὶ C--------- καί
οὐκ D--------- οὐ
ἐγκατέλιπες VBI-AAI2S- λείπω ἐν κατα
τοὺς RA--APM--- ὁ
ἀγαπῶντάς V3--PAPAPM ἀγαπάω
σε RP--AS---- σύ

Bel 39
καὶ C--------- καί
ἀναστὰς VH--AAPNSM ἵστημι ἀνα
Δανιηλ N---NSM--- Δανιηλ
ἔφαγεν VBI-AAI3S- ἐσθίω
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
ἄγγελος N2--NSM--- ἄγγελος
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
ἀπεκατέστησεν VHI-AAI3S- ἵστημι ἀπο κατα
τὸν RA--ASM--- ὁ
Αμβακουμ N---ASM--- Αμβακουμ
παραχρῆμα D--------- παραχρῆμα
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
τόπον N2--ASM--- τόπος
αὐτοῦ RD--GSM--- αὐτός

Bel 40
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
βασιλεὺς N3V-NSM--- βασιλεύς
ἦλθεν VBI-AAI3S- ἔρχομαι
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
τῇ RA--DSF--- ὁ
ἑβδόμῃ A1--DSF--- ἕβδομος
πενθῆσαι VA--AAN--- πενθέω
τὸν RA--ASM--- ὁ
Δανιηλ N---ASM--- Δανιηλ
καὶ C--------- καί
ἦλθεν VBI-AAI3S- ἔρχομαι
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
λάκκον N2--ASM--- λάκκος
καὶ C--------- καί
ἐνέβλεψεν VAI-AAI3S- βλέπω ἐν
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
Δανιηλ N---NSM--- Δανιηλ
καθήμενος V1--PMPNSM ἧμαι κατα

Bel 41
καὶ C--------- καί
ἀναβοήσας VA--AAPNSM βοάω ἀνα
φωνῇ N1--DSF--- φωνή
μεγάλῃ A1--DSF--- μέγας
εἶπεν VBI-AAI3S- εἶπον
μέγας A1P-NSM--- μέγας
εἶ V9--PAI2S- εἰμί
κύριε N2--VSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τοῦ RA--GSM--- ὁ
Δανιηλ N---GSM--- Δανιηλ
καὶ C--------- καί
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
πλὴν D--------- πλήν
σοῦ RP--GS---- σύ
ἄλλος RD--NSM--- ἄλλος

Bel 42
καὶ C--------- καί
ἀνέσπασεν VAI-AAI3S- σπάω ἀνα
αὐτόν RD--ASM--- αὐτός
τοὺς RA--APM--- ὁ
δὲ X--------- δέ
αἰτίους A1A-APM--- αἴτιος
τῆς RA--GSF--- ὁ
ἀπωλείας N1A-GSF--- ἀπώλεια
αὐτοῦ RD--GSM--- αὐτός
ἐνέβαλεν VBI-AAI3S- βάλλω ἐν
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
λάκκον N2--ASM--- λάκκος
καὶ C--------- καί
κατεβρώθησαν VCI-API3P- βιβρώσκω κατα
παραχρῆμα D--------- παραχρῆμα
ἐνώπιον P--------- ἐνώπιον
αὐτοῦ RD--GSM--- αὐτός

