Tob 1:1
αὐτήν RD--ASF--- αὐτός

Tob 4:4
μνήσθητι VS--APD2S- μιμνήσκω
παιδίον N2N-VSN--- παιδίον
ὅτι C--------- ὅτι
πολλοὺς A1--APM--- πολύς
κινδύνους N2--APM--- κίνδυνος
ἑόρακεν VX--XAI3S- ὁράω
ἐπὶ P--------- ἐπί
σοὶ RP--DS---- σύ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
κοιλίᾳ N1A-DSF--- κοιλία
ὅταν D--------- ὅταν
ἀποθάνῃ VB--AAS3S- θνήσκω ἀπο
θάψον VA--AAD2S- θάπτω
αὐτὴν RD--ASF--- αὐτός
παρ' P--------- παρά
ἐμοὶ RP--DS---- ἐγώ
ἐν P--------- ἐν
ἑνὶ A3--DSM--- εἷς
τάφῳ N2--DSM--- τάφος

Tob 4:5
πάσας A1S-APF--- πᾶς
τὰς RA--APF--- ὁ
ἡμέρας N1A-APF--- ἡμέρα
παιδίον N2N-VSN--- παιδίον
κυρίου N2--GSM--- κύριος
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
ἡμῶν RP--GP---- ἐγώ
μνημόνευε V1--PAD2S- μνημονεύω
καὶ C--------- καί
μὴ D--------- μή
θελήσῃς VA--AAS2S- θέλω
ἁμαρτάνειν V1--PAN--- ἁμαρτάνω
καὶ C--------- καί
παραβῆναι VZ--AAN--- βαίνω παρα
τὰς RA--APF--- ὁ
ἐντολὰς N1A-APF--- ἐντολή
αὐτοῦ RD--GSM--- αὐτός
δικαιοσύνην N1--ASF--- δικαιοσύνη
ποίει V2--PAD2S- ποιέω
πάσας A1S-APF--- πᾶς
τὰς RA--APF--- ὁ
ἡμέρας N1A-APF--- ἡμέρα
τῆς RA--GSF--- ὁ
ζωῆς N1--GSF--- ζωή
σου RP--GS---- σύ
καὶ C--------- καί
μὴ D--------- μή
πορευθῇς VC--APS2S- πορεύομαι
ταῖς RA--DPF--- ὁ
ὁδοῖς N2--DPF--- ὁδός
τῆς RA--GSF--- ὁ
ἀδικίας N1A-GSF--- ἀδικία

Tob 4:6
διότι C--------- διότι
ποιοῦντός V2--PAPGSM ποιέω
σου RP--GS---- σύ
τὴν RA--ASF--- ὁ
ἀλήθειαν N1A-ASF--- ἀλήθεια
εὐοδίαι N1A-NPF--- εὐοδία
ἔσονται VF--FMI3P- εἰμί
ἐν P--------- ἐν
τοῖς RA--DPM--- ὁ
ἔργοις N2N-DPN--- ἔργον
σου RP--GS---- σύ

Tob 4:7
καὶ C--------- καί
πᾶσι A3--DPM--- πᾶς
τοῖς RA--DPM--- ὁ
ποιοῦσι V2--PAPDPM ποιέω
τὴν RA--ASF--- ὁ
δικαιοσύνην N1--ASF--- δικαιοσύνη
ἐκ P--------- ἐκ
τῶν RA--GPM--- ὁ
ὑπαρχόντων V1--PAPGPM ἄρχω ὑπο
σοι RP--DS---- σύ
ποίει V2--PAD2S- ποιέω
ἐλεημοσύνην N1--ASF--- ἐλεημοσύνη
καὶ C--------- καί
μὴ D--------- μή
φθονεσάτω VA--AAD3S- φθονέω
σου RP--GS---- σύ
ὁ RA--NSM--- ὁ
ὀφθαλμὸς N2--NSM--- ὀφθαλμός
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ποιεῖν V2--PAN--- ποιέω
σε RP--AS---- σύ
ἐλεημοσύνην N1--ASF--- ἐλεημοσύνη
μὴ D--------- μή
ἀποστρέψῃς VA--AAS2S- στρέφω ἀπο
τὸ RA--ASN--- ὁ
πρόσωπόν N2N-ASN--- πρόσωπον
σου RP--GS---- σύ
ἀπὸ P--------- ἀπό
παντὸς A3--GSM--- πᾶς
πτωχοῦ N2--GSM--- πτωχός
καὶ C--------- καί
ἀπὸ P--------- ἀπό
σοῦ RP--GS---- σύ
οὐ D--------- οὐ
μὴ D--------- μή
ἀποστραφῇ VD--APS3S- στρέφω ἀπο
τὸ RA--NSN--- ὁ
πρόσωπον N2N-NSN--- πρόσωπον
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός

Tob 4:8
ὡς C--------- ὡς
σοὶ RP--DS---- σύ
ὑπάρχει V1--PAI3S- ἄρχω ὑπο
κατὰ P--------- κατά
τὸ RA--ASN--- ὁ
πλῆθος N3E-ASN--- πλῆθος
ποίησον VA--AAD2S- ποιέω
ἐξ P--------- ἐκ
αὐτῶν RD--GPN--- αὐτός
ἐλεημοσύνην N1--ASF--- ἐλεημοσύνη
ἐὰν C--------- ἐάν
ὀλίγον A1--ASN--- ὀλίγος
σοι RP--DS---- σύ
ὑπάρχῃ V1--PAS3S- ἄρχω ὑπο
κατὰ P--------- κατά
τὸ RA--ASN--- ὁ
ὀλίγον A1--ASN--- ὀλίγος
μὴ D--------- μή
φοβοῦ V2--PMD2S- φοβέω
ποιεῖν V2--PAN--- ποιέω
ἐλεημοσύνην N1--ASF--- ἐλεημοσύνη

Tob 4:9
θέμα N3M-ASN--- θέμα
γὰρ X--------- γάρ
ἀγαθὸν A1--ASN--- ἀγαθός
θησαυρίζεις V1--PAI2S- θησαυρίζω
σεαυτῷ RD--DSM--- σεαυτοῦ
εἰς P--------- εἰς
ἡμέραν N1A-ASF--- ἡμέρα
ἀνάγκης N1--GSF--- ἀνάγκη

Tob 4:10
διότι C--------- διότι
ἐλεημοσύνη N1--NSF--- ἐλεημοσύνη
ἐκ P--------- ἐκ
θανάτου N2--GSM--- θάνατος
ῥύεται V1--PMI3S- ῥύω
καὶ C--------- καί
οὐκ D--------- οὐ
ἐᾷ V3--PAI3S- ἐάω
εἰσελθεῖν VB--AAN--- ἔρχομαι εἰς
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
σκότος N3E-ASN--- σκότος

Tob 4:11
δῶρον N2N-NSN--- δῶρον
γὰρ X--------- γάρ
ἀγαθόν A1--NSN--- ἀγαθός
ἐστιν V9--PAI3S- εἰμί
ἐλεημοσύνη N1--NSF--- ἐλεημοσύνη
πᾶσι A3--DPM--- πᾶς
τοῖς RA--DPM--- ὁ
ποιοῦσιν V2--PAI3P- ποιέω
αὐτὴν RD--ASF--- αὐτός
ἐνώπιον P--------- ἐνώπιον
τοῦ RA--GSM--- ὁ
ὑψίστου A1--GSM--- ὕψιστος

Tob 4:12
πρόσεχε V1--PAD2S- ἔχω προς
σεαυτῷ RD--DSM--- σεαυτοῦ
παιδίον N2N-VSN--- παιδίον
ἀπὸ P--------- ἀπό
πάσης A1S-GSF--- πᾶς
πορνείας N1A-GSF--- πορνεία
καὶ C--------- καί
γυναῖκα N3K-ASF--- γυνή
πρῶτον D--------- πρῶτον
λαβὲ VB--AAD2S- λαμβάνω
ἀπὸ P--------- ἀπό
τοῦ RA--GSN--- ὁ
σπέρματος N3M-GSN--- σπέρμα
τῶν RA--GPM--- ὁ
πατέρων N3--GPM--- πατήρ
σου RP--GS---- σύ
μὴ D--------- μή
λάβῃς VB--AAS2S- λαμβάνω
γυναῖκα N3K-ASF--- γυνή
ἀλλοτρίαν A1A-ASF--- ἀλλότριος
ἣ RR--NSF--- ὅς
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
φυλῆς N1--GSF--- φυλή
τοῦ RA--GSM--- ὁ
πατρός N3--GSM--- πατήρ
σου RP--GS---- σύ
διότι C--------- διότι
υἱοὶ N2--NPM--- υἱός
προφητῶν N1M-GPM--- προφήτης
ἐσμεν V9--PAI1P- εἰμί
Νωε N---NSM--- Νωε
Αβρααμ N---NSM--- Ἀβραάμ
Ισαακ N---NSM--- Ισαακ
Ιακωβ N---NSM--- Ἰακώβ
οἱ RA--NPM--- ὁ
πατέρες N3--NPM--- πατήρ
ἡμῶν RP--GP---- ἐγώ
ἀπὸ P--------- ἀπό
τοῦ RA--GSM--- ὁ
αἰῶνος N3W-GSM--- αἰών
μνήσθητι VS--APD2S- μιμνήσκω
παιδίον N2N-VSN--- παιδίον
ὅτι C--------- ὅτι
οὗτοι RD--NPM--- οὗτος
πάντες A3--NPM--- πᾶς
ἔλαβον VBI-AAI3P- λαμβάνω
γυναῖκας N3K-APF--- γυνή
ἐκ P--------- ἐκ
τῶν RA--GPM--- ὁ
ἀδελφῶν N2--GPM--- ἀδελφός
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
εὐλογήθησαν VC--FPI3P- εὐλογέω
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
τέκνοις N2N-DPN--- τέκνον
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
τὸ RA--ASN--- ὁ
σπέρμα N3M-ASN--- σπέρμα
αὐτῶν RD--GPM--- αὐτός
κληρονομήσει VF--FAI3S- κληρονομέω
γῆν N1--ASF--- γῆ

Tob 4:13
καὶ C--------- καί
νῦν D--------- νῦν
παιδίον N2N-VSN--- παιδίον
ἀγάπα V3--PAD2S- ἀγαπάω
τοὺς RA--APM--- ὁ
ἀδελφούς N2--APM--- ἀδελφός
σου RP--GS---- σύ
καὶ C--------- καί
μὴ D--------- μή
ὑπερηφανεύου VB--AMD2S- ὑπερηφανεύομαι
τῇ RA--DSF--- ὁ
καρδίᾳ N1A-DSF--- καρδία
σου RP--GS---- σύ
ἀπὸ P--------- ἀπό
τῶν RA--GPM--- ὁ
ἀδελφῶν N2--GPM--- ἀδελφός
σου RP--GS---- σύ
καὶ C--------- καί
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
καὶ C--------- καί
θυγατέρων N3--GPF--- θυγάτηρ
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
σου RP--GS---- σύ
λαβεῖν VB--AAN--- λαμβάνω
σεαυτῷ RD--DSM--- σεαυτοῦ
ἐξ P--------- ἐκ
αὐτῶν RD--GPF--- αὐτός
γυναῖκα N3K-ASF--- γυνή
διότι C--------- διότι
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ὑπερηφανίᾳ N1A-DSF--- ὑπερηφανία
ἀπώλεια N1A-NSF--- ἀπώλεια
καὶ C--------- καί
ἀκαταστασία N1A-NSF--- ἀκαταστασία
πολλή A1--NSF--- πολύς
καὶ C--------- καί
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἀχρειότητι N3--DSF--- ἀχρειότης
ἐλάττωσις N3I-NSF--- ἐλάττωσις
καὶ C--------- καί
ἔνδεια N1A-NSF--- ἔνδεια
μεγάλη A1--NSF--- μέγας
ἡ RA--NSF--- ὁ
γὰρ X--------- γάρ
ἀχρειότης N3T-NSF--- ἀχρειότης
μήτηρ N3--NSF--- μήτηρ
ἐστὶν V9--PAI3S- εἰμί
τοῦ RA--GSM--- ὁ
λιμοῦ N2--GSM--- λιμός

Tob 4:14
μισθὸς N2--NSM--- μισθός
παντὸς A3--GSM--- πᾶς
ἀνθρώπου N2--GSM--- ἄνθρωπος
ὃς RR--NSM--- ὅς
ἐὰν C--------- ἐάν
ἐργάσηται VA--AMS3S- ἐργάζομαι
παρὰ P--------- παρά
σοὶ RP--DS---- σύ
μὴ D--------- μή
αὐλισθήτω VS--APD3S- αὐλίζω
ἀλλὰ C--------- ἀλλά
ἀπόδος VO--AAD2S- δίδωμι ἀπο
αὐτῷ RD--DSM--- αὐτός
παραυτίκα D--------- παραυτίκα
καὶ C--------- καί
ἐὰν C--------- ἐάν
δουλεύσῃς VA--AAS2S- δουλεύω
τῷ RA--DSM--- ὁ
θεῷ N2--DSM--- θεός
ἀποδοθήσεταί VC--FPI3S- δίδωμι ἀπο
σοι RP--DS---- σύ
πρόσεχε V1--PAD2S- ἔχω προς
σεαυτῷ RD--DSM--- σεαυτοῦ
παιδίον N2N-VSN--- παιδίον
ἐν P--------- ἐν
πᾶσι A3--DPN--- πᾶς
τοῖς RA--DPN--- ὁ
ἔργοις N2N-DPN--- ἔργον
σου RP--GS---- σύ
καὶ C--------- καί
ἴσθι VX--XAD2S- οἶδα
πεπαιδευμένος VM--XMPNSM παιδεύω
ἐν P--------- ἐν
πάσῃ A1S-DSF--- πᾶς
ἀναστροφῇ N1--DSF--- ἀναστροφή
σου RP--GS---- σύ

Tob 4:15
καὶ C--------- καί
ὃ RR--NSM--- ὅς
μισεῖς V2--PAI2S- μισέω
μηδενὶ A3--DSM--- μηδείς
ποιήσῃς VA--AAS2S- ποιέω
οἶνον N2--ASM--- οἶνος
εἰς P--------- εἰς
μέθην N1--ASF--- μέθη
μὴ D--------- μή
πίῃς VB--AAS2S- πίνω
καὶ C--------- καί
μὴ D--------- μή
πορευθήτω VC--APD3S- πορεύομαι
μετὰ P--------- μετά
σοῦ RP--GS---- σύ
μέθη N1--NSF--- μέθη
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ὁδῷ N2--DSF--- ὁδός
σου RP--GS---- σύ

Tob 4:16
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
ἄρτου N2--GSM--- ἄρτος
σου RP--GS---- σύ
δίδου V8--PAD2S- δίδωμι
πεινῶντι V3--PAPDSM πεινάω
καὶ C--------- καί
ἐκ P--------- ἐκ
τῶν RA--GPN--- ὁ
ἱματίων N2N-GPN--- ἱμάτιον
σου RP--GS---- σύ
τοῖς RA--DPM--- ὁ
γυμνοῖς A1--DPM--- γυμνός
πᾶν A3--NSN--- πᾶς
ὃ RR--NSN--- ὅς
ἐὰν C--------- ἐάν
περισσεύσῃ V1--PAD2S- περισσεύω
σοι RP--DS---- σύ
ποίει V2--PAD2S- ποιέω
ἐλεημοσύνην N1--ASF--- ἐλεημοσύνη
καὶ C--------- καί
μὴ D--------- μή
φθονεσάτω VA--AAD3S- φθονέω
σου RP--GS---- σύ
ὁ RA--NSM--- ὁ
ὀφθαλμὸς N2--NSM--- ὀφθαλμός
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ποιεῖν V2--PAN--- ποιέω
σε RP--AS---- σύ
ἐλεημοσύνην N1--ASF--- ἐλεημοσύνη

Tob 4:17
ἔκχεον VAI-AAD2S- χέω ἐκ
τοὺς RA--APM--- ὁ
ἄρτους N2--APM--- ἄρτος
σου RP--GS---- σύ
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
τάφον N2--ASM--- τάφος
τῶν RA--GPM--- ὁ
δικαίων A1A-GPM--- δίκαιος
καὶ C--------- καί
μὴ D--------- μή
δῷς VO--AAS2S- δίδωμι
τοῖς RA--DPM--- ὁ
ἁμαρτωλοῖς A1B-DPM--- ἁμαρτωλός

Tob 4:18
συμβουλίαν N1A-ASF--- συμβουλία
παρὰ P--------- παρά
παντὸς A3--GSM--- πᾶς
φρονίμου A1B-GSM--- φρόνιμος
ζήτησον VA--AAD2S- ζητέω
καὶ C--------- καί
μὴ D--------- μή
καταφρονήσῃς VA--AAS2S- φρονέω κατα
ἐπὶ P--------- ἐπί
πάσης A1S-GSF--- πᾶς
συμβουλίας N1A-GSF--- συμβουλία
χρησίμης A1--GSF--- χρήσιμος

Tob 4:19
καὶ C--------- καί
ἐν P--------- ἐν
παντὶ A3--DSM--- πᾶς
καιρῷ N2--DSM--- καιρός
εὐλόγει V2--PAD2S- εὐλογέω
κύριον N2--ASM--- κύριος
τὸν RA--ASM--- ὁ
θεὸν N2--ASM--- θεός
καὶ C--------- καί
παρ' P--------- παρά
αὐτοῦ RD--GSM--- αὐτός
αἴτησον VA--AAD2S- αἰτέω
ὅπως C--------- ὅπως
αἱ RA--NPF--- ὁ
ὁδοί N2--NPF--- ὁδός
σου RP--GS---- σύ
εὐθεῖαι A3U-NPF--- εὐθύς
γένωνται VB--AMS3P- γίγνομαι
καὶ C--------- καί
πᾶσαι A1S-NPF--- πᾶς
αἱ RA--NPF--- ὁ
τρίβοι V1--PAO3S- τρίβω
καὶ C--------- καί
βουλαὶ N1--NPF--- βουλή
εὐοδωθῶσιν VC--APS3P- εὐοδόω
διότι C--------- διότι
πᾶν A1S-NSN--- πᾶς
ἔθνος N3E-NSN--- ἔθνος
οὐκ D--------- οὐ
ἔχει V1--PAI3S- ἔχω
βουλήν N1--ASF--- βουλή
ἀλλὰ C--------- ἀλλά
αὐτὸς RD--NSM--- αὐτός
ὁ RA--NSM--- ὁ
κύριος N2--NSM--- κύριος
δίδωσιν V8--PAI3S- δίδωμι
πάντα A1S-APN--- πᾶς
τὰ RA--APN--- ὁ
ἀγαθὰ A1--APN--- ἀγαθός
καὶ C--------- καί
ὃν RR--ASM--- ὅς
ἐὰν C--------- ἐάν
θέλῃ V1--PAS3S- ἐθέλω
ταπεινοῖ V4--PAS3S- ταπεινόω
καθὼς D--------- καθώς
βούλεται V1--PMI3S- βούλομαι
καὶ C--------- καί
νῦν D--------- νῦν
παιδίον N2N-VSN--- παιδίον
μνημόνευε V1--PAD2S- μνημονεύω
τῶν RA--GPF--- ὁ
ἐντολῶν N1A-GPF--- ἐντολή
μου RP--GS---- ἐγώ
καὶ C--------- καί
μὴ D--------- μή
ἐξαλειφθήτωσαν VV--APD3P- ἀλείφω ἐκ
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
καρδίας N1A-GSF--- καρδία
σου RP--GS---- σύ

Tob 4:20
καὶ C--------- καί
νῦν D--------- νῦν
ὑποδεικνύω V1--PAS1S- δεικνύω ὑπο
σοι RP--DS---- σύ
τὰ RA--APN--- ὁ
δέκα M--------- δέκα
τάλαντα N2N-APN--- τάλαντον
τοῦ RA--GSN--- ὁ
ἀργυρίου N2N-GSN--- ἀργύριον
ἃ RR--APN--- ὅς
παρεθέμην VEI-IMI1S- τίθημι παρα
Γαβαήλῳ N2--DSM--- Γαβάηλος
τῷ RA--DSM--- ὁ
τοῦ RA--GSM--- ὁ
Γαβρια N---GSM--- Γαβρεί
ἐν P--------- ἐν
Ῥάγοις N---DS---- Ῥάγοι
τῆς RA--GSF--- ὁ
Μηδίας N---GSF--- Μηδεία

Tob 4:21
καὶ C--------- καί
μὴ D--------- μή
φοβοῦ V2--PMD2S- φοβέω
παιδίον N2N-VSN--- παιδίον
ὅτι C--------- ὅτι
ἐπτωχεύσαμεν VAI-AAI1P- πτωχεύω
ὑπάρχει V1--PAI3S- ἄρχω ὑπο
σοι RP--DS---- σύ
πολλά A1--NPN--- πολύς
ἐὰν C--------- ἐάν
φοβηθῇς VC--APS2S- φοβέω
τὸν RA--ASM--- ὁ
θεὸν N2--ASM--- θεός
καὶ C--------- καί
ἀποστῇς VH--AAS2S- ἵστημι ἀπο
ἀπὸ P--------- ἀπό
πάσης A1S-GSF--- πᾶς
ἁμαρτίας N1A-GSF--- ἁμαρτία
καὶ C--------- καί
ποιήσῃς VA--AAS2S- ποιέω
τὸ RA--ASN--- ὁ
ἀρεστὸν A1--ASN--- ἀρεστός
ἐνώπιον P--------- ἐνώπιον
αὐτοῦ RD--GSM--- αὐτός

Tob 5:1
καὶ C--------- καί
ἀποκριθεὶς VC--APPNSM κρίνω ἀπο
Τωβιας N1T-NSM--- Τωβείας
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
πάτερ N3--VSM--- πατήρ
ποιήσω VF--FAI1S- ποιέω
πάντα A1S-APN--- πᾶς
ὅσα A1--APN--- ὅσος
ἐντέταλσαί VM--XMI2S- τέλλομαι ἐν
μοι RP--DS---- ἐγώ

Tob 5:2
ἀλλὰ C--------- ἀλλά
πῶς D--------- πῶς
δυνήσομαι VF--FMI1S- δύναμαι
λαβεῖν VB--AAN--- λαμβάνω
τὸ RA--ASN--- ὁ
ἀργύριον N2N-ASN--- ἀργύριον
καὶ C--------- καί
οὐ D--------- οὐ
γινώσκω V1--PAI1S- γιγνώσκω
αὐτόν RD--ASM--- αὐτός

Tob 5:3
καὶ C--------- καί
ἔδωκεν VAI-AAI3S- δίδωμι
αὐτῷ RD--DSM--- αὐτός
τὸ RA--ASN--- ὁ
χειρόγραφον N2N-ASN--- χειρόγραφον
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
ζήτησον V2--AAD2S- ζητέω
σεαυτῷ RD--DSM--- σεαυτοῦ
ἄνθρωπον N2--ASM--- ἄνθρωπος
ὃς RR--NSM--- ὅς
συμπορεύσεταί VF--FMI3S- πορεύομαι συν
σοι RP--DS---- σύ
καὶ C--------- καί
δώσω VF--FAI1S- δίδωμι
αὐτῷ RD--DSM--- αὐτός
μισθόν N2--ASM--- μισθός
ἕως C--------- ἕως
ζῶ V3--PAI1S- ζάω
καὶ C--------- καί
λαβὲ VB--AAD2S- λαμβάνω
πορευθεὶς VC--APPNSM πορεύομαι
τὸ RA--ASN--- ὁ
ἀργύριον N2N-ASN--- ἀργύριον

Tob 5:4
καὶ C--------- καί
ἐπορεύθη VCI-API3S- πορεύομαι
ζητῆσαι VA--AAN--- ζητέω
ἄνθρωπον N2--ASM--- ἄνθρωπος
καὶ C--------- καί
εὗρεν VB--AAI3S- εὑρίσκω
τὸν RA--ASM--- ὁ
Ραφαηλ N---ASM--- Ῥαφαήλ
ὃς RR--NSM--- ὅς
ἦν V9--IAI3S- εἰμί
ἄγγελος N2--NSM--- ἄγγελος
καὶ C--------- καί
οὐκ D--------- οὐ
ᾔδει VXI-YAI3S- οἶδα

Tob 5:5
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
εἰ C--------- εἰ
δύναμαι V6--PMI1S- δύναμαι
πορευθῆναι VC--APN--- πορεύομαι
μετὰ P--------- μετά
σοῦ RP--GS---- σύ
ἐν P--------- ἐν
Ῥάγοις N---DS---- Ῥάγοι
τῆς RA--GSF--- ὁ
Μηδίας N---GSF--- Μηδεία
καὶ C--------- καί
εἰ C--------- εἰ
ἔμπειρος A1B-NSM--- ἔμπειρος
εἶ V9--PAI2S- εἰμί
τῶν RA--GPM--- ὁ
τόπων N2--GPM--- τόπος

Tob 5:6
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
ὁ RA--NSM--- ὁ
ἄγγελος N2--NSM--- ἄγγελος
πορεύσομαι VF--FMI1S- πορεύομαι
μετὰ P--------- μετά
σοῦ RP--GS---- σύ
καὶ C--------- καί
τῆς RA--GSF--- ὁ
ὁδοῦ N2--GSF--- ὁδός
ἐμπειρῶ V3--PAI1S- πειράω ἐν
καὶ C--------- καί
παρὰ P--------- παρά
Γαβαηλ N---ASM--- Γαβαήλ
τὸν RA--ASM--- ὁ
ἀδελφὸν N2--ASM--- ἀδελφός
ἡμῶν RP--GP---- ἐγώ
ηὐλίσθην VSI-API1S- αὐλίζω

Tob 5:7
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
Τωβιας N1T-NSM--- Τωβείας
ὑπόμεινόν VB--AAD2S- μένω ὑπο
με RP--AS---- ἐγώ
καὶ C--------- καί
ἐρῶ VF2-FAI1S- εἶπον
τῷ RA--DSM--- ὁ
πατρί N3--DSM--- πατήρ
μου RP--GS---- ἐγώ

Tob 5:8
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
πορεύου V1--PMD2S- πορεύομαι
καὶ C--------- καί
μὴ D--------- μή
χρονίσῃς VA--AAS2S- χρονίζω

Tob 5:9
καὶ C--------- καί
εἰσελθὼν VB--AAPNSM ἔρχομαι εἰς
εἶπεν VBI-AAI3S- εἶπον
τῷ RA--DSM--- ὁ
πατρί N3--DSM--- πατήρ
ἰδοὺ VB--AMD2S- ὁράω
εὕρηκα VX--XAI1S- εὑρίσκω
ὃς RR--NSM--- ὅς
συμπορεύσεταί VF--FMI3S- πορεύομαι συν
μοι RP--DS---- ἐγώ
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
εἶπεν VBI-AAI3S- εἶπον
φώνησον VA--AAD2S- φωνέω
αὐτὸν RD--ASM--- αὐτός
πρός P--------- πρός
με RP--AS---- ἐγώ
ἵνα C--------- ἵνα
ἐπιγνῶ VZ--AAS3S- γιγνώσκω ἐπι
ποίας A1A-GSF--- ποῖος
φυλῆς N1--GSF--- φυλή
ἐστιν V9--PAI3S- εἰμί
καὶ C--------- καί
εἰ C--------- εἰ
πιστὸς A1--NSM--- πιστός
τοῦ RA--GSN--- ὁ
πορευθῆναι VC--APN--- πορεύομαι
μετὰ P--------- μετά
σοῦ RP--GS---- σύ

Tob 5:10
καὶ C--------- καί
ἐκάλεσεν VAI-AAI3S- καλέω
αὐτόν RD--ASM--- αὐτός
καὶ C--------- καί
εἰσῆλθεν VBI-AAI3S- ἔρχομαι εἰς
καὶ C--------- καί
ἠσπάσαντο VAI-AMI3P- ἀσπάζομαι
ἀλλήλους RD--APM--- ἀλλήλω

Tob 5:11
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
Τωβιτ N---VSM--- Τωβιτ
ἄδελφε N2--VSM--- ἀδελφός
ἐκ P--------- ἐκ
ποίας A1A-GSF--- ποῖος
φυλῆς N1--GSF--- φυλή
καὶ C--------- καί
ἐκ P--------- ἐκ
ποίας A1A-GSF--- ποῖος
πατρίδος N3D-GSF--- πατρίς
σὺ RP--NS---- σύ
εἶ V9--PAI2S- εἰμί
ὑπόδειξόν VA--AAD2S- δεικνύω ὑπο
μοι RP--DS---- ἐγώ

Tob 5:12
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
φυλὴν N1--ASF--- φυλή
καὶ C--------- καί
πατριὰν N1A-ASF--- πατριά
σὺ RP--NS---- σύ
ζητεῖς V2--PAI2S- ζητέω
ἢ C--------- ἤ
μίσθιον A1A-ASM--- μίσθιος
ὃς RR--NSM--- ὅς
συμπορεύσεται VF--FMI3S- πορεύομαι συν
μετὰ P--------- μετά
τοῦ RA--GSM--- ὁ
υἱοῦ N2--GSM--- υἱός
σου RP--GS---- σύ
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
Τωβιτ N---VSM--- Τωβιτ
βούλομαι V1--PMI1S- βούλομαι
ἄδελφε N2--VSM--- ἀδελφός
ἐπιγνῶναι VZ--AAN--- γιγνώσκω ἐπι
τὸ RA--ASN--- ὁ
γένος N3E-ASN--- γένος
σου RP--GS---- σύ
καὶ C--------- καί
τὸ RA--ASN--- ὁ
ὄνομα N3M-ASN--- ὄνομα

Tob 5:13
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
εἶπεν VBI-AAI3S- εἶπον
ἐγὼ RP--NS---- ἐγώ
Αζαριας N---NSM--- Ἀζαρίας
Ανανιου N---GSM--- Ἀνανίας
τοῦ RA--GSM--- ὁ
μεγάλου A1--GSM--- μέγας
τῶν RA--GPM--- ὁ
ἀδελφῶν N2--GPM--- ἀδελφός
σου RP--GS---- σύ

Tob 5:14
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
ὑγιαίνων V1--PAPNSM ὑγιαίνω
ἔλθοις VB--AAO2S- ἔρχομαι
ἄδελφε N2--VSM--- ἀδελφός
καὶ C--------- καί
μή D--------- μή
μοι RP--DS---- ἐγώ
ὀργισθῇς VS--APS2S- ὀργίζω
ὅτι C--------- ὅτι
ἐζήτησα VAI-AAI1S- ζητέω
τὴν RA--ASF--- ὁ
φυλήν N1--ASF--- φυλή
σου RP--GS---- σύ
καὶ C--------- καί
τὴν RA--ASF--- ὁ
πατριάν N1A-ASF--- πατριά
σου RP--GS---- σύ
ἐπιγνῶναι VZ--AAN--- γιγνώσκω ἐπι
καὶ C--------- καί
σὺ RP--NS---- σύ
τυγχάνεις V1--PAI2S- τυγχάνω
ἀδελφός N2--NSM--- ἀδελφός
μου RP--GS---- ἐγώ
